UGC	N	sigMod	inc	e_inc	f_inc	Vrot	e_Vrot	hrot	e_hrot	f_hrot	Aphi	Arc	Note
16	171	1.3	22.2	2.6		85.2	0.4	5.8	0.4		0.028	0.020	
74	150	3.6	36.7	2.1		109.3	1.0	9.7	0.5		0.039	0.043	
305	113	3.9	18.9	6.1		93.5	1.0	4.0	0.5		0.046	0.062	
311	151	2.8	40.3	2.4		63.9	0.9	4.5	0.6		0.054	0.043	2
1069	50	4.4			l	30.4	1.7	4.5	1.2		0.143	0.154	
1167	202	3.0	35.0	2.0		100.3	0.7	8.8	0.4		0.041	0.042	1
1497	154	3.4			l	15.1	0.7	3.1	1.2		0.192	0.161	2
1559	308	7.9	38.1	4.6		64.0	1.7	16.0	1.1		0.106	0.064	4,5
1579	139	5.4			l	40.1	1.7	15.1	1.4		0.118	0.183	2,4
2109	153	2.9	22.3	5.6		67.9	1.1	12.8	0.7		0.047	0.118	
4139	122	4.1	25.8	5.5		81.8	1.2	8.4	0.6		0.051	0.063	
4189	140	2.5			l	45.1	0.6	9.6	0.6		0.066	0.096	1
6077	177	4.7	23.1	8.9		65.6	2.3	21.7	1.5		0.066	0.264	2,4
6128	175	3.6	34.7	2.1		99.0	0.8	9.0	0.4		0.039	0.052	
6157	131	4.1			l	52.4	1.0	11.8	0.7		0.068	0.165	
6445	229	2.5	23.4	3.2		62.0	0.6	10.6	0.7		0.044	0.049	5
6463	172	1.8	30.5	2.0		80.3	0.4	6.7	0.4		0.030	0.032	
6641	134	2.8	23.7	5.6		68.4	1.1	11.8	0.6		0.052	0.116	
6693	146	4.4	22.1	5.4		85.1	1.1	9.9	0.5		0.048	0.107	2
9317	113	3.2			l	18.2	1.8	14.5	2.7		0.146	0.185	
9318	74	7.1	34.4	4.8		149.1	3.1	5.8	0.6		0.058	0.099	
9544	59	16.1			l	95.4	5.7	2.2	2.5		0.145	0.104	
9908	154	2.6	18.0	5.8		59.5	0.6	6.0	0.4		0.046	0.083	
10104	205	3.7	24.0	2.9		104.0	0.9	7.7	0.7		0.038	0.041	1
10269	29	7.3	30.7	5.1		211.0	3.1	1.2	2.3		0.030	0.054	5
12158	68	3.7			l	44.3	1.8	12.0	1.4		0.071	0.083	5
12193	142	3.6	24.1	3.0		124.2	0.9	5.0	0.4		0.037	0.034	1
12213	99	3.5	38.4	8.1		49.8	2.7	19.4	2.0		0.067	0.120	
12270	167	2.8			l	43.4	1.0	15.8	0.9		0.059		
12303	121	3.8	41.0	1.7		135.8	1.2	2.7	1.2		0.039	0.019	
12418	228	4.2	32.2	1.7		143.0	0.8	6.6	0.3		0.033	0.055	
12438	170	2.4	32.8	3.3		51.3	0.7	11.6	0.6		0.052	0.057	
12586	148	2.9	33.0	1.9		121.4	0.7	2.9	0.7		0.033	0.040	
12760	135	2.5			l	38.9	0.5	2.8	0.6		0.065	0.059	
12808	121	13.9			l	148.6	2.9	3.4	0.8		0.080	0.071	2,4
