component,height_kpc,inner_kpc,outer_kpc,unchanged_lift_relative_image_rms,refitted_source_relative_image_rms
stellar_luminosity,0.0,0,1,0.0,8.505506179570903e-05
stellar_luminosity,0.0,1,2,0.0,3.137018573061431e-05
stellar_luminosity,0.0,2,3,0.0,3.754012941081914e-05
stellar_luminosity,0.0,3,4,0.0,4.878246117195876e-05
stellar_luminosity,0.0,4,5,0.0,4.629203823381035e-05
stellar_luminosity,0.0,5,6,0.0,5.199726829454098e-05
stellar_luminosity,0.0,6,7,0.0,3.815418456686295e-05
stellar_luminosity,0.0,7,8,0.0,3.8288351341510135e-05
stellar_luminosity,0.0,8,9,0.0,2.1982787894732524e-05
stellar_luminosity,0.0,9,10,0.0,3.59682400275411e-05
stellar_luminosity,0.0,10,11,0.0,4.161990768256618e-05
stellar_luminosity,0.0,11,12,0.0,5.0911799340430205e-05
stellar_luminosity,0.0,12,13,0.0,5.673201264799073e-05
stellar_luminosity,0.0,13,14,0.0,0.00010575638975734499
stellar_luminosity,0.0,14,15,0.0,0.00015662667464804
stellar_luminosity,0.1,0,1,0.1351416976451272,0.0027851070113531413
stellar_luminosity,0.1,1,2,0.056830993798282936,0.0007430691414002653
stellar_luminosity,0.1,2,3,0.06215989203588286,0.0006252118613561888
stellar_luminosity,0.1,3,4,0.07161713713056612,0.0008680237766009365
stellar_luminosity,0.1,4,5,0.06167583528687906,0.0011287874064451386
stellar_luminosity,0.1,5,6,0.070825020814979,0.015595335049729606
stellar_luminosity,0.1,6,7,0.056685744693993186,0.0028290365248613224
stellar_luminosity,0.1,7,8,0.049571479947877646,0.010639231177384304
stellar_luminosity,0.1,8,9,0.03277383534731119,0.0006251119579529649
stellar_luminosity,0.1,9,10,0.04463052300960978,0.001999881005818199
stellar_luminosity,0.1,10,11,0.05790473996835869,0.004705898215360653
stellar_luminosity,0.1,11,12,0.06839605720317646,0.01213928487382993
stellar_luminosity,0.1,12,13,0.07277649999256287,0.016543006747030024
