component,height_kpc,projection_minor_scale_kpc,unchanged_lift_relative_image_rms,refitted_source_relative_image_rms,gross_unchanged_lift_mismatch,gross_refitted_source_mismatch,original_conditional_integral,recovered_conditional_integral,finite_field_projection_flux_fraction,optimizer_converged,iterations,projected_gradient_relative_rms,source_image_pixels_evaluated,seconds,noise_calibrated_likelihood,observed_height_inferred
stellar_luminosity,0.0,0.0,0.0,5.790986183532387e-05,False,False,69864426283.36082,69512295987.07642,1.0,True,500,8.81000808204235e-07,10648,0.39000000001396984,False,False
stellar_luminosity,0.1,0.18609618783876417,0.0916119430381215,0.00410088811169652,True,False,69864426283.36082,70099603662.72781,0.9999999999999986,True,900,3.7991779781016857e-07,10648,0.7030000000086147,False,False
stellar_luminosity,0.2,0.37219237567752833,0.147943227559041,0.03580390313445478,True,False,69864426283.36082,69938108779.3957,0.9999999994015433,True,850,9.019876936840733e-07,10648,0.5779999999795109,False,False
stellar_luminosity,0.4,0.7443847513550567,0.22869249182709217,0.08375798530831496,True,True,69864426283.36082,70008545066.67084,0.999999127944754,True,1400,8.151920758371295e-07,10648,1.187000000005355,False,False
stellar_luminosity,0.8,1.4887695027101133,0.3339092961498561,0.16808389767010262,True,True,69864426283.36082,70299642292.09232,0.9999475612088564,True,1750,9.122809394144845e-07,10648,1.4530000000086147,False,False
atomic_helium,0.0,0.0,0.0,1.140806050991493e-05,False,False,4755269406.747875,4609930455.130526,1.0,True,400,9.081074268266323e-07,11277,0.3120000000053551,False,False
atomic_helium,0.1,0.18609618783876417,0.013722242522356383,0.00010207787358601606,False,False,4755269406.747875,4658526769.739178,0.9999999999999996,True,450,8.553778967558389e-07,11277,0.35899999999674037,False,False
atomic_helium,0.2,0.37219237567752833,0.03553767409959196,0.0008904107693143226,False,False,4755269406.747875,4714428701.066853,0.9999999986802788,True,500,8.917944940898984e-07,11277,0.35899999999674037,False,False
atomic_helium,0.4,0.7443847513550567,0.08028132334627629,0.003314025806780391,True,False,4755269406.747875,4803209836.611102,0.9999957257248097,True,600,9.702391563707133e-07,11277,0.48499999998603016,False,False
atomic_helium,0.8,1.4887695027101133,0.14878246487905566,0.022351654456438406,True,False,4755269406.747875,4934146408.824315,0.999642579298836,True,1050,9.390741172192278e-07,11277,0.7340000000258442,False,False
co21,0.0,0.0,0.0314997121957184,0.031499733077784475,False,False,528090706.17600024,526480613.6735756,1.0,True,50,7.605259482757732e-07,10536,0.062000000005355105,False,False
co21,0.1,0.18609618783876417,0.06506462361296168,0.03241303416882071,True,False,528090706.17600024,530009892.7806193,1.0,True,250,7.282223225788019e-07,10536,0.20300000000861473,False,False
co21,0.2,0.37219237567752833,0.14122173777143848,0.0355651340691728,True,False,528090706.17600024,534786052.0616781,0.9999999999999177,True,750,8.52862932302741e-07,10536,0.5629999999946449,False,False
co21,0.4,0.7443847513550567,0.28081611887200886,0.07036455545824018,True,True,528090706.17600024,539875754.7998369,0.9999999491452154,True,950,8.270949717728866e-07,10536,0.6570000000065193,False,False
co21,0.8,1.4887695027101133,0.44353256573679956,0.2392372634644095,True,True,528090706.17600024,566283576.2398033,0.9999696954339955,True,1900,8.982877194544187e-07,10536,1.3910000000032596,False,False
