cluster	accept_name	temperature_kev	core_entropy_kev_cm2	entropy_100_kev_cm2	redshift	member_count	response_log10_sigma	response_upper_log10_sigma	response_lower_log10_sigma	cool_core_stratum	temperature_stratum	log_temperature	log_lx	log1pz	log_member_count	log_core_entropy	log_entropy_100	entropy_slope	entropy_contrast	cooling_time_proxy	core_pressure_proxy	entropy_gradient_proxy	cooling_x_slope	pressure_x_slope	entropy_contrast_x_temperature	gradient_x_temperature	cooling_squared
A1201	Abell 1201	5.61	39.2	200.4	0.1671	165	2.8344207036815328	2.8756399370041685	2.7993405494535817	non_cool_core	low_temperature	0.7489628612561614	0.2528530309798932	0.06710806905956572	2.2174839442139063	1.60422605308447	2.301897717195208	1.2	-0.6976716641107379	1.6573762183705438	-0.5339319264863018	0.8372059969328854	1.9888514620446525	-0.6407183117835622	-0.5225301657697258	0.627036198923671	2.7468959292202446
A1204	Abell 1204	3.63	14.1	83.1	0.1706	92	2.7259116322950483	2.7737864449811935	2.6866362692622934	cool_core	low_temperature	0.5599066250361125	0.3283796034387377	0.06840851977816173	1.9637878273455553	1.1789769472931695	1.919601023784111	1.35	-0.7406240764909415	1.2085587959036417	-0.3686988583494728	0.9998425032627711	1.6315543744699164	-0.4977434587717883	-0.41468032708853075	0.5598184415695165	1.4606143631560602
A1361	Abell 1361	5.32	14.8	119.2	0.1159	195	2.709269960975831	2.760422483423212	2.667452952889954	cool_core	low_temperature	0.7259116322950482	-0.004364805402450088	0.04762527758178358	2.290034611362518	1.1986570869544226	2.076276255404218	1.15	-0.8776191684497952	1.0720739981365859	0.016793450305986557	1.0092620437172644	1.2328850978570736	0.01931246785188454	-0.6370739631028136	0.7326350575682357	1.1493426574805643
A1423	Abell 1423	6.01	58.8	124.8	0.2142	230	2.88024177589548	2.91539983521227	2.850033257689769	non_cool_core	low_temperature	0.7788744720027395	0.48713837547718647	0.0842902285369301	2.361727836017593	1.7767011839884108	2.0962145853464054	1.22	-0.31951340135799455	1.8861773039798764	-0.7178655959757672	0.38980634965675337	2.301136310855449	-0.8757960270904359	-0.2488608317805074	0.30361021477221906	3.5576648220487948
A1689	Abell 1689	10.1	78.4	111.8	0.1842	210	3.0780941504064105	3.1055101847699738	3.0538464268522527	non_cool_core	high_temperature	1.0043213737826426	0.8488047010518037	0.07342505674598138	2.322219294733919	1.8998205024270962	2.0484418035504044	1.35	-0.14862130112330818	1.8454093798580016	-0.3389273191840374	0.20063875651646607	2.491302662808302	-0.4575518808984505	-0.14926354931752467	0.20150579157865833	3.4055357792678937
A1758	Abell 1758	12.14	116.8	218.0	0.276	143	2.82865989653532	2.888179493918325	2.781755374652469	non_cool_core	high_temperature	1.0842186867392387	0.7649229846498885	0.10585067438514352	2.155336037465062	2.0711452904510828	2.3384564936046046	1.03	-0.26731120315352186	2.022499248937385	-0.3961712188285271	0.2753305392481275	2.083174226405507	-0.408056355393383	-0.28982380163379734	0.29851851568281124	4.090503211952287
A1763	Abell 1763	7.78	214.7	70.8	0.2312	237	3.1007150865730817	3.1277525158329733	3.076640443670342	non_cool_core	high_temperature	0.890979596989689	0.6739419986340878	0.09032860682342232	2.374748346010104	2.333850145102545	1.850033257689769	1.37	0.4838168874127762	2.6097956206641286	-1.273326225179595	-0.6628291357555034	3.5754200003098564	-1.7444569284960452	0.43107097536384104	-0.5905672362484623	6.811033181637664
A1835	Abell 1835	9.77	10.9	112.6	0.2506	219	3.0610753236297916	3.090258052931316	3.0354297381845483	cool_core	high_temperature	0.989894563718773	1.0707764628434346	0.0971184243446497	2.3404441148401185	1.0755469613925308	2.0515383905153275	1.25	-0.9759914291227967	0.6234258783700231	0.8614159672081363	1.2199892864034958	0.7792823479625288	1.0767699590101705	-0.9661286099247727	1.2076607624059656	0.38865982582143477
A2034	Abell 2034	7.15	215.8	99.1	0.1132	182	2.9740509027928774	3.0025979807199086	2.9489017609702137	non_cool_core	high_temperature	0.8543060418010806	0.28330122870354957	0.046573197662005336	2.2600713879850747	2.336059277866349	1.9960736544852753	1.05	0.33998562338107385	2.649782874998443	-1.368323812296822	-0.35698490455012755	2.7822720187483654	-1.436740002911663	0.2904517721799581	-0.304974360788956	7.021349284635015
A2069	Abell 2069	6.5	416.2	82.4	0.1139	441	2.997386384397313	3.0232524596337114	2.9740509027928774	non_cool_core	low_temperature	0.8129133566428556	0.39093510710337914	0.046846203945821376	2.6444385894678386	2.6203442997544935	1.9159272116971158	1.22	0.7044170880573777	3.1176030929888845	-1.8982330580246014	-0.8593888474300008	3.803475773446439	-2.315844330790014	0.5726300595293089	-0.6986086726257568	9.719449045413858
