case,component,r_kpc,sigma_hi_msun_pc2,newton_gbar,log_extra_gbar,newton_plus_log_gbar,newton_radial_rms_deviation,log_radial_rms_deviation,newton_tangential_rms,log_tangential_rms
f4-stars-h0p1,stellar_luminosity,0.05,0.0006360803359544769,664.930766294096,44.56898169505877,709.4997479891547,29.691005229380234,2.933111749394077,314.8327408077052,50.17783185040835
f4-stars-h0p1,stellar_luminosity,0.07500000000000001,0.4588903190800062,657.583021071955,33.600758845141996,691.183779917097,98.80893562807046,15.125271504019723,236.1420808761282,36.63064611655086
f4-stars-h0p1,stellar_luminosity,0.1,2.094688421534939,697.6130234395678,59.44142166327951,757.0544451028472,150.00563603993666,21.674090143405838,333.01395151738336,43.641045495343924
f4-stars-h0p1,stellar_luminosity,0.125,3.865848533688738,731.3815393827981,86.55206851182263,817.9336078946208,228.5288465740049,28.274269221277187,404.5066904816336,48.53224268716684
f4-stars-h0p1,stellar_luminosity,0.15000000000000002,5.9581745446188705,827.6946924773771,117.99878942068118,945.6934818980583,299.41231166784655,34.64123212408085,426.3289598029423,50.49438999242686
f4-stars-h0p1,stellar_luminosity,0.17500000000000002,7.866329236173535,907.5014403819822,146.60057995408636,1054.1020203360686,295.55027855159614,35.7578774887923,414.15303522432504,51.30871508531355
f4-stars-h0p1,stellar_luminosity,0.2,9.163960930948774,971.6487137290065,171.94494046186193,1143.5936541908684,277.4141157931954,34.842495638538814,399.6231903797458,51.72854645188371
f4-stars-h0p1,stellar_luminosity,0.225,9.766231609762228,1032.0284774590339,194.190965649227,1226.2194431082607,251.0700389562542,34.43613609165635,404.442095310921,51.972955152823
f4-stars-h0p1,stellar_luminosity,0.25,9.660969029941546,1099.5639048378441,213.23046919044572,1312.79437402829,220.76379114335626,36.10719272450133,425.04143777406136,52.37487808869559
f4-stars-h0p1,stellar_luminosity,0.275,8.92802598848366,1183.8210399267357,229.04443313024993,1412.8654730569856,241.93818127970698,39.47481055838859,445.5140912092132,52.95951324879501
f4-stars-h0p1,stellar_luminosity,0.30000000000000004,7.889975485638246,1281.4640980017882,241.12155449587885,1522.585652497667,329.5897763478705,43.41085029507385,455.1915740083823,53.404604716199316
f4-stars-h0p1,stellar_luminosity,0.325,6.99590951853471,1391.1268445465707,249.41036069704617,1640.5372052436169,430.12007592779577,45.19855590660096,461.44376199946834,53.70124650690361
f4-stars-h0p1,stellar_luminosity,0.35000000000000003,6.715499746648848,1498.2690108589195,256.51682816573606,1754.7858390246556,474.4822901935512,42.496827117341866,472.5270072444229,53.58713636970608
f4-stars-h0p1,stellar_luminosity,0.375,6.868056236852643,1572.8231272931519,266.28483710259314,1839.107964395745,436.4826001405087,38.260383535954695,473.9261230947967,53.26208052950533
f4-stars-h0p1,stellar_luminosity,0.4,7.152240153944777,1599.791859426576,279.39752995446105,1879.189389381037,404.87173919529477,37.51237141528182,460.72383341954344,52.87382072182427
f4-stars-h0p1,stellar_luminosity,0.42500000000000004,7.232023535188846,1567.972588758073,291.94976476611663,1859.9223535241897,476.4653905035456,38.40420167487683,445.5575110569308,52.52559087993562
f4-stars-h0p1,stellar_luminosity,0.45,7.113979592560808,1524.4792840673251,303.71561235033613,1828.1948964176613,583.8679009123101,40.2338190677999,437.684108666178,51.96739956303032
f4-stars-h0p1,stellar_luminosity,0.47500000000000003,7.019522427963921,1534.6851537650264,315.0312636243987,1849.716417389425,595.5336667646079,42.209319773721866,447.7164343487974,52.404204402245746
f4-stars-h0p1,stellar_luminosity,0.5,6.872574167971091,1639.5960477355707,327.84451714184104,1967.4405648774118,522.3977404179979,44.27640941270326,467.6799189447548,54.01762498536535
f4-stars-h0p1,stellar_luminosity,0.525,6.675986047080754,1812.1702219972258,342.1372248988737,2154.3074468960995,512.8460579551303,46.84247093271375,483.6434781051238,55.54018658582979
f4-stars-h0p1,stellar_luminosity,0.55,6.667596096942934,2006.3295926402482,359.19231551682134,2365.5219081570694,618.2228668840798,51.723399580861624,492.93396197289235,56.16876090366405
f4-stars-h0p1,stellar_luminosity,0.5750000000000001,6.872236989869724,2151.660442681372,376.6903918610796,2528.3508345424516,699.7876038357051,57.27052717369687,503.3351043648202,55.91342025629542
f4-stars-h0p1,stellar_luminosity,0.6000000000000001,7.284292636245971,2231.8730346791276,393.2616169023713,2625.134651581499,703.4181177137853,62.26548446993709,522.1848800072236,55.656082581754525
f4-stars-h0p1,stellar_luminosity,0.625,7.697018078612889,2272.736575612315,407.30654648130127,2680.043122093616,691.4587173403498,65.21452044570668,547.6121143538288,57.25648545948292
f4-stars-h0p1,stellar_luminosity,0.65,7.945461603577614,2304.91167026893,419.3038041361276,2724.2154744050576,702.2750333850181,65.39864485739045,578.2949630032216,62.21151235474584
f4-stars-h0p1,stellar_luminosity,0.675,7.995415128871488,2327.00015626536,429.97005303816286,2756.970209303523,703.3082295029258,63.133817114982804,622.3224076321219,69.19167861278078
f4-stars-h0p1,stellar_luminosity,0.7000000000000001,7.859977177289059,2322.216230778609,438.3479090803546,2760.5641398589632,654.9897581834451,58.89512272276966,678.5957617033329,75.95569193708485
f4-stars-h0p1,stellar_luminosity,0.7250000000000001,7.636349595023047,2302.4077000717666,444.1320503827531,2746.53975045452,557.5994582340999,53.3428134240892,727.0643184644861,81.00235309351089
f4-stars-h0p1,stellar_luminosity,0.75,7.3214790457058525,2306.966295890171,449.67903148316907,2756.64532737334,470.8585473205483,48.04061167085689,747.2630383220368,83.90285277415057
f4-stars-h0p1,stellar_luminosity,0.775,7.312533646447179,2375.4838020107372,460.2713771924192,2835.7551792031563,471.7293906126061,47.88410158712893,731.7863680281424,83.70669577770458
f4-stars-h0p1,stellar_luminosity,0.8,7.645386643452507,2486.319055490494,475.28864087060947,2961.6076963611035,508.86366123216914,51.35337857667438,695.7411606909793,81.27790781842842
f4-stars-h0p1,stellar_luminosity,0.8250000000000001,7.9586540148087295,2578.204655687518,489.6190288466372,3067.8236845341553,508.81095939314105,53.36789404127176,658.5299815942975,78.1906581349967
f4-stars-h0p1,stellar_luminosity,0.8500000000000001,8.08462334068085,2624.409848423688,501.3546728673079,3125.7645212909956,468.59749820205604,53.03520567266357,633.10488510105,75.3806156700246
f4-stars-h0p1,stellar_luminosity,0.875,7.985773071165299,2639.096593590148,511.59603512229404,3150.692628712442,407.92943642073976,50.908301108907615,628.6027500187365,73.86354264659295
f4-stars-h0p1,stellar_luminosity,0.9,7.8132626114018615,2632.1042896120666,520.5731485387778,3152.6774381508444,359.86427053354333,47.88055135656266,649.0537043613698,74.54486781002954
f4-stars-h0p1,stellar_luminosity,0.925,7.774106598535367,2623.5434336792873,528.8156034198325,3152.3590370991196,359.1614137399108,44.81759490951284,696.9790044253768,77.8333683826549
f4-stars-h0p1,stellar_luminosity,0.9500000000000001,7.9881826613916385,2633.477339917138,536.4888005337428,3169.966140450881,380.9421630353209,42.299483748496975,760.3687013030379,82.48483380552484
f4-stars-h0p1,stellar_luminosity,0.9750000000000001,8.459018746832431,2660.4665678077545,543.2894228185777,3203.7559906263323,400.15678276515575,40.7904154914773,822.8749202851942,86.12762559470063
f4-stars-h0p1,stellar_luminosity,1.0,9.201848054291524,2688.0450613410303,549.1321353802374,3237.1771967212676,409.4086783623562,39.75997718839381,867.4030439768107,87.22185450514598
f4-stars-h0p1,stellar_luminosity,1.0250000000000001,9.892936349544751,2722.665838878341,554.6784460631645,3277.344284941506,395.1911112304539,37.89851088621469,885.8724906632034,86.51851752119335
f4-stars-h0p1,stellar_luminosity,1.05,10.388310570289676,2769.015661956151,559.8770106386507,3328.8926725948013,368.2478214049113,35.213432375023565,873.6514535636305,84.51007802047755
f4-stars-h0p1,stellar_luminosity,1.075,10.60574664954105,2815.299883786255,564.506928881498,3379.806812667753,343.5148357619949,32.1043542736626,837.7799614432653,81.53779929101883
f4-stars-h0p1,stellar_luminosity,1.1,10.517726043552798,2854.1784279679323,568.7014440423583,3422.8798720102905,332.91688198053504,28.872310143278693,788.9864289654494,78.1568658350052
f4-stars-h0p1,stellar_luminosity,1.125,10.160771204977573,2884.9271639252333,572.7915908650333,3457.7187547902668,331.24137915666034,25.810197107997443,741.6574693715539,75.27931532123291
f4-stars-h0p1,stellar_luminosity,1.1500000000000001,9.759242803979584,2904.9098691139743,576.4772485808588,3481.3871176948333,329.1906683605039,23.417904118791988,705.862372508612,73.23524589328574
f4-stars-h0p1,stellar_luminosity,1.175,9.410152328842146,2914.1737532710026,579.6731958820103,3493.846949153013,326.7145154285925,22.061470326558783,685.1289483382274,72.08862021820816
f4-stars-h0p1,stellar_luminosity,1.2000000000000002,9.123188463830225,2923.879436323975,582.7123455153713,3506.5917818393464,335.15366810558834,21.63717606603077,676.9519042529492,71.50414279171615
f4-stars-h0p1,stellar_luminosity,1.225,9.224011927829423,2932.8091550170207,585.3899582453622,3518.199113262383,352.4444480614981,21.872996457359747,669.728094103766,70.35352950215815
f4-stars-h0p1,stellar_luminosity,1.25,9.541200031586914,2928.002122148466,588.2143303055072,3516.216452453973,380.9434396220133,22.54886312214219,654.0231952030388,68.70428785500782
f4-stars-h0p1,stellar_luminosity,1.2750000000000001,9.96886355181308,2908.2894308797554,591.2128027046836,3499.5022335844387,410.2885903450614,23.156767497422994,637.7846070208061,67.22364268995571
f4-stars-h0p1,stellar_luminosity,1.3,10.280620751465381,2891.571357756872,594.4118998065915,3485.9832575634637,425.5647898923485,23.357272641469926,625.3543336491025,66.35045920840479
f4-stars-h0p1,stellar_luminosity,1.3250000000000002,10.383167193044553,2873.008511845298,597.0758440490629,3470.0843558943607,426.4922803729963,23.56169987165884,617.2369533892402,65.67484686764007
f4-stars-h0p1,stellar_luminosity,1.35,10.224674115599186,2837.2874480531027,598.6779157026589,3435.9653637557617,414.49255169108733,24.041641451313076,613.4275190797476,64.6584746568667
f4-stars-h0p1,stellar_luminosity,1.375,9.806610226474474,2782.758678071174,599.1508926130687,3381.9095706842427,405.44083981825116,24.852945111976446,608.5055439944798,62.93434234987477
f4-stars-h0p1,stellar_luminosity,1.4000000000000001,9.188461852243154,2728.905154674921,599.0880155016422,3327.993170176563,424.94596347142397,26.066443468959864,597.5206254270032,60.75496854777517
f4-stars-h0p1,stellar_luminosity,1.425,8.579853582921256,2689.4220733112315,598.9489850993839,3288.3710584106157,477.4827707606862,27.667885959408355,580.1602399647554,58.37081063395944
f4-stars-h0p1,stellar_luminosity,1.4500000000000002,8.161746014571438,2668.432268223895,599.2222864953603,3267.6545547192554,541.4622292912242,29.206433881524333,565.3847674452194,56.453989555527826
f4-stars-h0p1,stellar_luminosity,1.475,7.860427384028077,2661.2218135762682,600.123370828026,3261.3451844042943,586.5671347369348,30.04370879283032,564.101003407545,55.18657380801548
f4-stars-h0p1,stellar_luminosity,1.5,7.47362481840771,2670.7192593981126,601.5345709732596,3272.2538303713723,611.1583631336783,29.757186494051656,575.8744768496176,54.255308419950985
f4-stars-h0p1,stellar_luminosity,1.5250000000000001,6.950297841438125,2706.918209140635,603.297606860456,3310.2158160010913,629.8721256350846,28.110687445406427,589.2710185135502,53.69125502406793
f4-stars-h0p1,stellar_luminosity,1.55,6.38006703550111,2754.658145194831,604.9071805926858,3359.5653257875165,645.7564208104628,25.582479168640813,585.1451979311418,53.43006026991334
f4-stars-h0p1,stellar_luminosity,1.5750000000000002,5.822296579871866,2762.946076810799,605.2472007205346,3368.1932775313335,750.1870836393996,23.658611339774144,578.9656833461343,53.91613113686454
f4-stars-h0p1,stellar_luminosity,1.6,5.427685413123321,2711.7286760498737,603.6172081486085,3315.345884198482,860.6830333710342,23.087280751927214,694.3395566781829,56.140549849012984
f4-stars-h0p1,stellar_luminosity,1.625,5.185310775089372,2678.514804637135,601.3365881392044,3279.8513927763397,600.4267420789945,21.900440099218436,986.6129044575924,59.671013493735494
f4-stars-h0p1,stellar_luminosity,1.6500000000000001,4.9931889565632925,2742.816410865345,600.1903561249803,3343.0067669903256,498.02421777745514,20.480732197833444,1128.5737754662432,62.77296628943523
f4-stars-h0p1,stellar_luminosity,1.675,4.856632449868544,2786.4783155115,599.4150354491242,3385.893350960624,921.3082663253447,20.8762827996779,1027.8349473839387,64.32485741005651
f4-stars-h0p1,stellar_luminosity,1.7000000000000002,4.722618553798091,2749.9275208779895,598.2167313867837,3348.144252264773,856.1566447570443,21.850079387043166,839.5619535946737,63.823687998832554
f4-stars-h0p1,stellar_luminosity,1.725,4.509524683824969,2682.049745328413,596.2653651524488,3278.3151104808617,653.1577153531388,22.292370029110373,690.2406060828342,61.442480383815095
f4-stars-h0p1,stellar_luminosity,1.75,4.227897792626177,2616.873805062956,593.763223990393,3210.6370290533487,526.1324136422121,22.40380112414585,569.0348326180523,57.588120452824946
f4-stars-h0p1,stellar_luminosity,1.7750000000000001,3.8596018785096335,2544.997875023879,590.518999656014,3135.5168746798927,421.5343652829688,22.271212302343866,472.4590767134335,53.284796559202064
f4-stars-h0p1,stellar_luminosity,1.8,3.4397668481770856,2473.0859854255777,586.5780883652666,3059.664073790844,355.10821634698203,21.978125203170563,400.5784411559843,49.360814256556296
f4-stars-h0p1,stellar_luminosity,1.8250000000000002,3.061083764016714,2408.116777286191,582.1699779922017,2990.286755278393,314.5829944486838,21.429716863153537,354.6401921741511,46.73226676823954
f4-stars-h0p1,stellar_luminosity,1.85,2.9144471067938857,2358.5525851113457,578.1408201170667,2936.6934052284123,291.6456928797615,20.718384248639865,324.52586543503526,45.37200764664492
f4-stars-h0p1,stellar_luminosity,1.875,3.004521602335219,2313.0845681444666,574.1223078805116,2887.206876024978,268.69644463025713,19.87199615688142,295.7773748261184,44.514814240425366
f4-stars-h0p1,stellar_luminosity,1.9000000000000001,3.2114987811802957,2271.0140716356264,569.8510266199406,2840.865098255567,246.40477842176537,19.29112436983139,273.6231451378016,43.787582936820456
f4-stars-h0p1,stellar_luminosity,1.925,3.3708800030167416,2230.824412724089,565.310976981953,2796.135389706042,232.9533017902019,19.267090910663068,257.37232583414254,42.931777420599765
f4-stars-h0p1,stellar_luminosity,1.9500000000000002,3.3859334480961296,2192.4774751366185,560.9526353269961,2753.4301104636147,227.99102477220808,19.677347114990848,245.1859122676104,41.96639811269617
f4-stars-h0p1,stellar_luminosity,1.975,3.280765159559952,2155.439661421013,557.0976972193586,2712.5373586403716,227.74346001676395,20.282283019442914,235.97909423511283,40.963649785332386
f4-stars-h0p1,stellar_luminosity,2.0,3.1384264094406014,2117.586608270451,553.5782070925297,2671.164815362981,227.08536253195126,20.815569368083448,228.15613624716292,39.91800144196156
f4-stars-h0p1,stellar_luminosity,2.025,2.9849162544082697,2077.538096344597,549.8858134016461,2627.423909746243,219.97056097553815,21.049730787370116,222.1015928890379,39.23119835342454
f4-stars-h0p1,stellar_luminosity,2.0500000000000003,2.815411775454132,2039.4772107877486,545.8319659496633,2585.3091767374117,210.74641823313695,21.066359851109585,217.536290273827,39.070791129974054
f4-stars-h0p1,stellar_luminosity,2.075,2.67247909045017,2002.7907805336824,541.2739336344712,2544.064714168154,204.0958134377929,21.264981837804346,212.03747943930915,38.98859778649
f4-stars-h0p1,stellar_luminosity,2.1,2.563302878924432,1963.3619848044762,536.0010414572713,2499.3630262617476,204.37489425012612,22.00607632232414,203.5658465207705,38.339153439315886
f4-stars-h0p1,stellar_luminosity,2.125,2.4703728677373196,1916.2277676994952,529.8244248276214,2446.052192527117,211.327484891001,23.30417823085775,191.8126315066975,36.72040419633345
f4-stars-h0p1,stellar_luminosity,2.15,2.3694104217332423,1867.1967783999678,523.6704986822223,2390.86727708219,220.26326231301118,24.362966963842123,176.97428412048194,34.370195038660164
f4-stars-h0p1,stellar_luminosity,2.1750000000000003,2.2874190856290877,1822.4886843422935,518.1440244801328,2340.632708822426,224.66151986626596,24.646694324667006,161.5260041351718,31.99576055034883
f4-stars-h0p1,stellar_luminosity,2.2,2.234319316063811,1786.6572184339777,513.5167702758969,2300.1739887098747,220.09121778744566,24.14798682351861,149.75237627956855,30.426856821911443
f4-stars-h0p1,stellar_luminosity,2.225,2.1922358115255203,1760.8046967798275,509.9123492986645,2270.717046078492,206.27760852427005,23.058362543137466,142.32257220177482,29.38000997564135
f4-stars-h0p1,stellar_luminosity,2.25,2.128792776333333,1743.9042534526243,507.15731072100533,2251.0615641736294,189.81860740688046,21.70870283475235,138.237366556683,28.39871553042252
f4-stars-h0p1,stellar_luminosity,2.275,2.003961169975118,1723.517819798821,503.89912600391335,2227.4169458027345,175.2257641658388,20.517176392590088,136.63568850982372,27.984278949209603
f4-stars-h0p1,stellar_luminosity,2.3000000000000003,1.858576428650593,1694.0161131366199,499.48863730399535,2193.504750440615,164.9183080782878,19.889995742372687,136.17037116785727,28.304527650901285
f4-stars-h0p1,stellar_luminosity,2.325,1.6898342629254381,1656.767239752128,494.12324487160186,2150.89048462373,157.53789254367405,19.68267150483385,136.804470435172,29.06967908354456
f4-stars-h0p1,stellar_luminosity,2.35,1.5721768963322602,1620.509266691899,488.6648222431177,2109.1740889350167,154.9886639345985,19.927853038179006,137.3936060180175,29.60538165640753
f4-stars-h0p1,stellar_luminosity,2.375,1.5416197458259386,1592.4323941919024,483.8769150178801,2076.3093092097824,159.4457261612576,20.520822646899564,136.54707246199447,29.40681385663837
f4-stars-h0p1,stellar_luminosity,2.4000000000000004,1.5390939643445745,1558.7505337083703,478.7779498173689,2037.5284835257391,162.099782374469,20.923729445988307,132.41722030276927,28.330690521543218
