galaxy,candidate_channels,status,replay_pass,maximum_absolute_replay_error,maximum_relative_rms_replay_error,native_median_inner_outer_scale_ratio,coarse_median_inner_outer_scale_ratio,coarse_inner_outer_scale_ratio_min,coarse_inner_outer_scale_ratio_max
DDO154,0,NO_DIRECTLY_MAPPED_RETAINED_CANDIDATES,,,,,,,
IC2574,2,SPATIAL_PREPROCESSING_REPLAY_EXECUTED,True,0.0,0.0,1.0064445017152792,1.122131033730745,1.1031463161943345,1.1411157512671557
NGC2841,0,NO_DIRECTLY_MAPPED_RETAINED_CANDIDATES,,,,,,,
NGC2903,6,SPATIAL_PREPROCESSING_REPLAY_EXECUTED,True,0.0,0.0,1.0301461718649962,1.16199085942834,1.0656831103038351,1.2334774629962213
NGC2976,2,SPATIAL_PREPROCESSING_REPLAY_EXECUTED,True,0.0,0.0,0.9786453415685328,0.9724423710683232,0.9681695679128586,0.9767151742237877
NGC3198,4,SPATIAL_PREPROCESSING_REPLAY_EXECUTED,True,0.0,0.0,1.027622723527256,1.1195920433181163,0.9267284779536088,1.2034622707338039
NGC3521,0,NO_DIRECTLY_MAPPED_RETAINED_CANDIDATES,,,,,,,
NGC4214,8,SPATIAL_PREPROCESSING_REPLAY_EXECUTED,True,0.0,0.0,1.011247262820024,1.1353116486317805,0.8615356521052068,1.351745589433498
NGC5055,3,SPATIAL_PREPROCESSING_REPLAY_EXECUTED,True,0.0,0.0,1.0249811923963863,1.039048049144209,1.024142984849657,1.2751301261196042
NGC6946,2,SPATIAL_PREPROCESSING_REPLAY_EXECUTED,True,0.0,0.0,0.9733653132899502,1.1011284086271393,1.050519180297894,1.1517376369563845
NGC7331,0,NO_DIRECTLY_MAPPED_RETAINED_CANDIDATES,,,,,,,
UGC04305,2,SPATIAL_PREPROCESSING_REPLAY_EXECUTED,True,0.0,0.0,0.969324962918327,1.0441162284188477,0.9840303936304705,1.1042020632072247
