Name	Rin	Rout	nelec	neerr	Kitpl	Kflat	Kerr	Pitpl	Pflat	Perr	Mgrav	Merr	Tx	Txerr	Lambda	tcool5/2	t52err	tcool3/2	t32err
MACS_J1149.5+2223	9.5194e-01	9.8367e-01	4.7709e-04	1.7594e-04	1.2431e+03	1.2431e+03	3.8875e+02	5.8660e-12	5.8660e-12	2.4424e-12	1.0727e+15	1.5205e+14	6.8249e+00	1.9636e+00	2.1229e-23	1.9673e+02	9.2015e+01	1.1804e+02	5.5209e+01
MACS_J1149.5+2223	9.2021e-01	9.5194e-01	5.3108e-04	1.8615e-04	1.1675e+03	1.1675e+03	3.4865e+02	6.5872e-12	6.5872e-12	2.6137e-12	8.6830e+14	1.1841e+14	6.9135e+00	1.9061e+00	2.1398e-23	1.7760e+02	7.9202e+01	1.0656e+02	4.7521e+01
MACS_J1149.5+2223	8.8848e-01	9.2021e-01	5.6831e-04	1.8997e-04	1.1256e+03	1.1256e+03	3.2158e+02	7.1102e-12	7.1102e-12	2.6953e-12	6.7523e+14	8.8518e+13	7.0021e+00	1.8486e+00	2.1567e-23	1.6678e+02	7.1040e+01	1.0007e+02	4.2624e+01
MACS_J1149.5+2223	8.5674e-01	8.8848e-01	5.7837e-04	1.9430e-04	1.1225e+03	1.1225e+03	3.1780e+02	7.3010e-12	7.3010e-12	2.7594e-12	5.0412e+14	6.4023e+13	7.0907e+00	1.7910e+00	2.1737e-23	1.6466e+02	6.9207e+01	9.8794e+01	4.1524e+01
MACS_J1149.5+2223	8.2501e-01	8.5674e-01	7.8796e-04	1.8400e-04	9.2229e+02	9.2229e+02	2.1347e+02	1.0044e-11	1.0044e-11	2.9086e-12	2.1206e+14	2.6635e+13	7.1794e+00	1.7335e+00	2.1906e-23	1.2142e+02	4.0786e+01	7.2854e+01	2.4472e+01
MACS_J1149.5+2223	7.9328e-01	8.2501e-01	7.4652e-04	2.0688e-04	9.6535e+02	9.6535e+02	2.4198e+02	9.6072e-12	9.6072e-12	3.1205e-12	4.9570e+14	6.1584e+13	7.2680e+00	1.6760e+00	2.2075e-23	1.2875e+02	4.6417e+01	7.7250e+01	2.7850e+01
MACS_J1149.5+2223	7.6155e-01	7.9328e-01	7.5447e-04	2.1609e-04	9.6772e+02	9.6772e+02	2.4585e+02	9.8023e-12	9.8023e-12	3.2528e-12	1.4672e+14	1.8030e+13	7.3566e+00	1.6184e+00	2.2245e-23	1.2797e+02	4.6215e+01	7.6779e+01	2.7729e+01
MACS_J1149.5+2223	7.2982e-01	7.6155e-01	6.5160e-04	2.3129e-04	1.0772e+03	1.0772e+03	3.1122e+02	8.5461e-12	8.5461e-12	3.3480e-12	3.9856e+14	4.8455e+13	7.4452e+00	1.5609e+00	2.2414e-23	1.4882e+02	6.1349e+01	8.9290e+01	3.6809e+01
MACS_J1149.5+2223	6.9809e-01	7.2982e-01	8.5816e-04	2.2515e-04	9.0492e+02	9.0492e+02	2.1699e+02	1.1361e-11	1.1361e-11	3.5152e-12	3.5100e+14	4.2219e+13	7.5338e+00	1.5034e+00	2.2584e-23	1.1348e+02	3.7408e+01	6.8091e+01	2.2445e+01
MACS_J1149.5+2223	6.6636e-01	6.9809e-01	9.1320e-04	2.3283e-04	8.7624e+02	8.7624e+02	2.0593e+02	1.2202e-11	1.2202e-11	3.6878e-12	5.9975e+14	7.1378e+13	7.6224e+00	1.4458e+00	2.2753e-23	1.0709e+02	3.4033e+01	6.4257e+01	2.0420e+01
