Name	Rin	Rout	nelec	neerr	Kitpl	Kflat	Kerr	Pitpl	Pflat	Perr	Mgrav	Merr	Tx	Txerr	Lambda	tcool5/2	t52err	tcool3/2	t32err
ABELL_2744	1.3031e+00	1.3256e+00	2.8027e-04	3.0643e-05	2.0148e+03	2.0148e+03	5.9486e+02	9.4028e-12	9.4028e-12	6.9120e-12	-1.1918e+16	-2.5005e+15	9.3562e+00	3.1962e+00	2.0628e-23	4.7244e+02	1.6945e+02	2.8346e+02	1.0167e+02
ABELL_2744	1.2806e+00	1.3031e+00	1.7319e-04	7.1516e-05	2.7491e+03	2.7491e+03	1.0771e+03	5.7515e-12	5.7515e-12	6.8776e-12	1.0970e+16	2.2430e+15	9.2414e+00	3.0814e+00	2.0763e-23	7.5026e+02	3.9820e+02	4.5016e+02	2.3892e+02
ABELL_2744	1.2582e+00	1.2806e+00	2.7525e-04	5.8964e-05	1.9980e+03	1.9980e+03	6.1268e+02	9.0472e-12	9.0472e-12	7.5070e-12	6.3913e+14	1.2719e+14	9.1267e+00	2.9667e+00	2.0898e-23	4.6320e+02	1.8032e+02	2.7792e+02	1.0819e+02
ABELL_2744	1.2357e+00	1.2582e+00	1.1071e-04	7.4714e-05	3.6288e+03	3.6288e+03	1.8925e+03	3.6014e-12	3.6014e-12	6.2628e-12	1.1349e+15	2.1951e+14	9.0120e+00	2.8520e+00	2.1033e-23	1.1298e+03	8.4216e+02	6.7790e+02	5.0529e+02
ABELL_2744	1.2132e+00	1.2357e+00	2.8970e-04	6.5189e-05	1.8911e+03	1.8911e+03	5.6110e+02	9.3255e-12	9.3255e-12	7.6283e-12	1.6284e+14	3.0569e+13	8.8972e+00	2.7372e+00	2.1168e-23	4.2356e+02	1.6144e+02	2.5414e+02	9.6867e+01
ABELL_2744	1.1908e+00	1.2132e+00	3.3287e-04	6.4537e-05	1.7056e+03	1.7056e+03	4.7709e+02	1.0602e-11	1.0602e-11	8.0112e-12	3.8660e+15	7.0327e+14	8.7825e+00	2.6225e+00	2.1303e-23	3.6156e+02	1.2873e+02	2.1694e+02	7.7236e+01
ABELL_2744	1.1683e+00	1.1908e+00	2.2242e-04	8.1900e-05	2.2078e+03	2.2078e+03	7.5789e+02	7.0089e-12	7.0089e-12	7.3930e-12	1.1605e+15	2.0422e+14	8.6678e+00	2.5078e+00	2.1438e-23	5.3067e+02	2.4851e+02	3.1840e+02	1.4910e+02
ABELL_2744	1.1458e+00	1.1683e+00	2.9162e-04	7.7807e-05	1.8232e+03	1.8232e+03	5.3253e+02	9.0903e-12	9.0903e-12	7.7092e-12	-2.6403e+15	-4.4859e+14	8.5530e+00	2.3930e+00	2.1573e-23	3.9689e+02	1.5344e+02	2.3814e+02	9.2066e+01
ABELL_2744	1.1234e+00	1.1458e+00	2.8577e-04	7.9576e-05	1.8278e+03	1.8278e+03	5.3067e+02	8.8111e-12	8.8111e-12	7.5469e-12	2.6505e+15	4.3388e+14	8.4383e+00	2.2783e+00	2.1708e-23	3.9709e+02	1.5402e+02	2.3826e+02	9.2410e+01
ABELL_2744	1.1009e+00	1.1234e+00	4.0071e-04	6.5608e-05	1.4430e+03	1.4430e+03	3.4738e+02	1.2219e-11	1.2219e-11	7.9151e-12	1.2249e+15	1.9274e+14	8.3235e+00	2.1635e+00	2.1843e-23	2.7761e+02	8.5283e+01	1.6657e+02	5.1169e+01
