parameter	value	error	unit	note
n_e0	5.03	0.09	1e-3 cm-3	central electron density of the beta-model
r_c	190	7	h^-1 kpc	beta-model core radius; = 271.3 +/- 10.0 kpc for h=0.7
beta	0.693	0.019	dimensionless	beta-model slope
T_0	9.63	2.38	keV	central gas temperature of the Vikhlinin+2006 T profile
r_t	176	100	h^-1 kpc	temperature scale radius; = 250.7 +/- 142.7 kpc for h=0.7
a	-0.042	0.248	dimensionless	temperature inner slope parameter
c	0.2	0.44	dimensionless	temperature outer slope parameter
