quantity	value	err_lo	err_hi	unit	note
redshift	0.375			---	cluster redshift
kT_global	8.77	0.34	0.33	keV	CORE-EXCISED: Chandra spectrum over radial range [50,500] h^-1 kpc = [71.4,714.3] kpc (h=0.7), centred on the X-ray centroid
kT_excision_radius	71.4286			kpc	inner excision radius, = 50 h^-1 kpc with h=0.7
kT_outer_radius	714.2857			kpc	outer aperture radius, = 500 h^-1 kpc with h=0.7
sigma_v	1520	93	93	km/s	velocity dispersion (spectroscopic, core region)
RA_xray_centroid	02:39:53.2			J2000	from a 2D beta-model fit to Chandra
DEC_xray_centroid	-01:34:35.1			J2000	from a 2D beta-model fit to Chandra
