recno	MCXC	OName	AName	RAJ2000	DEJ2000	z	Cat	Sub-Cat	Scale	L500	M500	R500	Notes	Cat1	Cat2	Cat3	Cat4	L500r1	L500r2	L500r3	L500r4	Simbad
      19	J0014.3-3023	RXCJ0014.3-3023   	A2744                                                 	00 14 18.8	-30 23 00	 0.3066	NORAS/REFLEX	REFLEX      	 4.522	11.818114	 7.3614	 1.2359	                                          	SGP         	MACS_BRIGHT 	            	            	 0.985	 1.139	      	      	Simbad
     467	J0717.5+3745	MACSJ0717.5+3745  	MCS  J0717.5+3745                                     	07 17 31.7	+37 45 32	 0.5460	MACS        	MACS_MJFV   	 6.388	22.715670	12.9576	 1.3600	                                          	            	            	            	            	      	      	      	      	Simbad
     800	J1149.5+2224	MACSJ1149.5+2223  	MCS  J1149.5+2223                                     	11 49 35.3	+22 24 09	 0.5450	MACS        	MACS_MJFV   	 6.382	14.471760	 9.3427	 1.2200	                                          	NORAS       	            	            	            	 0.953	      	      	      	Simbad
    1154	J1510.9+0543	A2029             	A2029                                                 	15 10 55.0	+05 43 12	 0.0766	BCS         	BCS         	 1.451	 8.726709	 7.2708	 1.3344	                                          	            	            	            	            	      	      	      	      	Simbad
    1643	J2248.7-4431	RXCJ2248.7-4431   	S1063                                                 	22 48 43.5	-44 31 44	 0.3475	NORAS/REFLEX	REFLEX      	 4.917	27.166569	11.8328	 1.4256	                                          	SGP         	            	            	            	 1.077	      	      	      	Simbad
