Name	Rin	Rout	nelec	neerr	Kitpl	Kflat	Kerr	Pitpl	Pflat	Perr	Mgrav	Merr	Tx	Txerr	Lambda	tcool5/2	t52err	tcool3/2	t32err
ABELL_0370	7.9341e-01	8.0621e-01	1.3368e-03	8.0824e-05	5.3241e+02	5.3241e+02	4.8941e+01	3.3578e-11	3.3578e-11	8.2503e-12	-8.8549e+15	-5.3646e+14	3.6723e+00	-9.4051e-01	2.4993e-23	3.2088e+01	8.4440e+00	1.9253e+01	5.0664e+00
ABELL_0370	7.6782e-01	7.9341e-01	6.4088e-04	1.1732e-04	8.8489e+02	8.8489e+02	1.3447e+02	1.6390e-11	1.6390e-11	8.0337e-12	6.4282e+14	4.2684e+13	3.9388e+00	-7.9960e-01	2.5043e-23	7.1646e+01	1.9585e+01	4.2988e+01	1.1751e+01
ABELL_0370	7.4223e-01	7.6782e-01	7.1480e-04	1.0826e-04	8.5205e+02	8.5205e+02	1.2449e+02	1.8931e-11	1.8931e-11	8.3884e-12	-1.6398e+15	-1.2699e+14	4.2941e+00	-6.1174e-01	2.5108e-23	6.9849e+01	1.4523e+01	4.1910e+01	8.7140e+00
ABELL_0370	7.1663e-01	7.4223e-01	6.8452e-04	1.2641e-04	9.0713e+02	9.0713e+02	1.5573e+02	1.8752e-11	1.8752e-11	9.9024e-12	1.3557e+14	1.1895e+13	4.6495e+00	-4.2385e-01	2.5174e-23	7.8771e+01	1.6222e+01	4.7262e+01	9.7331e+00
ABELL_0370	6.9104e-01	7.1663e-01	6.4565e-04	1.3989e-04	9.7450e+02	9.7450e+02	1.9121e+02	1.8274e-11	1.8274e-11	1.1146e-11	2.1643e+14	2.1077e+13	5.0049e+00	-2.3596e-01	2.5239e-23	8.9663e+01	1.9882e+01	5.3798e+01	1.1929e+01
ABELL_0370	6.6544e-01	6.9104e-01	7.2509e-04	1.3484e-04	9.3095e+02	9.3095e+02	1.7769e+02	2.1182e-11	2.1182e-11	1.1992e-11	2.8955e+14	3.0815e+13	5.3603e+00	-4.8063e-02	2.5304e-23	8.5287e+01	1.5879e+01	5.1172e+01	9.5272e+00
ABELL_0370	6.3985e-01	6.6544e-01	7.2308e-04	1.4748e-04	9.6172e+02	9.6172e+02	1.9953e+02	2.1781e-11	2.1781e-11	1.3445e-11	4.0208e+14	4.6208e+13	5.7157e+00	1.3983e-01	2.5370e-23	9.0959e+01	1.8685e+01	5.4576e+01	1.1211e+01
ABELL_0370	6.1426e-01	6.3985e-01	8.9477e-04	1.2830e-04	8.5958e+02	8.5958e+02	1.6586e+02	2.7767e-11	2.7767e-11	1.4700e-11	2.0592e+14	2.5311e+13	6.0710e+00	3.2769e-01	2.5435e-23	7.7874e+01	1.1931e+01	4.6724e+01	7.1589e+00
ABELL_0370	5.8866e-01	6.1426e-01	9.1893e-04	1.4061e-04	8.6920e+02	8.6920e+02	1.7825e+02	2.9353e-11	2.9353e-11	1.6530e-11	2.9338e+14	3.8274e+13	6.4264e+00	5.1558e-01	2.5501e-23	8.0060e+01	1.3832e+01	4.8036e+01	8.2994e+00
ABELL_0370	5.6307e-01	5.8866e-01	9.7274e-04	1.4517e-04	8.6068e+02	8.6068e+02	1.8277e+02	3.1956e-11	3.1956e-11	1.8386e-11	1.4919e+14	2.0526e+13	6.7818e+00	7.0347e-01	2.5566e-23	7.9609e+01	1.4469e+01	4.7765e+01	8.6812e+00
ABELL_0370	5.3747e-01	5.6307e-01	8.9398e-04	1.6680e-04	9.3572e+02	9.3572e+02	2.1785e+02	3.0182e-11	3.0182e-11	1.9645e-11	2.1348e+14	3.0810e+13	7.1372e+00	8.9137e-01	2.5632e-23	9.0929e+01	2.0416e+01	5.4557e+01	1.2249e+01
