Name	Rin	Rout	nelec	neerr	Kitpl	Kflat	Kerr	Pitpl	Pflat	Perr	Mgrav	Merr	Tx	Txerr	Lambda	tcool5/2	t52err	tcool3/2	t32err
ABELL_1063S	9.8691e-01	1.0116e+00	4.9935e-04	6.2611e-05	2.0888e+03	2.0888e+03	6.7711e+02	1.0635e-11	1.0635e-11	3.5880e-12	8.4765e+14	1.9469e+14	1.3932e+01	5.3628e+00	3.1184e-23	2.6118e+02	1.0574e+02	1.5671e+02	6.3444e+01
ABELL_1063S	9.6224e-01	9.8691e-01	5.2105e-04	1.5330e-04	2.0227e+03	2.0227e+03	7.3929e+02	1.1056e-11	1.1056e-11	4.7123e-12	-9.1960e+13	-2.0798e+13	1.3854e+01	5.2402e+00	3.1099e-23	2.4960e+02	1.1961e+02	1.4976e+02	7.1763e+01
ABELL_1063S	9.3756e-01	9.6224e-01	5.1852e-04	1.4801e-04	2.0217e+03	2.0217e+03	7.2431e+02	1.0961e-11	1.0961e-11	4.5671e-12	-1.7819e+14	-3.9668e+13	1.3777e+01	5.1174e+00	3.1013e-23	2.5011e+02	1.1716e+02	1.5006e+02	7.0299e+01
ABELL_1063S	9.1289e-01	9.3756e-01	3.5710e-04	1.6901e-04	2.5825e+03	2.5825e+03	1.1220e+03	7.5197e-12	7.5197e-12	4.2084e-12	-5.1412e+13	-1.1261e+13	1.3700e+01	4.9947e+00	3.0928e-23	3.6212e+02	2.1634e+02	2.1728e+02	1.2981e+02
ABELL_1063S	8.8822e-01	9.1289e-01	4.3317e-04	1.6522e-04	2.2619e+03	2.2619e+03	8.7883e+02	9.0870e-12	9.0870e-12	4.3748e-12	1.5756e+14	3.3943e+13	1.3622e+01	4.8721e+00	3.0843e-23	2.9767e+02	1.5564e+02	1.7860e+02	9.3386e+01
ABELL_1063S	8.6355e-01	8.8822e-01	4.7897e-04	1.7149e-04	2.1072e+03	2.1072e+03	7.8953e+02	1.0010e-11	1.0010e-11	4.6044e-12	1.8882e+15	3.9992e+14	1.3545e+01	4.7494e+00	3.0757e-23	2.6842e+02	1.3451e+02	1.6105e+02	8.0707e+01
ABELL_1063S	8.3887e-01	8.6355e-01	5.2225e-04	1.7762e-04	1.9815e+03	1.9815e+03	7.1982e+02	1.0872e-11	1.0872e-11	4.8160e-12	1.6290e+15	3.3904e+14	1.3468e+01	4.6267e+00	3.0672e-23	2.4545e+02	1.1865e+02	1.4727e+02	7.1192e+01
ABELL_1063S	8.1420e-01	8.3887e-01	5.5630e-04	1.7529e-04	1.8925e+03	1.8925e+03	6.6063e+02	1.1536e-11	1.1536e-11	4.8537e-12	1.3240e+15	2.7068e+14	1.3390e+01	4.5040e+00	3.0586e-23	2.2974e+02	1.0589e+02	1.3784e+02	6.3533e+01
ABELL_1063S	7.8953e-01	8.1420e-01	6.6761e-04	1.7627e-04	1.6694e+03	1.6694e+03	5.4326e+02	1.3791e-11	1.3791e-11	5.2449e-12	1.0100e+15	2.0272e+14	1.3313e+01	4.3813e+00	3.0501e-23	1.9086e+02	8.0529e+01	1.1452e+02	4.8317e+01
ABELL_1063S	7.6485e-01	7.8953e-01	7.7407e-04	1.7839e-04	1.5067e+03	1.5067e+03	4.6624e+02	1.5929e-11	1.5929e-11	5.6375e-12	3.4110e+14	6.7189e+13	1.3236e+01	4.2586e+00	3.0416e-23	1.6412e+02	6.4953e+01	9.8471e+01	3.8972e+01
