Name	Rin	Rout	nelec	neerr	Kitpl	Kflat	Kerr	Pitpl	Pflat	Perr	Mgrav	Merr	Tx	Txerr	Lambda	tcool5/2	t52err	tcool3/2	t32err
MACS_J0717.5+3745	1.1606e+00	1.1911e+00	2.1005e-04	4.4672e-05	1.6437e+03	1.6437e+03	4.3638e+02	1.9764e-12	1.9764e-12	6.1112e-13	6.0422e+15	9.9455e+14	4.1617e+00	1.0889e+00	2.0279e-23	2.8522e+02	9.6171e+01	1.7113e+02	5.7703e+01
MACS_J0717.5+3745	1.1300e+00	1.1606e+00	3.8780e-04	2.7509e-04	1.1380e+03	1.1380e+03	5.9385e+02	3.8018e-12	3.8018e-12	2.8243e-12	4.6742e+14	7.5641e+13	4.4731e+00	1.1295e+00	2.0603e-23	1.6344e+02	1.2306e+02	9.8062e+01	7.3836e+01
MACS_J0717.5+3745	1.0995e+00	1.1300e+00	4.0686e-04	1.0532e-04	1.1465e+03	1.1465e+03	3.1803e+02	4.1490e-12	4.1490e-12	1.4019e-12	3.7450e+14	5.9646e+13	4.7845e+00	1.1702e+00	2.0928e-23	1.6405e+02	5.8420e+01	9.8428e+01	3.5052e+01
MACS_J0717.5+3745	1.0689e+00	1.0995e+00	4.2303e-04	6.9720e-05	1.1602e+03	1.1602e+03	2.7906e+02	4.4807e-12	4.4807e-12	1.2101e-12	1.7271e+15	2.7098e+14	5.0959e+00	1.2108e+00	2.1252e-23	1.6548e+02	4.7850e+01	9.9287e+01	2.8710e+01
MACS_J0717.5+3745	1.0384e+00	1.0689e+00	3.1748e-04	2.2774e-04	1.4572e+03	1.4572e+03	7.6166e+02	3.4879e-12	3.4879e-12	2.6080e-12	6.2138e+14	9.6130e+13	5.4073e+00	1.2514e+00	2.1576e-23	2.3045e+02	1.7370e+02	1.3827e+02	1.0422e+02
MACS_J0717.5+3745	1.0079e+00	1.0384e+00	4.8736e-04	4.0030e-04	1.1343e+03	1.1343e+03	6.6451e+02	5.5464e-12	5.5464e-12	4.6996e-12	7.6030e+14	1.1607e+14	5.7186e+00	1.2920e+00	2.1900e-23	1.5642e+02	1.3325e+02	9.3852e+01	7.9949e+01
MACS_J0717.5+3745	9.7732e-01	1.0079e+00	4.7943e-04	9.3850e-05	1.1865e+03	1.1865e+03	2.8891e+02	5.6452e-12	5.6452e-12	1.6024e-12	6.8725e+14	1.0360e+14	6.0300e+00	1.3326e+00	2.2224e-23	1.6522e+02	4.8777e+01	9.9131e+01	2.9266e+01
MACS_J0717.5+3745	9.4678e-01	9.7732e-01	7.5087e-04	2.9159e-04	9.0927e+02	9.0927e+02	2.9921e+02	9.1373e-12	9.1373e-12	4.0045e-12	1.2349e+15	1.8396e+14	6.3413e+00	1.3732e+00	2.2548e-23	1.0934e+02	4.8618e+01	6.5607e+01	2.9171e+01
MACS_J0717.5+3745	9.1624e-01	9.4678e-01	6.2795e-04	1.5559e-04	1.0576e+03	1.0576e+03	2.7502e+02	7.8890e-12	7.8890e-12	2.5163e-12	7.6546e+14	1.1275e+14	6.6527e+00	1.4138e+00	2.2871e-23	1.3523e+02	4.4143e+01	8.1137e+01	2.6486e+01
MACS_J0717.5+3745	8.8569e-01	9.1624e-01	7.4714e-04	1.2923e-04	9.7141e+02	9.7141e+02	2.2318e+02	9.6809e-12	9.6809e-12	2.5504e-12	7.8952e+14	1.1505e+14	6.9641e+00	1.4545e+00	2.3196e-23	1.1731e+02	3.1813e+01	7.0388e+01	1.9088e+01
MACS_J0717.5+3745	8.5515e-01	8.8569e-01	7.3343e-04	1.5622e-04	1.0134e+03	1.0134e+03	2.4584e+02	9.7924e-12	9.7924e-12	2.8391e-12	4.8247e+14	6.9592e+13	7.2755e+00	1.4951e+00	2.3520e-23	1.2313e+02	3.6442e+01	7.3878e+01	2.1865e+01
MACS_J0717.5+3745	8.2461e-01	8.5515e-01	8.4061e-04	9.7408e-05	9.5264e+02	9.5264e+02	1.9963e+02	1.1555e-11	1.1555e-11	2.6190e-12	7.0257e+14	1.0036e+14	7.5869e+00	1.5357e+00	2.3844e-23	1.1050e+02	2.5774e+01	6.6303e+01	1.5464e+01
MACS_J0717.5+3745	7.9407e-01	8.2461e-01	9.2680e-04	5.1144e-04	9.1822e+02	9.1822e+02	3.8146e+02	1.3105e-11	1.3105e-11	7.6613e-12	5.6783e+14	8.0366e+13	7.8982e+00	1.5763e+00	2.4168e-23	1.0294e+02	6.0408e+01	6.1766e+01	3.6245e+01
MACS_J0717.5+3745	7.6353e-01	7.9407e-01	9.3062e-04	1.6950e-04	9.4124e+02	9.4124e+02	2.1327e+02	1.3526e-11	1.3526e-11	3.5727e-12	5.7211e+14	8.0260e+13	8.2096e+00	1.6169e+00	2.4492e-23	1.0515e+02	2.8208e+01	6.3091e+01	1.6925e+01
MACS_J0717.5+3745	7.3299e-01	7.6353e-01	1.2104e-03	2.5235e-04	8.1137e+02	8.1137e+02	1.9081e+02	1.8069e-11	1.8069e-11	5.0932e-12	5.0291e+14	6.9960e+13	8.5210e+00	1.6575e+00	2.4816e-23	8.2818e+01	2.3615e+01	4.9691e+01	1.4169e+01
MACS_J0717.5+3745	7.0245e-01	7.3299e-01	1.2194e-03	3.1507e-04	8.2867e+02	8.2867e+02	2.1139e+02	1.8685e-11	1.8685e-11	5.9724e-12	4.4906e+14	6.1966e+13	8.8323e+00	1.6981e+00	2.5140e-23	8.4108e+01	2.7088e+01	5.0465e+01	1.6253e+01
MACS_J0717.5+3745	6.7191e-01	7.0245e-01	1.3226e-03	2.4585e-04	8.0619e+02	8.0619e+02	1.8108e+02	2.0812e-11	2.0812e-11	5.4924e-12	4.6356e+14	6.3681e+13	9.1437e+00	1.7387e+00	2.5464e-23	7.9262e+01	2.1077e+01	4.7557e+01	1.2646e+01
MACS_J0717.5+3745	6.4137e-01	6.7191e-01	1.3063e-03	6.3932e-04	8.5348e+02	8.5348e+02	3.2567e+02	2.1582e-11	2.1582e-11	1.1393e-11	2.9919e+14	4.3409e+13	9.4550e+00	1.7793e+00	2.5788e-23	8.1942e+01	4.2967e+01	4.9165e+01	2.5780e+01
MACS_J0717.5+3745	6.1082e-01	6.4137e-01	1.4482e-03	2.8142e-04	8.3468e+02	8.3468e+02	2.0412e+02	2.5065e-11	2.5065e-11	7.1241e-12	3.5041e+14	5.3299e+13	9.8205e+00	1.8628e+00	2.6182e-23	7.5612e+01	2.0533e+01	4.5367e+01	1.2320e+01
MACS_J0717.5+3745	5.8028e-01	6.1082e-01	1.5517e-03	3.3217e-04	8.3332e+02	8.3332e+02	2.1584e+02	2.8077e-11	2.8077e-11	8.5412e-12	3.5936e+14	5.6962e+13	1.0352e+01	2.0781e+00	2.6795e-23	7.2686e+01	2.1331e+01	4.3611e+01	1.2798e+01
MACS_J0717.5+3745	5.4974e-01	5.8028e-01	1.6091e-03	1.9278e-04	8.4873e+02	8.4873e+02	2.0196e+02	3.0380e-11	3.0380e-11	7.7212e-12	3.9535e+14	6.4986e+13	1.0883e+01	2.2933e+00	2.7407e-23	7.2046e+01	1.7463e+01	4.3228e+01	1.0478e+01
