Name	Rin	Rout	nelec	neerr	Kitpl	Kflat	Kerr	Pitpl	Pflat	Perr	Mgrav	Merr	Tx	Txerr	Lambda	tcool5/2	t52err	tcool3/2	t32err
ABELL_2029	4.9329e-01	5.0015e-01	7.3435e-04	6.7136e-05	1.0636e+03	1.0636e+03	1.0625e+02	1.0300e-11	1.0300e-11	1.2454e-12	3.0388e+15	1.7638e+14	8.7117e+00	6.8017e-01	2.6444e-23	1.3096e+02	1.5745e+01	7.8579e+01	9.4470e+00
ABELL_2029	4.8644e-01	4.9329e-01	9.5395e-04	7.7050e-05	8.9033e+02	8.9033e+02	8.5686e+01	1.3333e-11	1.3333e-11	1.5136e-12	-3.1835e+15	-1.8622e+14	8.6744e+00	6.8208e-01	2.6402e-23	1.0055e+02	1.1334e+01	6.0328e+01	6.8004e+00
ABELL_2029	4.7959e-01	4.8644e-01	7.1900e-04	6.0427e-05	1.0713e+03	1.0713e+03	1.0498e+02	1.0015e-11	1.0015e-11	1.1647e-12	3.1916e+15	1.8815e+14	8.6372e+00	6.8399e-01	2.6359e-23	1.3305e+02	1.5363e+01	7.9827e+01	9.2180e+00
ABELL_2029	4.7274e-01	4.7959e-01	9.6334e-04	7.9865e-05	8.7842e+02	8.7842e+02	8.6151e+01	1.3372e-11	1.3372e-11	1.5500e-12	6.3487e+14	3.7720e+13	8.6000e+00	6.8590e-01	2.6317e-23	9.9031e+01	1.1393e+01	5.9419e+01	6.8355e+00
ABELL_2029	4.6589e-01	4.7274e-01	9.6387e-04	7.3040e-05	8.7504e+02	8.7504e+02	8.4018e+01	1.3332e-11	1.3332e-11	1.4852e-12	1.7484e+14	1.0469e+13	8.5627e+00	6.8781e-01	2.6274e-23	9.8709e+01	1.0900e+01	5.9225e+01	6.5401e+00
ABELL_2029	4.5904e-01	4.6589e-01	1.0865e-03	8.6418e-05	8.0506e+02	8.0506e+02	7.8797e+01	1.4976e-11	1.4976e-11	1.7138e-12	6.7372e+14	4.0646e+13	8.5255e+00	6.8972e-01	2.6231e-23	8.7327e+01	9.9072e+00	5.2396e+01	5.9443e+00
ABELL_2029	4.5219e-01	4.5904e-01	1.0981e-03	8.3592e-05	7.9658e+02	7.9658e+02	7.7196e+01	1.5083e-11	1.5083e-11	1.6938e-12	2.0816e+14	1.2603e+13	8.4907e+00	6.9140e-01	2.5984e-23	8.6869e+01	9.6832e+00	5.2121e+01	5.8099e+00
ABELL_2029	4.4534e-01	4.5219e-01	1.1130e-03	8.0878e-05	7.8670e+02	7.8670e+02	7.5503e+01	1.5234e-11	1.5234e-11	1.6788e-12	3.8186e+14	2.3200e+13	8.4562e+00	6.9304e-01	2.5701e-23	8.6301e+01	9.4528e+00	5.1781e+01	5.6717e+00
ABELL_2029	4.3848e-01	4.4534e-01	1.0784e-03	1.0022e-04	8.0059e+02	8.0059e+02	8.3012e+01	1.4708e-11	1.4708e-11	1.8341e-12	1.3120e+14	7.9999e+12	8.4217e+00	6.9468e-01	2.5418e-23	8.9694e+01	1.1145e+01	5.3816e+01	6.6872e+00
ABELL_2029	4.3163e-01	4.3848e-01	1.1428e-03	9.4869e-05	7.6748e+02	7.6748e+02	7.6843e+01	1.5532e-11	1.5532e-11	1.8281e-12	1.1436e+14	6.9976e+12	8.3872e+00	6.9632e-01	2.5135e-23	8.5240e+01	1.0007e+01	5.1144e+01	6.0044e+00
