kind,branch,coarse_nr,fine_nr,aperture,profile_L1,centroid_km_s,passed
rotation,boxcar_independent,128,256,0,6.534916415186512e-05,9.222154643673264e-05,True
rotation,boxcar_independent,128,256,1,4.7999007580511935e-05,7.709437275238429e-05,True
rotation,boxcar_independent,128,256,2,1.6921691644336604e-05,2.787441388818479e-09,True
rotation,boxcar_independent,128,256,3,1.6917769255670486e-05,4.270007281093058e-08,True
rotation,boxcar_independent,128,256,4,1.6931983016261366e-05,8.969204978725998e-08,True
rotation,boxcar_independent,128,256,5,1.6921931050193752e-05,6.625917592373298e-10,True
rotation,boxcar_independent,128,256,6,1.692201093353501e-05,1.518429826319334e-10,True
rotation,boxcar_independent,128,256,7,1.6922134679208166e-05,8.558487252230407e-11,True
rotation,boxcar_independent,128,256,8,1.692206907800851e-05,5.866240826435387e-10,True
rotation,boxcar_independent,128,256,9,1.6922006406717376e-05,4.154543375989306e-11,True
rotation,boxcar_independent,128,256,10,1.692198033562438e-05,1.1620571171988558e-10,True
rotation,boxcar_independent,128,256,11,1.6921924000634235e-05,6.727418622176629e-11,True
rotation,boxcar_independent,128,256,12,1.642682506531229e-05,1.928473244650064e-06,True
rotation,boxcar_independent,128,256,13,1.6947496358812154e-05,4.055332283314783e-07,True
rotation,boxcar_independent,128,256,14,1.694703142722088e-05,9.825662061757612e-09,True
rotation,boxcar_hanning_full,128,256,0,6.534916415182974e-05,9.222154643317992e-05,True
rotation,boxcar_hanning_full,128,256,1,4.799893630400564e-05,7.709437275238429e-05,True
rotation,boxcar_hanning_full,128,256,2,1.6921691644090805e-05,2.787444941532158e-09,True
rotation,boxcar_hanning_full,128,256,3,1.6917769256381394e-05,4.270007458728742e-08,True
rotation,boxcar_hanning_full,128,256,4,1.6931983015930843e-05,8.969204712272472e-08,True
rotation,boxcar_hanning_full,128,256,5,1.6921931050454103e-05,6.625846538099722e-10,True
rotation,boxcar_hanning_full,128,256,6,1.692201093370039e-05,1.518429826319334e-10,True
rotation,boxcar_hanning_full,128,256,7,1.6922134679253767e-05,8.559197794966167e-11,True
rotation,boxcar_hanning_full,128,256,8,1.6922069078244225e-05,5.866311880708963e-10,True
rotation,boxcar_hanning_full,128,256,9,1.692200640647267e-05,4.154721011673246e-11,True
rotation,boxcar_hanning_full,128,256,10,1.6921980335833395e-05,1.1620926443356439e-10,True
rotation,boxcar_hanning_full,128,256,11,1.692192400083129e-05,6.727773893544509e-11,True
rotation,boxcar_hanning_full,128,256,12,1.6426825064950874e-05,1.928473242429618e-06,True
rotation,boxcar_hanning_full,128,256,13,1.6947496359022205e-05,4.0553323010783515e-07,True
rotation,boxcar_hanning_full,128,256,14,1.6947031427248135e-05,9.825662061757612e-09,True
rotation,boxcar_hanning_decimated,128,256,0,6.534916415186357e-05,9.222154643495628e-05,True
rotation,boxcar_hanning_decimated,128,256,1,4.7998951427328554e-05,7.709437274971975e-05,True
rotation,boxcar_hanning_decimated,128,256,2,1.6921691643825992e-05,2.7874520469595154e-09,True
rotation,boxcar_hanning_decimated,128,256,3,1.691776925602323e-05,4.270007281093058e-08,True
rotation,boxcar_hanning_decimated,128,256,4,1.6931983016271327e-05,8.969204756681393e-08,True
rotation,boxcar_hanning_decimated,128,256,5,1.6921931050342186e-05,6.625846538099722e-10,True
rotation,boxcar_hanning_decimated,128,256,6,1.6922010933841274e-05,1.518429826319334e-10,True
rotation,boxcar_hanning_decimated,128,256,7,1.6922134679239005e-05,8.558842523598287e-11,True
rotation,boxcar_hanning_decimated,128,256,8,1.692206907806743e-05,5.866311880708963e-10,True
rotation,boxcar_hanning_decimated,128,256,9,1.6922006406617023e-05,4.154898647357186e-11,True
rotation,boxcar_hanning_decimated,128,256,10,1.692198033601663e-05,1.1620571171988558e-10,True
rotation,boxcar_hanning_decimated,128,256,11,1.692192400063454e-05,6.727063350808749e-11,True
rotation,boxcar_hanning_decimated,128,256,12,1.6426825065192228e-05,1.9284732433177965e-06,True
rotation,boxcar_hanning_decimated,128,256,13,1.694749635948949e-05,4.0553323366054883e-07,True
rotation,boxcar_hanning_decimated,128,256,14,1.694703142686294e-05,9.82566561447129e-09,True
rotation,boxcar_independent,256,512,0,1.6193580311694347e-05,1.668847144742358e-05,True
rotation,boxcar_independent,256,512,1,3.032117724691266e-06,6.081693371129404e-07,True
rotation,boxcar_independent,256,512,2,4.230642347956132e-06,7.865352813496429e-11,True
rotation,boxcar_independent,256,512,3,4.230637807693417e-06,7.58557661129089e-10,True
rotation,boxcar_independent,256,512,4,4.230675032036678e-06,3.447464536066036e-11,True
rotation,boxcar_independent,256,512,5,4.230721955489971e-06,2.1512391867872793e-10,True
rotation,boxcar_independent,256,512,6,4.230659372198715e-06,1.4360779232447385e-10,True
rotation,boxcar_independent,256,512,7,4.23066346387488e-06,2.4499513529008254e-11,True
rotation,boxcar_independent,256,512,8,4.230689203998674e-06,6.036771083017811e-11,True
rotation,boxcar_independent,256,512,9,4.230680014110336e-06,1.7617018954751984e-10,True
rotation,boxcar_independent,256,512,10,4.2306666927253896e-06,1.2231993196110125e-11,True
rotation,boxcar_independent,256,512,11,4.230665636025243e-06,4.0323300254385686e-12,True
rotation,boxcar_independent,256,512,12,4.230638488468949e-06,1.3861356507050004e-11,True
rotation,boxcar_independent,256,512,13,4.230689069101766e-06,2.0445511950129003e-10,True
rotation,boxcar_independent,256,512,14,4.230702146213275e-06,1.1113954201391607e-10,True
rotation,boxcar_hanning_full,256,512,0,1.6193580311542427e-05,1.668847144742358e-05,True
rotation,boxcar_hanning_full,256,512,1,3.0321177244227635e-06,6.081693380011188e-07,True
rotation,boxcar_hanning_full,256,512,2,4.230642347878939e-06,7.864286999392789e-11,True
rotation,boxcar_hanning_full,256,512,3,4.230637806927171e-06,7.585558847722496e-10,True
rotation,boxcar_hanning_full,256,512,4,4.230675031977988e-06,3.447198082540126e-11,True
rotation,boxcar_hanning_full,256,512,5,4.230721955083281e-06,2.1512036596504913e-10,True
rotation,boxcar_hanning_full,256,512,6,4.230659372185487e-06,1.4361134503815265e-10,True
rotation,boxcar_hanning_full,256,512,7,4.230663463298671e-06,2.4488855387971853e-11,True
rotation,boxcar_hanning_full,256,512,8,4.230689203981547e-06,6.036771083017811e-11,True
rotation,boxcar_hanning_full,256,512,9,4.230680014510235e-06,1.7616841319068044e-10,True
rotation,boxcar_hanning_full,256,512,10,4.230666693190322e-06,1.2231993196110125e-11,True
