case,level,component,model,r,theta,z,phi,gx,gy,gz
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,0.0,0.0,-3080.504037225095,-524.7553929620384,-66.82582092990148,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,0.5235987755982988,0.0,-3038.2934698409495,-454.64734664189103,-356.4843200184329,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,1.0471975511965976,0.0,-3005.8945194932353,-287.28823847937707,-549.7939981815533,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,1.5707963267948966,0.0,-3023.676957676848,-71.96713932183276,-601.8509369508279,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,2.0943951023931953,0.0,-3066.6055912267757,212.01691433810208,-574.1414471324044,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,2.6179938779914944,0.0,-3114.186835149071,432.2341814451297,-322.0983441705814,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,3.141592653589793,0.0,-3103.835611560905,543.0466038848057,48.622427003451705,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,3.665191429188092,0.0,-3048.887943357761,432.9496810165899,424.8942339541434,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,4.1887902047863905,0.0,-2974.837594009774,225.69032357177088,593.2104140744904,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,4.71238898038469,0.0,-2949.573971030294,-7.69264146017128,648.5808904386741,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,5.235987755982989,0.0,-2977.711277561819,-214.69864543485284,602.8615990126224,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,5.759586531581287,0.0,-3054.730143842008,-399.8051894248992,400.6554083718809,0.0
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,0.0,0.4,-2935.876065315593,-456.20358963360593,-19.733853996618492,-561.0411295709137
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,0.5235987755982988,0.4,-2912.1916511773775,-396.3723044337541,-292.32789508945694,-504.92451767247167
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,1.0471975511965976,0.4,-2893.127922169907,-252.09432859651156,-449.2036523420708,-463.2562977530214
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,1.5707963267948966,0.4,-2907.3830353469966,-48.38032917676845,-493.54919512038106,-475.46225531967036
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,2.0943951023931953,0.4,-2937.097335253562,188.13906114691036,-459.3637411499536,-515.2679745341862
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,2.6179938779914944,0.4,-2967.7081311702473,374.7954364154966,-256.06733083384796,-565.4382510559617
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,3.141592653589793,0.4,-2960.8621468167903,451.18778639011174,53.39442916936135,-557.1795950032836
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,3.665191429188092,0.4,-2916.5682193317275,372.06454865387565,341.28810691546636,-516.9717000727657
f1-stars-h0p1,0,stellar_luminosity,log_extra,1.0,4.1887902047863905,0.4,-2863.314285845947,201.46389802418813,503.57387220363495,-455.94032191768883
