replicate,mse_gain_percent
0,-3.1745727480947754
1,-1.931000023468308
2,-3.4861596895416116
3,-2.4413165858448966
4,-2.0889235790929024
5,-2.054772381625879
6,0.0
7,-3.0124141718099824
