case,cache,aperture,positive_centroid_km_s,signed_centroid_km_s,stored_window_capture,parent_window_capture
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,0,-53.07769607718957,-53.07769607718957,1.0000000000000016,1.0000000000000016
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,1,-48.107439265109086,-48.107439265109086,0.9999999999999979,0.9999999999999981
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,2,-54.98933273049383,-54.98933273049383,1.0000000000000029,1.0000000000000029
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,3,-48.470908457123976,-48.47090845712398,1.0000000000000007,1.0000000000000004
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,4,-32.055753867981196,-32.055753867981196,1.000000000000002,1.000000000000002
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,5,-41.96571958289561,-41.96571958289561,1.0000000000000002,1.0000000000000002
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,6,0.5634981346549852,0.5634981346549849,1.000000000000001,1.000000000000001
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,7,-21.00579684419759,-21.005796844197594,0.9999999999999997,0.9999999999999997
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,8,26.461676080932484,26.461676080932488,1.0000000000000009,1.0000000000000009
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,9,11.428729140270821,11.42872914027082,1.0000000000000022,1.000000000000002
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,10,43.236651592910725,43.23665159291073,1.0000000000000004,1.0000000000000004
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,11,46.9514764230192,46.95147642301922,1.000000000000002,1.0000000000000016
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,12,41.43762851779693,41.437628517796924,0.9999999999999998,1.0
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,13,53.380748089330694,53.380748089330694,1.0000000000000027,1.0000000000000024
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig3,p0p0625_z24,14,53.6976549006379,53.6976549006379,0.9999999999999999,1.0000000000000002
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig10,p0p0625_z24,0,-53.077775007444075,-53.077828451353895,0.9999999639491436,0.9999999999999998
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig10,p0p0625_z24,1,-48.107342764141315,-48.107366471862655,0.9999999783548432,0.9999999999999981
h0p1_newton_p5_boxcar_independent_s-1_sys0_sig10,p0p0625_z24,2,-54.98913106328408,-54.989286898630986,0.999999892365581,1.0000000000000016
