AGC	logW	e_logW
20098	2.808	0.007
20425	2.415	0.006
20649	2.656	0.006
21020	2.519	0.003
21112	2.369	0.016
21237	2.544	0.008
21494	2.589	0.005
21561	2.589	0.012
21656	2.660	0.007
21671	2.384	0.005
21739	2.520	0.007
21761	2.312	0.025
21790	2.407	0.005
21882	2.576	0.014
21917	2.428	0.006
21986	2.651	0.004
22135	2.635	0.006
22185	2.663	0.004
22240	2.725	0.016
22485	2.560	0.003
22946	2.550	0.023
23111	2.572	0.005
23777	2.438	0.006
24033	2.549	0.074
24101	2.336	0.008
24169	2.435	0.004
24452	2.449	0.012
24486	2.387	0.007
24532	2.530	0.007
24602	2.496	0.005
24702	2.626	0.004
24966	2.751	0.006
25098	2.476	0.008
25099	2.555	0.003
25162	2.258	0.033
26085	2.262	0.009
26138	2.468	0.005
26163	2.818	0.005
26262	2.356	0.091
26360	2.507	0.016
26581	2.449	0.032
26610	2.575	0.024
26634	2.567	0.003
26650	2.450	0.006
26694	2.491	0.015
26697	2.588	0.029
26794	2.350	0.009
26841	2.497	0.031
27566	2.396	0.005
28144	2.462	0.004
28226	2.505	0.024
28289	2.004	0.038
28356	2.201	0.008
28383	2.441	0.004
28425	2.765	0.007
28697	2.444	0.025
28722	2.450	0.013
28778	2.744	0.003
29366	2.430	0.006
29599	2.479	0.005
29603	2.540	0.018
30464	2.674	0.004
30573	2.427	0.008
30592	2.473	0.005
30772	2.464	0.008
30800	2.212	0.013
30872	2.550	0.015
30890	2.346	0.029
30920	2.508	0.033
30944	2.494	0.030
31140	2.318	0.010
31147	2.496	0.011
31153	2.597	0.053
31164	2.288	0.011
31206	2.737	0.022
31241	2.688	0.010
31271	2.513	0.009
31539	2.413	0.043
32476	2.438	0.009
32665	2.511	0.010
33116	2.607	0.028
33247	2.595	0.016
33278	2.501	0.006
33397	2.179	0.031
33424	2.427	0.008
33525	2.418	0.018
33571	2.459	0.009
33592	2.713	0.003
33716	2.382	0.027
33738	2.398	0.005
33741	2.462	0.022
34912	2.515	0.007
34950	2.533	0.007
34981	2.509	0.040
35221	2.658	0.017
35274	2.348	0.011
35491	2.572	0.009
35668	2.389	0.007
35704	2.318	0.008
35733	2.679	0.007
35892	2.248	0.031
100040	2.405	0.013
100044	2.274	0.020
100146	2.515	0.037
100269	2.233	0.043
100293	2.522	0.011
100295	2.378	0.021
100364	2.422	0.013
100381	2.265	0.011
100734	2.283	0.009
100921	2.497	0.033
101063	2.225	0.010
101075	2.538	0.005
101097	2.223	0.005
101105	2.481	0.008
101112	2.265	0.007
101122	2.228	0.010
110090	2.401	0.010
110163	2.360	0.017
110218	2.272	0.084
110255	2.258	0.014
110313	2.561	0.045
110363	2.508	0.027
110684	2.283	0.022
110770	2.279	0.043
110856	2.292	0.026
111414	2.407	0.006
111629	2.276	0.006
111640	2.393	0.007
111642	2.161	0.008
120020	2.481	0.015
120052	2.458	0.009
120082	2.230	0.030
120106	2.583	0.035
120156	2.248	0.029
120235	2.456	0.019
120454	2.588	0.014
121188	2.262	0.007
121406	2.444	0.004
121408	2.512	0.016
121409	2.560	0.009
121412	2.548	0.004
121426	2.417	0.008
121449	2.435	0.015
121507	2.260	0.009
130308	2.574	0.024
130373	2.453	0.036
130374	2.597	0.041
150063	2.542	0.004
170378	2.571	0.004
180589	2.533	0.008
200348	2.438	0.007
200376	2.615	0.017
200445	2.640	0.018
200452	2.584	0.010
210080	2.765	0.007
210529	2.590	0.021
210738	2.387	0.026
220756	2.425	0.045
221374	2.500	0.013
230082	2.204	0.016
251371	2.524	0.011
251473	2.640	0.044
260091	2.496	0.034
260112	2.516	0.030
260284	2.647	0.012
260302	2.591	0.013
300085	2.412	0.006
300091	2.534	0.030
310007	2.500	0.005
310136	2.428	0.012
310160	2.543	0.007
310171	2.449	0.013
310174	2.602	0.024
310194	2.425	0.022
310196	2.524	0.015
310223	2.511	0.025
310298	2.167	0.056
320082	2.473	0.016
320193	2.442	0.051
320213	2.493	0.034
320453	2.517	0.029
320522	2.435	0.007
320543	2.465	0.008
320755	2.438	0.034
320786	2.508	0.006
330039	2.597	0.009
330060	2.456	0.007
330137	2.571	0.011
330165	2.567	0.008
330174	2.575	0.004
330207	2.616	0.006
330212	2.587	0.014
330249	2.438	0.022
330449	2.332	0.020
330453	2.405	0.008
330469	2.588	0.007
330765	2.758	0.014
331060	2.182	0.011
331095	2.367	0.009
331157	2.336	0.006
331185	2.322	0.012
331194	2.301	0.037
331683	2.220	0.020
331811	2.270	0.004
331946	2.515	0.003
331948	2.500	0.008
332083	2.468	0.004
332110	2.377	0.005
332117	2.225	0.007
332118	2.258	0.012
400001	2.598	0.034
400180	2.660	0.049
400228	2.600	0.005
400257	2.620	0.011
400274	2.498	0.019
400393	2.625	0.007
400521	2.620	0.010
410384	2.706	0.005
420042	2.389	0.008
420064	2.673	0.009
420095	2.498	0.011
420138	2.288	0.015
420143	2.582	0.013
420150	2.528	0.012
430088	2.771	0.005
430240	2.789	0.007
430424	2.676	0.016
430475	2.360	0.015
430536	2.625	0.003
430544	2.571	0.009
440177	2.446	0.026
440300	2.757	0.006
440307	2.628	0.004
440309	2.649	0.015
440326	2.700	0.024
440348	2.610	0.017
440373	2.369	0.020
440399	2.680	0.007
440406	2.477	0.007
440418	2.436	0.015
440444	2.505	0.005
440466	2.652	0.008
450026	2.436	0.006
450056	2.425	0.029
450071	2.473	0.005
450098	2.592	0.020
480016	2.595	0.008
480063	2.433	0.011
480064	2.444	0.020
480066	1.845	0.037
480085	2.470	0.011
480086	2.631	0.023
480088	2.479	0.026
490002	2.627	0.012
490060	2.548	0.004
490097	2.496	0.004
490113	2.635	0.006
490128	2.554	0.014
490130	2.294	0.008
490136	2.722	0.010
500163	2.473	0.011
500190	2.407	0.010
500203	2.553	0.008
510016	2.412	0.010
510059	2.600	0.003
510090	2.425	0.004
510106	2.521	0.006
510136	2.520	0.017
510177	2.702	0.006
520045	2.591	0.007
520076	2.493	0.012
520163	2.620	0.005
520402	2.603	0.006
520412	2.657	0.009
530005	2.563	0.005
530033	2.519	0.028
530066	2.458	0.007
530226	2.534	0.010
530342	2.553	0.007
530350	2.674	0.030
540063	2.590	0.026
540084	2.569	0.012
540134	2.489	0.009
540152	2.481	0.015
540178	2.262	0.016
550017	2.574	0.032
550029	2.659	0.002
600042	2.517	0.006
600049	2.493	0.022
600138	2.674	0.004
610024	2.486	0.019
610113	2.487	0.012
610126	2.501	0.005
620041	2.630	0.016
620162	2.394	0.022
620189	2.515	0.017
630179	2.642	0.016
630269	2.513	0.014
630329	2.378	0.021
