galaxy,selected,exclusion,published_radii,valid_radii,newton_rms_fractional_error,mond_rms_fractional_error,median_log10_vobs_over_mond,median_log10_gbar,spread_log10_gbar,sensitivity_fraction_bracketing_observed,gas_mass_fraction_proxy,effective_stellar_surface_brightness,disk_scale_length,hubble_type,quality,inclination_deg,exposure
CamB,True,,9,9,0.3881399729358646,2.050126946177255,-0.42527370630897987,-11.299695389498883,0.4659658645782194,0.0,0.2985409652076319,7.89,0.47,10,2,65.0,legacy_and_current_development_reanalysis
D512-2,False,insufficient_valid_radii,4,4,0.5326904146608552,0.197403137970533,-0.06913584658554886,-11.445297333287135,0.29434314331968103,1.0,0.39866040039965955,9.22,1.24,10,2,56.0,legacy_and_current_development_reanalysis
D564-8,True,,6,6,0.5410940621035969,0.4941974580484398,-0.1279394394580945,-11.815328348124869,0.40081563682430854,0.0,0.7003813328491012,10.11,0.61,10,2,63.0,legacy_and_current_development_reanalysis
D631-7,True,,16,16,0.49715742600514434,0.5533582285376097,-0.06917572910790867,-11.33324132826397,0.898475135998849,0.375,0.7973950795947901,20.93,0.7,10,1,59.0,legacy_and_current_development_reanalysis
DDO064,True,,14,14,0.5601199091519856,0.16112535776674838,-0.029313497167734914,-11.191753160532905,1.6336041303539037,0.9285714285714286,0.7814162002617436,17.41,0.69,10,1,60.0,legacy_and_current_development_reanalysis
DDO154,True,,12,12,0.5621510659179724,0.20438631742916838,-0.032224990563183,-11.484040907836526,0.6132490208761201,0.25,0.9324410452517526,19.99,0.37,10,2,64.0,legacy_and_current_development_reanalysis
DDO161,True,,31,31,0.3917374764869017,0.4370445121439443,-0.1304300296817893,-11.26306669357461,0.7040475751248252,0.25806451612903225,0.8699412362227896,20.74,1.22,10,1,70.0,legacy_and_current_development_reanalysis
DDO168,True,,10,10,0.42018842052729694,0.3077149721941875,-0.056535249255586686,-11.035300172482103,0.49705853439860626,0.4,0.8518897625583522,18.23,1.02,10,2,63.0,legacy_and_current_development_reanalysis
DDO170,True,,8,8,0.5049312469600309,0.2720806268635493,-0.10337591017096841,-11.41221148409689,0.3358401805763016,0.625,0.7826348024498619,9.39,1.95,10,2,66.0,legacy_and_current_development_reanalysis
ESO079-G014,True,,15,15,0.3953211852576226,0.12009056361590587,0.018237541816029046,-10.56247501875989,0.3211960877975173,0.9333333333333333,0.1390088107926385,157.34,5.08,4,1,79.0,legacy_and_current_development_reanalysis
ESO116-G012,True,,15,15,0.47920636428820346,0.09090636606813965,0.03635331050376092,-10.710863425583005,0.6675498298951403,1.0,0.40162670540571443,90.54,1.51,7,1,74.0,legacy_and_current_development_reanalysis
ESO444-G084,True,,7,7,0.634199218102856,0.18653508457325746,0.08425863170215209,-11.159279175201684,0.7566051366435449,0.7142857142857143,0.8349221111369449,19.81,0.46,10,2,32.0,legacy_and_current_development_reanalysis
ESO563-G021,False,inclination,30,30,0.48007115431359193,0.4338246900202086,0.06428985304980461,-10.13956601172341,1.029852899829212,0.23333333333333334,0.17198247793936544,429.37,5.45,4,1,83.0,legacy_and_current_development_reanalysis
F561-1,False,quality;inclination,6,6,0.21467817516224094,0.729687943334137,-0.23802804645047698,-11.139396566383533,0.11307335921278039,0.8333333333333334,0.5141523824050948,22.12,2.79,9,3,24.0,legacy_and_current_development_reanalysis
F563-1,False,inclination,17,17,0.6634311968461997,0.22763663029333905,0.06705781236303873,-11.436270137887611,0.3793998531596223,0.8235294117647058,0.8172827652424388,14.22,3.52,9,1,25.0,legacy_and_current_development_reanalysis
