# Extracted without numerical transformation from Table 3 of Donahue et al. (2016), ApJ 819, 36.
# Source: https://export.arxiv.org/e-print/1601.04947
# Source e-print archive SHA256: 6dfa69c0b22cf58b3b9d7a29151b0c7e103b56fb3540073c4bad8aa7c60865ee
# Table: X-ray Morphological Properties for the CLASH Sample 500 kpc
# Values are medians from 100 Monte Carlo runs; uncertainties span the reported central 68 percent.
source_name	concentration	concentration_unc	centroid_shift	centroid_shift_unc	p30	p30_unc	p40	p40_unc	axis_ratio	axis_ratio_unc	position_angle_deg	position_angle_unc_deg
A209	0.167	0.005	5.2e-03	1.0e-03	4.8e-08	5.6e-08	3.78e-08	3.3e-08	0.91	0.01	-49	3
A383	0.525	0.004	1.8e-03	4.7e-04	5.8e-08	2.7e-08	6.03e-09	6.1e-09	0.97	0.01	22	11
0329-02	0.488	0.006	1.1e-02	1.1e-03	1.6e-07	8.5e-08	6.76e-08	3.8e-08	0.95	0.02	-31	6
0416-24	0.091	0.004	1.5e-02	4.0e-03	1.5e-06	7.4e-07	8.54e-07	3.5e-07	0.75	0.02	37	2
0429-02	0.531	0.006	4.8e-03	1.4e-03	2.0e-07	1.0e-07	2.67e-08	2.0e-08	0.89	0.02	-14	4
0647+70	0.242	0.008	1.0e-02	2.3e-03	6.4e-07	3.1e-07	5.68e-07	2.8e-07	0.76	0.02	-80	2
0717+37	0.055	0.004	4.5e-02	3.4e-03	2.5e-06	9.7e-07	9.75e-07	4.1e-07	0.84	0.02	-29	2
0744+39	0.365	0.006	2.4e-02	1.6e-03	1.4e-07	1.2e-07	2.81e-07	1.0e-07	0.98	0.01	-22	37
A611	0.335	0.004	2.0e-03	4.6e-04	8.0e-08	4.0e-08	2.33e-08	1.6e-08	0.95	0.01	33	4
1115+01	0.430	0.008	5.6e-03	1.7e-03	1.9e-07	1.2e-07	1.68e-08	2.5e-08	0.85	0.03	-29	3
1149+22	0.111	0.007	1.9e-02	3.2e-03	5.5e-06	1.6e-06	5.27e-07	3.3e-07	0.81	0.02	-36	2
A1423	0.287	0.004	4.6e-03	7.0e-04	6.8e-08	5.4e-08	4.13e-08	3.0e-08	0.91	0.02	55	3
1206-08	0.223	0.007	3.6e-02	2.0e-03	2.3e-06	4.4e-07	5.29e-07	1.4e-07	0.85	0.01	10	2
1226+33	0.245	0.010	5.5e-03	2.1e-03	1.9e-07	2.5e-07	6.05e-08	7.4e-08	0.95	0.03	-69	13
1311-03	0.488	0.013	3.2e-03	1.2e-03	1.0e-07	1.1e-07	1.10e-07	7.4e-08	0.89	0.04	-16	6
1347-1145	0.506	0.003	1.4e-02	3.6e-04	1.3e-07	2.5e-08	1.48e-08	7.2e-09	0.84	0.01	-1	1
1423+24	0.555	0.009	3.5e-03	1.4e-03	1.6e-07	1.2e-07	6.20e-08	4.9e-08	0.88	0.02	17	7
1532+30	0.571	0.007	1.9e-03	8.3e-04	1.2e-08	1.3e-08	2.64e-08	1.8e-08	0.92	0.02	55	6
1720+35	0.417	0.008	6.1e-03	1.3e-03	2.8e-08	3.7e-08	2.52e-08	2.3e-08	0.93	0.02	11	6
A2261	0.331	0.004	4.7e-03	5.7e-04	1.2e-07	4.2e-08	1.25e-08	9.4e-09	0.93	0.01	63	3
1931-26	0.545	0.006	1.7e-03	6.2e-04	3.5e-08	2.8e-08	6.56e-08	2.3e-08	0.80	0.01	-4	2
2129-07	0.211	0.010	2.7e-02	2.8e-03	7.0e-07	4.0e-07	4.85e-08	5.6e-08	0.90	0.02	84	6
2129+0005	0.426	0.004	3.8e-03	5.7e-04	6.1e-08	2.8e-08	2.45e-08	1.2e-08	0.87	0.01	70	2
MS2137	0.589	0.007	2.5e-03	7.9e-04	5.1e-08	5.7e-08	5.60e-08	3.7e-08	0.92	0.03	66	8
2248-44	0.194	0.003	1.5e-02	9.7e-04	2.0e-07	7.1e-08	2.74e-08	1.6e-08	0.91	0.01	62	2
