radius_kpc,newton_inward_mean,mond_inward_mean,newton_force_speed_kms,mond_force_speed_kms,newton_radial_azimuth_cv,mond_radial_azimuth_cv,newton_tangential_fraction,mond_tangential_fraction,full_minus_algebraic_fraction
2.0,8408.999727638655,10228.013908444349,129.68422978634413,143.0245706754217,0.20753572580635757,0.1973274215737455,0.3659781268120084,0.3583593137102151,-0.07995370932513794
2.5,8226.99597543772,10231.964584013534,143.41370206013895,159.9372109924199,0.215716471130505,0.20218113621027906,0.3710568084775129,0.3563754159881476,-0.06268368909638718
3.0,7784.9023682403185,9868.131127050654,152.82246924036056,172.05927287174023,0.30913554115329706,0.28531529410112144,0.35107157877112083,0.3290682757094908,-0.05525046103356681
3.5,7629.390128213974,9854.151928731144,163.4101142792236,185.7135744919014,0.26172207421821064,0.2401199506714127,0.20780043570953788,0.1971128213335125,-0.045429387450545373
4.0,6828.001073307667,9075.09644753221,165.26343906996087,190.52660126640805,0.20882526816144578,0.19089111884100882,0.13681792948760996,0.13254191989123276,-0.04234347785552182
4.5,6249.9998389695775,8518.46438269496,167.70509615203437,195.7883799466335,0.12280459638506845,0.11203451903802596,0.115695891862461,0.1132468482959546,-0.038113808766189805
5.0,5531.6875121804005,7778.176124446472,166.30826065142406,197.20770933772434,0.10402469733725982,0.09524342498877303,0.11053156248987608,0.1071510690072262,-0.03555534608410158
5.5,5054.334953320467,7301.247264525473,166.72984808744525,200.39176618536527,0.10157996303658508,0.09317925399461703,0.10218789447782096,0.09939118018897222,-0.030500109771901346
6.0,4529.778758948047,6745.969232407956,164.8595540261112,201.1860218664501,0.11905922999815399,0.10483646013627652,0.10034438435360113,0.09595100342654299,-0.027349640326440938
6.5,4272.281015611156,6507.017283440651,166.642811430534,205.6589709746799,0.07382726921470496,0.06338711019294954,0.08758087281268657,0.0832868750018524,-0.02073324254386927
7.0,3827.111423134988,6012.703775936262,163.67583805175678,205.1558588769861,0.08899504381557435,0.07478130313514485,0.08007555942529829,0.07549918842975996,-0.019250483806138113
7.5,3467.310781532433,5612.502024844057,161.26013413579082,205.1676514130101,0.07296524000554012,0.060832328180264184,0.08224552890522313,0.0772223991577163,-0.016818339698367716
8.0,3085.6973056525844,5163.794220687636,157.1164486781084,203.2494865073491,0.08672873886983885,0.07181865096179153,0.07741094479924611,0.07202429193275116,-0.016970725131619627
8.5,2797.976754718102,4829.233894705968,154.21673844010536,202.60426477495662,0.08249268336702406,0.06761374549221494,0.06641912342808995,0.061090289598420645,-0.015309800749071296
9.0,2525.580381238966,4502.697898290249,150.76545834888935,201.30643577544222,0.09070521343200334,0.07440097270532317,0.06972447889060114,0.06382707432206239,-0.013888734469552577
9.5,2351.2725616435137,4300.037710796642,149.45597791862787,202.11471557649656,0.1046183811304796,0.08413424399749168,0.06652667888507409,0.060347803511630396,-0.010595119706247772
10.0,2183.87259556076,4102.484476134436,147.77931504648274,202.54590778720848,0.10253057476490736,0.08237012540057395,0.055609420158326706,0.05055976102405661,-0.007403060250362355
10.5,2003.443615535431,3874.422231661314,145.03847063149152,201.69638923997573,0.11646116851002934,0.09291945709382574,0.05135844362653579,0.046408582014800144,-0.006119709914418462
11.0,1863.6367365888395,3704.2739984878626,143.17822495923477,201.85889622051957,0.10761933456497812,0.08584717751057899,0.05299345044699318,0.04799340302206363,-0.002624166742913958
11.5,1720.146915961518,3517.8298912146856,140.64739433618192,201.13439225793505,0.09857994824072237,0.078443632328739,0.04668272477822086,0.04255062728345725,-0.0012777612351339682
12.0,1595.5001402631253,3353.525413372893,138.3690777708571,200.6048477990368,0.10432701972319712,0.08229932107094176,0.04521110336521726,0.04096507060552826,0.0005064822084776547
12.5,1490.8149352122555,3217.401377961838,136.51075668295593,200.54305578733704,0.09096428883845815,0.0717091314967002,0.03691683278261465,0.033675539085102235,0.003105758334873387
13.0,1374.6591365956504,3054.2693296767925,133.68084670491675,199.26239305448055,0.08215764726971041,0.0661801575412074,0.034413916384207266,0.030959134818191954,0.003544553852687213
13.5,1300.897036526997,2960.35152305295,132.52211133661604,199.9118444745454,0.08838168200182125,0.06921206023079157,0.03599144886696132,0.03227278195862813,0.0078681462780759
14.0,1224.8210656984666,2857.396789531311,130.94844374706608,200.00888743612958,0.0715475941944554,0.056616852418992863,0.03158107568067286,0.028627937544064522,0.010787755012629009
14.5,1175.674648742006,2799.4719646881067,130.56524195496704,201.47541658469785,0.0717788311182295,0.05523270117597828,0.03306351738514609,0.0311619531771357,0.01633018893591092
15.0,1118.6496858261655,2723.392326684372,129.53665615335484,202.1160184158237,0.05809918948209868,0.045218862026759184,0.03465806708706621,0.032287910087701016,0.020097785153720554
