galaxy,split,original_split_sha256,excluded_split_sha256,duplicate_of,calibration_pixels,validation_pixels,removed_calibration_pixels,removed_validation_pixels,validation_quadrant_counts,support_gates,sufficient_support,diagnostic_pass,status,mean_square,channel_lag1,quadrant_min,quadrant_max,failed_gates
DDO154,9062028-forward,8cbbd76edb73555582d3e3db9017c43f2f4c26df3af77a3744e6acd66c165b6f,cb6a48b421f2d16fdb40e07f34e3bf14550d318fe274f90bb54cb67e3332486e,,239,26,110,10,"[0, 10, 8, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062028-reverse,5d98f0c8b939eb33997fd8d37090f2bced766408fb5bb1953aada449feafb8b0,798d6169b6b24a6e9b44c999f7f8275135c9aa25e77a799dedd21cee799a7164,,288,20,89,12,"[3, 8, 8, 1]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062029-forward,9fbdefdeda17b12ab153c63724facd18a44307196ce2dd2b2cd02c0d73fd7d40,f7c0c71851438788e1892dfa967a55e6f6dd0c48fb25f77dd93526595f02eec3,,217,27,145,5,"[3, 8, 8, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062029-reverse,b66e96b311842c7909c1c49e0353baa6170f341693b1d5747002dbb52fad1571,4e099ac7a149b44e15f191f326d8012a795c9663551ffa7adba55d672ea32d28,,310,19,54,17,"[0, 10, 8, 1]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062030-forward,82db53a4b571b13ca1b4ca7927300be35c0c915a839c1783bea9d1bad124f0e6,b2c3223ddf64fa906c54fb5c76b460a04be765ebe77f06463c1aa9593431fd03,,286,20,71,14,"[3, 8, 8, 1]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062030-reverse,3a1c217bf5208906022041003a12c3c2c1e34cfbbe6d5806e909d568cc5dd5ab,a262c3344c6fab7530dcedbf88562c9f52a1560ed54e9a7469ba4335c252c70b,,241,26,128,8,"[0, 10, 8, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062031-forward,dd3c534e2e3219007e105bdbe8d146a30d72bcf308af9d60093887e726dfd4f4,887d0db80f945f907f2a755b79a17a26b5b9d4bb0c5c33b1117ab480a100e9d2,,167,29,129,7,"[3, 10, 8, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062031-reverse,0526d0d464e6e1031955d0ae13d70de005dab1d467a1e30f615c3923f0a28f07,a5aef075c494f449592cc9e8606634cc246c25fa11fc1c6320a2c9d4eac591cc,,360,17,70,15,"[0, 8, 8, 1]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062032-forward,af6b602ed77fd85225b1b0ff03f5169657c8ace695f4114b1cffc1005f7289a9,021bc008e69855db8865f01283569f6620bf4f16ffe6c938812211037cc672ef,,282,21,98,12,"[0, 10, 8, 3]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062032-reverse,527f1d8e6a95dc8cd6ad7fa0bdc88baf8ad66e77327177b37fb4b778ba570cf5,22df1106e49003c5cca6f54f6adc46d25e1e76e1ba94f93a55982615e17b1feb,,245,25,101,10,"[3, 8, 8, 6]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062033-forward,aa0f70d41d0475473af15bc3ed87b5e41e0d3a78c312b33de738a2e42634856e,3ab0c7d44ce6d62c6c179bbca5a0544a16273a17192ce7bf3348e36f16bf2552,,218,27,145,5,"[3, 8, 8, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062033-reverse,1c2719e090c641e655d337e266bcdcae04efe82c13c0e4d79c20cfabf4ce6308,eee5c667810e26ea88c1131619a04f3293cd49ebd32d8b86c34cc02dfc238be8,,309,19,54,17,"[0, 10, 8, 1]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062034-forward,1061f82ee9ef2bca2c7bf66349e3260c4fc61e00bc4ca82f2380745989c2e8b8,7fa99b9441655fbd4a8d3ca94e13aefba44daf3cba10259eafc54f2966f40dde,,302,17,72,15,"[0, 8, 8, 1]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062034-reverse,171862646eba506a9470c89d9eb3745a489075c243592786189a2320a9288a0d,995e6bbb16010b55726b3509a7b6808809f8fede1fd20aeed7af7ef8c814bd62,,225,29,127,7,"[3, 10, 8, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062035-forward,94b61b1db3b985ea4e5b856e6cfeabf9d78b122b59bc6a90752b2887796d4c82,a3fbc6954124d6bb0a13aaad2c7d5e8eae0f9fd9518166cd1d3ac2aeae4d28bf,,208,27,129,7,"[1, 10, 8, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
DDO154,9062035-reverse,f60ee8168ebf594c9bd6af28519a39d7ccaf25c94f6c15b9f60297af2c2db503,759615ca61407fdde3d956dc287e4dd652ce8b08234975e36621a062447ba44a,,319,19,70,15,"[2, 8, 8, 1]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062028-forward,be804242c5743382de64a16c4ac1c2cd77375d47c27839f269c361a00d3eb35a,278d99cc0499700d9ac9b4a95b41f6c4b22b67b0832955bdc82ab0d433c9c0b2,,131,18,247,21,"[1, 7, 10, 0]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062028-reverse,cad86c7b95643fba3950be09634f4326e9a3c2e6391e9795eb83ba1110a8f19b,f45710a2e637b3051d3089d539512fe5eb1f1a0ece0aada2f6ac7a1306330350,,154,13,204,25,"[0, 10, 1, 2]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062029-forward,5c552f0791bf859a2386e2efd2daadd4448c716efbba7e5fa9683b135036a76b,971ef663c1ea9a85cfc356b77b2de443b1006f304055dd2c86971c194d5b9c22,,127,19,246,20,"[0, 7, 10, 2]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062029-reverse,b9c8092b5e705dc6229e825c65d9ff90d7b595735d11d8d03394c24d56af3c4c,cf7ef6d098c4bd0eb13ac91fa364acaa45a899a572dc3aa7caf409c955bb9449,,158,12,205,26,"[1, 10, 1, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062030-forward,593728aa0ad35de884a4e8c16e8eb2e4fb7c7592d8a163d2e67cde2986a0f79c,56ab6bcbf460710c7a5c98f71e21daf857c59af0e6a05562ae94914bef361fc5,,140,14,239,23,"[0, 9, 3, 2]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062030-reverse,43f4ac852f6be79c49a9cafff6739733d33a70d0b48d23c414af54315ddbfc78,072c38d99b5d9c6c33de50dcfd240519ca7dd6d7aa445b78493dc2dedc44f219,,145,17,212,23,"[1, 8, 8, 0]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062031-forward,1a0655b6d5000db1044f00fb062fc33bd7d1ad8f1993db0aa9c10a96116e2538,653f6453a07be404d5e06f73e63f1c38a90e01027f75c3531c9adc20f03b3b6c,,56,23,291,16,"[1, 10, 10, 2]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062031-reverse,4e5c4fe435c8828499aac8de9ea1373a72fc47cea7217b6950a37dc49cec1dbf,8f20ae5885e73bdc3054b68234d7b9cfe72d113f09004b81e2cddfd95445308a,,229,8,160,30,"[0, 7, 1, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062032-forward,c6b5abf896887062ba7fc6f149157f31978ba0ad5e71161040fde3855ac51131,5d19e1cf054bfcaad0ee8488d16b1efe27ef4096200a329e11840af919c1603f,,194,14,215,24,"[0, 7, 7, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062032-reverse,9e4168e1abcb58c0a7894c98e469a9e207a9885a1b7c4290ffe768bef4b5ce24,efe5b36162727ffc9dbcf9b6a005f544082411d6e1137ada3f3f98bed0771b20,,91,17,236,22,"[1, 10, 4, 2]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062033-forward,27e6460190f6eee9a666b915a50e00359d4eec844e97bbc0dbda6a929efa3367,416a331977b18042e1da356073be8dadc7d059ef5a7b123c1b2603dffbe73f86,,214,10,177,28,"[0, 7, 1, 2]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062033-reverse,0a219265d1934a6ceb8b0d556765f7a398e1c76ef297f492e7f79b31449ab0f8,fc8cba36abce88e623a20c3e37d8cdc293c70ca0f12738e2fbfc66d4b91df66d,,71,21,274,18,"[1, 10, 10, 0]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
