galaxy,declared_partitions,unique_excluded_partitions,sufficient_support_partitions,evaluated_partitions,passing_partitions,all_declared_splits_sufficient_support,all_declared_splits_pass,calibration_pixels_min,validation_pixels_min,mean_square_min,mean_square_max,channel_lag1_min,channel_lag1_max,background_selection_independence_established,galaxy_motion_likelihood_admitted
DDO154,16,16,0,0,0,False,False,167,17,,,,,False,False
IC2574,16,16,0,0,0,False,False,56,8,,,,,False,False
NGC2841,16,16,0,0,0,False,False,141,14,,,,,False,False
NGC2903,16,16,0,0,0,False,False,163,19,,,,,False,False
NGC2976,16,16,16,16,16,True,True,324,33,0.9136805987620578,1.071154368414948,-0.01739112397332074,0.06169450501895492,False,False
NGC3198,16,16,4,4,4,False,False,177,20,0.9987673930940579,1.0770277194489528,-0.03326901990745534,0.042743921758715685,False,False
NGC3521,16,16,11,11,11,False,False,192,20,0.8987496712442198,1.039106496018558,-0.024166608845257065,0.052807123461511445,False,False
NGC4214,16,16,2,2,2,False,False,128,13,0.9917400664715605,1.0109527429022076,0.053215440198467426,0.09653670953851536,False,False
NGC5055,16,1,0,0,0,False,False,0,0,,,,,False,False
NGC6946,16,1,0,0,0,False,False,0,0,,,,,False,False
NGC7331,16,16,16,16,16,True,True,255,29,0.8244036876519276,0.9659559279150299,-0.09127904264161339,0.06878870695461663,False,False
UGC04305,16,16,0,0,0,False,False,232,30,,,,,False,False
