dropped,n,rho_kT_gobs,rho_kT_gbar,rho_kT_excess,slope,slope_se,sigma_from_algebraic,sigma_from_pressure,within_rho_median,n_rho_positive,ratio_median,ratio_std,null_median,null_lo,null_hi,null_frac_ge_obs,c71_true_within,c71_true_median,c71_null_within_median,c71_null_median_median,c71_p_within,c71_p_median
(none: full sample),12,0.769231,0.811189,0.615385,0.516532,0.205051,2.357793,0.608000,0.642557,12,1.032064,0.164918,0.624779,0.524890,0.738475,0.356500,0.168939,0.068251,0.166956,0.084649,0.708333,0.064333
A1644,11,0.700000,0.754545,0.545455,0.418412,0.284309,2.045619,0.093389,0.691651,11,1.036096,0.166217,0.654355,0.600534,0.763183,0.290000,0.168160,0.068785,0.161832,0.080117,0.891000,0.151000
RXC1825,11,0.736364,0.754545,0.609091,0.567572,0.222574,1.942854,0.789448,0.593463,11,1.028032,0.171989,0.615865,0.486531,0.717669,0.768000,0.168160,0.071064,0.164263,0.088072,0.734667,0.076333
A3158,11,0.736364,0.781818,0.609091,0.522222,0.223458,2.138116,0.583379,0.593463,11,1.036096,0.171892,0.621327,0.489474,0.743265,0.827500,0.168160,0.071221,0.167628,0.086196,0.510667,0.094667
A1795,11,0.809091,0.854545,0.700000,0.539683,0.208906,2.203462,0.707600,0.593463,11,1.028032,0.165627,0.618339,0.489474,0.752775,0.795500,0.169717,0.068356,0.171015,0.088127,0.342000,0.041000
A2255,11,0.827273,0.845455,0.690909,0.498525,0.161206,3.110778,0.661667,0.691651,11,1.036096,0.144399,0.623558,0.529673,0.743673,0.127500,0.169717,0.055467,0.167076,0.078662,0.607333,0.020667
A85,11,0.809091,0.854545,0.627273,0.521298,0.213832,2.238682,0.605318,0.691651,11,1.028032,0.171529,0.622942,0.486531,0.754897,0.195500,0.169717,0.070818,0.169506,0.088350,0.507333,0.073000
A644,11,0.754545,0.781818,0.563636,0.423035,0.179242,3.218917,0.173923,0.593463,11,1.028032,0.116818,0.615494,0.513470,0.759235,0.719500,0.168160,0.053975,0.166365,0.073349,0.782000,0.033667
ZW1215,11,0.772727,0.827273,0.581818,0.512549,0.215368,2.263337,0.560380,0.593463,11,1.028032,0.171688,0.618339,0.513980,0.752468,0.798500,0.169717,0.070900,0.169506,0.087569,0.555000,0.081333
A2319,11,0.754545,0.809091,0.545455,0.579222,0.238951,1.760936,0.784095,0.593463,11,1.036096,0.172237,0.615865,0.489474,0.743447,0.759500,0.168160,0.071282,0.166365,0.085474,0.783333,0.089000
A2029,11,0.745455,0.790909,0.563636,0.515584,0.226025,2.143196,0.547383,0.691651,11,1.028032,0.172251,0.629592,0.533148,0.759275,0.199000,0.169717,0.071263,0.170055,0.085723,0.449667,0.108000
A2142,11,0.745455,0.790909,0.609091,0.534626,0.226280,2.056628,0.630923,0.691651,11,1.036096,0.171875,0.633877,0.535801,0.760816,0.194000,0.169717,0.071216,0.167076,0.087132,0.735667,0.079333
A3266,11,0.772727,0.827273,0.681818,0.538533,0.205576,2.244747,0.713469,0.691651,11,1.036096,0.164980,0.626431,0.533148,0.754897,0.145000,0.168160,0.068172,0.165663,0.086625,0.815667,0.056000
