seed,family,mse,rmse_dex
9062301,mond_fixed,0.011378159382310906,0.10666845542291735
9062301,mond_adjusted,0.010403408666943328,0.10199710126735625
9062301,finite_mix,0.010126668651204707,0.10063135024039331
9062301,truncated_point_kernel,0.010979027526895706,0.10478085477269074
9062301,finite_flat_bridge,0.00984338644724027,0.09921384201430902
9062302,mond_fixed,0.011378159382310906,0.10666845542291735
9062302,mond_adjusted,0.010593378398541273,0.10292413904687896
9062302,finite_mix,0.010580652655548604,0.1028622994860051
9062302,truncated_point_kernel,0.01124986642992326,0.10606538752073298
9062302,finite_flat_bridge,0.010063290457819344,0.10031595315710928
9062303,mond_fixed,0.011378159382310906,0.10666845542291735
9062303,mond_adjusted,0.01061663480621095,0.10303705550048949
9062303,finite_mix,0.010748738323350975,0.10367612224302651
9062303,truncated_point_kernel,0.011262200899621195,0.10612351718455809
9062303,finite_flat_bridge,0.010280939105641521,0.10139496587918713
