seed,family,fold,parameter,value,lower_bound,upper_bound
9062302,finite_flat_bridge,1,mf,1.2124758793789878,False,False
9062302,finite_flat_bridge,1,eta,1.3635371812994874,False,False
9062302,finite_flat_bridge,1,delta,1.6109496747075833,False,False
9062302,finite_flat_bridge,1,C,99.99999999999999,False,True
9062302,finite_flat_bridge,2,mf,1.1160613137597828,False,False
9062302,finite_flat_bridge,2,eta,1.2811744045204068,False,False
9062302,finite_flat_bridge,2,delta,1.508718658856049,False,False
9062302,finite_flat_bridge,2,C,99.99999999999999,False,True
9062302,finite_flat_bridge,3,mf,1.1665876328480391,False,False
9062302,finite_flat_bridge,3,eta,1.2808644278874401,False,False
9062302,finite_flat_bridge,3,delta,1.6497454540712473,False,False
9062302,finite_flat_bridge,3,C,99.99999999999993,False,True
9062302,finite_flat_bridge,4,mf,1.2393857034159712,False,False
9062302,finite_flat_bridge,4,eta,1.274067753400564,False,False
9062302,finite_flat_bridge,4,delta,1.8189127875856816,False,False
9062302,finite_flat_bridge,4,C,99.99999999999997,False,True
9062303,mond_adjusted,0,mf,1.135688346245026,False,False
9062303,mond_adjusted,0,a0_factor,0.6149334690178733,False,False
9062303,mond_adjusted,1,mf,1.1126125463082943,False,False
9062303,mond_adjusted,1,a0_factor,0.586705850099119,False,False
9062303,mond_adjusted,2,mf,1.153484518870505,False,False
9062303,mond_adjusted,2,a0_factor,0.5487242038675617,False,False
9062303,mond_adjusted,3,mf,1.1049982880284666,False,False
9062303,mond_adjusted,3,a0_factor,0.6849222057163414,False,False
9062303,mond_adjusted,4,mf,1.1346094302848635,False,False
9062303,mond_adjusted,4,a0_factor,0.5238645520836598,False,False
9062303,finite_mix,0,mf,1.3867581123965058,False,False
9062303,finite_mix,0,A,22.46850095792251,False,False
9062303,finite_mix,0,length_factor,4.440759103745768,False,False
9062303,finite_mix,0,t,0.7143934070261622,False,False
9062303,finite_mix,0,q,0.9898526135874529,False,False
9062303,finite_mix,1,mf,1.4055228384778742,False,False
9062303,finite_mix,1,A,30.40310509557369,False,False
9062303,finite_mix,1,length_factor,5.372227007418301,False,False
9062303,finite_mix,1,t,0.6762951443427675,False,False
9062303,finite_mix,1,q,0.9993245504951502,False,False
9062303,finite_mix,2,mf,1.4161000228860952,False,False
9062303,finite_mix,2,A,26.91472929426369,False,False
9062303,finite_mix,2,length_factor,5.187333172341934,False,False
9062303,finite_mix,2,t,0.6713425183920784,False,False
9062303,finite_mix,2,q,0.9750143892169207,False,False
9062303,finite_mix,3,mf,1.2769142288419721,False,False
9062303,finite_mix,3,A,23.118781189687912,False,False
9062303,finite_mix,3,length_factor,4.442655539341353,False,False
9062303,finite_mix,3,t,0.6483386743755901,False,False
9062303,finite_mix,3,q,0.9485853970628105,False,False
9062303,finite_mix,4,mf,1.3388414057046232,False,False
9062303,finite_mix,4,A,23.189885370049875,False,False
9062303,finite_mix,4,length_factor,4.756229115374667,False,False
9062303,finite_mix,4,t,0.6714292204335703,False,False
9062303,finite_mix,4,q,0.986780044818338,False,False
9062303,truncated_point_kernel,0,mf,1.3172620811111668,False,False
9062303,truncated_point_kernel,0,A,99.99999972835236,False,True
9062303,truncated_point_kernel,0,length_factor,16.55544510039277,False,False
9062303,truncated_point_kernel,0,t,0.6839731197105885,False,False
9062303,truncated_point_kernel,0,C,85.45,False,False
9062303,truncated_point_kernel,1,mf,1.311417836271498,False,False
9062303,truncated_point_kernel,1,A,99.99999999933054,False,True
9062303,truncated_point_kernel,1,length_factor,17.179926729190154,False,False
9062303,truncated_point_kernel,1,t,0.6257525002507265,False,False
9062303,truncated_point_kernel,1,C,17.549999999999997,False,False
9062303,truncated_point_kernel,2,mf,1.3443807258138423,False,False
9062303,truncated_point_kernel,2,A,99.99999997439294,False,True
9062303,truncated_point_kernel,2,length_factor,17.343978903485496,False,False
9062303,truncated_point_kernel,2,t,0.6417723981776744,False,False
9062303,truncated_point_kernel,2,C,85.45,False,False
9062303,truncated_point_kernel,3,mf,1.295059212311368,False,False
9062303,truncated_point_kernel,3,A,99.99999999997387,False,True
9062303,truncated_point_kernel,3,length_factor,15.897671047399534,False,False
9062303,truncated_point_kernel,3,t,0.6702279931703814,False,False
9062303,truncated_point_kernel,3,C,17.549999999999997,False,False
9062303,truncated_point_kernel,4,mf,1.3026132662151513,False,False
9062303,truncated_point_kernel,4,A,99.99999991697362,False,True
9062303,truncated_point_kernel,4,length_factor,17.673736390786086,False,False
9062303,truncated_point_kernel,4,t,0.6497226995550255,False,False
9062303,truncated_point_kernel,4,C,17.549999999999997,False,False
9062303,finite_flat_bridge,0,mf,1.20316319559338,False,False
9062303,finite_flat_bridge,0,eta,1.2741604643987356,False,False
9062303,finite_flat_bridge,0,delta,1.585924203025885,False,False
9062303,finite_flat_bridge,0,C,99.99999999999984,False,True
9062303,finite_flat_bridge,1,mf,1.207223892964445,False,False
9062303,finite_flat_bridge,1,eta,1.43565175280707,False,False
9062303,finite_flat_bridge,1,delta,1.9446359070629062,False,False
9062303,finite_flat_bridge,1,C,99.99999999999999,False,True
9062303,finite_flat_bridge,2,mf,1.1994060443528791,False,False
9062303,finite_flat_bridge,2,eta,1.2753648242940516,False,False
9062303,finite_flat_bridge,2,delta,1.655902200253935,False,False
9062303,finite_flat_bridge,2,C,99.99999999999999,False,True
9062303,finite_flat_bridge,3,mf,1.1505060929782067,False,False
9062303,finite_flat_bridge,3,eta,1.2904823544839572,False,False
9062303,finite_flat_bridge,3,delta,1.388374790851208,False,False
9062303,finite_flat_bridge,3,C,99.99999999999999,False,True
9062303,finite_flat_bridge,4,mf,1.1681889162073897,False,False
9062303,finite_flat_bridge,4,eta,1.2236461344032308,False,False
9062303,finite_flat_bridge,4,delta,1.6250755237232546,False,False
9062303,finite_flat_bridge,4,C,99.99999999999999,False,True
