direction,family,training_galaxies,held_galaxies,mse,rmse_dex
gas_rich_to_stellar_rich,mond_fixed,44,58,0.009029459045267097,0.09502346576118499
gas_rich_to_stellar_rich,mond_adjusted,44,58,0.008758673375752857,0.09358778432975565
gas_rich_to_stellar_rich,finite_mix,44,58,0.010618443059057988,0.10304582989649794
gas_rich_to_stellar_rich,truncated_point_kernel,44,58,0.009882000583929284,0.0994082520917116
gas_rich_to_stellar_rich,finite_flat_bridge,44,58,0.008724985614030211,0.09340763145498451
stellar_rich_to_gas_rich,mond_fixed,58,44,0.014474173462959566,0.12030865913540707
stellar_rich_to_gas_rich,mond_adjusted,58,44,0.012513812900095872,0.11186515498624168
stellar_rich_to_gas_rich,finite_mix,58,44,0.012554806984928096,0.1120482350817187
stellar_rich_to_gas_rich,truncated_point_kernel,58,44,0.01299890206710348,0.11401272765399256
stellar_rich_to_gas_rich,finite_flat_bridge,58,44,0.0117758596571849,0.10851663308997796
