galaxy,reason,total_radii,eligible_radii
ESO563-G021,inclination,30,30
F561-1,quality;inclination,6,6
F563-1,inclination,17,17
F563-V1,quality,6,6
F567-2,quality;inclination,5,5
F568-1,inclination,12,12
F571-8,inclination,13,13
F574-2,quality,5,5
F579-V1,inclination,14,14
NGC0100,inclination,21,21
NGC0891,inclination,18,18
NGC1705,quality,14,14
NGC4010,inclination,12,12
NGC4085,inclination,7,7
NGC4157,inclination,17,17
NGC4183,inclination,23,23
NGC5907,inclination,19,19
NGC6789,insufficient_eligible_radii,4,4
NGC7814,inclination,18,18
PGC51017,quality,6,6
UGC01230,inclination,11,11
UGC04278,inclination,25,25
UGC04305,quality,22,22
UGC05986,inclination,15,15
UGC05999,inclination,5,5
UGC06628,inclination,7,7
UGC06667,inclination,9,9
UGC06973,quality,9,9
UGC07125,inclination,13,13
UGC07151,inclination,11,11
UGC07232,insufficient_eligible_radii,4,4
UGC07608,inclination,8,8
UGC08286,inclination,17,17
UGC08550,inclination,11,11
UGC11455,inclination,36,36
UGC12506,inclination,31,31
UGCA281,quality,7,7
