group	richness_bin	members	metadata_redshift	lr195	d10	log10_member_luminosity	log10_rms_radius_kpc	log10_richness	projected_axis_ratio	projected_ellipticity	quadrupole	m3	m4	inner_outer_axis_ratio_difference	inner_outer_quadrupole_difference	centroid_shift_profile	axis_twist_inner_outer_sin2	outer_multipole_energy	mst_length_per_rms_radius	mst_diameter_efficiency	projected_linearity	angular_gap_entropy	luminosity_half_radius_kpc	rms_radius_kpc	sigma_gap_km_s	sigma_mad_km_s	unique_member_redshifts	log10_eta_lum	log10_sigma_gap	log10_eta_half_radius	log10_eta_mad
149	2	25	4.773143800000e-02	3.908670300000e+01	3.312233880000e+00	1.616302181626e+00	2.468198649792e+00	1.397940008672e+00	7.524922790857e-01	2.475077209143e-01	2.769397331586e-01	3.470976602934e-01	4.200989047190e-01	-2.071051121162e-01	2.649112373532e-01	7.157156606032e-01	6.333581198307e-01	8.202213675248e-01	2.044864240397e+00	4.149824403308e-01	2.475077209143e-01	8.967583113979e-01	2.271258209810e+02	2.938993663915e+02	3.109873829495e+02	3.068798864865e+02	25	5.837382007463e+00	2.492742769649e+00	5.725449867814e+00	5.825833317859e+00
151	1	20	4.888375100000e-02	3.468513400000e+01	4.468439910000e+00	1.555717739912e+00	2.757677975525e+00	1.301029995664e+00	5.904182837333e-01	4.095817162667e-01	4.830263008012e-01	3.667390533427e-01	2.624690673319e-01	-2.065819497481e-01	2.307079898571e-01	1.057076025961e+00	4.377556841169e-01	6.614167860911e-01	1.787547791079e+00	4.657891730453e-01	4.095817162667e-01	8.919169317609e-01	5.677355877137e+02	5.723714665933e+02	4.245915943990e+02	5.438113192487e+02	20	6.457903020066e+00	2.627971392227e+00	6.454371162765e+00	6.672856721689e+00
421	2	173	3.099947100000e-02	1.554009870000e+02	1.803416672000e+01	2.238490362420e+00	2.921949583547e+00	2.238046103129e+00	8.155612192378e-01	1.844387807622e-01	2.011001339814e-01	3.034137467328e-01	1.720962241086e-01	7.549832076618e-02	-9.282911238590e-02	4.487092593753e-01	6.388286819041e-01	2.108192979180e-01	1.845214470267e+00	4.125294273305e-01	1.844387807622e-01	9.214016733375e-01	6.914038686749e+02	8.355060202338e+02	7.075578232201e+02	7.048256496480e+02	173	6.382983095468e+00	2.849761937171e+00	6.300765317182e+00	6.379622621747e+00
422	2	83	2.884824700000e-02	6.567886400000e+01	1.046891313000e+01	1.884195090661e+00	2.749901748260e+00	1.919078092376e+00	7.479783349113e-01	2.520216650887e-01	2.824856916089e-01	4.670006832959e-02	9.538566156547e-02	-9.942103996577e-02	1.223594303264e-01	4.788101026146e-01	3.282286541924e-01	1.172666851018e-01	1.910332286704e+00	6.220514489971e-01	2.520216650887e-01	8.984441453900e-01	4.774536170936e+02	5.622141194194e+02	5.218607944367e+02	3.813858326762e+02	83	6.300815999732e+00	2.717554671066e+00	6.229845439290e+00	6.028435770180e+00
485	2	33	5.085675400000e-02	6.355932200000e+01	6.708692420000e+00	1.825877510416e+00	2.663880181854e+00	1.518513939878e+00	9.157879200576e-01	8.421207994240e-02	8.774424098007e-02	3.460849318161e-01	3.378368902947e-01	-4.753711272174e-01	5.834825429920e-01	2.898305688455e-01	8.617930250726e-01	4.830022707851e-01	2.294288504111e+00	6.467377524962e-01	8.421207994240e-02	8.632468795991e-01	3.331968121264e+02	4.611903185288e+02	5.019883375256e+02	3.960648435264e+02	33	6.239389926417e+00	2.700693627489e+00	6.098210582188e+00	6.033535259857e+00
631	2	30	4.835956500000e-02	4.537891400000e+01	2.225964900000e+00	1.694601250784e+00	2.505002701565e+00	1.477121254720e+00	7.510826236096e-01	2.489173763904e-01	2.786700951382e-01	2.993135186339e-01	6.349361120865e-01	-2.738581146809e-01	3.500424625792e-01	3.126996785503e-01	8.023568109906e-01	7.082916188094e-01	2.671343771104e+00	7.931744879252e-01	2.489173763904e-01	8.717711178899e-01	1.822848072541e+02	3.198915008746e+02	4.753870358458e+02	5.445580735194e+02	30	6.164496118828e+00	2.677047334024e+00	5.920243890632e+00	6.282489853176e+00
755	2	38	2.533260500000e-02	4.307516500000e+01	5.802786140000e+00	1.673483474776e+00	2.629713870762e+00	1.579783596617e+00	4.251562969143e-01	5.748437030857e-01	6.938273623126e-01	3.010525355233e-01	8.908834338144e-01	-7.814677206490e-02	9.017302686874e-02	2.615192777814e-01	1.725038892052e-01	9.024550904913e-01	2.093358335926e+00	5.937694782033e-01	5.748437030857e-01	8.789155849445e-01	5.553114945539e+01	4.262985650273e+02	4.519750179837e+02	5.022398933149e+02	38	6.266459257416e+00	2.655114430715e+00	5.381282049807e+00	6.358052808194e+00
886	2	35	4.836325300000e-02	4.375600500000e+01	5.303898660000e+00	1.671066895275e+00	2.930641500609e+00	1.544068044350e+00	6.064231542214e-01	3.935768457786e-01	4.622565533739e-01	1.514786238115e-01	2.875589640497e-01	9.166554540877e-02	-1.188183344724e-01	3.525976299234e-01	8.051488176955e-01	5.192848090507e-01	1.676612875455e+00	6.362378029550e-01	3.935768457786e-01	8.861817862135e-01	7.198582132074e+02	8.523961914742e+02	7.046003927531e+02	7.658813584286e+02	35	6.955460367186e+00	2.847942880926e+00	6.882065830668e+00	7.027897603161e+00
1014	2	46	4.456946000000e-02	5.261371200000e+01	7.579266420000e+00	1.760441483391e+00	2.423693747088e+00	1.662757831682e+00	6.182147063375e-01	3.817852936625e-01	4.469796733562e-01	3.035122238363e-01	4.474707433313e-01	5.124486075609e-02	-6.601336606373e-02	1.527358772971e-01	3.271687585029e-01	5.167788684061e-01	1.876879947683e+00	7.150458177123e-01	3.817852936625e-01	8.579815355913e-01	2.088779045272e+02	2.652734264643e+02	5.812709314726e+02	6.512092502772e+02	46	6.192009473804e+00	2.764378605054e+00	6.088208228691e+00	6.290693385652e+00
1053	2	29	5.045068300000e-02	6.554579800000e+01	6.802882270000e+00	1.824036556715e+00	2.635830532079e+00	1.462397997899e+00	6.329696058656e-01	3.670303941344e-01	4.279079389597e-01	2.952068742986e-01	5.987233534280e-01	8.033113652431e-03	-1.031035350888e-02	6.129948183056e-01	9.592289960530e-01	6.700059611674e-01	1.789989258670e+00	6.391909968200e-01	3.670303941344e-01	8.432463765392e-01	2.615369851708e+02	4.323450908741e+02	5.137560545729e+02	5.345185813735e+02	29	6.233307881443e+00	2.710756953039e+00	6.015010462528e+00	6.267719589581e+00
