NSA	W20i	e_W20i
5720	24	1
6186	47	2
6368	39	1
6949	60	5
7167	77	1
8266	139	3
8269	119	27
8333	71	18
8348	182	24
8349	153	21
8361	118	11
8432	88	9
8470	311	101
8559	250	59
8666	292	21
8705	125	3
8766	114	8
8773	64	10
9090	113	27
11919	47	4
16944	107	5
16999	227	5
17049	141	15
17137	55	5
17215	103	13
17262	87	19
17276	92	3
17326	238	2
17345	123	24
17393	183	38
17411	223	4
17444	79	13
17478	217	4
17492	119	3
17509	151	2
17524	59	6
17637	225	6
17652	159	24
17750	52	35
17791	143	44
18376	180	30
18827	153	28
22608	73	1
24700	70	2
25013	134	2
25030	179	42
25062	68	21
25092	55	8
25149	70	3
25202	144	11
25372	107	12
25594	160	9
25728	185	2
25756	406	6
25758	94	6
25806	92	12
25807	209	13
25832	110	3
25833	76	3
25871	141	34
25875	108	11
25941	134	9
26028	130	3
26029	38	4
26036	97	32
29304	77	1
30346	174	34
30382	242	24
30500	85	13
30524	228	53
30542	115	2
30560	177	2
30601	146	18
30624	153	41
30738	71	5
30744	292	9
30817	172	4
30904	166	5
30926	189	2
30985	212	13
31008	177	16
31086	257	24
31092	71	13
31154	164	39
31314	176	9
31515	75	4
31600	123	53
31602	125	9
36072	39	4
36102	106	1
39214	104	2
39973	328	89
39986	161	4
40023	114	14
40085	113	9
40166	95	2
40185	117	10
40234	151	14
40470	60	4
40483	166	14
40547	85	18
40598	356	5
40635	212	4
46780	83	32
46791	61	2
46839	133	13
46908	133	17
46935	121	5
46955	85	12
46967	164	3
46986	135	24
47432	149	24
47444	148	31
47492	69	19
48400	99	6
48407	119	21
48467	140	19
48470	105	17
48488	97	13
48510	135	16
48534	37	3
48693	82	18
48735	76	2
48958	109	24
49051	162	31
49249	83	16
49264	135	7
49268	87	8
49385	108	11
49414	130	41
49500	42	13
49555	105	1
50062	168	46
50148	119	1
50165	161	10
50367	79	1
51686	118	47
51704	250	20
51803	169	34
51938	61	2
51953	49	3
51988	69	1
52130	117	1
52137	163	34
54367	37	6
57056	162	9
57091	110	3
57467	33	13
57629	70	1
58149	65	1
63102	99	2
63200	65	2
63307	44	3
63537	33	2
63673	164	33
63751	245	32
64372	163	25
