cluster	point_count	profile_mass_dimension	local_dimension_median	local_dimension_iqr	median_log10_gbar	log10_gbar_span	median_log10_radius_kpc	log10_radius_span	outer_inner_log10_equivalent_baryon_mass_ratio	projected_axis_ratio	projected_concentration_c20	cluster_log_centroid_shift	cluster_log_p30	concentration_x_profile_dimension	ellipticity_x_gbar_span	boundary_mass_x_centroid_shift	concentration_x_local_dimension_iqr
A209	5	1.498501268793e+00	1.640672893020e+00	1.452476688055e-01	-1.074400000000e+01	8.300000000000e-01	2.301029995664e+00	1.622815212919e+00	2.415630425837e+00	9.100000000000e-01	1.670000000000e-01	-2.283996656365e+00	-7.318758762624e+00	2.502497118884e-01	7.470000000000e-02	-5.517291815626e+00	2.425636069052e-02
A2261	5	1.311229666440e+00	1.443470388448e+00	5.015697005847e-02	-1.053800000000e+01	9.920000000000e-01	2.301029995664e+00	1.405239247414e+00	1.818478494827e+00	9.300000000000e-01	3.310000000000e-01	-2.327902142064e+00	-6.920818753952e+00	4.340170195915e-01	6.944000000000e-02	-4.233239983405e+00	1.660195708935e-02
A383	4	1.328452865832e+00	1.330631488880e+00	3.365820651468e-02	-1.058300000000e+01	9.730000000000e-01	2.150514997832e+00	1.446723953863e+00	1.920447907726e+00	9.700000000000e-01	5.250000000000e-01	-2.744727494897e+00	-7.236572006437e+00	6.974377545620e-01	2.919000000000e-02	-5.271106174852e+00	1.767055842021e-02
A611	5	1.494184126207e+00	1.437005010937e+00	1.224075496063e-01	-1.062200000000e+01	7.400000000000e-01	2.301029995664e+00	1.431798275933e+00	2.123596551866e+00	9.500000000000e-01	3.350000000000e-01	-2.698970004336e+00	-7.096910013008e+00	5.005516822794e-01	3.700000000000e-02	-5.731523394798e+00	4.100652911812e-02
MACS0329	3	1.361111345878e+00	1.308588652978e+00	6.249630827890e-02	-1.026700000000e+01	6.160000000000e-01	2.000000000000e+00	9.546770212133e-01	1.293354042427e+00	9.500000000000e-01	4.880000000000e-01	-1.958607314842e+00	-6.795880017344e+00	6.642223367883e-01	3.080000000000e-02	-2.533172688177e+00	3.049819844010e-02
MACS0416	3	1.960234739022e+00	2.002801411458e+00	3.318057330901e-02	-1.072200000000e+01	5.700000000000e-02	2.301029995664e+00	1.446723953863e+00	2.841447907726e+00	7.500000000000e-01	9.100000000000e-02	-1.823908740944e+00	-5.823908740944e+00	1.783813612510e-01	1.425000000000e-02	-5.182541675838e+00	3.019432171120e-03
MACS0429	3	1.268151375058e+00	1.241404714618e+00	2.727900751307e-02	-1.029300000000e+01	7.830000000000e-01	2.000000000000e+00	1.065501548756e+00	1.348003097513e+00	8.900000000000e-01	5.310000000000e-01	-2.318758762624e+00	-6.698970004336e+00	6.733883801558e-01	8.613000000000e-02	-3.125693994402e+00	1.448515298944e-02
MACS0647	3	1.605022395811e+00	1.633699188909e+00	2.697713501802e-02	-1.035000000000e+01	4.490000000000e-01	2.000000000000e+00	1.145693958199e+00	1.842387916398e+00	7.600000000000e-01	2.420000000000e-01	-2.000000000000e+00	-6.193820026016e+00	3.884154197862e-01	1.077600000000e-01	-3.684775832796e+00	6.528466674362e-03
MACS0717	5	1.781664109834e+00	2.130614092507e+00	2.560085465333e-01	-1.056600000000e+01	5.850000000000e-01	2.301029995664e+00	1.622815212919e+00	2.886630425837e+00	8.400000000000e-01	5.500000000000e-02	-1.346787486225e+00	-5.602059991328e+00	9.799152604088e-02	9.360000000000e-02	-3.887677734874e+00	1.408047005933e-02
MACS0744	5	1.387159310436e+00	1.442493525716e+00	5.424132157990e-02	-1.044300000000e+01	9.990000000000e-01	2.301029995664e+00	1.622815212919e+00	2.246630425837e+00	9.800000000000e-01	3.650000000000e-01	-1.619788758288e+00	-6.853871964322e+00	5.063131483090e-01	1.998000000000e-02	-3.639066707799e+00	1.979808237666e-02
MACS1115	3	1.896522113229e+00	1.557520512182e+00	3.360605128689e-01	-1.029100000000e+01	1.890000000000e-01	2.000000000000e+00	1.091514981121e+00	2.029029962243e+00	8.500000000000e-01	4.300000000000e-01	-2.251811972994e+00	-6.721246399047e+00	8.155045086886e-01	2.835000000000e-02	-4.568993962542e+00	1.445060205336e-01
MACS1149	3	1.708820657312e+00	1.918646691509e+00	1.635586648277e-01	-1.061400000000e+01	3.940000000000e-01	2.301029995664e+00	1.446723953863e+00	2.499447907726e+00	8.100000000000e-01	1.110000000000e-01	-1.721246399047e+00	-5.259637310506e+00	1.896790929616e-01	7.486000000000e-02	-4.302165710779e+00	1.815501179588e-02
MACS1206	5	1.968940218508e+00	1.712653219792e+00	2.821862243116e-01	-1.052300000000e+01	2.600000000000e-01	2.301029995664e+00	1.622815212919e+00	3.177630425837e+00	8.500000000000e-01	2.230000000000e-01	-1.443697499233e+00	-5.638272163982e+00	4.390736687272e-01	3.900000000000e-02	-4.587537099268e+00	6.292752802149e-02
MACS1720	4	1.391730731531e+00	1.441972782896e+00	6.474131236145e-02	-1.045100000000e+01	7.450000000000e-01	2.150514997832e+00	1.229147988358e+00	1.713295976716e+00	9.300000000000e-01	4.170000000000e-01	-2.214670164989e+00	-7.552841968658e+00	5.803517150483e-01	5.215000000000e-02	-3.794385483428e+00	2.699712725473e-02
MACS1931	5	1.554607126593e+00	1.305717028169e+00	1.625593798468e-01	-1.038700000000e+01	7.310000000000e-01	2.301029995664e+00	1.622815212919e+00	2.514630425837e+00	8.000000000000e-01	5.450000000000e-01	-2.769551078622e+00	-7.455931955650e+00	8.472608839934e-01	1.462000000000e-01	-6.964397408213e+00	8.859486201649e-02
MS2137	3	1.511219499726e+00	1.266996589419e+00	2.297479499666e-01	-1.025400000000e+01	5.900000000000e-01	2.000000000000e+00	1.145693958199e+00	1.701387916398e+00	9.200000000000e-01	5.890000000000e-01	-2.602059991328e+00	-7.292429823902e+00	8.901082853386e-01	4.720000000000e-02	-4.427113426988e+00	1.353215425303e-01
RXJ1347	5	1.630654352881e+00	1.352224021497e+00	2.474135284762e-01	-1.017200000000e+01	6.110000000000e-01	2.301029995664e+00	1.622815212919e+00	2.634630425837e+00	8.400000000000e-01	5.060000000000e-01	-1.853871964322e+00	-6.886056647693e+00	8.251111025580e-01	9.776000000000e-02	-4.884267482809e+00	1.251912454090e-01
RXJ1532	5	1.619592521778e+00	1.211042077464e+00	2.924100873518e-01	-1.035400000000e+01	6.280000000000e-01	2.301029995664e+00	1.622815212919e+00	2.617630425837e+00	9.200000000000e-01	5.710000000000e-01	-2.721246399047e+00	-7.920818753952e+00	9.247873299354e-01	5.024000000000e-02	-7.123217370345e+00	1.669661598779e-01
RXJ2129	5	1.560282460018e+00	1.421984511490e+00	1.338909477435e-01	-1.056100000000e+01	7.210000000000e-01	2.301029995664e+00	1.622815212919e+00	2.524630425837e+00	8.700000000000e-01	4.260000000000e-01	-2.420216403383e+00	-7.214670164989e+00	6.646803279676e-01	9.373000000000e-02	-6.110151969091e+00	5.703754373871e-02
RXJ2248	5	1.772789007325e+00	1.799443599269e+00	2.352093630076e-01	-1.035400000000e+01	3.160000000000e-01	2.301029995664e+00	1.296708621881e+00	2.277417243763e+00	9.100000000000e-01	1.940000000000e-01	-1.823908740944e+00	-6.698970004336e+00	3.439210674210e-01	2.844000000000e-02	-4.153801217675e+00	4.563061642348e-02
