branch,center,kind,reference_sum,peak_detector_relative_to_rotation,post_continuum_sum_ratio
boxcar_independent,10,rotation,3880.8814732306937,1.0,0.9999999999994152
boxcar_independent,10,warp,3880.8814732306932,0.9771813026001469,0.999999999999415
boxcar_independent,10,streaming,3880.8814732306864,0.8538848351618287,0.9999999999810906
boxcar_independent,20,rotation,3880.881473230694,1.0,1.0
boxcar_independent,20,warp,3880.881473230694,0.977181302600147,1.0
boxcar_independent,20,streaming,3880.8814732306937,0.8538848351618287,1.0
boxcar_independent,30,rotation,3880.8814732306932,1.0,1.0
boxcar_independent,30,warp,3880.8814732306932,0.9771813026001467,1.0
boxcar_independent,30,streaming,3880.881473230694,0.8538848351618284,0.9999999999999922
boxcar_hanning_full,10,rotation,4023.105425755413,1.0,0.9999999997516171
boxcar_hanning_full,10,warp,4023.105425755413,0.9805373970805117,0.9999999997515774
boxcar_hanning_full,10,streaming,4023.105425749319,0.8668248185750788,0.9999999956298455
boxcar_hanning_full,20,rotation,4023.105425755607,1.0,1.0
boxcar_hanning_full,20,warp,4023.1054257556075,0.980537397080512,1.0
boxcar_hanning_full,20,streaming,4023.1054257556084,0.8668248185750785,1.0
boxcar_hanning_full,30,rotation,4023.105425755607,1.0,0.9999999999997956
boxcar_hanning_full,30,warp,4023.1054257556075,0.9805373970805117,0.9999999999997955
boxcar_hanning_full,30,streaming,4023.105425755606,0.8668248185750785,0.9999999999933913
boxcar_hanning_decimated,10,rotation,3898.0684380641883,1.0,0.9999999999978413
boxcar_hanning_decimated,10,warp,3898.0684380641874,0.9776235092769351,0.9999999999978412
boxcar_hanning_decimated,10,streaming,3898.068438064157,0.8555019135114142,0.9999999999397504
boxcar_hanning_decimated,20,rotation,3898.068438064188,1.0,1.0
boxcar_hanning_decimated,20,warp,3898.0684380641883,0.977623509276935,1.0
boxcar_hanning_decimated,20,streaming,3898.0684380641883,0.8555019135114139,1.0
boxcar_hanning_decimated,30,rotation,3898.0684380641883,1.0,0.9999999999999997
boxcar_hanning_decimated,30,warp,3898.0684380641874,0.977623509276935,0.9999999999999994
boxcar_hanning_decimated,30,streaming,3898.0684380641887,0.8555019135114139,0.999999999999966
