plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
10001-12701	56.15236	0.8961208	-111.0065	78.28818
10001-3701	104.7102	0.9938641	-40.54276	69.2954
10215-6101	172.8895	1.125703	-204.5373	266.9717
10216-12704	175.4049	0.9583023	-100.9894	113.0665
10226-12704	86.52151	1.010808	-113.8032	120.2232
10495-3701	227.4202	1.161106	-160.372	122.1339
10499-12704	106.8141	0.9069428	-168.9327	171.2852
10500-9101	225.2597	0.8707988	-35.40129	61.90401
10504-12701	71.21648	1.227806	-80.02257	92.04218
10505-6102	320.3068	1.046067	-107.7269	-34.17194
10507-12704	121.2817	1.005603	-102.8339	301.2494
10518-12701	216.3033	1.021255	-272.2155	173.4473
10839-9101	123.6568	0.9408259	-75.14076	83.75397
11004-12704	81.88134	0.9557655	-45.97316	64.24047
11006-3702	70.59704	0.9262276	-39.87469	38.89367
11007-12702	134.2942	1.385354	-57.15065	75.68913
11009-12705	145.7937	0.9100553	-177.4231	206.4763
11009-3703	45.04706	0.8878992	-41.65321	38.36206
11009-6101	202.1097	1.034373	-56.92699	77.32946
11010-12703	58.343	0.9020401	-91.20598	128.796
11010-6103	42.98215	0.854689	-47.22416	35.85977
11011-9101	136.6683	1.042248	-172.0404	201.0869
11012-12701	130.5505	0.9164597	-150.6751	212.505
11012-3703	169.7642	0.8978407	8.084469	38.17111
11012-6102	72.98829	0.9289261	-138.9392	89.5857
11014-1902	149.2219	1.502794	-52.65873	75.06232
11017-1902	236.5818	1.016188	-35.20121	47.76991
11017-3703	274.1885	0.9668124	-17.54824	35.75117
11744-12705	144.9535	0.9331351	-141.1492	167.6335
11750-6104	137.677	1.068816	-206.0493	221.9078
11761-6101	206.2187	1.012756	-198.909	187.4698
11761-6102	71.50813	0.9271659	-72.08137	94.00819
11823-3701	250.4698	0.957142	-23.43151	37.92256
11834-3702	92.48566	1.071124	-75.01283	90.80701
11868-1901	175.008	1.079047	-92.85225	114.9816
11868-3702	106.7053	1.027235	-96.48302	124.4071
11871-1901	33.733	0.9157725	-50.73027	52.32955
11872-1902	188.2636	1.122372	-11.71026	16.90186
11941-6104	31.0709	0.9055321	-87.32198	74.33435
11943-6101	227.2575	1.556461	-119.8097	163.6449
11943-9101	159.2924	1.244918	-98.9537	148.9684
11963-1901	49.34408	1.066909	-21.78542	2.759777
11975-6101	95.81697	1.074414	-119.4267	126.202
