axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	dimensionless_potential	log_dimensionless_potential	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	gema_zcomp_1mpc_percent	gema_zcomp_5mpc_percent	gema_footprint_1mpc	gema_footprint_5mpc	gema_nneigh	gema_q_nn	gema_dnn_mpc	gema_q_lss	gema_eta_k	gema_dkn_mpc
4.170130000000e-01	1.403898000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.759842681885e+01	1.239013000000e+00	0.000000000000e+00	4.328000000000e-01	2.767964000000e+01	4.394433000000e+00	6.073949000000e+00	4.756413000000e+00	7.131821433398e-01	9.894098126747e-01	-1.045898085372e+01	9.428999281013e+00	-5.811032054398e-01	8.002634994334e+00	1-48157	-3.644726425497e+00	10001-12701	1.333710937500e+02	3.920740000000e-02	7.418450000000e-01	9.332939000000e-02	1.880331000000e-01	9.759101000000e+00	9.860671259322e+02	2.685339999997e+09	5.166330000000e+00	2.487345340755e-08	-7.604263913495e+00	1.402312495195e-11	4.649050264362e+06	6.667364241691e+00	7.272699737549e+01	4.246599960327e+01	1	1	31	-1.970431900000e+00	6.510600000000e-02	-1.930844900000e+00	2.662531000000e-01	8.027361000000e-01
9.079660000000e-01	2.167598000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.714372634888e+01	1.926413000000e+00	0.000000000000e+00	7.468000000000e-01	1.068307000000e-01	2.090538000000e+00	-1.768264000000e+00	-5.036005000000e+00	2.156983551210e-01	1.179018936650e+00	-1.316741120158e+01	9.712998848472e+00	-3.462604761027e-01	9.281602138230e+00	1-48111	-4.532951891554e+00	10001-3701	1.324656524658e+02	3.941910000000e-02	5.956300000000e+00	3.512268000000e-04	3.441333000000e-03	1.510146000000e+01	8.595707835122e+02	5.164150000004e+09	1.643230000000e+00	1.503901672043e-07	-6.822780557817e+00	2.665704147540e-10	2.778530534532e+08	8.443815173807e+00	8.750000000000e+01	4.754100036621e+01	1	1	30	-1.298414300000e+00	5.911890000000e-02	-1.184703200000e+00	1.972902300000e+00	2.166156000000e-01
6.193090000000e-01	2.195680000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.653300476074e+01	2.002786000000e+00	0.000000000000e+00	8.057000000000e-01	5.270642000000e+00	2.399713000000e+00	-1.322717000000e+00	-4.757474000000e+00	5.407260410865e-01	1.090546898513e+00	-1.147401080732e+01	1.076808952288e+01	-3.501341855611e-01	9.686637440706e+00	1-153713	-4.572955699810e+00	10215-6101	1.232534408569e+02	8.452560000000e-02	1.922130000000e+00	1.968243000000e-01	6.523911000000e-01	1.231819000000e+01	1.003180094818e+03	5.862590000009e+10	3.473170000000e+00	8.077601625099e-07	-6.092717569374e+00	6.774032098048e-10	3.340587027751e+08	8.523822790318e+00	1.000000000000e+02	5.428599929810e+01	1	1	19	-4.750628500000e+00	9.597046000000e-01	-4.464644900000e+00	-1.303599100000e+00	2.678285400000e+00
7.278790000000e-01	1.448086000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.833693695068e+01	1.283531000000e+00	0.000000000000e+00	4.531000000000e-01	3.693100000000e+01	4.109144000000e+00	5.463949000000e+00	3.285893000000e+00	5.186442086831e-01	9.379697043147e-01	-1.044975107736e+01	9.683073167204e+00	-4.119152761643e-01	8.645784749838e+00	1-122139	-4.063570270577e+00	10215-6103	1.223232421875e+02	4.071530000000e-02	2.498480000000e+00	1.711284000000e-01	1.971551000000e-01	8.669014000000e+00	1.288277218231e+03	4.820290000002e+09	3.300990000000e+00	6.987919725810e-08	-7.155652092647e+00	6.165872774134e-11	3.199277648471e+07	7.505051931852e+00	5.000000000000e+01	5.392200088501e+01	1	1	58	-4.522476200000e+00	7.549063000000e-01	-3.679208300000e+00	-1.929555000000e-01	1.141937500000e+00
6.880510000000e-01	1.853717000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.832160568237e+01	1.633839000000e+00	0.000000000000e+00	7.209000000000e-01	9.643765000000e+00	2.223653000000e+00	7.288733000000e-01	-3.252474000000e+00	8.150348730912e-01	8.227432039831e-01	-1.106115436632e+01	1.052618026548e+01	-4.993616730518e-01	8.896110519299e+00	1-382452	-4.040537823104e+00	10216-12704	1.181623001099e+02	4.493640000000e-02	4.008410000000e+00	2.917601000000e-01	4.598039000000e-01	6.648799000000e+00	1.923966316933e+02	3.358769999986e+10	6.531830000001e+00	2.460732137406e-07	-6.608935658779e+00	1.097287239507e-10	2.877312529612e+07	7.458987036904e+00	8.571399688721e+01	6.444400024414e+01	1	1	88	-2.215629800000e+00	1.695365000000e-01	-1.206019500000e+00	6.812611000000e-01	5.837633000000e-01
7.478690000000e-01	1.598224000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.435942363739e+01	1.391401000000e+00	0.000000000000e+00	7.722000000000e-01	2.300079000000e+01	3.157814000000e+00	3.343818000000e+00	4.723440000000e-01	4.663336881323e-01	1.015897678999e+00	-1.073307597845e+01	1.008772464358e+01	-2.969515507258e-01	9.155057267314e+00	1-459044	-4.344361789591e+00	10217-3701	1.186932067871e+02	4.959850000000e-02	6.000000000000e+00	2.262813000000e-01	3.484789000000e-01	1.037284000000e+01	1.869159119530e+02	1.223840000005e+10	2.926400000000e+00	2.001289442299e-07	-6.698690095720e+00	1.991897913926e-10	1.165829310551e+08	8.066634969881e+00	1.000000000000e+02	5.794400024414e+01	1	1	62	-2.593155900000e+00	9.493800000000e-02	-2.549912900000e+00	1.666121000000e-01	8.665357000000e-01
6.189510000000e-01	1.531653000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.716983413696e+01	1.319231000000e+00	0.000000000000e+00	5.969000000000e-01	2.212481000000e+01	4.393835000000e+00	5.295150000000e+00	3.445749000000e+00	6.233102941476e-01	1.117050445523e+00	-1.076064590316e+01	1.000354669310e+01	-4.278753527897e-01	8.756926104807e+00	1-382312	-4.066807905330e+00	10218-3701	1.175879058838e+02	4.590640000000e-02	5.000000000000e-01	1.749447000000e-01	3.635909000000e-01	1.309334000000e+01	2.239140434750e+03	1.008199999995e+10	4.200590000000e+00	1.148564391223e-07	-6.939844652216e+00	7.964085508008e-11	3.247335807102e+07	7.511527201355e+00	1.000000000000e+02	5.081999969482e+01	1	1	64	-5.459038300000e+00	7.898831000000e-01	-4.269807300000e+00	-1.073520000000e-02	9.928925000000e-01
9.302480000000e-01	2.147455000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.143698501587e+01	1.960741000000e+00	0.000000000000e+00	8.260000000000e-01	1.238336000000e+00	2.246922000000e+00	-1.352460000000e+00	-5.505516000000e+00	4.902099881769e-01	9.091313683622e-01	-1.216489552210e+01	1.067069198207e+01	-4.145623958783e-01	9.690272005716e+00	1-201970	-4.600031008770e+00	10220-3704	1.210359497070e+02	7.302780000000e-02	6.000000000000e+00	3.204767000000e-02	5.951877000000e-02	8.112064000000e+00	2.498330862326e+03	4.684809999998e+10	3.091790000000e+00	7.251050716047e-07	-6.139599057275e+00	6.830961147179e-10	3.784194134637e+08	8.577973408237e+00	5.000000000000e+01	5.740700149536e+01	1	1	31	-1.977269200000e+00	1.521548000000e-01	-1.965799300000e+00	-4.032727000000e-01	1.341986200000e+00
8.111090000000e-01	1.585562000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	6.738896667957e-02	1.382827000000e+00	0.000000000000e+00	6.723000000000e-01	1.589953000000e+01	3.409984000000e+00	3.369082000000e+00	1.603677000000e+00	4.820671047100e-01	1.234033367882e+00	-1.089828330376e+01	1.018421713808e+01	-1.912072731674e-01	9.220082928658e+00	1-36593	-4.369007911974e+00	10226-12704	3.829583358765e+01	5.378240000000e-02	2.379610000000e+00	1.931674000000e-01	5.333947000000e-01	1.714089000000e+01	1.280727956974e+03	1.528330000006e+10	3.034360000000e+00	2.410288242177e-07	-6.617931017798e+00	2.313623773084e-10	1.305951999460e+08	8.115927214648e+00	1.000000000000e+02	6.296300125122e+01	1	1	42	-4.802593200000e+00	4.368997000000e-01	-3.480601300000e+00	4.392475000000e-01	7.029234000000e-01
8.632090000000e-01	2.049191000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.687265014648e+01	1.824411000000e+00	0.000000000000e+00	8.241000000000e-01	3.258434000000e+00	2.415427000000e+00	-9.684523000000e-01	-4.909032000000e+00	4.125697373441e-01	1.201062397410e+00	-1.163776518323e+01	1.037324311827e+01	-2.269192351020e-01	9.548103643579e+00	1-45554	-4.567766953118e+00	10495-3701	1.250694732666e+02	5.294080000000e-02	5.113780000000e+00	5.438485000000e-02	8.222291000000e-02	1.588775000000e+01	2.791011312940e+03	2.361800000014e+10	2.585650000000e+00	4.371115978619e-07	-6.359407670242e+00	4.923947945443e-10	3.261709638140e+08	8.513445296935e+00	8.750000000000e+01	6.000000000000e+01	1	1	50	-1.525513900000e+00	5.764570000000e-02	-1.519908700000e+00	7.004887000000e-01	5.752115000000e-01
