id,mass_relative_error,maximum_profile_replay_error_kms,maximum_pde_relative_residual
mixed_finer,0.0,0.0,1.1794822596334366e-13
mixed_replay,0.0,0.0,2.704321274052806e-14
common_mixed_base,0.0,0.0,2.543523153197124e-14
common_mixed_box,0.0,0.0,3.4037907045977727e-14
common_mixed_lateral,0.0,0.0,1.1238603881926622e-13
common_mixed_vertical,1.1102230246251565e-16,0.0,5.136592195661767e-14
common_thin_base,2.220446049250313e-16,0.0,2.0395189507200585e-14
common_thin_box,1.1102230246251565e-16,0.0,2.5332797417025552e-14
common_thin_lateral,0.0,0.0,8.467117100383692e-14
common_thin_vertical,2.220446049250313e-16,0.0,3.8706638170388616e-14
