galaxy,object_group_id,raw_or_P1_astrometry_pass,background_all_declared_splits_pass,joint_image_and_background_prerequisites_pass,cleaned_stellar_flux_available,stellar_input,cleaned_stellar_relative_transfer_validated,co21_moment_and_error_available,co_spatial_total_baryon_coverage_validated,total_mass_3d_posterior_validated,admitted_full_field_cube_likelihood,development_exposed
DDO154,NAME:DDO154,True,True,True,False,raw IRAC flux,False,True,False,False,False,True
IC2574,NAME:IC2574,True,True,True,False,raw IRAC flux,False,True,False,False,False,True
NGC2841,NAME:NGC2841,True,False,False,False,raw IRAC flux,False,True,False,False,False,True
NGC2903,NAME:NGC2903,True,False,False,True,P5 cleaned flux,True,True,False,False,False,True
NGC2976,NAME:NGC2976,True,True,True,True,P5 cleaned flux,False,True,False,False,False,True
NGC3198,NAME:NGC3198,True,False,False,True,P5 cleaned flux,False,True,False,False,False,True
NGC3521,NAME:NGC3521,True,True,True,True,P5 cleaned flux,False,True,False,False,False,True
NGC4214,NAME:NGC4214,False,True,False,True,P5 cleaned flux,False,True,False,False,False,True
NGC5055,NAME:NGC5055,True,True,True,False,raw IRAC flux,False,True,False,False,False,True
NGC6946,NAME:NGC6946,True,True,True,False,raw IRAC flux,False,True,False,False,False,True
NGC7331,NAME:NGC7331,True,True,True,False,raw IRAC flux,False,True,False,False,False,True
UGC04305,NAME:UGC4305,True,True,True,False,raw IRAC flux,False,True,False,False,False,True
