path,atlas_identity_id,object_group_id,original_role,effective_measurement_role,units,reason,original_asset_sha256
work/private/things-observable-12gal-003/HO_II_NA_CUBE_THINGS.FITS,NAME:UGC4305,NAME:UGC4305,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,53e4b5f4c7e22237d7fdee010269348d4b8cad162d8e074180dd685d435a7971
work/private/things-observable-12gal-003/NGC_2903_NA_CUBE_THINGS.FITS,NAME:NGC2903,NAME:NGC2903,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,21c6b5f155cb56ccb7e60208a5fd98cd3835d948ce98a296fe25012002b546a8
work/private/things-observable-12gal-003/NGC_2976_NA_CUBE_THINGS.FITS,NAME:NGC2976,NAME:NGC2976,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,e8ce711a354fcf9c76e7ba9afd9e55fa97df6169863d5473140f20f9c8250169
work/private/things-observable-12gal-003/NGC_3198_NA_CUBE_THINGS.FITS,NAME:NGC3198,NAME:NGC3198,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,c047779288e354a06c664b144eff069b665b70a0730fe7d55513be79ca444168
work/private/things-observable-12gal-003/NGC_2841_NA_CUBE_THINGS.FITS,NAME:NGC2841,NAME:NGC2841,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,80e80d80e3f16e7d85eca6f977c4d31a9c63b99753b42f69eff16a6fd4b94b49
work/private/things-observable-12gal-003/IC_2574_NA_CUBE_THINGS.FITS,NAME:IC2574,NAME:IC2574,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,a9779550b152833627399454a834854d4cb54b6e1a17f8e280144120f16f4a47
work/private/things-observable-12gal-003/NGC_3521_NA_CUBE_THINGS.FITS,NAME:NGC3521,NAME:NGC3521,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,da758b45e79f97e162e34ef2e0e2e6bde6646b17e9d7fb771f1e38fe1d8bc6db
work/private/things-observable-12gal-003/DDO154_NA_CUBE_THINGS.FITS,NAME:DDO154,NAME:DDO154,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,cad83d02a09134ec668adb8d84092282ecbcea26fc9a29288367b35cd4c1662f
work/private/things-observable-12gal-003/NGC_4214_NA_CUBE_THINGS.FITS,NAME:NGC4214,NAME:NGC4214,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,09b5a041ff8e73a9e01534739558b032ca6623859ba18ac0e5b6a6c6f783cd5c
work/private/things-observable-12gal-003/NGC_5055_NA_CUBE_THINGS.FITS,NAME:NGC5055,NAME:NGC5055,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,43f9b440fbf1443ed1436bc700c89b0894028e0c97785a6f9d891ceae8aa92cd
work/private/things-observable-12gal-003/NGC_6946_NA_CUBE_THINGS.FITS,NAME:NGC6946,NAME:NGC6946,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,e8479696dcba7b55a7ef1bf3c9180948da01daeb95e0c993d00dc7e9b216e3de
work/private/things-observable-12gal-003/NGC_7331_NA_CUBE_THINGS.FITS,NAME:NGC7331,NAME:NGC7331,HI_SPECTRAL_CUBE,HI_SPECTRAL_CUBE,JY/BEAM,unchanged,4adbedc2fd6fd50de2888a0f4699b5cb3953f17e45072944cd97728cc5530b80
work/private/stellar-co-12gal-001/UGC04305__STELLAR_IRAC1_FLUX.fits,NAME:UGC4305,NAME:UGC4305,STELLAR_IRAC1_FLUX,STELLAR_IRAC1_FLUX,MJy/sr,unchanged,e067f983c6158eb92917efeddced30932e890b80d24e1ee803113f13016db56c
work/private/stellar-co-12gal-001/UGC04305__STELLAR_IRAC1_WEIGHT.fits,NAME:UGC4305,NAME:UGC4305,STELLAR_IRAC1_WEIGHT,STELLAR_IRAC1_WEIGHT,MJy/sr,unchanged,97ee3875f61b59a2bd11e31210b6cffcfe6cfd52e15e01d68f51103d0081329e
work/private/stellar-co-12gal-001/NGC2841__STELLAR_IRAC1_FLUX.fits,NAME:NGC2841,NAME:NGC2841,STELLAR_IRAC1_FLUX,STELLAR_IRAC1_FLUX,MJy/sr,unchanged,86137c3d5c8e8bd2ee0ba4a398e887462a9339b166531b510717d2bcbcde5e21
work/private/stellar-co-12gal-001/NGC2841__STELLAR_IRAC1_WEIGHT.fits,NAME:NGC2841,NAME:NGC2841,STELLAR_IRAC1_WEIGHT,STELLAR_IRAC1_WEIGHT,MJy/sr,unchanged,7aafc2372c4a48eeebc2a3f6fcac0a9b18d2769f2dfed064c406ac6312f5a88c
work/private/stellar-co-12gal-001/UGC04305__CO21_MOM0.fits.gz,NAME:UGC4305,NAME:UGC4305,CO21_MOM0,CO21_MOM0,K KM/S,unchanged,42ce156295ca5b14fe08c17ef41d3ad16c78791dc1baa9f29e8356c17b577b60
work/private/stellar-co-12gal-001/UGC04305__CO21_EMOM0.fits.gz,NAME:UGC4305,NAME:UGC4305,CO21_EMOM0,CO21_EMOM0,K KM/S,unchanged,c9585183b63dcc10125f708e467f95aaeaaa48245081b399ae7e98ef91a02829
work/private/stellar-co-12gal-001/NGC2903__STELLAR_MASS_MAP.fits,NAME:NGC2903,NAME:NGC2903,STELLAR_MASS_MAP,STELLAR_ICA_3P6_FLUX,MJy/sr,"Publisher P5 stellar image is cleaned flux, requiring a separate light-to-mass conversion.",f2cf075245610e2acb9aca2f631a35510c7f71e32115066521fe40449d2dc417
work/private/stellar-co-12gal-001/NGC2903__STELLAR_ICA_MASK.fits,NAME:NGC2903,NAME:NGC2903,STELLAR_ICA_MASK,STELLAR_ICA_MASK,MJy/sr,unchanged,dae6f0899f79f8084afdaedaa0ede22bf595e2552d3f421a1c2e473e9eaf030e
