theory,radius_kpc,thin_force_equivalent_speed_kms,mixed_force_equivalent_speed_kms,speed_fractional_change,thin_tangential_rms_over_inward_mean,mixed_tangential_rms_over_inward_mean,tangential_difference_over_thin_inward_mean,vector_difference_over_thin_rms
newton,2.0,135.16977281449596,129.40775021700347,-0.042628040852004445,0.24744609809045623,0.38287275861541964,0.12821902085011008,0.16894313208698217
mond,2.0,147.5767170392651,142.69624877610298,-0.03307071983356025,0.24423750812560735,0.37597521457594013,0.1318735769504572,0.16290072260676264
newton,2.5,147.3728327471436,144.28328861148717,-0.020964136184837723,0.2795054256565673,0.38350267006551503,0.10837886140581991,0.14184392702906462
mond,2.5,162.88767283933825,160.76494690245482,-0.01303183905744143,0.26796866350847254,0.36927265760385697,0.11071674149834673,0.13819289191713507
newton,3.0,158.25680587981523,153.16530989498943,-0.03217236665759848,0.26839681992389613,0.37099920581055934,0.10733652026553989,0.1356047118747452
mond,3.0,176.59784689296922,172.34970520512127,-0.024055455729438346,0.25190364671186055,0.3477356124968679,0.1056813691876942,0.12747485148867266
newton,3.5,169.49068931070377,164.20419748264118,-0.03119045565017209,0.16046698825916805,0.21526077723236742,0.07327830878107432,0.10648459232733118
mond,3.5,190.95957365886278,186.51548676065696,-0.023272396419070862,0.15308940908414342,0.20466763497925816,0.07237595838456207,0.09686109475955682
newton,4.0,170.50289082224754,165.02096130345294,-0.032151534160846706,0.11519466063378947,0.14522812696632909,0.05207925723365246,0.09489057897202643
mond,4.0,195.03632192508377,190.3176343772952,-0.024193891174799087,0.11224050071005393,0.1409626264365522,0.051865380382368056,0.08390993753265416
newton,4.5,171.51706062209735,167.52900224237024,-0.023251671671974172,0.10990733350362539,0.12664595849630622,0.04011884871536365,0.07771673221589837
mond,4.5,198.9136686122698,195.5933918434254,-0.01669204932978441,0.10767682534189724,0.12407216429887992,0.04000577305842307,0.06791582245479304
newton,5.0,170.2384928271212,166.29007172550757,-0.023193468386866534,0.11385244353039045,0.1239591537354718,0.04389434747335667,0.07400300112921619
mond,5.0,200.5444968123157,197.1810578282621,-0.016771534684401512,0.11084366370442973,0.12063927942251942,0.043816890857800085,0.06482211018286338
newton,5.5,170.4957347948643,166.84111973803513,-0.02143522863622538,0.10482110845983154,0.11189123904508728,0.037695351841066885,0.06626202094043591
mond,5.5,203.68614481816329,200.53482080744192,-0.015471469664933069,0.10225602014697051,0.10925319713668977,0.03644135300254873,0.05638418469408128
newton,6.0,168.76119638851037,164.59154147421532,-0.024707426846488856,0.1011431219544347,0.10791757215371268,0.03207662617691771,0.07140104129517412
mond,6.0,204.69294453425886,200.90118734489903,-0.018524122548470245,0.09702512754198546,0.10332198772955926,0.03129366007976252,0.059741981385426794
newton,6.5,169.27666993119658,166.8454389150527,-0.014362469542507306,0.09328798754876005,0.09075253128202605,0.03167559291850438,0.05274707485809515
mond,6.5,207.9419742312292,205.84988201731935,-0.010060942345307744,0.08912265823488588,0.08628252080965938,0.0302322656848633,0.045407863642215426
newton,7.0,166.54879625771406,163.54283757654534,-0.018048516403068815,0.08696116485174009,0.0836191222531311,0.022875139940941834,0.05101611763566032
mond,7.0,207.79213229734674,205.0190818008729,-0.013345310362885443,0.08214225241426405,0.07883290049513271,0.021870028658612015,0.041930178938690645
newton,7.5,163.6357439827212,161.2305257217919,-0.014698611699307418,0.09179240051677684,0.08811998867063082,0.01833600915080043,0.0390948456769841
mond,7.5,207.34796315348478,205.1356845403778,-0.010669401229996045,0.08676851518466226,0.08310707284333888,0.01707695924116471,0.03136779323712751
newton,8.0,159.55474025617227,157.12346515293146,-0.015237874470775847,0.08319047770112929,0.08054644628021827,0.015608123242067826,0.0375397275104418
mond,8.0,205.5345636542251,203.23343683563735,-0.01119581435684458,0.07799867077327402,0.07508153993406722,0.014696123998332667,0.029583246787305173
newton,8.5,156.48443246810731,154.33870015798664,-0.013712113571156648,0.07402972670938908,0.06709315705908207,0.0161569809603697,0.034190481999386665
mond,8.5,204.77339325890554,202.73075536538278,-0.009975113763633137,0.06864215440597332,0.061721588403067865,0.014934197289187542,0.026829844285204373
newton,9.0,152.9894499577153,150.64111065450058,-0.015349681326808917,0.07780942299178209,0.0729944211829965,0.01348824512277742,0.038365333086674044
mond,9.0,203.43285224766123,201.16059712409168,-0.01116955839956113,0.07167375948792992,0.066972840679085,0.012602412252750769,0.029435803479964672
newton,9.5,151.18094403169252,149.54232357368633,-0.010838802922560675,0.07277479972336576,0.06832117014941362,0.01647337947093635,0.03325565256291982
mond,9.5,203.77765679536793,202.18987171455774,-0.007791752568853227,0.06676549090923023,0.062140498901584684,0.015352535688815581,0.026994750509536602
newton,10.0,149.27023391615333,147.90724711547924,-0.009131001974845843,0.0632132975163722,0.05734357961402903,0.019028060348914716,0.030744228624928992
mond,10.0,204.00389408061557,202.6672768423976,-0.006551920218198282,0.05773151171533964,0.05236644973758531,0.017318161883741877,0.025035792913947516
newton,10.5,146.54724973398476,144.9277973555063,-0.01105071832748905,0.05720326785958163,0.053665748532680774,0.018546039598699455,0.036174536463521166
