sigma_cells,rank,eigenvalue,growth_rate_alpha_09,growth_rate_alpha_11
1.0,0,0.014383766634686435,-0.9870546100287823,-0.9841778567018449
1.0,1,0.024802577043106944,-0.9776776806612038,-0.9727171652525823
1.0,2,0.024802577043107177,-0.9776776806612035,-0.9727171652525821
1.0,3,0.06274602195849154,-0.9435285802373576,-0.9309793758456593
1.0,4,0.0627460219584916,-0.9435285802373575,-0.9309793758456593
1.0,5,0.1455773973303077,-0.868980342402723,-0.8398648629366615
1.0,6,0.14557739733030775,-0.868980342402723,-0.8398648629366614
1.0,7,0.29122799411658956,-0.7378948052950693,-0.6796492064717514
1.0,8,0.29122799411658973,-0.7378948052950692,-0.6796492064717512
1.0,9,0.4995976630285196,-0.5503621032743323,-0.45044257066862836
1.0,10,0.4995976630285199,-0.5503621032743321,-0.45044257066862814
1.0,11,0.7346032136750509,-0.33885710769245414,-0.191936464957444
1.0,12,0.734603213675051,-0.33885710769245414,-0.19193646495744388
1.0,13,0.9257914756654999,-0.16678767190105004,0.018370623232049965
1.0,14,0.9257914756654999,-0.16678767190105004,0.018370623232049965
1.0,15,1.0000000000000004,-0.09999999999999953,0.10000000000000053
2.0,0,-5.231528155889153e-05,-1.000047083753403,-1.0000575468097148
2.0,1,-4.0624139491411114e-05,-1.0000365617255422,-1.0000446865534405
2.0,2,-4.06241394913896e-05,-1.0000365617255422,-1.0000446865534405
2.0,3,5.343600519556161e-05,-0.999951907595324,-0.9999412203942849
2.0,4,5.343600519557964e-05,-0.9999519075953239,-0.9999412203942849
2.0,5,0.0005079291330994072,-0.9995428637802105,-0.9994412779535906
2.0,6,0.0005079291330994285,-0.9995428637802105,-0.9994412779535906
2.0,7,0.007127051128841179,-0.993585653984043,-0.9921602437582747
2.0,8,0.007127051128841267,-0.9935856539840429,-0.9921602437582746
2.0,9,0.06237513445608302,-0.9438623789895253,-0.9313873520983087
2.0,10,0.06237513445608313,-0.9438623789895252,-0.9313873520983086
2.0,11,0.29115940116731465,-0.7379565389494168,-0.6797246587159539
2.0,12,0.29115940116731526,-0.7379565389494163,-0.6797246587159531
2.0,13,0.7347478047802107,-0.3387269756978103,-0.19177741474176813
2.0,14,0.7347478047802108,-0.3387269756978102,-0.19177741474176802
2.0,15,0.9999999999999999,-0.10000000000000009,0.09999999999999987
4.0,0,-0.012151502073746169,-1.0109363518663717,-1.0133666522811209
4.0,1,-0.012151502073746125,-1.0109363518663714,-1.0133666522811207
4.0,2,-0.006894222695100571,-1.0062048004255906,-1.0075836449646107
4.0,3,-0.006894222695100542,-1.0062048004255906,-1.0075836449646105
4.0,4,-0.004110811267338941,-1.003699730140605,-1.0045218923940729
4.0,5,-0.004110811267338901,-1.003699730140605,-1.0045218923940729
4.0,6,-0.0035199553898729915,-1.0031679598508856,-1.0038719509288603
4.0,7,0.00365659964341391,-0.9967090603209274,-0.9959777403922447
4.0,8,0.0036565996434139857,-0.9967090603209274,-0.9959777403922446
4.0,9,0.005047862971005501,-0.995456923326095,-0.9944473507318939
4.0,10,0.00504786297100555,-0.995456923326095,-0.9944473507318939
4.0,11,0.01080175499182385,-0.9902784205073585,-0.9881180695089937
4.0,12,0.010801754991823875,-0.9902784205073585,-0.9881180695089937
4.0,13,0.34231458912722484,-0.6919168697854976,-0.6234539519600526
4.0,14,0.34231458912722496,-0.6919168697854976,-0.6234539519600526
4.0,15,0.9999999999999996,-0.10000000000000042,0.09999999999999964
