group	richness_bin	members	metadata_redshift	d10	log10_total_member_luminosity	log10_r25_kpc	log10_r50_kpc	log10_r75_kpc	log10_r90_kpc	log10_u_surface50	log10_u_volume25_75	surface_volume_log_contrast	log_geometric_mean_sources	source_balance	surface_source_radial_gradient	volume_source_inner_outer_gradient	sigma_gap_km_s	sigma_mad_km_s	unique_member_redshifts	log10_sigma_gap	log10_sigma_mad	log10_eta_r50	log10_eta_r90
192	2	40	5.227684700000e-02	3.731694310000e+00	1.190386548700e+01	2.610703795223e+00	2.641961763206e+00	2.763816151485e+00	2.826958253332e+00	-2.616059471652e+00	-2.796358516936e+00	1.802990452842e-01	-2.706208994294e+00	9.581199821970e-01	1.116151213183e+00	-3.121524466712e+00	3.906612332961e+02	3.175782840724e+02	40	2.591800316777e+00	2.501850797817e+00	5.921696909754e+00	6.106693399881e+00
885	2	63	4.724369100000e-02	6.606669940000e+00	1.202712963187e+01	1.914829117888e+00	2.213100271944e+00	2.687449399300e+00	2.991439739555e+00	-1.635072344262e+00	-3.056025758378e+00	1.420953414116e+00	-2.345549051320e+00	1.408528984783e-01	-1.382463460773e+00	-2.534726828274e+00	6.483573100130e+02	5.823829662307e+02	63	2.811814411735e+00	2.765208664072e+00	5.809599463541e+00	6.587938931151e+00
967	2	66	5.831353400000e-02	8.070948710000e+00	1.214977293147e+01	2.543105657174e+00	2.704568701565e+00	2.899171575969e+00	3.009733410180e+00	-2.495365903910e+00	-3.040373554693e+00	5.450076507826e-01	-2.767869729302e+00	6.905269823944e-01	-6.600198740320e-01	-2.044641459061e+00	6.056944517093e+02	6.142528191147e+02	66	2.782253595451e+00	2.788347158352e+00	6.119302961002e+00	6.424467669617e+00
1015	1	17	4.570812400000e-02	8.174048210000e+00	1.117397689698e+01	2.600830575419e+00	2.636736863272e+00	2.781907963227e+00	2.868597801026e+00	-3.335498261809e+00	-3.624548722641e+00	2.890504608316e-01	-3.480023492225e+00	8.969474524874e-01	6.349024607334e-01	-3.575518382600e+00	3.569235186436e+02	3.102963798858e+02	17	2.552575165721e+00	2.491776708859e+00	6.567910297735e+00	6.799771235489e+00
1219	2	61	5.495796200000e-02	1.052999460000e+01	1.207423293171e+01	2.325124186991e+00	2.701049041134e+00	2.921183444813e+00	3.027652686263e+00	-2.563866582799e+00	-3.217138516982e+00	6.532719341835e-01	-2.890502549890e+00	5.949895140807e-01	-1.199540568393e+00	-9.076600310185e-01	5.987955328988e+02	6.868386023259e+02	61	2.777278551783e+00	2.836854695787e+00	6.181373212986e+00	6.507976858116e+00
1394	1	20	3.716766000000e-02	3.644657360000e+00	1.158758896388e+01	1.681331095011e+00	2.278208871386e+00	2.455198161312e+00	2.615702418723e+00	-2.204830211140e+00	-2.733722112781e+00	5.288919016408e-01	-2.469276161960e+00	7.047611335312e-01	-1.383458380002e+00	-3.910186384974e-01	4.366177777190e+02	4.105898024124e+02	20	2.640101414855e+00	2.613408158841e+00	5.970822737217e+00	6.308316284554e+00
1399	1	15	4.562917500000e-02	1.054655790000e+01	1.145764607286e+01	1.830384290837e+00	2.051376571506e+00	2.466126109978e+00	2.694983394919e+00	-1.881108502400e+00	-3.119946318271e+00	1.238837815872e+00	-2.500527410335e+00	2.062997272157e-01	-1.249504688295e+00	-2.726277731844e+00	3.682173219789e+02	2.362825494251e+02	15	2.566104215083e+00	2.373431648132e+00	5.725938928814e+00	6.369545752228e+00
1553	1	16	2.619278400000e-02	8.302157500000e+00	1.122701982083e+01	2.365553990175e+00	2.442139550731e+00	2.506308858714e+00	2.639388887438e+00	-2.893260712875e+00	-2.879410918185e+00	-1.384979468957e-02	-2.886335815530e+00	9.997457947891e-01	1.389731805872e+00	-2.197454992210e+00	4.211479653930e+02	4.717351678847e+02	16	2.624434706914e+00	2.673698254132e+00	6.463989143725e+00	6.661238480432e+00
1695	2	46	4.049396800000e-02	4.966485910000e+00	1.180822184704e+01	1.938910614901e+00	2.687977979498e+00	2.831113216440e+00	2.929741125782e+00	-2.803735544206e+00	-3.232225806040e+00	4.284902618337e-01	-3.017980675123e+00	7.912920667712e-01	-1.465232163752e+00	1.589995903877e-01	4.625548148518e+02	4.648508761933e+02	46	2.665163205998e+00	2.667313653894e+00	6.210082544459e+00	6.451845690744e+00
1963	2	56	4.076620600000e-02	7.741426910000e+00	1.192079799418e+01	2.407075077061e+00	2.597336862392e+00	2.845934343899e+00	2.915158322064e+00	-2.509877162849e+00	-3.234196300710e+00	7.243191378606e-01	-2.872036731780e+00	5.341032604503e-01	-9.128149026972e-01	-1.861406501871e+00	4.361655499669e+02	4.765093769145e+02	56	2.639651360348e+00	2.678071451254e+00	5.955841588908e+00	6.273663048581e+00
1964	2	36	4.058497900000e-02	7.524651710000e+00	1.167673274008e+01	2.065583571613e+00	2.259897876838e+00	2.591003305443e+00	2.784640916321e+00	-2.079064445840e+00	-3.060703207102e+00	9.816387612618e-01	-2.569883826471e+00	3.421626120101e-01	-1.091923610783e+00	-2.633583651541e+00	3.357379257164e+02	2.771437546204e+02	36	2.526000402907e+00	2.442705096299e+00	5.635165942572e+00	6.159908982055e+00
2130	1	19	4.747369700000e-02	7.027847470000e+00	1.149547384569e+01	1.892786357130e+00	1.905972165937e+00	2.620914574717e+00	2.796021029504e+00	-1.552471918427e+00	-3.694449282899e+00	2.141977364472e+00	-2.623460600663e+00	2.843421990883e-02	-1.344729069420e+00	-5.036808376563e+00	3.454689375129e+02	3.469296299560e+02	19	2.538409004320e+00	2.540241392886e+00	5.487316328885e+00	6.377365192452e+00
2425	2	62	3.815245600000e-02	1.123266446000e+01	1.197735503007e+01	2.449816481774e+00	2.569600418131e+00	2.799693762342e+00	2.849894869469e+00	-2.397847238441e+00	-3.047549969445e+00	6.497027310043e-01	-2.722698603943e+00	5.981035738812e-01	-6.363182715252e-01	-2.347579140283e+00	4.139938191347e+02	4.745051129238e+02	62	2.616993857218e+00	2.676240896432e+00	5.826233102501e+00	6.106527553839e+00
2496	2	62	5.453933400000e-02	1.074850811000e+01	1.208185113555e+01	2.509092770108e+00	2.724723609729e+00	2.828403756713e+00	2.883660967078e+00	-2.603597516155e+00	-2.863944543748e+00	2.603470275935e-01	-2.733771029952e+00	9.152778914811e-01	-5.057787713706e-01	-3.469224022397e-01	4.395633867385e+02	4.022351658419e+02	62	2.643021510868e+00	2.604480036583e+00	5.928915495916e+00	6.087852853265e+00
2594	0	12	2.383901700000e-02	3.171972400000e+00	1.096362871424e+01	2.311435544909e+00	2.610793709008e+00	2.621301631308e+00	2.745829219860e+00	-3.493960136016e+00	-3.471150146130e+00	-2.280998988597e-02	-3.482555141073e+00	9.993106783280e-01	-4.602340312091e-01	2.234960211499e-01	3.095213328757e+02	3.611633923592e+02	12	2.490690586897e+00	2.557703723640e+00	6.628546168557e+00	6.763581679409e+00
3058	2	38	3.230056300000e-02	6.169331000000e+00	1.160142284848e+01	1.925190189975e+00	2.343239391468e+00	2.754946374201e+00	2.884661389507e+00	-2.321057366703e+00	-3.554768310170e+00	1.233710943467e+00	-2.937912838437e+00	2.084793501358e-01	-1.424986202224e+00	-1.483789481619e+00	4.028031126527e+02	4.402518748142e+02	38	2.605092817896e+00	2.643701214088e+00	5.952002178782e+00	6.493424176822e+00
3128	2	30	3.210793000000e-02	5.126962850000e+00	1.161345628049e+01	1.940288356507e+00	2.313295243212e+00	2.560639740413e+00	2.659718204277e+00	-2.249135638184e+00	-2.985147172665e+00	7.360115344801e-01	-2.617141405424e+00	5.243274774372e-01	-1.230885483457e+00	-1.003911483315e+00	3.444995088512e+02	3.202848112444e+02	30	2.537188607076e+00	2.505536343756e+00	5.774216176878e+00	6.120639137942e+00
