domain	name	mean_log_surface_source	mean_log_volume_source	local_mass_dimension_median	local_mass_dimension_iqr	surface_volume_log_ratio_median	log_transition_radius_ratio	transition_overlap_cosine	transition_area_asymmetry	log_transition_width_ratio	clipped_local_dimension_fraction
cluster	A209	-1.586898463520e+00	-2.340729112764e+00	1.640672893020e+00	2.904953376110e-01	6.035058303602e-01	4.362793784867e-02	9.994952392155e-01	2.496418876012e-01	-2.514411288616e-03	0.000000000000e+00
cluster	A2261	-1.207432440195e+00	-2.111361034352e+00	1.420749565837e+00	5.015697005848e-02	7.474276930606e-01	-6.025484256528e-02	9.995632385377e-01	2.245315638467e-01	-1.623402077107e-02	0.000000000000e+00
cluster	A611	-1.520123495823e+00	-2.256846391532e+00	1.431682636899e+00	2.237672654280e-01	7.397618669690e-01	-1.062401883272e-01	9.987990138847e-01	2.084449040971e-01	-3.311917828121e-02	0.000000000000e+00
cluster	MACS0717	-1.453809045145e+00	-2.036959375665e+00	2.015758566676e+00	2.560085465333e-01	3.976167042237e-01	4.559591153880e-01	9.863797607954e-01	2.715263422274e-01	2.810375093413e-03	0.000000000000e+00
cluster	MACS0744	-9.380299843146e-01	-1.717131317504e+00	1.442493525716e+00	1.084826431598e-01	7.322390575164e-01	-3.094593162965e-01	9.928237585902e-01	9.719600571555e-02	-3.745844125740e-02	0.000000000000e+00
cluster	MACS1206	-1.313811871491e+00	-1.826721613690e+00	1.712653219792e+00	2.821862243116e-01	5.605685301047e-01	-1.839879399454e-01	9.974952630274e-01	1.201928939530e-01	-1.096255846844e-02	0.000000000000e+00
cluster	MACS1931	-1.044409415611e+00	-1.788733419194e+00	1.305717028169e+00	1.625593798468e-01	8.318599519117e-01	-2.798068618472e-01	9.938546935545e-01	1.223070475099e-01	-5.593225420200e-02	0.000000000000e+00
cluster	RXJ1347	-6.175101393698e-01	-1.320486433151e+00	1.352224021497e+00	2.474135284762e-01	7.968616284000e-01	-2.347466986365e-01	9.954595769157e-01	8.433014926379e-02	-4.441397155584e-02	0.000000000000e+00
cluster	RXJ1532	-1.086316464303e+00	-1.834402919646e+00	1.211042077464e+00	2.924100873518e-01	9.071310786527e-01	-2.903424691470e-01	9.929256855234e-01	1.203642458559e-01	-6.069545080015e-02	0.000000000000e+00
cluster	RXJ2129	-1.414665098564e+00	-2.116902591680e+00	1.421984511490e+00	1.338909477435e-01	7.465588494071e-01	-2.296281989919e-01	9.959209392024e-01	1.553798104222e-01	-4.963563483280e-02	0.000000000000e+00
cluster	RXJ2248	-1.025988734867e+00	-1.619626713512e+00	1.758724355674e+00	2.352093630076e-01	5.340235403237e-01	-8.069324928261e-02	9.989051640197e-01	1.449076424370e-01	-2.765080632448e-02	0.000000000000e+00
galaxy	CamB	-3.277039106257e+00	-4.077691138567e+00	1.742006241157e+00	1.308785697660e+00	5.435748274905e-01	-2.634699057215e-01	9.728451222724e-01	1.672622411924e-01	-6.362070155679e-02	1.111111111111e-01
galaxy	D564-8	-4.425143625607e+00	-5.361797018517e+00	1.157572099988e+00	7.698847637542e-01	9.611369939874e-01	-1.868459820683e-01	9.852882798212e-01	2.650050870242e-01	-1.055068197634e-01	0.000000000000e+00
galaxy	D631-7	-3.275609432295e+00	-4.874557266931e+00	5.833119513977e-01	8.911818128892e-01	1.646346368001e+00	-2.800669122153e-01	9.735720716761e-01	2.474681222551e-01	-1.912947853783e-01	3.125000000000e-01
galaxy	DDO064	-3.282342107297e+00	-3.520826417488e+00	2.447705658344e+00	1.696635411301e+00	2.050834198874e-01	-1.900252792090e-01	9.848683688010e-01	8.939934768147e-02	2.380349941177e-02	7.142857142857e-02
galaxy	DDO161	-3.097871709269e+00	-4.194644393938e+00	1.283491615439e+00	9.269381445524e-01	8.490280999364e-01	-2.396184482906e-01	9.834881457472e-01	2.250859428685e-01	-9.829521373820e-02	2.258064516129e-01
galaxy	DDO168	-2.598047062126e+00	-3.445523724676e+00	1.250503122181e+00	4.670355885535e-01	8.761281130878e-01	-2.380526459165e-01	9.840591779310e-01	1.967612459852e-01	-5.667717827247e-02	0.000000000000e+00
galaxy	DDO170	-3.574977293414e+00	-4.699268634988e+00	1.531699581726e+00	1.285329558712e+00	6.815106937258e-01	-1.338022671499e-01	9.806199760543e-01	2.706979794669e-01	-1.420740593574e-01	2.500000000000e-01
galaxy	ESO079-G014	-1.464857849964e+00	-2.148616421846e+00	1.829911965202e+00	5.733419990998e-01	4.943444294187e-01	-1.504182668331e-01	9.938786065153e-01	1.531111734634e-01	-3.447524931945e-02	0.000000000000e+00
galaxy	ESO116-G012	-1.976388800983e+00	-2.996249985304e+00	1.394936235059e+00	1.035700202212e+00	7.657635840746e-01	-1.684445327534e-01	9.874583004645e-01	1.825408951615e-01	-1.175569636499e-01	6.666666666667e-02
galaxy	ESO563-G021	-6.913718409918e-01	-2.074701336856e+00	1.003196587683e+00	1.468021044665e+00	1.096153442532e+00	-3.143778379899e-01	9.815540983579e-01	7.841522097238e-02	-1.100983792406e-01	3.666666666667e-01
