domain	name	mean_log_surface_source	mean_log_volume_source	local_mass_dimension_median	local_mass_dimension_iqr	surface_volume_log_ratio_median	log_transition_radius_ratio	transition_overlap_cosine	transition_area_asymmetry	log_transition_width_ratio	clipped_local_dimension_fraction
galaxy	F561-1	-2.771550467513e+00	-3.261184537566e+00	1.897447961718e+00	3.615983755750e-01	4.581093536625e-01	-4.078497713525e-02	9.979938310102e-01	2.001078485433e-01	3.927076624544e-03	0.000000000000e+00
galaxy	F563-1	-3.476485790947e+00	-4.066300936717e+00	1.656116739968e+00	8.268823365912e-01	5.941367400399e-01	-9.497354863510e-02	9.927140807096e-01	2.268819764722e-01	1.497707308310e-02	0.000000000000e+00
galaxy	F563-V1	-3.700191119753e+00	-4.167040495099e+00	1.819462675025e+00	7.910770706463e-01	5.119208360203e-01	-9.467573921962e-02	9.945374948023e-01	1.689889591950e-01	-3.918237284223e-02	0.000000000000e+00
galaxy	F565-V2	-3.607545860839e+00	-4.003629817304e+00	2.072296445445e+00	3.128787467795e-01	3.699549023787e-01	-8.743660231027e-02	9.969376669404e-01	1.539098979059e-01	9.234546522857e-03	0.000000000000e+00
galaxy	F567-2	-3.533900514954e+00	-3.918813303912e+00	2.165962031822e+00	4.873570681324e-01	3.257476694111e-01	7.752889858549e-02	9.974549142952e-01	2.062480732835e-01	9.544865744296e-04	0.000000000000e+00
galaxy	F568-1	-2.735706006255e+00	-3.121699895226e+00	2.071177945341e+00	4.756860652578e-01	3.706833418716e-01	-1.281417082450e-01	9.953776077656e-01	1.466153614737e-01	4.544566331537e-02	0.000000000000e+00
galaxy	F568-3	-2.862759635471e+00	-3.371556244805e+00	1.935285452054e+00	5.519180446324e-01	4.384991606374e-01	-1.598807359107e-01	9.951763356712e-01	1.773666178064e-01	-2.834137538342e-02	0.000000000000e+00
galaxy	F568-V1	-2.905685027479e+00	-3.576436002075e+00	1.690844284040e+00	3.067827610356e-01	5.733843081250e-01	-3.142657732404e-01	9.834333367846e-01	1.873335238580e-01	-2.837241655171e-02	6.666666666667e-02
galaxy	F571-8	-1.386916846350e+00	-3.240988581810e+00	2.816533221611e-01	7.029059776230e-01	2.365690607026e+00	-4.383344589802e-01	9.606874200739e-01	1.285641385975e-01	-2.407451171346e-01	3.846153846154e-01
galaxy	F571-V1	-3.226865311748e+00	-4.237052207153e+00	1.520536399917e+00	8.138487793614e-01	6.795491213800e-01	-2.266208102099e-01	9.763608449476e-01	2.110919192988e-01	-8.780520898933e-02	1.428571428571e-01
galaxy	F574-2	-3.576459376488e+00	-3.967061671539e+00	2.096198543955e+00	7.107715116821e-01	3.584868015260e-01	1.019923161519e-01	9.857993046004e-01	1.703887482252e-01	-1.720783852242e-01	0.000000000000e+00
galaxy	F579-V1	-2.273985260056e+00	-2.952320065722e+00	1.628964780298e+00	4.339770954220e-01	6.107660972756e-01	-2.722312613929e-01	9.899850812747e-01	1.653541619328e-01	-2.703765440116e-02	0.000000000000e+00
galaxy	F583-1	-3.736781153086e+00	-4.136689211212e+00	2.288790390487e+00	7.396710831764e-01	2.705888244170e-01	-1.217540740313e-01	9.902262804896e-01	1.619622757829e-01	2.369872134133e-02	0.000000000000e+00
galaxy	F583-4	-3.085821490789e+00	-3.913456000796e+00	1.278613318439e+00	8.263564945945e-01	8.529376459369e-01	-2.784358313665e-01	9.865181314442e-01	1.620584124467e-01	-3.548145172555e-02	8.333333333333e-02
galaxy	KK98-251	-3.496556516836e+00	-3.911095729365e+00	2.636500804758e+00	1.049313968114e+00	1.291597034427e-01	-1.806881611077e-01	9.761787174007e-01	1.231343477531e-01	-7.080516433623e-02	6.666666666667e-02
galaxy	NGC0024	-1.419750426360e+00	-2.205001470296e+00	1.869697873397e+00	9.952419338750e-01	4.728354358830e-01	-3.026722113079e-01	9.763845266043e-01	1.728298977737e-01	-1.669240297884e-01	1.379310344828e-01
galaxy	NGC0055	-2.490048219487e+00	-3.399284340537e+00	1.371793999865e+00	7.305588885979e-01	7.824929165085e-01	-1.554778348041e-01	9.904918817827e-01	2.331638788962e-01	-7.758890043138e-02	0.000000000000e+00
galaxy	NGC0100	-2.566360659451e+00	-3.578409158759e+00	1.069903262670e+00	1.121147790022e+00	1.031044053001e+00	-2.905744172529e-01	9.831802234658e-01	1.743730137950e-01	-8.037378423457e-02	0.000000000000e+00
galaxy	NGC0247	-2.692796975636e+00	-3.541792057388e+00	1.899854900676e+00	6.776542537771e-01	4.568399206785e-01	-1.516654749356e-01	9.870654800972e-01	1.914806446217e-01	-4.454991613854e-02	1.538461538462e-01
galaxy	NGC0289	-1.991375457419e+00	-3.833847713100e+00	3.614221957553e-01	5.181535997908e-01	2.116869503032e+00	-5.326901213159e-01	9.316686872836e-01	2.106304674417e-01	-2.512111520679e-01	2.857142857143e-01
galaxy	NGC0300	-2.725597327245e+00	-4.072174661489e+00	1.134419019488e+00	1.345440537903e+00	9.724916458912e-01	-1.737293471325e-01	9.826413747941e-01	2.739408213686e-01	-1.193159539812e-01	3.200000000000e-01
galaxy	NGC0801	-4.556518111542e-01	-1.749484104516e+00	7.980498959554e-01	9.894413960604e-01	1.324196445895e+00	-5.528511978174e-01	9.581874104542e-01	1.093901887861e-01	-1.475470422877e-01	1.538461538462e-01
galaxy	NGC0891	3.199979727847e-01	-1.768688478963e+00	3.120814198340e-01	1.595034268205e-01	2.265260951680e+00	-5.883191619425e-01	9.230934258787e-01	2.065928199794e-03	-6.715470233708e-02	3.333333333333e-01
galaxy	NGC1003	-3.138463135076e+00	-4.647664342481e+00	6.090341856477e-01	9.732886361859e-01	1.595411141885e+00	-2.091775217674e-01	9.745181168663e-01	3.173218108151e-01	-1.705370526376e-01	3.888888888889e-01
galaxy	NGC1090	-1.374187890192e+00	-2.928729293396e+00	5.382465834730e-01	9.989687964948e-01	1.718900791256e+00	-3.569652381478e-01	9.808078500127e-01	1.054387708147e-01	-1.376350604407e-01	2.500000000000e-01
galaxy	NGC1705	-2.629755398276e+00	-4.407489610466e+00	4.314974452191e-01	5.961316601423e-01	1.939684720648e+00	-3.710500484853e-01	9.652767977126e-01	2.194262461348e-01	-2.449167598839e-01	3.571428571429e-01
galaxy	NGC2403	-1.386164091072e+00	-2.657189198880e+00	8.193507495828e-01	9.801763599763e-01	1.297855309808e+00	-3.889676082307e-01	9.790533871267e-01	1.350281352832e-01	-1.630920876080e-01	1.232876712329e-01
galaxy	NGC2683	-1.471969087139e+00	-3.655707044029e+00	2.500000000000e-01	8.652280724675e-02	2.484906649788e+00	-4.626507607721e-01	9.270728196668e-01	2.532500700115e-01	-2.873342885168e-01	7.272727272727e-01
galaxy	NGC2841	-7.307612968489e-01	-2.436013919420e+00	6.390077580458e-01	5.278416998287e-01	1.546523872476e+00	-4.800810434046e-01	9.247537934480e-01	2.153778288882e-01	-2.376639635943e-01	2.400000000000e-01
galaxy	NGC2915	-3.179362661538e+00	-4.618135648872e+00	8.725130335907e-01	8.204125041585e-01	1.235021379203e+00	-3.448066446175e-01	9.638514751928e-01	2.969453871172e-01	-1.968181438931e-01	1.000000000000e-01
galaxy	NGC2955	3.947477574871e-01	-1.095054285544e+00	6.507457520109e-01	5.000220739236e-01	1.528317661119e+00	-5.284802809161e-01	9.528552303999e-01	3.370025116337e-02	-1.375739271992e-01	1.250000000000e-01
galaxy	NGC2976	-9.663486624277e-01	-1.312026486503e+00	2.432451743815e+00	6.266304383438e-01	2.097125918897e-01	-3.219446976735e-02	9.913485815375e-01	9.629145605406e-02	-5.673578961507e-02	0.000000000000e+00
galaxy	NGC2998	-8.726365106728e-01	-2.112053566951e+00	8.102048659674e-01	1.688695623572e+00	1.309080431015e+00	-3.818060694800e-01	9.790294699714e-01	9.290516424052e-02	-1.614786436693e-01	1.538461538462e-01
galaxy	NGC3109	-3.794172981933e+00	-4.389455053408e+00	1.724781936965e+00	5.233671600083e-01	5.535116595293e-01	-1.954964119652e-01	9.845034649624e-01	1.489362663729e-01	-5.488037654508e-02	0.000000000000e+00
galaxy	NGC3198	-1.615653986664e+00	-2.830013268732e+00	9.539676241495e-01	1.006345412716e+00	1.145737833728e+00	-4.060514789051e-01	9.758409841310e-01	1.561414483132e-01	-1.308381810314e-01	6.976744186047e-02
galaxy	NGC3521	8.708037812113e-01	-6.909141734790e-01	9.435734176831e-01	9.968758144922e-01	1.156693391685e+00	-6.388931799867e-01	9.183929161815e-01	6.061816301506e-02	-1.767984813828e-01	3.170731707317e-01
galaxy	NGC3741	-4.031851928433e+00	-5.014125659025e+00	1.151128967589e+00	6.868926468704e-01	9.578691169090e-01	-1.886368656093e-01	9.892977949292e-01	3.106241927513e-01	-3.943579257461e-02	0.000000000000e+00
galaxy	NGC3769	-2.132878194623e+00	-4.214017111211e+00	2.688106458948e-01	1.629630547513e-01	2.413675101831e+00	-4.348355046445e-01	9.419054093983e-01	2.823939783355e-01	-3.346969370171e-01	4.166666666667e-01
galaxy	NGC3877	-3.309560932496e-01	-1.239482848541e+00	1.385262198314e+00	4.897169991310e-01	7.727228540841e-01	-1.288604150676e-01	9.912993715539e-01	8.222723135060e-02	-3.642133045652e-02	0.000000000000e+00
galaxy	NGC3893	-6.910235569145e-01	-2.670218154421e+00	3.326669011778e-01	3.695324646008e-01	2.230184218807e+00	-4.466416917022e-01	9.368534162955e-01	1.537190277056e-01	-2.251649937335e-01	4.000000000000e-01
galaxy	NGC3917	-1.739784279873e+00	-2.858099374672e+00	1.158667946663e+00	1.444750408648e+00	9.513412652188e-01	-1.132863034830e-01	9.830342675455e-01	2.029946620144e-01	-1.381432903258e-01	2.352941176471e-01
galaxy	NGC3949	1.128747861082e-01	-1.308482339900e+00	5.833543243515e-01	9.122120451422e-01	1.637572805446e+00	-1.861381739068e-01	9.722260390021e-01	1.135502139805e-01	-1.366694630282e-01	0.000000000000e+00
galaxy	NGC3972	-1.357643622076e+00	-2.378122663583e+00	1.641528186624e+00	1.161052903022e+00	6.040569676162e-01	-8.755703843359e-02	9.858071329622e-01	2.001850902809e-01	-9.846832071869e-02	1.000000000000e-01
galaxy	NGC3992	-1.433535703446e+00	-3.336639897947e+00	2.500000000000e-01	6.259670337970e-01	2.484906649788e+00	-2.661214645409e-01	9.452012084830e-01	3.038654304395e-01	-3.028984605796e-01	5.555555555556e-01
galaxy	NGC4010	-1.447168535364e+00	-2.438400132373e+00	1.303966982847e+00	7.139794223565e-01	8.332014253389e-01	-2.387982107368e-01	9.813181941137e-01	1.365225786699e-01	-7.850219307064e-02	1.666666666667e-01
galaxy	NGC4051	-3.959119349987e-01	-1.860293372585e+00	9.927941986351e-01	1.239196259997e+00	1.105844177215e+00	-5.124039374971e-02	9.817692148377e-01	2.178623419314e-01	-1.190151485479e-01	2.857142857143e-01
galaxy	NGC4068	-2.737491398279e+00	-3.111289860739e+00	2.196749452633e+00	4.036486285469e-01	3.116340454365e-01	-1.327956551759e-01	9.954719373689e-01	1.194421980195e-01	9.816067497837e-03	0.000000000000e+00
galaxy	NGC4085	-1.557324578966e-01	-1.319903523086e+00	1.391612969629e+00	8.356543549000e-01	7.681488044757e-01	-1.691825570268e-01	9.815842872743e-01	8.509336751451e-02	-1.093239382005e-01	1.428571428571e-01
galaxy	NGC4088	-4.906697375836e-01	-2.248998126140e+00	3.639704177297e-01	8.187429461755e-01	2.160893633899e+00	-3.107286985334e-01	9.592981598468e-01	1.391280795637e-01	-2.225177331990e-01	5.000000000000e-01
galaxy	NGC4100	-1.231527698943e+00	-3.213754608120e+00	2.500000000000e-01	2.552006837913e-01	2.484906649788e+00	-2.892913396121e-01	9.386339806517e-01	2.604036654553e-01	-3.393167028403e-01	6.666666666667e-01
galaxy	NGC4157	-9.463843661268e-01	-2.936877982366e+00	2.500000000000e-01	4.298748987580e-01	2.484906649788e+00	-3.911663581147e-01	9.456706718930e-01	1.430433919153e-01	-2.669314324129e-01	7.058823529412e-01
galaxy	NGC4183	-2.378799001962e+00	-3.792884998125e+00	6.493097795162e-01	1.410797017143e+00	1.530457646619e+00	-1.486578532994e-01	9.835911083837e-01	2.588571051148e-01	-1.373760783426e-01	2.173913043478e-01
galaxy	NGC5005	1.284819569566e+00	-1.297592539921e-01	7.760841694165e-01	2.254115102653e-01	1.352596047191e+00	-3.173262680054e-01	9.681575731784e-01	-1.505030482409e-01	-6.144663090093e-02	1.111111111111e-01
galaxy	NGC5033	-1.106117178838e+00	-3.253929740373e+00	2.800988793493e-01	1.640522231849e-01	2.377032096032e+00	-8.317896311855e-01	8.920418541991e-01	8.412863660714e-02	-1.206882159884e-01	5.000000000000e-01
galaxy	NGC5371	-5.792521547823e-01	-2.254318731999e+00	7.937282131626e-01	9.003399991391e-01	1.329626465804e+00	-4.845392748987e-01	9.556358707240e-01	4.774526126157e-02	-1.032362933321e-01	4.210526315789e-01
galaxy	NGC5585	-1.956251225083e+00	-2.938615910723e+00	1.346038172944e+00	6.424245435411e-01	8.014505021082e-01	-3.227116078026e-01	9.904190943409e-01	1.627858197992e-01	-8.795408857404e-02	4.166666666667e-02
galaxy	NGC5907	-1.561690223598e+00	-3.367312286959e+00	4.045842887215e-01	5.681559851504e-01	2.003507475303e+00	-3.055291466948e-01	9.576793245518e-01	2.547905145233e-01	-2.534916758680e-01	4.210526315789e-01
galaxy	NGC5985	-8.384283966488e-01	-2.040827345934e+00	8.381994434226e-01	7.710409779884e-01	1.275111496174e+00	-1.627201910480e-01	9.813626512272e-01	2.306033223751e-01	-1.612694170894e-01	0.000000000000e+00
galaxy	NGC6015	-1.546056717295e+00	-3.096362144249e+00	6.476739268489e-01	1.333988856529e+00	1.533795253857e+00	-3.468544608256e-01	9.766631430871e-01	1.446218256801e-01	-1.734991471440e-01	3.636363636364e-01
galaxy	NGC6195	1.940612959708e-01	-1.173269970824e+00	9.241810442018e-01	2.783290454114e-01	1.177459579918e+00	-4.693852639238e-01	9.553867002876e-01	1.687941763684e-02	-1.031643784313e-01	1.304347826087e-01
galaxy	NGC6503	-2.326903629756e+00	-4.498203984456e+00	2.500000000000e-01	1.022135249246e-01	2.484906649788e+00	-4.726994437214e-01	9.346423257025e-01	2.111992997422e-01	-3.493560899724e-01	5.483870967742e-01
galaxy	NGC6674	-1.815826684064e+00	-3.937998097603e+00	2.500000000000e-01	2.156024315774e-01	2.484906649788e+00	-5.405427129915e-01	9.446045563108e-01	1.402832720247e-01	-2.232637015141e-01	6.000000000000e-01
galaxy	NGC6946	-5.784165847409e-01	-2.498852242586e+00	3.152498680042e-01	5.464536676966e-01	2.253085085011e+00	-8.727449136893e-01	9.146938282924e-01	-7.182980348115e-02	2.802611763191e-02	4.655172413793e-01
galaxy	NGC7331	-3.326395158531e-01	-2.383188051963e+00	2.903374939910e-01	3.284450341119e-01	2.336118675961e+00	-5.178460478378e-01	9.185358190115e-01	1.834099431153e-01	-1.560727743270e-01	4.722222222222e-01
galaxy	NGC7814	-1.600102671203e-01	-2.449158988576e+00	2.500000000000e-01	4.980290718296e-02	2.484906649788e+00	-7.859593817496e-01	8.745708027115e-01	2.125905704287e-02	-8.722399670428e-02	7.222222222222e-01
galaxy	PGC51017	-3.100738390152e+00	-4.014314820880e+00	1.014041828099e+00	5.272596468634e-01	1.086325421307e+00	-3.001729436121e-01	9.785501308540e-01	2.080946864239e-01	-9.231458400567e-02	0.000000000000e+00
galaxy	UGC00128	-3.635797898264e+00	-5.062604837805e+00	1.186805215969e+00	1.323575945644e+00	9.279790352694e-01	-2.895197728183e-01	9.836348873171e-01	2.322665710415e-01	-7.828597730563e-02	3.636363636364e-01
galaxy	UGC00191	-2.369914287458e+00	-3.063433230606e+00	1.662054835627e+00	3.108990477536e-01	5.905575990205e-01	-2.241741768178e-01	9.865474910644e-01	2.233072899739e-01	-7.808505869668e-02	0.000000000000e+00
galaxy	UGC00731	-3.726402357811e+00	-4.085016710656e+00	2.433367925765e+00	1.009128956353e+00	2.165666917424e-01	-9.585530971151e-02	9.824941747857e-01	9.592284927183e-02	-1.513147394354e-02	0.000000000000e+00
galaxy	UGC00891	-3.318779773719e+00	-4.385527559649e+00	1.098993830358e+00	1.221471922556e+00	1.004217227132e+00	-1.803359698899e-01	9.798843149821e-01	2.754478338177e-01	-1.469000465190e-01	0.000000000000e+00
galaxy	UGC01230	-2.991204453164e+00	-4.018738349587e+00	1.495537187189e+00	7.012278902676e-01	6.961268238319e-01	-3.118398527406e-01	9.856779791306e-01	2.096532981703e-01	-8.619681980738e-02	1.818181818182e-01
galaxy	UGC02259	-2.679508083441e+00	-3.661773882957e+00	1.272507730668e+00	8.016536176415e-01	8.579363638536e-01	-1.782637817236e-01	9.855670223455e-01	2.276239496277e-01	-9.900396922147e-02	1.250000000000e-01
galaxy	UGC02487	-1.284450416938e+00	-3.333266033120e+00	2.500000000000e-01	3.657680333455e-01	2.484906649788e+00	-3.495321451434e-01	9.370433654187e-01	3.834797141072e-01	-2.354709998369e-01	5.882352941176e-01
galaxy	UGC02916	2.688016419158e-01	-1.480519522537e+00	4.050531094587e-01	3.956248935609e-01	2.002349374675e+00	-6.573649694317e-01	9.411368679087e-01	8.728352067406e-02	-1.439878419864e-01	1.162790697674e-01
galaxy	UGC02953	4.637421028301e-01	-1.064691199257e+00	9.316132873254e-01	8.200947513710e-01	1.169449766833e+00	-7.241614706541e-01	9.216850392200e-01	4.922472822988e-03	-1.763599837867e-01	3.304347826087e-01
galaxy	UGC03205	-2.971496304925e-01	-1.781175871402e+00	8.248765846395e-01	9.712712473330e-01	1.291413297797e+00	-5.786211915514e-01	9.487552830014e-01	5.463540719371e-02	-1.842284631675e-01	1.666666666667e-01
galaxy	UGC03580	-6.598387302682e-01	-2.100380439282e+00	6.777852133351e-01	3.582050588920e-01	1.487537124391e+00	-5.904292223095e-01	9.587287653681e-01	8.002488314592e-02	-2.082069133141e-01	6.382978723404e-02
galaxy	UGC04278	-3.017450665146e+00	-3.539397242128e+00	1.705591689934e+00	2.036214076560e+00	5.647002059150e-01	-1.247575693650e-01	9.758543754655e-01	1.352446456280e-01	6.946903856177e-02	2.400000000000e-01
galaxy	UGC04305	-2.696556717836e+00	-3.365077029812e+00	1.557491503657e+00	1.453488735901e+00	6.621192182680e-01	-2.052161391102e-01	9.815657480635e-01	1.479080210607e-01	-2.296704707539e-02	0.000000000000e+00
galaxy	UGC04325	-2.156499348928e+00	-2.829809881726e+00	1.811603836692e+00	1.143398202302e+00	5.143078964859e-01	-1.138766811205e-01	9.904689524906e-01	1.751898907032e-01	-8.699789216371e-02	0.000000000000e+00
galaxy	UGC04483	-2.965184684449e+00	-3.553506982923e+00	1.527562315756e+00	6.794066588975e-01	6.778177110713e-01	-2.187727794860e-01	9.913342151886e-01	1.601548674887e-01	-3.836894396999e-03	0.000000000000e+00
galaxy	UGC04499	-2.551034795485e+00	-3.287276088552e+00	1.442285306588e+00	3.514722206270e-01	7.323834145993e-01	-2.350780684437e-02	9.976747652723e-01	2.774354120207e-01	-5.313018489993e-02	0.000000000000e+00
galaxy	UGC05414	-2.420506808851e+00	-2.932802816884e+00	1.630216665642e+00	6.249808403297e-01	6.134710758581e-01	-1.412002313576e-01	9.928908657321e-01	1.532057341297e-01	-9.380516905893e-03	0.000000000000e+00
galaxy	UGC05716	-3.408446112062e+00	-4.383048123338e+00	1.491321102119e+00	5.889594872971e-01	6.990673153860e-01	-1.407772703580e-01	9.891953235849e-01	2.633654961359e-01	-3.774051755942e-02	8.333333333333e-02
galaxy	UGC05750	-3.597528176843e+00	-4.017388032491e+00	2.084629138587e+00	5.378813654788e-01	3.640213204197e-01	-2.683742303737e-01	9.900074973073e-01	1.706196717889e-01	5.245473752913e-02	0.000000000000e+00
galaxy	UGC05764	-3.268900262860e+00	-3.919721657255e+00	2.213503991022e+00	1.302136271636e+00	3.064996778878e-01	-2.003044827577e-01	9.803964528680e-01	1.391019944036e-01	-3.453707243121e-02	0.000000000000e+00
galaxy	UGC05829	-3.479275700869e+00	-3.662823211743e+00	2.822456208109e+00	7.216294855563e-01	6.100478703141e-02	-1.630968190623e-02	9.919155989169e-01	6.435770440353e-02	-4.595022984250e-02	0.000000000000e+00
galaxy	UGC05986	-2.010489513105e+00	-3.288492482893e+00	1.412197238628e+00	1.434866414799e+00	7.534654719391e-01	-1.235460446713e-01	9.773459900050e-01	2.424668746064e-01	-1.619196536403e-01	2.666666666667e-01
galaxy	UGC05999	-3.008099713996e+00	-3.390747557718e+00	1.624314018059e+00	1.200786032334e+00	6.135267047468e-01	1.217232550046e-01	9.891856728405e-01	2.418664550472e-01	8.183899214572e-02	2.000000000000e-01
galaxy	UGC06399	-2.649552791444e+00	-3.310771416750e+00	1.640127389061e+00	7.839471557977e-01	6.038383735922e-01	-1.665883276508e-01	9.914922344600e-01	1.798339896679e-01	-3.643832056106e-02	0.000000000000e+00
galaxy	UGC06614	-1.364892483833e+00	-3.179902031680e+00	5.439260343687e-01	3.067624597587e-01	1.707554296273e+00	-5.925478168336e-01	9.202973697462e-01	2.077141341039e-01	-1.787777724009e-01	1.538461538462e-01
galaxy	UGC06628	-2.517558970894e+00	-3.024579102192e+00	1.872869939554e+00	1.079132778314e-01	4.711403072575e-01	5.339492571326e-02	9.988289828424e-01	2.375721610661e-01	-1.198144743864e-02	0.000000000000e+00
galaxy	UGC06667	-3.781930447424e+00	-4.300659961186e+00	2.194812287772e+00	1.323219932309e+00	3.125157638972e-01	-7.548164831182e-02	9.734794710459e-01	1.236809921483e-01	-1.704532820432e-01	1.111111111111e-01
galaxy	UGC06786	-1.646590429153e-01	-1.721061906940e+00	7.716416884204e-01	8.027584492356e-01	1.357847259540e+00	-7.371899054841e-01	9.224994341810e-01	3.219531190036e-02	-1.586793627854e-01	2.222222222222e-01
galaxy	UGC06787	3.795747212738e-01	-1.551429890170e+00	4.055440155241e-01	3.620463844136e-01	2.001138153687e+00	-9.158910130069e-01	8.837318622956e-01	6.094429341929e-02	-1.075741616939e-01	2.957746478873e-01
galaxy	UGC06818	-2.649404503145e+00	-3.520958377867e+00	1.235804922280e+00	2.856469248514e-01	8.876713017270e-01	-1.828172847943e-01	9.893824620994e-01	2.403772541177e-01	-6.508687200821e-02	0.000000000000e+00
galaxy	UGC06917	-2.124676425908e+00	-2.867001104406e+00	1.342856782397e+00	1.859122323359e-01	8.038130168749e-01	1.621789185334e-02	9.988222713519e-01	3.070037275565e-01	4.417048177980e-03	0.000000000000e+00
galaxy	UGC06923	-1.652232509800e+00	-2.528257267987e+00	1.231646521496e+00	1.687921075330e-01	8.909892691753e-01	-6.996102050574e-02	9.981177473125e-01	2.690433715833e-01	-3.285575127456e-02	0.000000000000e+00
galaxy	UGC06973	5.301801092792e-01	-1.954726540509e+00	2.500000000000e-01	0.000000000000e+00	2.484906649788e+00	-4.031430525767e-01	9.062509565375e-01	5.073239944437e-02	-2.690952806175e-02	1.000000000000e+00
