case,model,material,pressure_reference_km_s,r_kpc,raw_sigma_HI,pressure,pressure_gradient,inward_force,pressure_support_km2_s2,rotation_squared,speed_km_s,whole_profile_feasible
f4-stars-h0p1,newton,baseline,5.0,0.75,7.3214790457058525,198.17666038250147,81.07463929024593,2363.012783465619,-8.305149695586165,1780.5647372948004,42.19673846750244,True
f4-stars-h0p1,newton,baseline,5.0,0.7562500000000001,7.2813460064799,198.6848306448872,81.53810001124369,2373.3564365670045,-8.468652372600756,1803.319457526398,42.465509034113765,True
f4-stars-h0p1,newton,baseline,5.0,0.7625000000000001,7.269575868534277,199.19586132137684,81.98941178965342,2388.9271187391073,-8.599803842781226,1830.1567318813507,42.78033113337659,True
f4-stars-h0p1,newton,baseline,5.0,0.76875,7.280973685695268,199.70966599680582,82.42522237097751,2409.303280984178,-8.702735709947595,1860.8546329665344,43.13762433151059,True
f4-stars-h0p1,newton,baseline,5.0,0.775,7.312533646447179,200.22613736009572,82.84219808216146,2433.733389874667,-8.779816492860618,1894.9231936457275,43.530715519569945,True
f4-stars-h0p1,newton,baseline,5.0,0.78125,7.358919769573635,200.7451473345938,83.2370283559822,2461.1116477015335,-8.836749202237705,1931.5802239690609,43.94974657457152,True
f4-stars-h0p1,newton,baseline,5.0,0.7875000000000001,7.4445296398717815,201.26654723629983,83.60643013209128,2491.394386377916,-8.844086451935446,1970.8171657245446,44.393886580525304,True
f4-stars-h0p1,newton,baseline,5.0,0.7937500000000001,7.546014472982911,201.79016795923656,83.94715214369772,2522.9010774613453,-8.830231144218873,2011.382961379162,44.84844435851886,True
f4-stars-h0p1,newton,baseline,5.0,0.8,7.645386643452507,202.31582018727852,84.25597909851885,2554.1237711128665,-8.816399539000477,2052.115416429294,45.30028053367102,True
f4-stars-h0p1,newton,baseline,5.0,0.80625,7.732984286897132,202.84329463180165,84.52973576217366,2584.05333492026,-8.81316926684182,2092.2061705463016,45.740640250725626,True
f4-stars-h0p1,newton,baseline,5.0,0.8125,7.804544976465813,203.3723622945698,84.76529095166036,2611.985257657373,-8.824575821640245,2131.062597668256,46.16343355588117,True
f4-stars-h0p1,newton,baseline,5.0,0.8187500000000001,7.883739888205489,203.9027747553182,84.95956144595449,2634.60425118357,-8.823304918766006,2165.9055355753144,46.53929023497581,True
f4-stars-h0p1,newton,baseline,5.0,0.8250000000000001,7.9586540148087295,204.4342644835351,85.10951582009555,2653.979129632984,-8.822515769743047,2198.3552977169547,46.88662173495713,True
f4-stars-h0p1,newton,baseline,5.0,0.83125,8.019923134222356,204.96654517398335,85.21217820841342,2670.5087923505516,-8.832082546214064,2228.69251618761,47.20903002803182,True
f4-stars-h0p1,newton,baseline,5.0,0.8375,8.064840558837364,205.4993121055329,85.26463200178922,2683.9224817634977,-8.854375828081206,2256.6394543050105,47.50409934210953,True
f4-stars-h0p1,newton,baseline,5.0,0.84375,8.095370184063075,206.03224252290585,85.264023483056,2694.2546160910883,-8.886748620273837,2282.1640809471296,47.77200101468568,True
