name,z_lens,z_source,sigma_km_s,sigma_rms_km_s,stellar_MChaBC_Msun,stellar_error_plus_Msun,stellar_error_minus_Msun
J0216-0813,0.3317,0.5235,333.0,23.0,700000000000.0,110000000000.0,220000000000.0
J0737+3216,0.3223,0.5812,338.0,17.0,520000000000.0,10000000000.0,120000000000.0
J0912+0029,0.1642,0.3239,326.0,16.0,430000000000.0,80000000000.0,80000000000.0
