name	ra_deg	dec_deg	distance_mpc	inclination_deg	effective_radius_kpc	aperture_arcsec	concentration_c20	centroid_shift	quadrupole_amplitude	m3_aperture_amplitude	m4_aperture_amplitude	multipole_energy	radial_quadrupole_coherence	projected_outer_axis_ratio	background	background_mad_sigma	positive_aperture_flux	signed_aperture_flux	central_flux_snr	aperture_flux_snr	brightest_pixel_flux_fraction	aperture_pixels	center_refinement_fraction	measurement_valid	image_quality_pass	quality_failure_reason	position_angle_deg	image_sha256	image_version	s4g_family	s4g_bar_ellipticity	s4g_bar_quality
F568-1	1.564254200000000e+02	2.242444000000000e+01	9.070000000000000e+01	2.600000000000000e+01	7.000000000000000e+00	3.979754685777287e+01	2.141321103375532e-02	1.104079239884073e-01	3.254348132379332e-01	9.190664608258921e-02	6.816437704135266e-02	3.449652613797430e-01	6.961574597842556e-01	5.959144367844399e-01	5.277116298675537e-01	2.017859870839119e+00	9.160438682341576e+02	6.330032120747492e+02	1.243287680487566e+00	1.288212661752824e+01	3.735448332800196e-02	593	7.221517010849821e-02	True	False	center_refinement,central_flux_snr,aperture_flux_snr,concentration_c20	8.570361853101676e+01	17b69e20b1b79f1efa0db9f2632cdd30d772df63573de7db247df997dcae4caf	unwise-neo11			
F568-3	1.567458300000000e+02	2.222667000000000e+01	8.240000000000001e+01	4.000000000000000e+01	7.470000000000000e+00	4.674755916262135e+01	1.578865577178862e-02	8.613358239846833e-02	4.706684161399164e-01	8.418612005414443e-02	1.820524889228144e-01	5.116240509245239e-01	4.697389501200389e-01	6.443420139791169e-01	4.537735581398010e-01	1.916057940405607e+00	2.524069564429522e+03	2.121230631640996e+03	6.591270225464664e-01	4.211533198686991e+01	3.232723506350119e-02	691	8.000000000000000e-02	True	False	center_refinement,central_flux_snr,concentration_c20	1.309869919690565e+02	4b41f8dee64ca97fcb1a342eb5986a3318dd139c481df2ec05eb6542c85dc5ae	unwise-neo11			
F568-V1	1.612586000000000e+02	2.205432000000000e+01	8.059999999999999e+01	4.000000000000000e+01	4.400000000000000e+00	2.815031017369727e+01	1.831829393447909e-01	3.851321014912678e-02	1.455307409194647e-01	3.206950893932992e-02	1.084830598243642e-02	1.494166513440410e-01	5.578119927838794e-01	5.766875888536732e-01	7.806774973869324e-01	1.789240980827808e+00	2.712166811478138e+03	2.710078458308708e+03	8.372135360050034e+01	9.522539149587422e+01	2.126065029022583e-02	253	1.832599521917719e-03	True	True		7.403485338482295e+01	d12479cc0060e1b2bf3d8f95ad63f81de2c5f179b585036193280b6712c516c9	unwise-neo11			
F571-V1	1.715750000000000e+02	1.883167000000000e+01	8.009999999999999e+01	3.000000000000000e+01	4.380000000000000e+00	2.819727528089887e+01	3.258187141508403e-02	1.485083092936064e-01	1.392212222687208e-01	4.515283290510602e-02	5.195313721115153e-02	1.553076157676555e-01	3.801585324811341e-01	7.827236437345285e-01	2.649011015892029e-01	2.096981636023521e+00	1.476010929896831e+03	1.399572238922119e+03	6.620340832200243e+00	3.939669079445802e+01	2.890157148222597e-02	287	2.985130776880162e-02	True	True		1.279160399683424e+02	1f6cf14339732f21438a3684dd750cdacb62f524c3ca6d2fee7401ae7fb5a1e4	unwise-neo11			
F574-2	1.916970800000000e+02	2.180333000000000e+01	8.909999999999999e+01	3.000000000000000e+01	6.480000000000000e+00	3.750272727272727e+01	8.521574042247704e-02	1.531803595111769e-01	6.388205654601351e-01	1.729289365139166e-01	9.434145772877216e-02	6.685031358079263e-01	9.167631863698297e-01	4.166873419181261e-01	1.142678916454315e+00	2.037338043075800e+00	4.017008601002693e+03	3.927357707043178e+03	3.965407842713490e+01	8.578111265343762e+01	5.639662220607127e-02	505	5.244867310481390e-02	True	False	center_refinement	1.057183154757970e+02	30ef4be9f010a1428e6a5822239a030a2ac8d1b13fb1f7a3f5e574ee95e7aa92	unwise-neo11			
F579-V1	2.182004200000000e+02	2.276611000000000e+01	8.950000000000000e+01	2.600000000000000e+01	5.760000000000000e+00	3.318677094972067e+01	2.651234058565151e-02	1.982189915136170e-01	6.616635001153737e-01	2.145788676848466e-01	1.400934159887719e-01	7.095553840576795e-01	9.983718368969668e-01	4.149329142801759e-01	7.120873332023621e-01	2.973218414747715e+00	3.871794936742783e+03	3.676590040588751e+03	8.137618976180713e+00	6.106979527342874e+01	2.340819612171538e-02	410	7.536282183559076e-02	True	False	center_refinement,concentration_c20	3.227964213568055e+01	63aa32ceda93e06bb95ef1ffdae726e96adfc5729c5fddc51b81589faf41efbf	unwise-neo11			
F583-1	2.393645100000000e+02	2.066642000000000e+01	3.540000000000000e+01	6.300000000000000e+01	3.740000000000000e+00	5.447959745762711e+01	2.094075950435640e-01	6.564142676013660e-02	3.934756245042925e-01	1.077558382677450e-01	4.410556127419125e-02	4.103409415292835e-01	8.888527806439163e-01	8.834339207150356e-01	3.936538994312286e-01	1.947021055537462e+00	4.558260414159298e+03	4.513534823547350e+03	1.022665322779234e+02	9.778629501994364e+01	2.453402855415247e-02	562	1.377014226068421e-02	True	True		8.813358319860416e+01	468d2f300533597c1342d3b1c9cfb281d2ef1f96c4820057f9b517a674c72240	unwise-neo11			
F583-4	2.380500000000000e+02	1.878500000000000e+01	5.330000000000000e+01	5.500000000000000e+01	3.310000000000000e+00	3.202331848030018e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00	0	1.000000000000000e+00	False	False	measurement_error:zero_central_unWISE_flux	0.000000000000000e+00	d0088465d29388e3d03906ec1950ffd28a0c138c55218182e9f3d853427c2b93	unwise-neo11			
KK98-251	3.076370800000000e+02	6.035472000000000e+01	6.800000000000000e+00	5.900000000000000e+01	1.280000000000000e+00	9.706588235294116e+01	2.508675719431215e-02	1.413472794266922e-01	5.312035228053237e-01	9.153360162143317e-02	7.022484840914486e-02	5.435872627285012e-01	9.445672564308274e-01	7.693870040659807e-01	5.082562923431396e+00	1.025211602411270e+01	1.664528959858513e+05	1.683906150818323e+05	4.447534054396059e+01	3.653601812499535e+02	7.413939713010789e-02	2021	6.433344126553647e-02	True	False	center_refinement,concentration_c20	1.107173472769414e+02	e067bb6adac049bdfe148030d2ff8910830d7891e4c1f8a5721a5fd0e7a4172f	unwise-neo11			
NGC0024	2.485590000000000e+00	-2.496313000000000e+01	7.300000000000000e+00	6.400000000000000e+01	2.010000000000000e+00	1.419837842465753e+02	2.433595433233926e-01	4.158638578669850e-02	5.237402330541233e-01	9.884478981476240e-02	7.889239139631953e-02	5.387932197173068e-01	8.630143151429747e-01	3.066303601575243e-01	1.250000894069672e+00	2.899609116393328e+00	3.675442702532839e+05	3.867372348480439e+05	2.556011749966704e+03	2.203427669192507e+03	9.824112152340565e-03	3664	4.947634298539815e-03	True	True		1.446219872395407e+02	031679fc2a04e701979fa1d96e8d089986a67b8d5ae810c757a8cacd1d15feac	unwise-neo11	0.000000000000000e+00		
NGC0289	1.317652000000000e+01	-3.120583000000000e+01	2.080000000000000e+01	4.600000000000000e+01	2.690000000000000e+00	6.668904447115382e+01	2.455689065358238e-01	7.041144228583858e-03	5.041866317986305e-03	1.161889768704464e-03	5.534152314890177e-03	7.576096993008286e-03	3.779786931366111e-01	6.650453817947892e-01	2.293294715881348e+01	1.409862425994873e+01	6.439114050581360e+05	6.443259501113892e+05	1.571901008142556e+03	1.279391759899253e+03	1.080403137892756e-02	1276	7.635847720164105e-03	True	True		5.708822106808125e+01	1485f3234bb0b2559a1c51ca89e7af77d17f57a693270b49c9f462a0f1f9c21b	unwise-neo11	6.200000000000000e-01	4.400000000000000e-01	1
NGC0300	1.372283000000000e+01	-3.768438000000000e+01	2.080000000000000e+00	4.200000000000000e+01	1.770000000000000e+00	4.388089543269230e+02	1.733222796945912e-01	2.183518206422275e-02	4.732179131518009e-02	3.362575039206782e-03	6.537403944124079e-03	4.788941944208971e-02	5.241383216909663e-01	7.882197740915692e-01	4.816931247711182e+00	4.914968164765835e+00	4.574887712380903e+06	5.651564939018250e+06	3.827368293048147e+03	4.717092368483773e+03	1.465875523494450e-03	59422	1.344394963604126e-02	True	True		2.321834009564208e+01	b67db70cbb0135dd12c011911d202dbb66ef43cef2ff5646a239eb466907bbd3	unwise-neo11	0.000000000000000e+00		
NGC1090	4.164132000000000e+01	-2.470400000000000e-01	3.700000000000000e+01	6.400000000000000e+01	6.360000000000000e+00	8.863820270270269e+01	2.133140047008253e-01	3.433862785812208e-03	4.831907914997812e-02	4.857698425733440e-03	2.355610064912873e-03	4.861974437073011e-02	8.386022558563955e-01	4.774430269923977e-01	1.834504604339600e+00	3.530589967614412e+00	2.341501427517319e+05	2.342707690396309e+05	1.891476122531648e+03	1.756543194561362e+03	8.580269143963691e-03	1427	6.215968149102545e-04	True	True		1.022906259265116e+01	f873698e92c3e483405b4e0e9e3d38effb2fc3f277e2d79b35cf515b1d2fa70a	unwise-neo11	5.000000000000000e-01	5.600000000000001e-01	1
NGC2403	1.142141500000000e+02	6.560254999999999e+01	3.160000000000000e+00	6.300000000000000e+01	2.160000000000000e+00	3.524781645569620e+02	1.983603088080362e-01	8.513992492442250e-03	1.660278516065243e-01	6.509441321935801e-03	5.306927501940550e-03	1.662401390005212e-01	8.606289818622969e-01	6.075561633183084e-01	5.181276321411133e+00	6.448357761883735e+00	4.648973514552805e+06	5.125465982289314e+06	4.734992982486860e+03	5.192204053962765e+03	1.441378105255248e-03	23435	1.499139561022994e-02	True	True		3.656353134985193e+01	6d60378dd336515f6cd664b4e63f7d2529c39f5226e14731fa0ff635b35c9079	unwise-neo11			
NGC2915	1.415480500000000e+02	-7.662632000000001e+01	4.060000000000000e+00	5.600000000000000e+01	5.300000000000000e-01	6.731554802955665e+01	2.376438582027709e-01	2.201406922379624e-02	1.123335452379420e-01	9.178983584415521e-03	1.525952651672199e-02	1.137362399364524e-01	7.216868621824121e-01	6.402768261909420e-01	1.026027393341064e+01	1.169556181955337e+01	1.366648949174118e+05	1.367915263242722e+05	4.338826358534228e+02	3.600906765522990e+02	8.673087710740452e-03	1055	1.200383603626493e-02	True	True		4.763864528021741e+01	341a15caf172d89e7476387711e8d57356b592f76c772a5d39d2863872755c20	unwise-neo11			
NGC2955	1.453191700000000e+02	3.588212000000000e+01	9.790000000000001e+01	5.600000000000000e+01	7.220000000000000e+00	3.802945097037793e+01	2.890729452439160e-01	9.885750038205581e-03	2.557925586977637e-01	6.941854055525365e-03	6.884658564242892e-03	2.559793369520738e-01	9.904242845293245e-01	8.089525072591117e-01	1.059065389633179e+01	6.043632172393798e+00	1.111897431064987e+05	1.112170026350021e+05	1.475107845739391e+03	1.006931503214639e+03	3.114761519967370e-02	334	6.246443781347608e-03	True	True		4.756953577794641e+01	886d10e8bb5d4f6da7a5ff28189f0ca5ed33d6c5d61803a76930cf3e2c70b07b	unwise-neo11			
NGC2976	1.468144100000000e+02	6.791638000000000e+01	3.580000000000000e+00	6.100000000000000e+01	1.310000000000000e+00	1.886921438547486e+02	1.774084819569322e-01	9.372578893812954e-03	3.301360107156814e-02	3.222791232195083e-04	4.188458034951634e-03	3.327979717871579e-02	2.739422141219280e-01	5.314047876450153e-01	1.554408967494965e+00	2.609385353064537e+00	1.295537071790581e+06	1.306697207022667e+06	5.193318672900721e+03	5.914768403396687e+03	1.163272317347334e-03	7168	4.745475702911926e-03	True	True		5.174106036885146e+01	824715376bc69043499b96371d21befe8b4d70832324a80a200e2864ea4b205a	unwise-neo11	2.500000000000000e-01		
NGC2998	1.471817900000000e+02	4.408129000000000e+01	6.809999999999999e+01	5.800000000000000e+01	7.060000000000000e+00	5.345928414096916e+01	2.384403675064081e-01	5.765283725815366e-03	2.154096201826184e-02	4.030305608044167e-03	4.336648486720636e-03	2.233971638279698e-02	4.022764448999038e-01	5.196940104013337e-01	5.127598524093628e+00	6.792166348940134e+00	1.230100997655582e+05	1.230924145119190e+05	8.473926209681637e+02	7.203127826776272e+02	1.338860039590298e-02	633	5.280355870133069e-03	True	True		1.463284025623373e+02	89d296cb06e58c824c6cd03271bfc262a5152647d39e46284c811228c0c27d5b	unwise-neo11			
NGC3893	1.771592000000000e+02	4.871079000000000e+01	1.800000000000000e+01	4.900000000000000e+01	2.430000000000000e+00	6.961443749999999e+01	2.283000892131982e-01	7.054291153305630e-03	4.555967612220085e-02	1.335109026354522e-02	1.371480204920962e-02	4.941691506796204e-02	5.287435409139546e-01	8.242100448382961e-01	2.409621334075928e+01	1.565284342517853e+01	7.083837619191360e+05	7.096666799364090e+05	1.406621341457170e+03	1.245527253084972e+03	9.201573968713185e-03	1325	2.685113745375049e-03	True	True		5.104665018434606e+01	89bc5d0cb7d502d2069bcf60e697cb0334889e4563429ac4bbd39c52e9d1cc4e	unwise-neo11	0.000000000000000e+00		
NGC3949	1.784239500000000e+02	4.785878000000000e+01	1.800000000000000e+01	5.500000000000000e+01	2.390000000000000e+00	6.846852083333333e+01	2.120562682977473e-01	7.685795671757609e-03	5.992080047445534e-02	2.325006228204972e-03	2.293884977013441e-03	6.000974830599148e-02	6.341056503624131e-01	6.148318631332845e-01	1.130608463287354e+01	6.047658656072616e+00	4.550386644543457e+05	4.552891512517929e+05	2.493464625920612e+03	2.256588908526246e+03	8.802592834710648e-03	1113	2.848632475048587e-03	True	True		2.944312539887770e+01	ce74ba34eedf5f5e3a11e91b8cd3f628fa0bb1e18287fc17731585ab897c9071	unwise-neo11	5.000000000000000e-01	1.300000000000000e-01	1
NGC3992	1.793999300000000e+02	5.337452000000000e+01	2.370000000000000e+01	5.600000000000000e+01	9.990000000000000e+00	2.173615348101266e+02	2.535020639021904e-01	5.501817838242724e-03	3.198803312471291e-02	1.374878561847395e-02	5.924990140426856e-03	3.531810976446279e-02	4.732195676617768e-01	4.731770524207610e-01	1.618157207965851e+00	2.434307375251874e+00	1.820374185075195e+06	1.840117249746978e+06	9.051064945420989e+03	7.217496192122306e+03	5.137864718958045e-03	10969	2.306138214265602e-03	True	True		1.577818603535147e+02	c5d2aca25d68a3f80d0295369cd82e9e9e10df0241582b7cc93f339839d1037c	unwise-neo11	1.000000000000000e+00	6.000000000000000e-01	1
NGC4051	1.807903600000000e+02	4.453126000000000e+01	1.800000000000000e+01	4.900000000000000e+01	6.870000000000000e+00	1.968111875000000e+02	3.310485588180967e-01	1.561837730328245e-02	1.224197601296347e-01	2.455226539588446e-02	2.620211490829339e-02	1.275772794502793e-01	6.726707692624921e-01	6.423204748410516e-01	1.234217584133148e+00	2.269446260654926e+00	1.373825684165006e+06	1.445107799467746e+06	9.815669184905721e+03	6.196820933396030e+03	2.125813569384263e-02	10559	6.210330328143305e-03	True	True		1.707558247994133e+02	9bab88b463615a7dc0f9df1e5b57414bd450faf81f3c325a7ca64fa30876a447	unwise-neo11	5.000000000000000e-01	6.899999999999999e-01	1
NGC4068	1.810136000000000e+02	5.259057000000000e+01	4.370000000000000e+00	4.400000000000000e+01	1.110000000000000e+00	1.309806350114416e+02	3.875798297729460e-01	3.555527940817425e-02	4.823571137739200e-01	1.402346723409417e-02	2.355950213463230e-02	4.831356879618849e-01	9.389889584000587e-01	9.567753968029823e-01	1.311828017234802e+00	2.122202279707790e+00	1.107389946016931e+05	1.139483181267940e+05	1.456750542769923e+03	7.497298341089680e+02	3.279552011884715e-02	5129	8.000000000000000e-02	True	False	center_refinement	3.636961550847880e+01	f4c3c2b8efbf7b1eb57cc3d76793daf7e547eeeff691b299e3fe1a79019496c3	unwise-neo11			
NGC5371	2.089167600000000e+02	4.046177000000000e+01	3.970000000000000e+01	5.300000000000000e+01	9.800000000000001e+00	1.272920025188917e+02	2.168486978000446e-01	7.864125172753528e-03	8.559209790894275e-02	1.077435139157929e-02	9.422132450281950e-03	8.678058799221128e-02	6.163774726273753e-01	6.963898061752036e-01	5.492493391036987e+00	6.758219514316320e+00	9.521145533222770e+05	9.528840005908012e+05	2.400429893821935e+03	2.214449948858370e+03	7.870508277359639e-03	4054	7.812896396744666e-03	True	True		1.088690219025238e+02	4569437435ecd4492569ef95a0e3c849b781cf57a379bf56c63763b3b3eeaf95	unwise-neo11	5.000000000000000e-01	5.200000000000000e-01	1
NGC5585	2.149508500000000e+02	5.672905000000000e+01	7.060000000000000e+00	5.100000000000000e+01	2.270000000000000e+00	1.658008321529745e+02	2.400085348136786e-01	1.359870722346586e-02	1.098737194481700e-01	1.485398031092740e-02	2.133355869080746e-02	1.129070222920909e-01	9.105094167019833e-01	7.122868618879138e-01	8.689927160739899e-01	2.054601534408331e+00	2.801017013798772e+05	2.869913523609638e+05	1.935416943960277e+03	1.647544555917238e+03	2.371553632865440e-03	7188	7.510891297757936e-03	True	True		1.305584019973776e+02	e006f2fc6918b0be94fd62fb9443962b96d34d8f9cc26e0a33443c38864cedf0	unwise-neo11	1.200000000000000e-01		
NGC5985	2.349045400000000e+02	5.933195000000000e+01	3.970000000000000e+01	6.000000000000000e+01	1.071000000000000e+01	1.391119741813602e+02	2.167961557558276e-01	2.478797919566049e-03	4.001119140567898e-02	4.661194856408529e-03	4.493097057992139e-03	4.053159380488049e-02	5.153558489664436e-01	4.931725768412376e-01	2.255345106124878e+00	2.803077386856079e+00	6.058999718394566e+05	6.061412377560139e+05	3.705124826300683e+03	3.410136059633766e+03	4.712906071682743e-03	4021	1.569099765063418e-03	True	True		1.055157876735233e+02	42771b319f4ca4981d6c6bcdd120f1543e60ecd7b72c948c4c4c3773a1584e1a	unwise-neo11	5.000000000000000e-01	3.400000000000000e-01	2
NGC6015	2.378551300000000e+02	6.231003000000000e+01	1.700000000000000e+01	6.000000000000000e+01	3.920000000000000e+00	1.189057058823529e+02	1.974867656380334e-01	1.422507473992912e-02	1.503975586008520e-01	2.990815259483333e-02	3.653470442485661e-02	1.576347292069365e-01	5.536520796823263e-01	3.864742590040122e-01	2.498221278190613e+00	4.089642049849033e+00	5.247337236219740e+05	5.319346839970350e+05	2.332992416051626e+03	2.397606349752536e+03	4.802500176302095e-03	2943	1.376439977754398e-03	True	True		1.127869341005145e+02	76b25295c2afb2a25f9ffec9ec980b8750cfe408aa26f1ead42715f5aa263b8d	unwise-neo11	2.500000000000000e-01		
NGC6195	2.491355500000000e+02	3.902800000000000e+01	1.278000000000000e+02	6.200000000000000e+01	9.520000000000000e+00	3.841241784037558e+01	2.165607128355119e-01	7.445856213991279e-03	1.761662627967439e-01	4.120922629186800e-04	3.535059737760336e-03	1.762022094502624e-01	9.875083155941400e-01	6.599607645995661e-01	8.299852371215820e+00	6.699709176278114e+00	7.995606716251373e+04	7.999694092941284e+04	8.175850270200992e+02	7.060483010256055e+02	3.134915176433380e-02	286	7.940156296609758e-03	True	True		1.321775496612682e+02	05bc051ca1be9b9900568cf985cbfe6871f35e03a473f406f86575609721ad35	unwise-neo11			
NGC6674	2.796412000000000e+02	2.537511000000000e+01	5.120000000000000e+01	5.400000000000000e+01	7.750000000000000e+00	7.805438232421874e+01	2.354590932616910e-01	3.532248302945117e-02	1.987758317859966e-01	5.926661586708653e-02	5.607135932877302e-02	2.148682396156491e-01	6.974608458733803e-01	7.080448663182660e-01	8.993436813354492e+00	1.121109242953062e+01	3.613758592549515e+05	3.652434963159561e+05	9.881630787089733e+02	8.439980128848647e+02	1.354869043886489e-02	1490	3.918001879235549e-03	True	True		3.267170402466917e+01	ef2de1a0bf67364376d76a3025a70d2ca470aa1fbe7fd0fa42d42e8861c78eb5	unwise-neo11			
NGC6789	2.891715400000000e+02	6.397331000000000e+01	3.520000000000000e+00	4.300000000000000e+01	5.200000000000000e-01	7.617741477272726e+01	1.949845000572137e-01	7.280959489808667e-02	1.880544398075749e-01	1.184929741482924e-01	1.394191335651623e-01	2.623790236621618e-01	5.157737442235657e-01	7.808338793159959e-01	8.660577535629272e-01	2.839232672309875e+00	5.484002754550934e+04	5.535834986154363e+04	4.536875136152223e+02	4.647568699645312e+02	1.819238426430008e-02	1760	3.648861572505280e-02	True	True		1.572147634859358e+02	5d51c801b0451c0eb656743900cd309244263b8429c2815a8c26af3d3fd622b5	unwise-neo11			
