name	ra_deg	dec_deg	distance_mpc	inclination_deg	effective_radius_kpc	aperture_arcsec	concentration_c20	centroid_shift	quadrupole_amplitude	m3_aperture_amplitude	m4_aperture_amplitude	multipole_energy	radial_quadrupole_coherence	projected_outer_axis_ratio	background	background_mad_sigma	positive_aperture_flux	signed_aperture_flux	central_flux_snr	aperture_flux_snr	brightest_pixel_flux_fraction	aperture_pixels	center_refinement_fraction	measurement_valid	image_quality_pass	quality_failure_reason	position_angle_deg	image_sha256	image_version	s4g_family	s4g_bar_ellipticity	s4g_bar_quality
CamB	7.327958000000000e+01	6.709917000000000e+01	3.360000000000000e+00	6.500000000000000e+01	1.210000000000000e+00	1.856998883928571e+02	1.018579149773620e-02	2.272338316304429e-01	6.546623868961989e-01	3.188660204125979e-01	2.111389150794254e-01	7.581807312582618e-01	4.284695245986260e-01	5.421550952976049e-01	1.592712521553040e+00	4.678716240906716e+00	2.184649740116404e+05	2.432935328098467e+05	3.035063356547002e+01	6.685933704908124e+02	4.848518669443962e-02	6049	1.810525009989699e-02	True	False	concentration_c20	1.373529761648254e+02	365edcef5fe723fd7c6222d58a51a32f5cce124a1d0d8df610dcc05c10aaaa6b	unwise-neo11			
D564-8	1.357223200000000e+02	2.007561000000000e+01	8.789999999999999e+00	6.300000000000000e+01	7.200000000000000e-01	4.223856655290102e+01	1.490787661239834e-01	3.340379464064583e-02	7.175403524121615e-02	1.249557712874058e-01	2.462267867741976e-02	1.461809243939839e-01	6.818243541237380e-01	7.933592947394694e-01	1.034718990325928e+00	2.735794839280844e+00	1.550665650644302e+03	1.449477786264848e+03	2.258324845493858e+01	2.894713819961117e+01	1.873923442595994e-02	335	1.484708273533907e-02	True	True		1.011050414804231e+01	5952f68769743c75475d817dce9624921049de55672e653575caa6acc91a9ffd	unwise-neo11			
D631-7	1.192542800000000e+02	1.439657000000000e+01	7.720000000000000e+00	5.900000000000000e+01	1.220000000000000e+00	8.149070595854921e+01	3.984719902422957e-02	1.796827444382731e-01	4.258234196935637e-01	1.201631351599143e-01	1.175085826472560e-01	4.577914708759303e-01	8.421825965687210e-01	7.742060982181206e-01	1.070659518241882e+00	2.685247242987156e+00	3.904672822390556e+04	4.005058615804464e+04	7.684270761145982e+01	3.949706588651858e+02	5.109672517571359e-02	1426	1.542367510858485e-02	True	True		6.151741419386912e+01	da053fd41675f7e5480ce2c21e5431f5cc7b763347f55bf1adaf9177a102921e	unwise-neo11			
DDO064	1.475948700000000e+02	3.148828000000000e+01	6.800000000000000e+00	6.000000000000000e+01	1.200000000000000e+00	9.099926470588234e+01	1.321804744859654e-01	8.458948278934439e-02	5.523408255167110e-01	4.920006377320030e-02	3.353555722351709e-02	5.555408782493514e-01	9.206740351382752e-01	5.162352984876403e-01	6.213592767715454e+00	5.025263895535469e+00	2.632957806282043e+04	2.572188431952149e+04	8.221307458056209e+01	1.233824734855799e+02	3.950446987184770e-02	1721	3.010153554829618e-02	True	True		3.217879902863513e+01	e6b7b46f4b16b197147ef417eebeb82174362b594fccb20b73ff2a449f628e94	unwise-neo11			
DDO168	1.986166600000000e+02	4.591976000000000e+01	4.250000000000000e+00	6.300000000000000e+01	1.290000000000000e+00	1.565187352941176e+02	1.245896173261903e-01	2.106504773038425e-02	2.679494854865638e-01	5.783177292380846e-02	3.876419467494672e-02	2.768467148456387e-01	8.995629604531212e-01	8.454069535246366e-01	4.404951184988022e-01	2.171789185309410e+00	5.903169564724744e+04	6.091931109100534e+04	2.496941615317484e+02	4.126381075406482e+02	4.089899927559218e-03	4621	1.054903592545746e-02	True	True		1.571637626171724e+02	963512840ae9a07fb8d984e7370e36b331a5f23a7a336cadb17d49b9025fed53	unwise-neo11			
F561-1	1.223858300000000e+02	2.255944000000000e+01	6.640000000000001e+01	2.400000000000000e+01	5.390000000000000e+00	4.185874811746987e+01	3.354613110500286e-03	2.585363020103557e-01	2.277986668877659e-01	2.962253398704475e-01	2.969369771568602e-01	4.772978661383887e-01	7.347185646886003e-01	8.388315923031437e-01	1.759144067764282e+00	3.458332816278934e+00	5.961003219084740e+03	5.612237242384814e+03	8.562486244543471e-02	6.283567990911332e+01	4.655663411425320e-02	667	8.000000000000000e-02	True	False	center_refinement,central_flux_snr,concentration_c20	1.289557363509959e+02	6975f1d69eb7aaf7f2c1bd7d5fb03b6408fc8f1ed3e5f0bf56ce5a368e71cd31	unwise-neo11			
F563-1	1.337558300000000e+02	1.975167000000000e+01	4.890000000000000e+01	2.500000000000000e+01	4.610000000000000e+00	4.861358128834355e+01	1.724871119319004e-01	1.106979511411228e-01	3.453900788453912e-01	5.479516149143329e-02	1.138690772635411e-01	3.677811618946084e-01	5.803776225905741e-01	7.136329331074930e-01	8.346735835075378e-01	3.204439885103702e+00	3.395270797305107e+03	2.432678287311341e+03	3.020594426140486e+01	2.539006372055056e+01	3.742636462285132e-02	894	4.458748668629935e-02	True	True		1.626420418921761e+02	7348eb22b760ccc160c0a616fa36c591eb1e93712f1f4009ab98278c44e828ed	unwise-neo11			
F563-V1	1.316575000000000e+02	1.889028000000000e+01	5.400000000000000e+01	6.000000000000000e+01	5.010000000000000e+00	4.784202083333333e+01	3.021731796622140e-02	2.553837833793708e-01	8.128052673910993e-01	2.382692530362271e-01	1.506583015193768e-01	8.603037623176255e-01	8.751622679110095e-01	2.022559303392064e-01	2.676505804061890e+00	3.820031895297020e+00	1.178478057111263e+04	1.175024863632303e+04	2.035606723794346e+01	1.414325908049925e+02	1.245944752818046e-01	473	7.317820422851638e-03	True	False	brightest_pixel_flux_fraction	7.775563254335117e+01	52f598f32c56b9bb9ec32db31bb8392493c0fad048feb0337ac0e2723965de47	unwise-neo11			
F565-V2	1.444025000000000e+02	2.177083000000000e+01	5.180000000000000e+01	6.000000000000000e+01	3.570000000000000e+00	3.553890202702702e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00	0	1.000000000000000e+00	False	False	measurement_error:zero_central_unWISE_flux	0.000000000000000e+00	a88a38fc053a8e9ac9bcc590d49702969926c05f47c5f1866cd507c474b6b916	unwise-neo11			
F567-2	1.544845800000000e+02	2.106139000000000e+01	7.900000000000000e+01	2.000000000000000e+01	5.430000000000000e+00	3.544363765822784e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00	0	1.000000000000000e+00	False	False	measurement_error:zero_central_unWISE_flux	0.000000000000000e+00	50e5dcb155cecc9496be0e2eb5dd4ce4ed9f97cd08d434012ea91e730d8942c4	unwise-neo11			
