atlas_id,display_name,ra_deg,dec_deg,surveys,prior_exposure,has_local_hi_cube,has_local_stellar_image,has_local_co_image,sparc_radial_rows,wallaby_profile_status,spatial_3d_baryon_reconstruction,validated_full_cube_gravity_prediction,hi_integrated_status,manga_source_quality_selection,manga_maps_local_status,manga_plateifu,manga_mangaid,manga_nsa_iauname,manga_nsa_absmag_g,manga_nsa_absmag_r,manga_nsa_absmag_i,manga_nsa_elpetro_mass,manga_nsa_sersic_mass,manga_nsa_sersic_th50,manga_nsa_sersic_ba,manga_DAPQUAL,manga_drp3qual,manga_SNR_MED_r,manga_hi_LOGMHI,manga_hi_LOGHILIM200KMS,manga_hi_SNR,manga_hi_FHI,manga_hi_EFHI,manga_hi_conflag,manga_hi_conf_prob,probes_photometry_catalog,probes_rotation_survey,probes_profile_local_status,hubble_type,distance_mpc,distance_error_mpc,distance_method,inclination_deg,inclination_error_deg,luminosity_1e9_lsun,reff_kpc,effective_sb_lsun_pc2,rdisk_kpc,central_sb_lsun_pc2,hi_mass_1e9_msun,hi_radius_kpc,quality,motion_references,wallaby_profile_radii,wallaby_prior_role,wallaby_release,wallaby_stellar_mass_map,wallaby_has_failed_release_record,position_source
MANGA:1-456559,1-456559,194.653147531,27.8494808325,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,8933-9102,1-456559,J125836.75+275058.1,-16.2014,-16.919,-17.2445,848752000.0,775001000.0,1.6428,0.901415,0,0,9.232854,-999.0,9.080955,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456563,1-456563,194.540430593,27.5494435015,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11015-6101,1-456563,J125809.69+273257.9,-17.200901,-17.925924,-18.2686,2074573700.0,1896857900.0,2.6824558,0.660989,0,4098,11.9431925,-999.0,9.218696,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456564,1-456564,194.618400905,27.5594115839,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9877-3702,1-456564,J125828.40+273333.7,-18.4296,-18.954,-19.1853,3934960000.0,4248750000.0,4.30089,0.197324,0,0,30.169771,-999.0,9.284657,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456565,1-456565,194.660044171,27.544099446,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9877-6103,1-456565,J125838.41+273238.7,-17.829,-18.5538,-18.906,3738740000.0,4404750000.0,3.46554,0.596698,0,0,25.470764,-999.0,9.094208,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456567,1-456567,194.631687738,27.6734912925,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,8933-6101,1-456567,J125831.59+274024.5,-17.839,-18.557,-18.9062,3758110000.0,4681850000.0,1.55166,0.519417,0,0,30.576101,-999.0,9.256343,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456568,1-456568,194.528468033,27.5768749367,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9873-3701,1-456568,J125806.82+273436.7,-17.4649,-18.1426,-18.4983,2502830000.0,2644800000.0,5.00026,0.884101,0,0,5.6968627,-999.0,9.283786,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456573,1-456573,194.682960953,28.2826700105,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9877-12702,1-456573,J125843.90+281657.6,-17.8884,-18.4807,-18.7655,2783220000.0,11414100000.0,31.1621,0.680112,0,0,13.460738,-999.0,9.237142,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456575,1-456575,194.590447844,28.1487789817,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11006-12702,1-456575,J125821.70+280855.5,-19.639359,-20.399408,-20.772762,19977007000.0,20346694000.0,8.585485,0.79679567,1,0,7.5491886,-999.0,9.2309,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456578,1-456578,194.628984666,28.2336267553,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11014-6103,1-456578,J125830.95+281401.0,-17.445023,-18.118158,-18.474634,2158145000.0,3192892200.0,11.793256,0.66377795,1,0,3.3950496,-999.0,9.133858,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456580,1-456580,194.632955412,28.0496130687,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9875-6102,1-456580,J125831.90+280258.6,-17.5415,-18.2536,-18.6038,2793280000.0,2414880000.0,1.37297,0.433862,0,0,29.545979,-999.0,8.956515,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456583,1-456583,194.557532291,28.1825781033,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,8932-12703,1-456583,J125813.80+281057.1,-18.9549,-19.6347,-19.9844,8802230000.0,11637000000.0,14.7379,0.380669,0,0,7.2309346,-999.0,9.137839,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456587,1-456587,194.826471094,27.7157490546,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11015-9101,1-456587,J125918.35+274256.6,-16.638441,-17.30171,-17.603615,1110640600.0,992054900.0,1.5750282,0.64072615,0,4098,10.353961,-999.0,9.16271,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
