sohn_objID,RAJ2000,DEJ2000,z,rmag,member_Mm,simard_matched,match_sep_arcsec,objID_agrees,simard_objID,simard_z,simard_Sp,simard_Scale,simard_gg2d,simard_rg2d,simard_Rhlr,simard_Rchl_r,simard_Rhlg,simard_Rchl_g,simard_e,simard_e_e,simard_phi,simard_e_phi,simard_ng,simard_e_ng
1237658780557836320,227.728122,+05.756973,0.08012,17.68,Y,1,0.092,0,587736546849063489,0.0801,2,1.512,18.53,17.60,1.32,1.19,1.32,1.19,0.29,0.02,92.86,3.35,4.55,0.19
1237658780557836322,227.733751,+05.744775,0.07780,13.59,Y,0,24.810,,,,,,,,,,,,,,,,,
1237658780557836332,227.724321,+05.766815,0.08167,18.91,Y,0,37.972,,,,,,,,,,,,,,,,,
1237658780557836847,227.732615,+05.780177,0.06998,18.11,N,0,19.422,,,,,,,,,,,,,,,,,
1237658780557837142,227.735158,+05.780374,0.54715,21.29,N,0,16.504,,,,,,,,,,,,,,,,,
1237662268074033398,227.761860,+05.777460,0.09517,17.63,N,1,0.000,0,587736546849128713,0.0764,-1,1.449,18.29,17.64,4.32,3.27,4.32,3.27,0.48,0.02,158.19,1.40,1.45,0.08
1237662268074033737,227.762156,+05.751119,0.07947,19.26,Y,0,17.391,,,,,,,,,,,,,,,,,
1237662268074033934,227.755298,+05.742890,0.54633,20.60,N,0,33.352,,,,,,,,,,,,,,,,,
1237655744020021358,227.730114,+05.734841,0.07135,17.68,N,1,0.128,0,587736546849063151,0.1459,-1,2.555,16.56,15.65,58.56,-101.15,58.56,-101.15,0.23,0.02,161.29,3.87,8.00,0.01
1237655744020021363,227.741889,+05.731091,0.08579,18.42,N,0,44.390,,,,,,,,,,,,,,,,,
1237655744020021370,227.737633,+05.731478,0.55418,20.56,N,0,29.624,,,,,,,,,,,,,,,,,
1237658780557836310,227.727094,+05.742861,0.07101,17.11,N,1,0.015,0,587736546849063144,0.0923,-1,1.717,17.34,16.43,5.51,5.46,5.51,5.46,0.08,0.02,101.01,8.10,8.00,0.02
1237658780557836324,227.717044,+05.753034,0.07456,16.96,Y,1,0.071,0,587736546849063473,0.0697,-1,1.332,17.76,16.86,4.88,3.81,4.88,3.81,0.45,0.02,122.42,1.51,4.37,0.20
1237658780557836372,227.713579,+05.752799,0.07962,20.51,Y,0,12.387,,,,,,,,,,,,,,,,,
1237658780557837127,227.719419,+05.775027,0.07459,20.21,Y,0,58.888,,,,,,,,,,,,,,,,,
1237658780557837145,227.738882,+05.793978,0.08524,20.32,N,0,56.947,,,,,,,,,,,,,,,,,
1237658780557837149,227.742082,+05.791842,0.08335,20.23,N,0,43.990,,,,,,,,,,,,,,,,,
1237662268074033179,227.776630,+05.756340,0.08122,19.07,Y,0,59.931,,,,,,,,,,,,,,,,,
1237662268074033922,227.757141,+05.787100,0.54524,20.06,N,0,29.010,,,,,,,,,,,,,,,,,
1237662268074033978,227.767762,+05.778451,0.54270,20.85,N,0,21.438,,,,,,,,,,,,,,,,,
1237662268074034020,227.776943,+05.759003,0.45305,21.03,N,0,59.347,,,,,,,,,,,,,,,,,
1237655744020021357,227.719973,+05.724844,0.07170,16.34,N,1,0.029,0,587730022795116911,0.0719,2,1.370,17.25,16.34,4.42,4.04,4.42,4.04,0.18,0.01,72.88,0.94,3.61,0.06
1237655744020021361,227.727555,+05.720767,0.02149,17.58,N,1,0.031,0,587730022795116936,0.0334,-1,0.666,17.93,17.56,1.32,1.02,1.32,1.02,0.52,0.02,9.45,1.48,5.24,0.32
1237655744020021364,227.727961,+05.730356,0.07252,19.50,N,0,17.805,,,,,,,,,,,,,,,,,
1237655744020021366,227.724699,+05.726324,0.08184,19.05,Y,0,17.728,,,,,,,,,,,,,,,,,
1237655744020021368,227.731557,+05.727877,0.39123,19.38,N,0,25.584,,,,,,,,,,,,,,,,,
1237655744020022298,227.712458,+05.734498,0.54677,21.01,N,0,29.318,,,,,,,,,,,,,,,,,
1237655744020087422,227.742881,+05.717036,0.08091,19.74,Y,0,22.458,,,,,,,,,,,,,,,,,
1237655744020087460,227.752795,+05.723118,0.07631,19.64,Y,0,34.537,,,,,,,,,,,,,,,,,
1237655744020087926,227.744923,+05.721961,0.55790,21.15,N,0,29.980,,,,,,,,,,,,,,,,,
1237658780557771127,227.699795,+05.757562,0.07574,17.41,Y,1,0.047,0,587736546849063417,0.0758,2,1.438,18.43,17.45,1.09,0.91,1.09,0.91,0.51,0.02,125.13,1.12,2.64,0.12
1237658780557771429,227.700858,+05.775381,0.07913,20.64,Y,0,64.305,,,,,,,,,,,,,,,,,
1237658780557836328,227.717509,+05.741784,0.07103,17.96,N,0,34.536,,,,,,,,,,,,,,,,,
1237658780557836344,227.710599,+05.760976,0.08196,18.98,Y,0,36.755,,,,,,,,,,,,,,,,,
1237658780557836358,227.708765,+05.746913,0.07064,19.56,N,0,36.875,,,,,,,,,,,,,,,,,
1237658780557836650,227.754692,+05.795860,0.07991,17.88,Y,1,0.087,0,587736546849063561,0.0724,-1,1.378,18.77,17.92,1.70,1.19,1.70,1.19,0.63,0.02,155.86,0.97,3.22,0.16
1237658780557836805,227.702147,+05.744921,0.38827,20.17,N,0,40.630,,,,,,,,,,,,,,,,,
1237658780557836806,227.704789,+05.769446,0.07364,20.09,N,0,46.418,,,,,,,,,,,,,,,,,
1237658780557836827,227.713252,+05.788892,0.17166,19.25,N,0,43.146,,,,,,,,,,,,,,,,,
1237658780557836831,227.715743,+05.778881,0.08015,19.77,Y,0,72.809,,,,,,,,,,,,,,,,,
1237658780557836864,227.739638,+05.801346,0.07563,20.13,Y,0,57.359,,,,,,,,,,,,,,,,,
1237658780557836879,227.745328,+05.806815,0.07790,19.90,Y,0,51.746,,,,,,,,,,,,,,,,,
1237658780557837103,227.704340,+05.781346,0.38136,19.57,N,0,57.950,,,,,,,,,,,,,,,,,
1237658780557837114,227.710939,+05.775290,0.32358,20.56,N,0,75.321,,,,,,,,,,,,,,,,,
1237662268074033194,227.773031,+05.730126,0.07483,16.99,Y,1,0.106,0,587730022795182114,0.0833,-1,1.567,17.82,16.89,2.67,2.23,2.67,2.23,0.38,0.02,33.34,1.57,5.10,0.35
1237662268074033212,227.782062,+05.755438,0.45307,20.96,N,0,79.594,,,,,,,,,,,,,,,,,
1237662268074033388,227.761628,+05.802167,0.07437,18.06,Y,0,17.773,,,,,,,,,,,,,,,,,
1237662268074033392,227.762666,+05.797332,0.08974,17.73,N,1,0.032,0,587736546849128706,0.0627,-1,1.208,18.21,17.64,5.58,3.66,5.58,3.66,0.68,0.01,75.68,0.79,1.18,0.09
1237662268074033393,227.761734,+05.796471,0.24812,19.44,N,0,4.585,,,,,,,,,,,,,,,,,
1237662268074033394,227.765067,+05.795884,0.09006,19.73,N,0,10.059,,,,,,,,,,,,,,,,,
