galaxy,gaia_footprint_strict_pass,supported_validation_stars,median_gaia_offset_arcsec,p90_gaia_offset_arcsec,joint_background_diagnostic_pass,joint_background_mean_square,joint_background_channel_lag1,background_train_test_separation_arcsec,both_preliminary_checks_pass,p5_transfer,full_3d_baryon_model_validated,independent_gravity_cube_prediction
DDO154,True,4,0.44241877162906484,0.5426362752649936,True,1.0848425828122727,0.043472132689219206,107.86457743408991,True,not_validated_or_not_a_P5_product,False,False
IC2574,True,22,0.34132126748356006,0.4941732898630614,True,1.1913430713534385,0.04916833134697464,107.3468140732757,True,not_validated_or_not_a_P5_product,False,False
NGC2841,True,15,0.2570541341478613,0.3991643873137041,True,0.9402694442902033,-0.06827195334934064,107.67101551417915,True,not_validated_or_not_a_P5_product,False,False
NGC2903,True,30,0.14066602882437246,0.32116539596858307,True,0.9506458413730149,-0.07162004238097433,107.89430309702321,True,previously_validated_for_NGC2903_only,False,False
NGC2976,True,20,0.3039906331528165,0.6183954226337072,True,1.0955085910135882,0.032473352293806344,107.34405668402404,True,not_validated_or_not_a_P5_product,False,False
NGC3198,True,9,0.2571677405124974,0.3173607101003402,False,1.202014577584611,0.17617631191490382,108.00019046175838,False,not_validated_or_not_a_P5_product,False,False
NGC3521,True,13,0.23501570317004497,0.4212732344307406,True,1.00618199349494,-0.004459755374793946,108.00019175049928,True,not_validated_or_not_a_P5_product,False,False
NGC4214,False,3,0.40123700687841213,0.4576524924033406,True,0.9713968786868787,-0.01936820667960618,108.00019126505707,False,not_validated_or_not_a_P5_product,False,False
NGC5055,True,20,0.2341465986385139,0.49921437217958486,True,1.0732918659573378,-0.019486376327185497,107.75972370806525,True,not_validated_or_not_a_P5_product,False,False
NGC6946,True,54,0.33768043866704067,0.6854259540946258,True,0.9792615428091592,-0.020445346502752624,107.55539031177508,True,not_validated_or_not_a_P5_product,False,False
NGC7331,True,39,0.3046032237437649,0.4582455419388991,True,0.8671847621842034,-0.0842206431162591,108.00019135955824,True,not_validated_or_not_a_P5_product,False,False
UGC04305,True,33,0.32914899816319265,0.5207794801192912,True,0.9684131896167236,-0.04687756280122791,107.1743858541801,True,not_validated_or_not_a_P5_product,False,False
