Cluster	z	RA_J2000	Dec_J2000	SBlim_F435W	SBlim_F606W	SBlim_F814W	SBlim_F105W	SBlim_F125W	SBlim_F140W	SBlim_F160W
Abell 2744	0.308	00:14:21.2	-30:23:50.1	31.53+/-0.09	31.33+/-0.12	31.71+/-0.10	31.91+/-0.12	31.64+/-0.09	31.65+/-0.11	30.24+/-0.12
MACSJ0416.1-2403	0.396	04:16:08.9	-24:04:28.7	31.71+/-0.11	31.88+/-0.14	31.93+/-0.14	31.97+/-0.11	31.85+/-0.12	31.78+/-0.11	30.32+/-0.12
MACSJ0717.5+3745	0.545	07:17:34.0	+37:44:49.0	31.27+/-0.13	31.40+/-0.09	31.61+/-0.10	31.85+/-0.11	31.45+/-0.16	31.58+/-0.11	30.16+/-0.13
MACSJ1149.5+2223	0.543	11:49:36.3	+22:23:58.1	31.10+/-0.11	31.56+/-0.09	31.56+/-0.11	31.70+/-0.12	31.31+/-0.12	31.30+/-0.14	30.19+/-0.15
Abell S1063	0.348	22:48:44.4	-44:31:48.5	31.37+/-0.15	31.36+/-0.10	31.68+/-0.10	31.72+/-0.12	31.51+/-0.11	31.65+/-0.11	30.25+/-0.15
Abell 370	0.375	02:39:52.9	-01:34:36.5	31.17+/-0.16	31.42+/-0.15	31.71+/-0.11	31.84+/-0.10	31.47+/-0.11	31.53+/-0.11	30.17+/-0.13
