Cluster	z	colour_gradient_F110W_F160W	best_fit_radius_kpc	L_lt10kpc_1e11Lsun	L_lt50kpc_1e11Lsun	L_lt100kpc_1e11Lsun	Mstar_lt10kpc_1e11Msun	Mstar_lt50kpc_1e11Msun	Mstar_lt100kpc_1e11Msun
A611	0.288	-0.075+/-0.004	110	6.59+/-0.02	20.21+/-0.17	24.69+/-0.77	3.42+/-0.01	10.49+/-0.09	12.81+/-0.40
MS2137	0.313	-0.129^0.013_0.012	106	6.96+/-0.02	15.93+/-0.22	17.60+/-0.45	3.62+/-0.01	8.28+/-0.11	9.14+/-0.23
XMM022045	0.330	-0.123^0.026_0.004	67	4.28+/-0.02	9.45+/-0.09	10.54+/-0.30	2.23+/-0.01	4.92+/-0.05	5.48+/-0.16
RXJ1532	0.345	-0.060^0.015_0.013	106	6.00+/-0.04	15.21+/-0.27	17.05+/-0.54	3.12+/-0.02	7.92+/-0.14	8.88+/-0.28
RXJ2248	0.348	-0.053+/-0.002	110	8.47+/-0.03	30.82+/-0.45	35.26+/-0.95	4.41+/-0.01	16.05+/-0.23	18.36+/-0.49
MACS1931	0.352	-0.096+/-0.002	75	6.19+/-0.03	15.62+/-0.46	20.23+/-1.91	3.23+/-0.01	8.14+/-0.24	10.54+/-1.00
MACS1115	0.352	-0.111^0.006_0.005	110	3.88+/-0.02	13.65+/-0.32	18.50+/-1.36	2.02+/-0.01	7.11+/-0.16	9.64+/-0.71
SG1120-4	0.369	-0.144^0.004_0.003	106	4.89+/-0.02	11.22+/-0.10	13.12+/-0.33	2.55+/-0.01	5.86+/-0.05	6.85+/-0.17
XMM011140	0.370	-0.173^0.074_0.055	84	4.91+/-0.02	11.05+/-0.10	13.04+/-0.37	2.56+/-0.01	5.77+/-0.05	6.81+/-0.19
SG1120-2	0.370	-0.120^0.006_0.010	67	4.63+/-0.02	9.70+/-0.13	11.15+/-0.47	2.42+/-0.01	5.07+/-0.07	5.82+/-0.25
SG1120-1	0.371	-0.222+/-0.011	67	2.50+/-0.02	6.22+/-0.10	7.17+/-0.36	1.31+/-0.01	3.25+/-0.05	3.75+/-0.19
SG1120-3	0.371	-0.119^0.016_0.013	110	5.34+/-0.02	11.19+/-0.11	12.35+/-0.30	2.79+/-0.01	5.84+/-0.06	6.45+/-0.16
RXJ1334	0.384	-0.154^0.060_0.005	53	2.94+/-0.02	6.28+/-0.10	6.73+/-0.29	1.54+/-0.01	3.28+/-0.05	3.52+/-0.15
MACS1720	0.391	-0.125^0.003_0.002	110	6.74+/-0.02	17.20+/-0.32	21.70+/-1.25	3.52+/-0.01	8.99+/-0.17	11.35+/-0.66
MACS0429	0.399	-0.096^0.011_0.009	110	6.74+/-0.02	23.65+/-0.26	28.84+/-0.91	3.53+/-0.01	12.38+/-0.13	15.09+/-0.48
MACS0416	0.420	-0.152^0.028_0.021	110	6.40+/-0.02	18.33+/-0.44	22.43+/-0.85	3.35+/-0.01	9.60+/-0.23	11.75+/-0.45
MACS1206	0.440	-0.094^0.013_0.010	110	5.32+/-0.02	15.58+/-0.46	20.64+/-1.81	2.79+/-0.01	8.17+/-0.24	10.83+/-0.95
MACS0329	0.450	-0.013^0.012_0.011	110	6.77+/-0.02	19.09+/-0.44	25.21+/-1.78	3.55+/-0.01	10.02+/-0.23	13.23+/-0.93
RXJ1347	0.451	-0.085^0.015_0.012	110	5.53+/-0.02	16.84+/-0.51	22.89+/-2.10	2.90+/-0.01	8.84+/-0.27	12.02+/-1.10
MACS1311	0.494	-0.116^0.014_0.013	110	5.79+/-0.01	14.26+/-0.21	16.51+/-0.37	3.05+/-0.01	7.50+/-0.11	8.69+/-0.20
MACS1149	0.544	-0.123^0.043_0.034	110	3.59+/-0.02	17.64+/-0.65	23.95+/-2.61	1.90+/-0.01	9.32+/-0.34	12.65+/-1.38
MACS2129	0.570	-0.103^0.022_0.015	110	3.99+/-0.03	11.71+/-0.37	13.56+/-0.71	2.11+/-0.02	6.19+/-0.20	7.17+/-0.37
CL1226	0.890	-0.071^0.017_0.015	110	9.01+/-0.04	28.41+/-0.24	36.03+/-0.92	4.87+/-0.02	15.36+/-0.13	19.48+/-0.50
