recno	Abell	RAJ2000	DEJ2000	VBCG	e_VBCG	VCl	e_VCl	SigCl	e_SigCl	Ng	AB	Notes	Alpha	Lm	Lm-2rm	Lm-4rm	Sigma	e_Sigma	rx	Xref	T6	Simbad
       1	  14	003.7957	-23.8823	 19280	  26	 19397	 111	  474	  118	  18	 0.094	E473-G005    	 0.983	 -22.872	 -23.564	 -24.069	 219	 15	    73	R	T6	Simbad
       2	  27	006.1965	-20.7324	 15519	   0	 16037	  90	  339	   79	  14	 0.094	E539-G013    	 0.289	 -22.298	        	        	    	   	      	 	T6	Simbad
       3	  71	009.4947	+29.6035	 22044	  33	 22044	  33	     	     	   2	 0.210	             	 0.397	 -22.517	 -22.740	        	 262	 14	      	 	T6	Simbad
       4	  74	009.5903	-22.3449	 19013	  46	 19326	  56	  212	   59	  14	 0.091	             	 0.447	 -22.927	 -23.223	 -23.461	 315	  6	      	 	T6	Simbad
       5	  75	009.8692	+21.2295	 17610	  42	 17355	 326	  731	  511	   5	 0.146	             	 0.455	 -22.728	        	        	 295	 12	      	 	T6	Simbad
       6	  76	009.8597	+06.7340	 11283	  17	 11969	 148	  491	  120	  11	 0.179	I1565 15K    	 0.552	 -22.932	 -23.329	        	 287	  2	   467	R	T6	Simbad
       7	  77	010.1181	+29.5558	 21424	  35	 21135	 187	  419	  246	   5	 0.190	U00428       	 0.789	 -23.049	 -23.589	 -23.982	 278	 13	      	 	T6	Simbad
       8	  85	010.4602	-09.3034	 16581	  56	 16622	  62	 1009	   31	 263	 0.162	             	 1.039	 -23.233	 -23.848	 -24.193	 329	 17	     1	C	T6	Simbad
       9	  86	010.6762	-21.7745	 18481	  41	 18887	 111	  415	   72	  14	 0.086	             	 0.676	 -23.209	 -23.648	 -23.944	 274	 15	   215	R	T6	Simbad
      10	 102	012.1301	+01.3547	 18946	  37	 19702	 166	  624	  125	  14	 0.124	U00496       	 0.539	 -23.051	 -23.435	 -23.717	 271	 11	      	 	T6	Simbad
      11	 114	013.5312	-21.7143	 17290	  45	 17705	 105	  515	   77	  24	 0.079	             	 0.520	 -23.076	 -23.427	 -23.702	 299	 13	      	 	T6	Simbad
      12	 116	013.9435	+00.6450	 20100	  42	 19992	  92	  629	   80	  46	 0.122	             	 0.470	 -22.948	 -23.236	 -23.447	 327	 11	    76	R	T6	Simbad
      13	 117	013.9662	-09.9857	 16453	  47	 16460	  63	  629	   49	  99	 0.156	I1602        	 0.670	 -23.224	 -23.659	 -23.963	 323	 11	   177	R	T6	Simbad
      14	 119	014.0672	-01.2561	 13338	  22	 13334	  55	  901	   40	 267	 0.167	U00579 15K   	 0.767	 -23.046	 -23.578	 -23.909	 283	 13	    23	C	T6	Simbad
      15	 133	015.6739	-21.8820	 17041	  50	 16759	  94	  790	   63	  70	 0.080	E541-G013    	 0.775	 -22.987	 -23.507	 -23.888	 273	 13	     5	C	T6	Simbad
      16	 134	015.6628	-02.6962	 20639	  31	 21000	  86	  345	   61	  16	 0.190	             	 0.357	 -22.486	 -22.708	        	 188	 24	  1023	R	T6	Simbad
