recno	Name	mue	re	n	mu0	r0	MAGS	MAGexp	MAGtot	S/e	alpha	elli	ello	PAi	PAo	MAGM	Simbad	NED	_RA	_DE
       1	A0014	26.65	387.58	 5.08	     	     	-26.65	      	-26.65	     	 1.10	 0.35	 0.56	 56.5	  52.0	-22.87	Simbad	NED	003.804	-23.888
       2	A0027	24.41	 32.51	 7.58	     	     	-23.67	      	-23.67	     	 0.59	 0.24	 0.28	-54.0	 -61.2	-22.18	Simbad	NED	006.220	-20.679
       3	A0071	20.73	  5.18	 5.49	     	     	-23.28	      	-23.28	     	 0.49	 0.06	 0.05	 51.1	  31.1	-22.45	Simbad	NED	009.437	+29.592
       4	A0074	23.24	 23.04	 6.45	     	     	-24.05	      	-24.05	     	 0.54	 0.28	 0.30	 42.2	  39.6	-22.93	Simbad	NED	009.721	-22.308
       5	A0075	21.86	 10.58	 4.74	     	     	-23.55	      	-23.55	     	 0.55	 0.09	 0.23	 85.0	  60.4	-22.74	Simbad	NED	009.958	+21.258
       6	A0076	24.08	 34.80	 7.58	     	     	-24.09	      	-24.09	     	 0.57	 0.05	 0.17	-66.4	-118.7	-22.80	Simbad	NED	009.946	+06.775
       7	A0077	26.39	190.00	 6.94	     	     	-25.65	      	-25.65	     	 0.91	 0.13	 0.51	-62.5	 -64.0	-23.04	Simbad	NED	010.142	+29.524
       8	A0080	21.59	  5.92	 2.24	     	     	-22.29	      	-22.29	     	 0.46	 0.11	 0.06	-64.2	 -71.0	-21.98	Simbad	NED	010.092	-24.675
       9	A0085	21.43	 12.43	 0.86	21.63	26.00	-23.47	-24.24	-24.68	 0.49	 1.30	 0.11	 0.35	-27.3	 -32.1	-23.18	Simbad	NED	010.407	-09.342
      10	A0086	22.55	 14.89	 6.17	     	     	-23.76	      	-23.76	     	 0.56	 0.26	 0.17	 70.6	  74.8	-22.90	Simbad	NED	010.617	-21.793
      11	A0102	23.73	 32.22	 7.41	     	     	-24.36	      	-24.36	     	 0.61	 0.13	 0.11	-64.2	 -41.3	-22.97	Simbad	NED	012.167	+01.372
