recno	Cluster	BCG	RAJ2000	DEJ2000	z	Scale	Sel	HST	n1	e_n1	re1	E_re1	e_re1	SBe1	e_SBe1	n2	e_n2	re2	E_re2	e_re2	SBe2	e_SBe2	f2	e_f2	re	e_re	SBe	e_SBe	Mtot	e_Mtot	Type	CCat	Simbad	NED	LEDA
      68	A1218	2MASX J11184993+5144291 	11 18 49.9	+51 44 30	 0.079470	 1.511	check	-    	10.98	  1.69	 1.50e+02	 8.65e+01	 6.03e+01	28.26	 0.92	 0.35	 0.17	 407.00	 3.74e+01	 3.50e+01	29.66	 0.22	 0.28	 0.09	 1.66e+02	 5.82e+01	27.89	 0.61	-23.25	 0.15	     	  1	Simbad	NED	LEDA
      69	A1228	UGC 6394                	11 22 56.4	+34 06 42	 0.042710	 0.847	other	-    	 3.49	  0.11	 2.14e+01	 3.70e-01	 3.70e-01	23.18	 0.04	     	     	       	         	         	     	     	     	     	 2.16e+01	 4.00e-01	23.15	 0.04	-23.23	 0.01	c,d  	  0	Simbad	NED	LEDA
      70	A1257	MCG+06-25-069           	11 26 17.3	+35 20 25	 0.034320	 0.688	other	-    	 2.09	  0.32	 2.39e+00	 2.20e-01	 2.00e-01	20.77	 0.16	 1.76	 0.16	  52.39	 1.63e+00	 1.60e+00	25.56	 0.07	 0.77	 0.02	 2.67e+01	 7.30e-01	24.39	 0.03	-22.35	 0.02	c    	  0	Simbad	NED	LEDA
      71	A1270	MCG+09-19-084           	11 28 41.9	+54 10 21	 0.070400	 1.352	check	-    	 2.51	  0.10	 1.80e+01	 4.20e-01	 4.10e-01	23.28	 0.05	     	     	       	         	         	     	     	     	     	 1.50e+01	 1.80e-01	22.94	 0.02	-22.89	 0.01	     	  1	Simbad	NED	LEDA
      72	A1275	2MASX J11292709+3638189 	11 29 27.1	+36 38 19	 0.060690	 1.179	check	-    	14.93	  2.60	 9.17e+00	 1.60e+00	 1.41e+00	22.32	 0.36	     	     	       	         	         	     	     	     	     	 1.90e+01	 4.11e+00	23.89	 0.49	-22.76	 0.10	     	  0	Simbad	NED	LEDA
      73	A1279	2MASX J11313927+6714296 	11 31 39.3	+67 14 31	 0.054130	 1.060	check	-    	 2.57	  0.10	 2.05e+01	 4.20e-01	 4.20e-01	23.55	 0.04	     	     	       	         	         	     	     	     	     	 1.64e+01	 2.70e-01	23.16	 0.03	-22.70	 0.01	     	  2	Simbad	NED	LEDA
      74	A1314	IC 712                  	11 34 49.3	+49 04 40	 0.033350	 0.669	check	-    	 6.56	  1.51	 7.29e+00	 2.44e+00	 1.95e+00	22.05	 0.58	 1.18	 0.07	  71.91	 9.90e-01	 9.80e-01	25.23	 0.07	 0.63	 0.05	 3.73e+01	 5.20e-01	24.10	 0.02	-23.29	 0.01	c    	  2	Simbad	NED	LEDA
      75	A1324	LEDA 2557423            	11 37 16.3	+57 06 49	 0.117960	 2.146	-    	-    	 6.12	  0.72	 1.95e+01	 2.15e+00	 1.98e+00	23.54	 0.22	 0.69	 0.19	 478.30	 5.01e+01	 4.65e+01	28.83	 0.20	 0.59	 0.04	 2.32e+02	 3.39e+01	27.96	 0.18	-24.38	 0.07	     	  0	Simbad	NED	LEDA
      76	A1356	2MASX J11422978+1028327 	11 42 29.8	+10 28 33	 0.071612	 1.374	check	-    	 4.97	  0.38	 2.26e+01	 8.10e-01	 7.90e-01	24.30	 0.08	     	     	       	         	         	     	     	     	     	 2.08e+01	 1.48e+00	24.15	 0.14	-22.68	 0.04	     	  0	Simbad	NED	LEDA
      77	A1365	NVSS J114430+305259     	11 44 30.5	+30 53 01	 0.076260	 1.455	check	-    	 7.67	  1.11	 2.06e+01	 4.61e+00	 3.95e+00	23.93	 0.42	 0.96	 0.18	 347.50	 2.32e+01	 2.21e+01	28.67	 0.13	 0.50	 0.05	 1.18e+02	 2.26e+01	26.94	 0.29	-23.67	 0.07	d    	  1	Simbad	NED	LEDA
      78	A1367	NGC 3842                	11 44 02.1	+19 57 00	 0.020830	 0.424	check	-    	 9.80	  0.77	 7.45e+01	 9.17e+00	 8.40e+00	26.12	 0.25	     	     	       	         	         	     	     	     	     	 5.22e+01	 1.60e+01	25.32	 0.66	-23.32	 0.13	     	  1	Simbad	NED	LEDA
      79	A1371	MCG+03-30-100           	11 45 22.2	+15 29 44	 0.068220	 1.314	M2   	-    	 2.03	  0.63	 3.87e+00	 7.30e-01	 6.40e-01	21.24	 0.30	 2.12	 0.21	 104.70	 4.49e+00	 4.35e+00	25.62	 0.09	 0.89	 0.02	 7.24e+01	 3.19e+00	24.77	 0.05	-23.89	 0.03	a    	  0	Simbad	NED	LEDA
      80	A1400	2MASS J11520578+5458171 	11 52 05.7	+54 58 18	 0.060070	 1.168	other	-    	16.49	  5.48	 1.56e+01	 2.30e+00	 2.07e+00	24.50	 0.30	     	     	       	         	         	     	     	     	     	 2.06e+01	 6.68e+00	24.98	 0.75	-21.67	 0.15	     	  0	Simbad	NED	LEDA
      81	A1413	MCG+04-28-097           	11 55 18.0	+23 24 18	 0.142800	 2.527	-    	check	16.34	  1.91	 7.26e+03	 4.67e+03	 3.14e+03	32.50	 1.01	     	     	       	         	         	     	     	     	     	 3.08e+03	 2.77e+03	29.14	 2.90	-26.19	 0.53	     	  0	Simbad	NED	LEDA
      82	A1423	2MASX J11574738+3342438 	11 57 47.3	+33 42 44	 0.080010	 1.520	check	-    	 3.58	  0.13	 1.95e+01	 9.30e-01	 9.00e-01	23.54	 0.09	 0.76	 0.15	 225.10	 1.06e+01	 1.03e+01	28.73	 0.10	 0.33	 0.03	 4.16e+01	 3.99e+00	25.20	 0.29	-23.43	 0.04	d    	  0	Simbad	NED	LEDA
      83	A1424	MCG+01-31-003           	11 57 28.9	+05 05 21	 0.080446	 1.528	check	-    	 8.93	  1.58	 1.52e+02	 4.02e+01	 3.35e+01	26.67	 0.51	     	     	       	         	         	     	     	     	     	 9.78e+01	 3.28e+01	25.63	 0.95	-24.35	 0.15	c    	  2	Simbad	NED	LEDA
      84	A1435	MCG+02-31-009           	12 00 14.3	+10 41 49	 0.061220	 1.189	-    	-    	 4.66	  0.37	 4.92e+01	 3.08e+00	 2.94e+00	25.17	 0.13	     	     	       	         	         	     	     	     	     	 3.12e+01	 3.19e+00	24.12	 0.32	-23.26	 0.05	c    	  1	Simbad	NED	LEDA
      85	A1436	MCG+09-20-056           	12 00 13.8	+56 15 03	 0.067212	 1.296	M2   	-    	 7.29	  2.50	 1.84e+01	 2.01e+01	 1.09e+01	23.98	 1.50	 1.44	 0.37	 147.50	 8.09e+00	 7.77e+00	27.10	 0.21	 0.54	 0.12	 5.34e+01	 2.82e+00	25.22	 0.08	-23.38	 0.03	a,c  	  1	Simbad	NED	LEDA
      86	A1452	MCG+09-20-071           	12 03 07.1	+51 40 31	 0.065544	 1.266	M2   	-    	 7.27	  0.72	 5.16e+01	 4.06e+00	 3.83e+00	25.15	 0.16	     	     	       	         	         	     	     	     	     	 3.88e+01	 6.49e+00	24.48	 0.34	-23.50	 0.08	a    	  1	Simbad	NED	LEDA
      87	A1507	NGC 4199A               	12 14 48.6	+59 54 23	 0.060070	 1.168	check	-    	 5.49	  0.41	 3.55e+01	 1.64e+00	 1.59e+00	24.48	 0.10	     	     	       	         	         	     	     	     	     	 2.90e+01	 2.57e+00	24.00	 0.20	-23.30	 0.05	     	  2	Simbad	NED	LEDA
      88	A1516	2MASX J12185235+0514443 	12 18 52.3	+05 14 45	 0.078342	 1.491	-    	-    	 4.63	  0.22	 6.34e+01	 2.29e+00	 2.23e+00	24.89	 0.08	     	     	       	         	         	     	     	     	     	 4.72e+01	 3.66e+00	24.27	 0.13	-24.16	 0.04	     	  1	Simbad	NED	LEDA
      89	A1526	2MASX J12214375+1345168 	12 21 43.8	+13 45 17	 0.081740	 1.550	-    	-    	15.44	  4.15	 5.62e+01	 4.72e+01	 2.88e+01	26.32	 1.33	 0.50	 0.14	 265.90	 1.56e+01	 1.49e+01	28.53	 0.14	 0.29	 0.11	 6.19e+01	 1.22e+01	26.22	 0.29	-23.20	 0.07	     	  0	Simbad	NED	LEDA
      90	A1534	MCG+10-18-041           	12 24 42.7	+61 28 15	 0.070010	 1.345	check	-    	 4.69	  0.30	 3.81e+01	 1.38e+00	 1.35e+00	24.33	 0.08	     	     	       	         	         	     	     	     	     	 3.28e+01	 2.33e+00	23.95	 0.13	-23.62	 0.04	     	  2	Simbad	NED	LEDA
      91	A1569	2MASX J12362580+1632181 	12 36 25.7	+16 32 19	 0.068464	 1.318	other	-    	 4.58	  2.62	 3.76e+00	 1.31e+00	 1.04e+00	21.05	 0.61	 2.11	 0.25	 146.90	 8.02e+00	 7.70e+00	26.31	 0.11	 0.83	 0.04	 9.82e+01	 5.54e+00	25.42	 0.08	-23.79	 0.04	c    	  0	Simbad	NED	LEDA
      92	A1589	MCG+03-32-083           	12 41 17.4	+18 34 29	 0.071800	 1.377	check	-    	 6.67	  0.66	 1.60e+02	 2.36e+01	 2.12e+01	26.39	 0.29	     	     	       	         	         	     	     	     	     	 1.24e+02	 3.10e+01	25.91	 0.49	-24.59	 0.11	b,c  	  1	Simbad	NED	LEDA
      93	A1610	IC 822                  	12 47 45.5	+30 04 39	 0.060622	 1.178	check	-    	 3.74	  0.19	 2.29e+01	 5.70e-01	 5.60e-01	23.61	 0.05	     	     	       	         	         	     	     	     	     	 1.68e+01	 4.80e-01	23.09	 0.06	-23.22	 0.02	c    	  1	Simbad	NED	LEDA
      94	A1656	NGC 4874                	12 59 35.7	+27 57 34	 0.023100	 0.469	M2   	check	 9.00	  0.90	 7.84e+02	 2.91e+02	 2.28e+02	29.30	 0.62	     	     	       	         	         	     	     	     	     	 4.21e+02	 2.35e+02	27.58	 1.35	-24.97	 0.29	a,c  	  0	Simbad	NED	LEDA
      95	A1668	IC 4130                 	13 03 46.6	+19 16 18	 0.063510	 1.230	check	-    	 2.97	  0.17	 2.74e+01	 2.36e+00	 2.22e+00	23.68	 0.15	 0.86	 0.17	 274.40	 1.36e+01	 1.31e+01	28.12	 0.11	 0.40	 0.04	 5.63e+01	 3.68e+00	25.20	 0.12	-23.78	 0.03	c    	  0	Simbad	NED	LEDA
      96	A1691	MCG+07-27-039           	13 11 08.6	+39 13 37	 0.072300	 1.386	check	-    	16.87	  3.63	 5.52e+02	 4.05e+02	 2.60e+02	29.33	 1.19	     	     	       	         	         	     	     	     	     	 3.34e+02	 2.20e+02	27.73	 1.61	-24.87	 0.33	c    	  1	Simbad	NED	LEDA
      97	A1749	IC 4269                 	13 29 21.0	+37 37 23	 0.055785	 1.090	check	-    	11.20	  0.95	 1.05e+02	 1.29e+01	 1.19e+01	26.48	 0.25	     	     	       	         	         	     	     	     	     	 6.90e+01	 2.43e+01	25.46	 0.82	-23.84	 0.15	     	  1	Simbad	NED	LEDA
      98	A1767	MCG+10-19-096           	13 36 08.3	+59 12 24	 0.071062	 1.364	check	-    	 5.38	  0.33	 1.96e+02	 1.70e+01	 1.60e+01	26.57	 0.17	     	     	       	         	         	     	     	     	     	 1.32e+02	 3.15e+01	25.71	 0.37	-24.64	 0.11	b    	  2	Simbad	NED	LEDA
      99	A1775	MCG+05-32-063           	13 41 49.1	+26 22 25	 0.075460	 1.441	check	check	 7.31	  0.44	 1.54e+02	 1.32e+01	 1.24e+01	26.64	 0.17	     	     	       	         	         	     	     	     	     	 1.26e+02	 3.85e+01	26.11	 0.69	-24.49	 0.14	     	  1	Simbad	NED	LEDA
     100	A1795	MCG+05-33-005           	13 48 52.5	+26 35 35	 0.063550	 1.231	check	check	 3.47	  1.27	 1.77e+01	 9.39e+00	 6.70e+00	23.05	 0.79	 1.42	 0.14	 199.20	 1.02e+01	 9.83e+00	26.00	 0.14	 0.78	 0.06	 1.28e+02	 4.72e+00	25.23	 0.05	-24.64	 0.02	c    	  1	Simbad	NED	LEDA
     101	A1800	UGC 8738                	13 49 23.5	+28 06 27	 0.078288	 1.490	check	-    	 3.57	  0.15	 7.95e+01	 2.45e+00	 2.40e+00	24.29	 0.07	     	     	       	         	         	     	     	     	     	 6.79e+01	 3.40e+00	23.83	 0.08	-24.55	 0.03	b,c  	  1	Simbad	NED	LEDA
     102	A1809	2MASX J13530637+0508586 	13 53 06.4	+05 09 00	 0.078850	 1.500	check	-    	 9.12	  0.90	 1.12e+02	 3.34e+01	 2.73e+01	26.16	 0.52	 0.16	 0.01	  71.76	 3.20e+08	 2.70e+08	27.31	 0.15	 0.24	 0.01	 8.58e+01	 1.36e+01	25.46	 0.17	-24.41	 0.06	b    	  2	Simbad	NED	LEDA
     103	A1812	2MASX J13522099+3730370 	13 52 21.0	+37 30 38	 0.061810	 1.199	-    	-    	 6.03	  0.55	 1.22e+02	 1.70e+01	 1.54e+01	27.31	 0.27	     	     	       	         	         	     	     	     	     	 9.01e+01	 3.03e+01	26.67	 0.95	-23.20	 0.16	     	  0	Simbad	NED	LEDA
     104	A1825	UGC 8888                	13 58 00.4	+20 37 57	 0.062135	 1.205	check	-    	 3.87	  0.22	 2.93e+01	 8.50e-01	 8.40e-01	24.21	 0.07	     	     	       	         	         	     	     	     	     	 2.36e+01	 1.06e+00	23.75	 0.07	-23.08	 0.03	a,c,d	  1	Simbad	NED	LEDA
     105	A1828	2MASX J13581472+1820457 	13 58 14.7	+18 20 47	 0.064913	 1.255	check	-    	10.99	  2.26	 3.03e+00	 1.36e+00	 1.01e+00	19.58	 0.90	     	     	       	         	         	     	     	     	     	 1.01e+01	 5.70e-01	22.20	 0.14	-22.49	 0.03	     	  1	Simbad	NED	LEDA
     106	A1831	MCG+05-33-033           	13 59 15.1	+27 58 35	 0.076110	 1.452	check	-    	 6.44	  0.35	 2.70e+02	 2.55e+01	 2.39e+01	27.04	 0.18	     	     	       	         	         	     	     	     	     	 2.26e+02	 6.33e+01	26.60	 0.56	-25.07	 0.16	     	  1	Simbad	NED	LEDA
     107	A1890	NGC 5539                	14 17 37.7	+08 10 47	 0.058180	 1.134	check	-    	 5.95	  0.37	 5.32e+01	 2.46e+00	 2.37e+00	24.57	 0.10	     	     	       	         	         	     	     	     	     	 3.88e+01	 3.46e+00	23.83	 0.23	-23.95	 0.05	     	  1	Simbad	NED	LEDA
     108	A1899	MCG+03-37-008           	14 21 41.7	+17 45 09	 0.056445	 1.102	check	-    	 2.76	  0.16	 9.60e+00	 5.30e-01	 5.10e-01	22.02	 0.11	 0.87	 0.27	 119.30	 8.62e+00	 8.18e+00	27.87	 0.15	 0.27	 0.03	 1.71e+01	 4.10e-01	23.21	 0.07	-22.87	 0.01	d    	  1	Simbad	NED	LEDA
     109	A1904	MCG+08-26-024           	14 22 10.2	+48 34 15	 0.070980	 1.363	check	-    	 6.83	  0.43	 1.64e+02	 1.52e+01	 1.42e+01	26.61	 0.18	     	     	       	         	         	     	     	     	     	 1.24e+02	 3.75e+01	25.86	 0.68	-24.43	 0.13	     	  1	Simbad	NED	LEDA
     110	A1913	2MASX J14263943+1641139 	14 26 39.4	+16 41 15	 0.053610	 1.050	other	-    	 8.87	  0.80	 7.75e+01	 9.44e+00	 8.65e+00	26.47	 0.24	     	     	       	         	         	     	     	     	     	 3.73e+01	 9.84e+00	24.86	 0.49	-23.08	 0.12	     	  0	Simbad	NED	LEDA
     111	A1982	MCG+05-35-020           	14 51 14.4	+30 41 33	 0.056322	 1.100	check	-    	 3.97	  0.22	 3.77e+01	 1.30e+00	 1.27e+00	24.30	 0.08	     	     	       	         	         	     	     	     	     	 3.18e+01	 1.78e+00	24.01	 0.10	-23.18	 0.03	b    	  1	Simbad	NED	LEDA
     112	A1983	MCG+03-38-044           	14 52 55.3	+16 42 11	 0.044764	 0.886	M2   	check	16.03	  2.07	 1.05e+03	 6.14e+02	 4.26e+02	31.42	 0.95	     	     	       	         	         	     	     	     	     	 4.32e+02	 3.52e+02	28.58	 2.22	-23.72	 0.43	     	  0	Simbad	NED	LEDA
     113	A2022	MCG+05-36-002           	15 04 15.9	+28 29 48	 0.058189	 1.134	check	-    	24.43	  4.06	 3.30e+04	 5.70e+04	 2.40e+04	36.96	 2.17	     	     	       	         	         	     	     	     	     	 1.10e+04	 1.10e+04	31.16	 5.02	-25.12	 0.80	     	  1	Simbad	NED	LEDA
     114	A2029	IC 1101                 	15 10 56.1	+05 44 42	 0.077900	 1.484	check	check	 5.55	  0.26	 2.61e+02	 1.75e+01	 1.66e+01	26.08	 0.14	     	     	       	         	         	     	     	     	     	 3.29e+02	 8.21e+01	26.53	 0.73	-25.85	 0.12	     	  1	Simbad	NED	LEDA
     115	A2052	UGC 9799                	15 16 44.5	+07 01 18	 0.034470	 0.691	check	check	 4.02	  0.23	 7.92e+01	 4.74e+00	 4.54e+00	25.32	 0.12	     	     	       	         	         	     	     	     	     	 4.79e+01	 2.12e+00	24.33	 0.11	-23.64	 0.03	d    	  1	Simbad	NED	LEDA
     116	A2061	2MASX J15212054+3040154 	15 21 20.6	+30 40 16	 0.078820	 1.499	check	-    	23.24	  6.48	 1.58e+05	 7.78e+05	 1.52e+05	38.80	 4.12	     	     	       	         	         	     	     	     	     	 6.46e+04	 6.43e+04	32.39	 5.97	-26.02	 1.10	b    	  1	Simbad	NED	LEDA
     117	A2063	MCG+02-39-020           	15 23 05.3	+08 36 34	 0.034170	 0.685	check	-    	 8.46	  0.64	 3.46e+02	 6.86e+01	 5.97e+01	28.41	 0.36	     	     	       	         	         	     	     	     	     	 2.02e+02	 1.03e+02	27.00	 1.21	-24.02	 0.23	     	  1	Simbad	NED	LEDA
     118	A2065	MCG+05-36-020           	15 22 24.0	+27 42 52	 0.069020	 1.328	check	-    	 7.58	  2.29	 2.55e+01	 2.38e+01	 1.39e+01	24.42	 1.34	 1.24	 0.30	 189.50	 1.08e+01	 1.04e+01	27.35	 0.18	 0.58	 0.13	 9.16e+01	 6.60e+00	25.79	 0.11	-23.78	 0.04	     	  1	Simbad	NED	LEDA
     119	A2107	UGC 9958                	15 39 39.0	+21 46 58	 0.042060	 0.835	check	-    	 3.31	  0.11	 3.57e+01	 1.28e+00	 1.24e+00	23.78	 0.07	 0.43	 0.08	 352.50	 1.10e+01	 1.08e+01	28.74	 0.08	 0.27	 0.02	 6.01e+01	 3.01e+00	24.85	 0.15	-24.09	 0.02	c    	  1	Simbad	NED	LEDA
     120	A2122	UGC 10012               	15 44 59.0	+36 06 35	 0.066210	 1.278	check	-    	 3.35	  0.13	 5.82e+01	 1.52e+00	 1.49e+00	24.53	 0.06	     	     	       	         	         	     	     	     	     	 4.38e+01	 1.52e+00	23.86	 0.09	-24.03	 0.02	     	  0	Simbad	NED	LEDA
     121	A2147	UGC 10143               	16 02 17.0	+15 58 29	 0.035380	 0.708	check	check	 1.43	  0.39	 6.32e+00	 7.90e-01	 7.30e-01	21.78	 0.17	 1.77	 0.16	  85.49	 2.93e+00	 2.86e+00	25.26	 0.07	 0.84	 0.03	 5.62e+01	 1.32e+00	24.44	 0.04	-23.50	 0.01	a    	  1	Simbad	NED	LEDA
     122	A2151	NGC 6041                	16 04 35.8	+17 43 18	 0.035100	 0.703	check	-    	 8.91	  0.70	 1.52e+02	 2.35e+01	 2.11e+01	27.21	 0.30	     	     	       	         	         	     	     	     	     	 1.12e+02	 4.24e+01	26.48	 0.69	-23.80	 0.17	     	  1	Simbad	NED	LEDA
     123	A2152	MCG+03-41-095           	16 05 29.2	+16 26 10	 0.044440	 0.880	check	-    	 5.51	  0.30	 1.18e+01	 8.60e-01	 8.10e-01	22.89	 0.14	 0.52	 0.03	 188.80	 3.04e+00	 3.00e+00	26.92	 0.04	 0.60	 0.01	 9.54e+01	 2.25e+00	26.13	 0.01	-23.56	 0.01	a    	  1	Simbad	NED	LEDA
     124	A2162	NGC 6086                	16 12 35.5	+29 29 06	 0.031900	 0.641	check	-    	 6.36	  0.51	 2.01e+01	 3.50e+00	 3.09e+00	23.52	 0.30	 0.70	 0.09	  99.66	 2.09e+00	 2.06e+00	26.38	 0.09	 0.34	 0.03	 3.31e+01	 1.06e+00	24.15	 0.06	-23.22	 0.02	c    	  1	Simbad	NED	LEDA
     125	A2197	NGC 6173                	16 29 44.9	+40 48 42	 0.029380	 0.592	check	check	 5.19	  0.29	 3.50e+01	 1.42e+00	 1.37e+00	23.89	 0.09	     	     	       	         	         	     	     	     	     	 2.83e+01	 1.63e+00	23.51	 0.13	-23.48	 0.03	b    	  2	Simbad	NED	LEDA
     126	A2199	NGC 6166                	16 28 39.1	+39 33 11	 0.030920	 0.622	check	check	 7.23	  0.19	 1.44e+02	 6.09e+00	 5.90e+00	26.31	 0.09	     	     	       	         	         	     	     	     	     	 1.02e+02	 2.70e+01	25.50	 0.50	-24.22	 0.12	d    	  2	Simbad	NED	LEDA
     127	A2247	UGC 10638               	16 50 58.6	+81 34 30	 0.038809	 0.774	M2   	-    	 6.31	  1.29	 7.24e+01	 2.47e+01	 1.96e+01	26.30	 0.61	     	     	       	         	         	     	     	     	     	 4.06e+01	 5.83e+00	25.14	 0.43	-22.93	 0.08	     	  0	Simbad	NED	LEDA
     128	A2248	2MASX J16573834+7703462 	16 57 38.4	+77 03 46	 0.065641	 1.268	M2   	-    	 4.39	  0.27	 3.92e+01	 1.40e+00	 1.36e+00	24.60	 0.08	     	     	       	         	         	     	     	     	     	 2.61e+01	 1.42e+00	23.66	 0.09	-23.27	 0.03	     	  0	Simbad	NED	LEDA
     129	A2255	2MASXI J1712287+640338  	17 12 28.8	+64 03 39	 0.073440	 1.406	-    	-    	23.77	  6.61	 9.34e+03	 2.40e+04	 7.91e+03	34.64	 2.92	     	     	       	         	         	     	     	     	     	 5.06e+03	 4.84e+03	30.86	 3.90	-25.53	 0.75	     	  1	Simbad	NED	LEDA
     130	A2256	UGC10726                	17 04 27.1	+78 38 26	 0.059170	 1.152	check	-    	10.96	  1.14	 2.17e+02	 4.57e+01	 3.95e+01	27.41	 0.40	     	     	       	         	         	     	     	     	     	 1.69e+02	 7.17e+01	26.54	 0.77	-24.61	 0.20	a    	  1	Simbad	NED	LEDA
     131	A2271	MCG+13-12-022           	17 18 16.6	+78 01 07	 0.057439	 1.120	check	-    	 6.17	  0.29	 1.12e+02	 6.54e+00	 6.26e+00	25.99	 0.12	     	     	       	         	         	     	     	     	     	 5.68e+01	 7.09e+00	24.61	 0.22	-23.96	 0.07	c    	  1	Simbad	NED	LEDA
     132	A2293	2MASX J18012131+5739016 	18 01 21.3	+57 39 02	 0.073396	 1.405	M2   	-    	 8.59	  1.13	 8.55e+01	 1.49e+01	 1.31e+01	26.10	 0.34	     	     	       	         	         	     	     	     	     	 8.96e+01	 2.78e+01	26.16	 0.64	-23.81	 0.12	d    	  0	Simbad	NED	LEDA
     133	A2308	2MASX J18340865+7057188 	18 34 08.5	+70 57 20	 0.083424	 1.579	check	-    	10.92	  1.49	 2.71e+02	 8.33e+01	 6.77e+01	27.92	 0.56	     	     	       	         	         	     	     	     	     	 1.30e+02	 6.64e+01	26.34	 1.32	-24.39	 0.21	     	  1	Simbad	NED	LEDA
     134	A2319	MCG+07-40-004           	19 21 10.0	+43 56 45	 0.054588	 1.068	-    	-    	 1.34	  0.13	 2.26e+01	 2.12e+00	 1.98e+00	22.69	 0.13	 1.18	 0.25	 168.60	 1.19e+01	 1.13e+01	26.39	 0.14	 0.64	 0.04	 9.24e+01	 3.15e+00	25.40	 0.05	-24.64	 0.02	d    	  0	Simbad	NED	LEDA
     135	A2388	LEDA 140981             	21 53 39.3	+08 15 10	 0.061500	 1.194	check	-    	11.08	  0.79	 5.27e+02	 1.73e+02	 1.39e+02	29.52	 0.54	 0.16	 0.06	 141.00	 1.70e+11	 1.60e+11	28.87	 0.12	 0.25	 0.04	 3.27e+02	 1.23e+02	27.79	 0.51	-24.06	 0.19	     	  1	Simbad	NED	LEDA
     136	A2469	                        	22 40 34.3	+12 17 56	 0.065600	 1.267	other	-    	 4.08	  0.34	 5.03e+01	 3.65e+00	 3.46e+00	25.99	 0.15	     	     	       	         	         	     	     	     	     	 3.18e+01	 2.92e+00	25.14	 0.24	-22.47	 0.06	     	  0	Simbad	NED	LEDA
     137	A2495	MCG+02-58-021           	22 50 19.7	+10 54 13	 0.080060	 1.521	check	check	 3.81	  0.22	 1.58e+02	 1.20e+01	 1.14e+01	25.78	 0.15	     	     	       	         	         	     	     	     	     	 1.04e+02	 9.91e+00	25.02	 0.17	-24.61	 0.05	     	  1	Simbad	NED	LEDA
     138	A2506	NGC 7432                	22 58 01.9	+13 08 05	 0.025464	 0.516	-    	-    	 4.06	  0.17	 2.38e+01	 6.70e-01	 6.60e-01	23.81	 0.06	     	     	       	         	         	     	     	     	     	 1.67e+01	 5.90e-01	23.14	 0.07	-22.61	 0.02	d    	  0	Simbad	NED	LEDA
     139	A2513	NGC 7436                	22 57 57.5	+26 09 01	 0.024600	 0.499	-    	-    	 3.50	  0.09	 2.31e+01	 4.10e-01	 4.00e-01	23.47	 0.04	     	     	       	         	         	     	     	     	     	 2.02e+01	 4.30e-01	23.19	 0.04	-23.20	 0.01	     	  0	Simbad	NED	LEDA
     140	A2516	2MASX J23001449+1835027 	23 00 14.5	+18 35 03	 0.081825	 1.551	-    	-    	 4.21	  0.29	 1.68e+01	 6.10e-01	 5.90e-01	22.91	 0.08	     	     	       	         	         	     	     	     	     	 1.73e+01	 5.30e-01	23.02	 0.05	-23.38	 0.02	     	  0	Simbad	NED	LEDA
     141	A2524	2MASX J23031792+1740232 	23 02 55.8	+17 45 01	 0.081490	 1.546	check	-    	 5.11	  0.36	 3.99e+01	 1.74e+00	 1.69e+00	24.37	 0.09	     	     	       	         	         	     	     	     	     	 3.25e+01	 2.48e+00	23.96	 0.18	-23.73	 0.04	     	  1	Simbad	NED	LEDA
     142	A2558	2MASX J23124349+1021435 	23 12 43.5	+10 21 44	 0.064900	 1.255	check	-    	 6.25	  0.39	 7.99e+01	 5.94e+00	 5.63e+00	26.25	 0.15	     	     	       	         	         	     	     	     	     	 5.59e+01	 1.30e+01	25.46	 0.59	-23.32	 0.11	     	  1	Simbad	NED	LEDA
     143	A2572	NGC 7597                	23 18 30.2	+18 41 21	 0.037540	 0.749	other	-    	 8.43	  0.47	 1.09e+02	 1.05e+01	 9.80e+00	26.67	 0.19	     	     	       	         	         	     	     	     	     	 7.31e+01	 2.41e+01	25.79	 0.74	-23.57	 0.14	d    	  0	Simbad	NED	LEDA
     144	A2589	NGC 7647                	23 23 57.4	+16 46 38	 0.041170	 0.818	check	check	 5.92	  0.26	 2.77e+02	 2.48e+01	 2.33e+01	27.32	 0.17	     	     	       	         	         	     	     	     	     	 1.14e+02	 2.67e+01	25.45	 0.50	-24.14	 0.12	c    	  1	Simbad	NED	LEDA
     145	A2593	NGC7649                 	23 24 20.0	+14 38 50	 0.042042	 0.835	check	check	 5.78	  0.47	 7.26e+01	 6.14e+00	 5.77e+00	25.41	 0.17	     	     	       	         	         	     	     	     	     	 4.56e+01	 6.32e+00	24.52	 0.36	-23.56	 0.07	d    	  2	Simbad	NED	LEDA
     146	A2618	2MASX J23340547+2259000 	23 34 05.5	+22 59 00	 0.072813	 1.395	check	-    	 6.97	  0.48	 1.29e+02	 1.23e+01	 1.15e+01	26.17	 0.19	     	     	       	         	         	     	     	     	     	 8.83e+01	 1.93e+01	25.32	 0.49	-24.50	 0.10	     	  1	Simbad	NED	LEDA
     147	A2622	2MASX J23350151+2722203 	23 35 01.5	+27 22 21	 0.063441	 1.229	check	-    	 5.05	  0.21	 3.78e+01	 3.01e+00	 2.84e+00	24.35	 0.15	 0.67	 0.19	 410.80	 3.90e+01	 3.64e+01	28.76	 0.18	 0.32	 0.04	 6.21e+01	 6.46e+00	25.28	 0.19	-23.83	 0.04	     	  1	Simbad	NED	LEDA
