recno	Cluster	BCG	RAJ2000	DEJ2000	z	Scale	Sel	HST	n1	e_n1	re1	E_re1	e_re1	SBe1	e_SBe1	n2	e_n2	re2	E_re2	e_re2	SBe2	e_SBe2	f2	e_f2	re	e_re	SBe	e_SBe	Mtot	e_Mtot	Type	CCat	Simbad	NED	LEDA
      20	A347 	NGC 910                 	02 25 26.9	+41 49 23	 0.017302	 0.354	check	check	 7.54	  0.54	 3.70e+01	 3.37e+00	 3.15e+00	25.26	 0.19	     	     	       	         	         	     	     	     	     	 2.76e+01	 3.94e+00	24.51	 0.26	-22.60	 0.08	d    	  1	Simbad	NED	LEDA
      21	A376 	UGC 2232                	02 46 03.9	+36 54 19	 0.048610	 0.958	check	check	11.17	  1.00	 4.46e+02	 1.16e+02	 9.74e+01	29.10	 0.47	     	     	       	         	         	     	     	     	     	 2.44e+02	 1.48e+02	27.48	 1.34	-24.24	 0.29	     	  1	Simbad	NED	LEDA
      22	A397 	UGC 2413                	02 56 28.7	+15 54 58	 0.034447	 0.690	check	check	 5.66	  0.35	 5.53e+01	 3.93e+00	 3.74e+00	25.14	 0.15	     	     	       	         	         	     	     	     	     	 3.80e+01	 4.09e+00	24.23	 0.24	-23.42	 0.06	c    	  1	Simbad	NED	LEDA
      23	A399 	UGC 2438                	02 57 53.1	+13 01 52	 0.071239	 1.367	check	-    	 2.85	  0.11	 6.51e+01	 1.72e+00	 1.68e+00	24.20	 0.06	     	     	       	         	         	     	     	     	     	 5.84e+01	 1.51e+00	23.91	 0.05	-24.39	 0.02	c    	  1	Simbad	NED	LEDA
      24	A400 	NGC 1128                	02 57 41.6	+06 01 21	 0.023980	 0.487	check	check	 4.52	  0.90	 4.92e+00	 1.46e+00	 1.20e+00	21.94	 0.51	 1.05	 0.09	  65.23	 1.67e+00	 1.64e+00	25.10	 0.07	 0.79	 0.02	 4.66e+01	 3.90e-01	24.68	 0.01	-23.20	 0.01	d    	  1	Simbad	NED	LEDA
      25	A407 	2MASX J03015146+3550283 	03 01 51.8	+35 50 20	 0.047820	 0.943	check	-    	 1.90	  0.14	 3.49e+01	 1.28e+00	 1.25e+00	23.45	 0.09	     	     	       	         	         	     	     	     	     	 2.95e+01	 2.20e-01	23.03	 0.02	-23.77	 0.01	d    	  1	Simbad	NED	LEDA
      26	A426 	NGC 1275                	03 19 48.1	+41 30 43	 0.017560	 0.359	-    	check	 4.25	  0.28	 1.46e+01	 1.32e+00	 1.23e+00	22.42	 0.17	 0.44	 0.04	  97.04	 1.42e+00	 1.41e+00	25.86	 0.07	 0.37	 0.03	 3.05e+01	 3.00e-01	23.75	 0.02	-23.64	 0.00	d    	  0	Simbad	NED	LEDA
      27	A498 	2MASX J04375071+2112203 	04 37 50.7	+21 12 21	 0.059823	 1.163	check	-    	 5.38	  0.39	 9.84e+01	 9.35e+00	 8.73e+00	25.39	 0.19	     	     	       	         	         	     	     	     	     	 5.52e+01	 6.92e+00	24.29	 0.21	-24.12	 0.06	b    	  1	Simbad	NED	LEDA
      28	A505 	UGC 3197                	04 59 55.6	+80 10 44	 0.053504	 1.048	check	-    	 4.45	  0.17	 3.01e+01	 6.60e-01	 6.50e-01	23.43	 0.05	     	     	       	         	         	     	     	     	     	 2.75e+01	 9.00e-01	23.12	 0.06	-24.00	 0.02	     	  1	Simbad	NED	LEDA
      29	A539 	LEDA 17025              	05 16 37.3	+06 26 27	 0.028142	 0.568	M2   	-    	 4.44	  0.72	 4.57e+01	 2.11e+01	 1.57e+01	24.99	 0.66	 0.42	 0.10	  97.99	 2.44e+00	 2.39e+00	25.93	 0.16	 0.37	 0.11	 5.91e+01	 3.11e+00	24.85	 0.09	-23.49	 0.03	d    	  0	Simbad	NED	LEDA
      30	A553 	2MASX J06124115+4835445 	06 12 41.1	+48 35 45	 0.069059	 1.329	-    	-    	 2.66	  0.38	 7.14e+00	 1.19e+00	 1.06e+00	21.55	 0.27	 2.62	 0.33	 505.60	 6.45e+01	 5.88e+01	27.22	 0.23	 0.93	 0.01	 4.05e+02	 4.70e+01	26.73	 0.06	-25.35	 0.09	     	  0	Simbad	NED	LEDA
      31	A559 	2MASX J06395117+6958332 	06 39 51.0	+69 58 34	 0.075700	 1.445	-    	-    	 2.73	  0.59	 3.34e+00	 5.70e-01	 5.00e-01	20.81	 0.28	 1.75	 0.18	  51.18	 2.53e+00	 2.44e+00	25.08	 0.11	 0.75	 0.04	 2.94e+01	 8.00e-01	24.02	 0.03	-23.25	 0.02	     	  0	Simbad	NED	LEDA
      32	A568 	MCG+06-16-019           	07 07 41.5	+35 03 32	 0.081702	 1.549	check	-    	25.83	 11.10	 2.28e+02	 2.85e+02	 1.46e+02	28.10	 1.88	     	     	       	         	         	     	     	     	     	 1.91e+02	 1.39e+02	26.89	 2.01	-24.35	 0.32	     	  1	Simbad	NED	LEDA
      33	A569 	NGC 2329                	07 09 08.0	+48 36 56	 0.019420	 0.396	check	check	 4.60	  0.21	 9.76e+00	 2.90e-01	 2.90e-01	22.59	 0.06	     	     	       	         	         	     	     	     	     	 9.95e+00	 2.00e-01	22.49	 0.04	-22.26	 0.01	d    	  1	Simbad	NED	LEDA
      34	A582 	2MASX J07280080+4155074 	07 28 00.8	+41 55 08	 0.060245	 1.171	check	-    	 9.41	  1.38	 6.99e+01	 1.24e+01	 1.09e+01	26.14	 0.35	     	     	       	         	         	     	     	     	     	 5.30e+01	 1.87e+01	25.51	 1.02	-23.56	 0.14	     	  1	Simbad	NED	LEDA
      35	A592 	2MASX J07424058+0922207 	07 42 40.6	+09 22 21	 0.065651	 1.268	other	-    	 2.44	  0.13	 1.22e+02	 5.81e+00	 5.61e+00	25.21	 0.10	     	     	       	         	         	     	     	     	     	 8.79e+01	 2.98e+00	24.40	 0.06	-24.31	 0.02	c,d  	  0	Simbad	NED	LEDA
      36	A595 	MCG+09-13-062           	07 49 27.2	+52 02 33	 0.070938	 1.362	M2   	-    	 8.26	  1.46	 8.71e+00	 2.46e+00	 2.03e+00	22.68	 0.50	 0.77	 0.07	  61.35	 1.08e+00	 1.07e+00	25.34	 0.06	 0.55	 0.04	 3.44e+01	 8.30e-01	24.32	 0.02	-23.15	 0.01	a    	  0	Simbad	NED	LEDA
      37	A600 	2MASX J07563560+6344237 	07 56 35.5	+63 44 25	 0.080997	 1.537	check	-    	 3.93	  0.20	 2.74e+01	 1.64e+00	 1.57e+00	23.97	 0.12	 0.42	 0.18	 355.80	 2.96e+01	 2.79e+01	29.48	 0.19	 0.29	 0.04	 5.95e+01	 8.92e+00	25.71	 0.53	-23.57	 0.06	d    	  1	Simbad	NED	LEDA
      38	A602 	2MASX J07532661+2921341 	07 53 26.6	+29 21 35	 0.060420	 1.174	M2   	-    	 3.53	  0.31	 3.02e+01	 6.15e+00	 5.34e+00	24.66	 0.31	 1.14	 0.16	 391.20	 2.07e+01	 1.99e+01	27.70	 0.11	 0.71	 0.03	 1.72e+02	 1.30e+01	26.43	 0.04	-23.87	 0.04	c    	  1	Simbad	NED	LEDA
      39	A607 	SDSS J075724.71+392106.6	07 57 24.7	+39 21 07	 0.095620	 1.784	-    	-    	 2.67	  0.28	 1.26e+02	 1.44e+01	 1.33e+01	26.43	 0.22	     	     	       	         	         	     	     	     	     	 1.22e+02	 1.64e+01	26.41	 0.45	-23.86	 0.08	     	  0	Simbad	NED	LEDA
      40	A612 	2MASX J08011329+3440311 	08 01 13.2	+34 40 31	 0.082720	 1.567	-    	-    	20.24	 14.22	 1.99e+02	 3.90e+02	 1.54e+02	28.98	 2.60	     	     	       	         	         	     	     	     	     	 1.07e+02	 7.90e+01	26.81	 2.01	-23.11	 0.31	     	  1	Simbad	NED	LEDA
      41	A634 	UGC 4289                	08 15 44.8	+58 19 16	 0.027090	 0.548	check	check	 7.14	  0.57	 2.28e+01	 1.24e+00	 1.19e+00	24.17	 0.12	     	     	       	         	         	     	     	     	     	 2.41e+01	 3.09e+00	24.40	 0.24	-22.69	 0.06	b    	  1	Simbad	NED	LEDA
      42	A671 	IC 2378                 	08 28 31.6	+30 25 53	 0.050320	 0.990	check	check	 3.57	  0.16	 4.42e+01	 1.31e+00	 1.28e+00	24.05	 0.07	     	     	       	         	         	     	     	     	     	 4.05e+01	 1.44e+00	23.76	 0.05	-23.99	 0.02	     	  2	Simbad	NED	LEDA
      43	A688 	SDSSJ083734.33+154907.6 	08 37 34.3	+15 49 08	 0.152620	 2.672	-    	-    	 3.98	  0.19	 4.15e+01	 8.30e-01	 8.20e-01	23.87	 0.04	     	     	       	         	         	     	     	     	     	 3.93e+01	 1.61e+00	23.73	 0.09	-24.27	 0.03	     	  0	Simbad	NED	LEDA
      44	A690 	ICRF J083915.8+285038   	08 39 15.8	+28 50 39	 0.079020	 1.503	check	-    	 3.88	  0.19	 5.35e+01	 1.73e+00	 1.69e+00	24.59	 0.07	     	     	       	         	         	     	     	     	     	 4.16e+01	 2.17e+00	24.04	 0.08	-24.09	 0.03	     	  1	Simbad	NED	LEDA
      45	A695 	2MASX J08411308+3224596 	08 41 13.1	+32 25 00	 0.071103	 1.365	check	-    	 3.92	  0.25	 2.08e+01	 7.50e-01	 7.30e-01	23.11	 0.08	     	     	       	         	         	     	     	     	     	 2.05e+01	 6.90e-01	23.02	 0.08	-23.40	 0.02	d    	  1	Simbad	NED	LEDA
      46	A734 	2MASX J09003199+1614253 	09 00 32.0	+16 14 26	 0.074717	 1.428	-    	-    	 3.52	  0.18	 2.49e+01	 6.60e-01	 6.50e-01	23.80	 0.06	     	     	       	         	         	     	     	     	     	 2.05e+01	 6.50e-01	23.36	 0.07	-23.23	 0.02	     	  0	Simbad	NED	LEDA
      47	A744 	2MASX J09072049+1639064 	09 07 20.5	+16 39 07	 0.072850	 1.395	check	-    	17.44	  2.28	 1.43e+02	 3.30e+01	 2.81e+01	27.39	 0.45	     	     	       	         	         	     	     	     	     	 1.15e+02	 6.64e+01	26.53	 1.34	-24.03	 0.25	     	  1	Simbad	NED	LEDA
      48	A757 	2MASX J09130775+4742307 	09 13 07.7	+47 42 31	 0.051350	 1.009	check	-    	 9.20	  1.09	 3.88e+01	 1.04e+01	 8.66e+00	25.53	 0.48	 0.46	 0.16	 227.80	 1.41e+01	 1.35e+01	28.93	 0.15	 0.26	 0.05	 6.21e+01	 1.20e+01	26.30	 0.44	-23.04	 0.07	     	  2	Simbad	NED	LEDA
      49	A834 	2MASX J09413277+6642376 	09 41 32.7	+66 42 39	 0.070910	 1.361	check	-    	 3.70	  0.32	 3.61e+01	 5.80e+00	 5.17e+00	24.14	 0.27	 0.38	 0.08	 199.80	 5.89e+00	 5.76e+00	26.75	 0.09	 0.48	 0.04	 9.83e+01	 1.96e+00	25.81	 0.07	-23.94	 0.01	     	  1	Simbad	NED	LEDA
      50	A883 	2MASX J09511516+0529170 	09 51 15.1	+05 29 17	 0.078983	 1.502	-    	-    	18.08	  3.28	 2.10e+03	 2.00e+03	 1.10e+03	32.40	 1.45	     	     	       	         	         	     	     	     	     	 9.80e+02	 8.90e+02	29.31	 2.90	-24.26	 0.54	     	  0	Simbad	NED	LEDA
      51	A999 	MCG+02-27-004           	10 23 23.7	+12 50 07	 0.032490	 0.653	check	check	 8.02	  0.66	 3.26e+01	 2.37e+00	 2.24e+00	24.86	 0.15	     	     	       	         	         	     	     	     	     	 2.10e+01	 2.34e+00	23.90	 0.16	-22.71	 0.05	c    	  1	Simbad	NED	LEDA
      52	A1003	MCG+08-19-026           	10 25 01.5	+47 50 31	 0.063660	 1.233	check	-    	 4.31	  0.33	 3.68e+01	 1.82e+00	 1.76e+00	24.54	 0.11	     	     	       	         	         	     	     	     	     	 2.55e+01	 1.36e+00	23.63	 0.11	-23.18	 0.03	     	  2	Simbad	NED	LEDA
      53	A1016	IC 613                  	10 27 07.8	+11 00 39	 0.032370	 0.650	check	check	21.23	  4.11	 1.63e+02	 9.08e+01	 6.40e+01	28.56	 0.97	     	     	       	         	         	     	     	     	     	 7.95e+01	 5.40e+01	26.50	 1.72	-22.93	 0.29	c    	  1	Simbad	NED	LEDA
      54	A1020	2MASX J10274949+1026306 	10 27 49.5	+10 26 31	 0.067702	 1.305	check	-    	 5.62	  0.53	 2.44e+01	 1.17e+00	 1.13e+00	24.11	 0.10	     	     	       	         	         	     	     	     	     	 1.96e+01	 1.57e+00	23.69	 0.13	-23.14	 0.04	     	  1	Simbad	NED	LEDA
      55	A1056	LEDA 2186592            	10 38 01.7	+41 46 26	 0.124670	 2.251	-    	-    	 3.55	  0.20	 6.52e+01	 2.44e+00	 2.38e+00	25.38	 0.08	     	     	       	         	         	     	     	     	     	 4.34e+01	 2.53e+00	24.50	 0.08	-23.64	 0.04	     	  0	Simbad	NED	LEDA
      56	A1066	2MASX J10393872+0510326 	10 39 38.7	+05 10 33	 0.068170	 1.313	check	-    	 2.20	  0.22	 7.67e+00	 9.00e-01	 8.20e-01	21.82	 0.18	 1.91	 0.30	 125.90	 6.42e+00	 6.19e+00	26.62	 0.11	 0.73	 0.03	 7.27e+01	 6.01e+00	25.71	 0.15	-23.68	 0.04	d    	  1	Simbad	NED	LEDA
