recno	Cl	ID	xpos	ypos	RAJ2000	DEJ2000	zspec	FlF814W	FlF160W	ClF814W	ClF160W	FRad	S/G	BandTot	FF225W	e_FF225W	w_FF225W	f_FF225W	FF275W	e_FF275W	w_FF275W	f_FF275W	FF336W	e_FF336W	w_FF336W	f_FF336W	FF390W	e_FF390W	w_FF390W	f_FF390W	FF435W	e_FF435W	w_FF435W	f_FF435W	FF475W	e_FF475W	w_FF475W	f_FF475W	FF555W	e_FF555W	w_FF555W	f_FF555W	FF606W	e_FF606W	w_FF606W	f_FF606W	FF625W	e_FF625W	w_FF625W	f_FF625W	FF775W	e_FF775W	w_FF775W	f_FF775W	FF814W	e_FF814W	w_FF814W	f_FF814W	FF850LP	e_FF850LP	w_FF850LP	f_FF850LP	FF105W	e_FF105W	w_FF105W	f_FF105W	FF110W	e_FF110W	w_FF110W	f_FF110W	FF125W	e_FF125W	w_FF125W	f_FF125W	FF140W	e_FF140W	w_FF140W	f_FF140W	FF160W	e_FF160W	w_FF160W	f_FF160W	FKs	e_FKs	w_FKs	f_FKs	UseKs	Fch1	e_Fch1	w_Fch1	f_Fch1	Usech1	Fch2	e_Fch2	w_Fch2	f_Fch2	Usech2	Fch3	e_Fch3	w_Fch3	f_Fch3	Usech3	Fch4	e_Fch4	w_Fch4	f_Fch4	Usech4	r_zspec	theta	Rad	Aimg	Bimg	Use	zpF225W	zpF275W	zpF336W	zpF390W	zpF435W	zpF475W	zpF555W	zpF606W	zpF625W	zpF775W	zpF814W	zpF850LP	zpF105W	zpF110W	zpF125W	zpF140W	zpF160W	zpKs	zpch1	zpch2	zpch3	zpch4	mwF225W	mwF275W	mwF336W	mwF390W	mwF435W	mwF475W	mwF555W	mwF606W	mwF625W	mwF775W	mwF814W	mwF850LP	mwF105W	mwF110W	mwF125W	mwF140W	mwF160W	mwKs	mwch1	mwch2	mwch3	mwch4
    9312	A2744-clu	20001	2520.7410	2345.2220	003.5862490	-30.4001710	 0.2998	 3	 3	 0.0300	 0.0300	 33.4930	0	bcg  	            	            	           	   	 1.49228e+00	 1.58533e-01	 8.3770e-01	 0	 2.51093e+00	 6.64452e-02	 8.5540e-01	  0	            	            	           	   	 9.89907e+01	 1.24760e+00	 9.5780e-01	  0	            	            	           	   	            	            	           	  	 4.95419e+02	 2.35745e+00	 9.3280e-01	  0	            	            	           	   	            	            	           	   	 1.11713e+03	 4.02756e+00	 1.0000e+00	  0	            	            	           	   	 1.75540e+03	 4.70672e+00	 9.84100e-01	  0	            	            	           	   	 2.24588e+03	 6.69117e+00	 8.85500e-01	  0	 2.54099e+03	 4.87600e+00	 9.36300e-01	  0	 2.81823e+03	 6.89612e+00	 9.03900e-01	  0	 3.65413e+03	 1.27167e+02	 7.4250e-01	  0	2	 1.84948e+03	 1.79084e+02	 7.6900e-01	  0	2	 1.53111e+03	 1.33614e+02	 9.4350e-01	  0	2	 8.65129e+02	 2.84069e+02	 6.29900e-01	  0	2	 5.19610e+02	 3.42153e+02	 6.75500e-01	  0	2	mahler   	 84.3000	119.5721	37.3770	27.0570	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9313	A2744-clu	20002	2221.6590	2010.5910	003.5920290	-30.4057480	 0.3187	 3	 3	 0.0000	 0.0300	 44.2350	0	bcg  	            	            	           	   	 7.57971e-01	 9.37353e-02	 8.8650e-01	 4	 1.56135e+00	 5.08884e-02	 9.1880e-01	  4	            	            	           	   	 1.33084e+02	 1.73050e+00	 1.0000e+00	  0	            	            	           	   	            	            	           	  	 6.31946e+02	 1.65937e+00	 9.4870e-01	  0	            	            	           	   	            	            	           	   	 1.40124e+03	 2.91206e+00	 9.7300e-01	  0	            	            	           	   	 2.15989e+03	 4.39069e+00	 9.66100e-01	  0	            	            	           	   	 2.77516e+03	 5.57807e+00	 9.16000e-01	  0	 3.05748e+03	 4.46090e+00	 9.17600e-01	  0	 3.40982e+03	 6.19574e+00	 9.33800e-01	  0	 4.23385e+03	 1.46974e+02	 6.4800e-01	  0	2	 2.23629e+03	 2.77289e+02	 8.0560e-01	  0	2	 1.84409e+03	 1.78260e+02	 9.6660e-01	  0	2	 1.12700e+03	 5.77204e+02	 5.36100e-01	  0	2	 6.52564e+02	 5.57718e+02	 8.33300e-01	  0	2	mahler   	-14.1000	183.2623	52.4600	32.6220	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9314	A2744-clu	20003	2197.1260	2078.2200	003.5925030	-30.4046210	 0.3155	 3	 3	 0.0300	 0.0300	 15.8500	0	bcg  	            	            	           	   	 8.19624e-01	 9.57828e-02	 8.4930e-01	 4	 1.83420e+00	 6.62158e-02	 8.8880e-01	  0	            	            	           	   	 3.62757e+01	 5.57874e-01	 6.3050e-01	  0	            	            	           	   	            	            	           	  	 1.76706e+02	 8.90094e-01	 6.8290e-01	  0	            	            	           	   	            	            	           	   	 3.92182e+02	 1.45710e+00	 5.4590e-01	  0	            	            	           	   	 5.96047e+02	 2.45306e+00	 9.48000e-01	  0	            	            	           	   	 7.49314e+02	 3.62114e+00	 9.15700e-01	  0	 8.30266e+02	 3.58469e+00	 9.20900e-01	  0	 9.19181e+02	 3.96305e+00	 9.19800e-01	  0	 1.21222e+03	 4.21464e+01	 6.7190e-01	  0	2	 5.67439e+02	 3.45376e+01	 8.2670e-01	  0	2	 4.59578e+02	 2.32064e+01	 9.3890e-01	  0	2	 2.74108e+02	 1.04436e+02	 8.53900e-01	  0	2	 1.66286e+02	 1.33801e+02	 7.02100e-01	  0	2	owers    	-57.8000	 60.1761	19.3080	15.3100	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9315	A2744-clu	20004	2504.0220	2393.4600	003.5865720	-30.3993670	 0.3224	 3	 3	 0.0300	 0.0300	 17.7130	0	bcg  	            	            	           	   	 2.50556e-01	 9.83403e-02	 8.0050e-01	 4	 7.48315e-01	 5.22474e-02	 8.5420e-01	  4	            	            	           	   	 2.47986e+01	 4.53144e-01	 9.1310e-01	  0	            	            	           	   	            	            	           	  	 1.22998e+02	 6.20385e-01	 9.2030e-01	  0	            	            	           	   	            	            	           	   	 2.75886e+02	 7.55255e-01	 9.6580e-01	  0	            	            	           	   	 4.24433e+02	 6.60138e-01	 9.57200e-01	  0	            	            	           	   	 5.22165e+02	 7.94598e+00	 9.01300e-01	  0	 5.91219e+02	 4.07523e+00	 9.14100e-01	  0	 6.43276e+02	 1.02530e+01	 9.16800e-01	  0	 8.46920e+02	 2.93887e+01	 6.8830e-01	  0	2	 3.95513e+02	 2.39432e+01	 7.9670e-01	  0	2	 3.25271e+02	 1.91103e+01	 9.7980e-01	  0	2	 1.86881e+02	 7.63041e+01	 7.34700e-01	  0	2	 1.28065e+02	 8.18782e+01	 7.88700e-01	  0	2	owers    	 74.3000	 47.9236	17.5120	10.7060	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9316	A2744-clu	20005	2433.2860	2304.1490	003.5879390	-30.4008560	 0.3154	 3	 3	 0.0100	 0.0000	 59.5270	0	bcg  	            	            	           	   	 3.53241e-01	 1.31470e-01	 4.4760e-01	 4	 5.98976e-01	 7.63365e-02	 3.9600e-01	  4	            	            	           	   	 5.45430e+01	 1.38925e+00	 9.4760e-01	  0	            	            	           	   	            	            	           	  	 1.86938e+02	 1.47955e+00	 9.3140e-01	  0	            	            	           	   	            	            	           	   	 3.94617e+02	 2.49221e+00	 9.8960e-01	  0	            	            	           	   	 5.43105e+02	 4.21690e+00	 9.88000e-01	  0	            	            	           	   	 6.91494e+02	 2.86213e+00	 8.98700e-01	  0	 7.58107e+02	 2.74537e+00	 9.36900e-01	  0	 8.31330e+02	 4.06927e+00	 9.33800e-01	  0	 7.65491e+02	 2.72358e+01	 6.6230e-01	  0	2	 5.68366e+02	 1.64917e+02	 8.1360e-01	  0	2	 4.70228e+02	 1.05219e+02	 9.4500e-01	  0	2	 2.91614e+02	 3.56960e+02	 7.39600e-01	  0	2	 1.65928e+02	 4.42106e+02	 6.97000e-01	  0	2	owers    	 54.1000	148.9861	32.1760	21.9980	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9317	A2744-clu	20006	2565.0760	2699.2170	003.5853920	-30.3942710	 0.3202	 3	 3	 0.0300	 0.0300	 14.8330	0	bcg  	            	            	           	   	 4.46851e-01	 9.40582e-02	 8.7730e-01	 4	 1.16294e+00	 5.15090e-02	 8.8780e-01	  4	            	            	           	   	 3.30287e+01	 3.27850e-01	 8.5480e-01	  0	            	            	           	   	            	            	           	  	 1.82339e+02	 3.37498e-01	 9.0350e-01	  0	            	            	           	   	            	            	           	   	 4.17085e+02	 4.20418e-01	 9.7370e-01	  0	            	            	           	   	 6.48056e+02	 1.19067e+00	 9.65400e-01	  0	            	            	           	   	 8.13452e+02	 1.84998e+00	 8.72800e-01	  0	 9.17554e+02	 1.65024e+00	 9.03800e-01	  0	 1.00992e+03	 2.17191e+00	 8.88800e-01	  0	 1.36632e+03	 4.74682e+01	 7.2790e-01	  0	2	 6.39283e+02	 4.59630e+01	 7.5340e-01	  0	2	 5.22755e+02	 3.53644e+01	 8.9240e-01	  0	2	 3.08185e+02	 1.11408e+02	 5.68400e-01	  0	2	 1.74596e+02	 1.12146e+02	 8.57700e-01	  0	2	owers    	-13.1000	 57.2704	20.4200	13.1120	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9318	A2744-clu	20007	2575.2870	2675.5300	003.5851950	-30.3946660	 0.3026	 3	 3	 0.0300	 0.0300	  8.8320	0	bcg  	            	            	           	   	 6.37398e-01	 9.59927e-02	 8.4390e-01	 4	 1.41539e+00	 7.37393e-02	 8.7550e-01	  0	            	            	           	   	 1.39896e+01	 2.87125e-01	 8.8230e-01	  0	            	            	           	   	            	            	           	  	 7.31162e+01	 5.72154e-01	 8.9740e-01	  0	            	            	           	   	            	            	           	   	 1.69812e+02	 5.02176e-01	 9.8490e-01	  0	            	            	           	   	 2.71679e+02	 5.27686e+00	 9.76600e-01	  0	            	            	           	   	 3.41784e+02	 5.84951e-01	 9.20100e-01	  0	 3.86551e+02	 1.81827e-01	 9.64200e-01	  0	 4.30708e+02	 6.85080e-01	 9.14200e-01	  0	 6.03569e+02	 2.13581e+01	 7.3610e-01	  0	2	 2.91127e+02	 2.18950e+01	 7.6510e-01	  0	2	 2.38964e+02	 1.75130e+01	 9.0250e-01	  0	2	 1.35319e+02	 5.37138e+01	 6.31700e-01	  0	2	 8.04582e+01	 7.03388e+01	 6.59800e-01	  0	2	grizli   	 14.7000	 35.3480	10.6760	 9.5540	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9319	A2744-clu	20008	2586.3140	2783.0330	003.5849820	-30.3928740	 0.2963	 3	 3	 0.0300	 0.0300	 31.9200	0	bcg  	            	            	           	   	 4.55551e-01	 9.71454e-02	 8.2220e-01	 4	 8.80679e-01	 5.27412e-02	 8.4520e-01	  0	            	            	           	   	 1.59354e+01	 1.06101e+00	 5.8900e-01	  0	            	            	           	   	            	            	           	  	 6.08066e+01	 1.29969e+00	 6.8860e-01	  0	            	            	           	   	            	            	           	   	 1.24948e+02	 2.39524e+00	 5.9640e-01	  0	            	            	           	   	 1.73978e+02	 5.45343e+00	 9.67700e-01	  0	            	            	           	   	 2.19696e+02	 2.34237e+00	 9.06300e-01	  0	 2.43677e+02	 1.96837e+00	 8.94800e-01	  0	 2.60388e+02	 2.81857e+00	 9.04200e-01	  0	 2.79541e+02	 1.02168e+01	 7.0070e-01	  0	2	 1.76350e+02	 7.40085e+01	 8.3330e-01	  0	2	 1.44068e+02	 5.01881e+01	 9.2350e-01	  0	2	 9.84812e+01	 1.92146e+02	 7.76900e-01	  0	2	 6.36008e+01	 2.15087e+02	 8.58600e-01	  0	2	grizli   	-49.3000	 96.0558	25.8260	14.0090	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9320	A2744-clu	20009	2447.5740	2571.2230	003.5876620	-30.3964040	 0.3029	 3	 3	 0.0300	 0.0300	 20.0230	0	bcg  	            	            	           	   	 7.69701e-01	 1.31982e-01	 4.4530e-01	 4	 1.38457e+00	 7.56501e-02	 4.0670e-01	  4	            	            	           	   	 4.01576e+01	 8.74215e-01	 5.9050e-01	  0	            	            	           	   	            	            	           	  	 2.03024e+02	 1.06774e+00	 6.8430e-01	  0	            	            	           	   	            	            	           	   	 4.51583e+02	 1.75072e+00	 5.8250e-01	  0	            	            	           	   	 7.04874e+02	 2.15778e+00	 9.77000e-01	  0	            	            	           	   	 8.85249e+02	 3.01270e+00	 9.06400e-01	  0	 9.97785e+02	 2.34886e+00	 9.43200e-01	  0	 1.09931e+03	 3.01534e+00	 9.17800e-01	  0	 1.39660e+03	 4.86693e+01	 7.4990e-01	  0	2	 7.10709e+02	 7.40161e+01	 7.7930e-01	  0	2	 5.89507e+02	 4.98062e+01	 9.8850e-01	  0	2	 3.52436e+02	 1.62675e+02	 9.46600e-01	  0	2	 2.29107e+02	 2.21435e+02	 7.16300e-01	  0	2	owers    	-56.8000	 91.0143	33.0040	19.8040	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
    9321	A2744-clu	20010	2394.9370	2590.4150	003.5886790	-30.3960840	 0.3022	 3	 3	 0.0300	 0.0300	  7.0270	0	bcg  	            	            	           	   	 6.04541e-01	 9.24259e-02	 9.1040e-01	 4	 1.78784e+00	 5.09632e-02	 8.3640e-01	  0	            	            	           	   	 1.65974e+01	 2.33945e-01	 9.2350e-01	  0	            	            	           	   	            	            	           	  	 7.73880e+01	 6.64792e-01	 9.5150e-01	  0	            	            	           	   	            	            	           	   	 1.59846e+02	 8.53302e-01	 1.0000e+00	  0	            	            	           	   	 2.30695e+02	 1.55393e+00	 9.73300e-01	  0	            	            	           	   	 2.81940e+02	 7.37234e-01	 9.02800e-01	  0	 3.11403e+02	 1.94724e-01	 9.22000e-01	  0	 3.39661e+02	 3.23326e-01	 8.97200e-01	  0	 4.47014e+02	 1.57160e+01	 7.1230e-01	  0	2	 1.85846e+02	 1.19359e+01	 8.0490e-01	  0	2	 1.50136e+02	 9.60049e+00	 9.5680e-01	  0	2	 9.11991e+01	 4.24898e+01	 7.57300e-01	  0	2	 5.92580e+01	 4.54805e+01	 8.83000e-01	  0	2	owers    	-79.8000	 31.4472	11.5690	 6.9780	1	       	 0.9855	 0.9936	       	 1.0352	       	       	 1.0105	       	       	 0.9990	       	 1.0173	       	 1.0117	 1.0105	 1.0000	 0.9505	 1.0464	 1.0193	 1.0072	 0.9970	       	 1.0686	 1.0549	       	 1.0442	       	       	 1.0299	       	       	 1.0186	       	 1.0120	       	 1.0093	 1.0074	 1.0065	 1.0037	 1.0018	 1.0018	 1.0018	 1.0018
