Fullname	Cluster	z	kT_keV	M500_1e14Msun	r500_kpc	HST_Xray_source
Abell611	A611	0.288	7.9+/-0.35	3.66+/-0.25	996_-23^+22	CLASH, a
MS2137-2353	MS2137	0.313	5.9+/-0.3	2.31+/-0.18	847_-23^+21	CLASH, a
XMMXCS J022045.1-032555.0	XMM022045	0.330	2.6_-0.4^+0.7	0.65_-0.15^+0.27	552_-47^+67	HST\#12575, d
RX J1532+3021	RXJ1532	0.345	5.5+/-0.4	2.04+/-0.23	803_-31^+29	CLASH, a
RX J2248-4431	RXJ2248	0.348	12.4+/-0.6	7.06+/-0.52	1213_-31^+29	CLASH, a
MACS1931-2635	MACS1931	0.352	6.7+/-0.4	2.75+/-0.25	885_-28^+26	CLASH, a
MACS1115+0129	MACS1115	0.352	8.0+/-0.4	3.60+/-0.28	968_-25^+24	CLASH, a
SG 1120-1202-4	SG1120-4	0.369	3.0_-1.0^+1.2	0.8_-0.41^+0.49	582_-123^+100	HST\#12575, b
XMMXCS J011140.3-453908.0	XMM011140	0.370	2.5_-0.4^+0.6	0.6_-0.15^+0.22	530_-47^+58	HST\#12575, d
SG 1120-1202-2	SG1120-2	0.370	1.7_-0.3^+0.5	0.33_-0.09^+0.15	435_-43^+57	HST\#12575, b
SG 1120-1202-1	SG1120-1	0.371	2.2_-0.4^+0.7	0.49_-0.14^+0.24	496_-51^+70	HST\#12575, b
SG 1120-1202-3	SG1120-3	0.371	1.8_-0.5^+1.2	0.36_-0.15^+0.37	448_-75^+118	HST\#12575, b
RX J1334.0+3750	RXJ1334	0.384	1.7_-0.4^+1.3	0.33_-0.12^+0.39	432_-60^+127	HST\#12575, c
MACS1720+3536	MACS1720	0.391	6.6+/-0.4	2.63+/-0.24	859_-27^+26	CLASH, a
MACS0429-0253	MACS0429	0.399	6.0+/-0.44	2.26+/-0.25	815_-32^+29	CLASH, a
MACS0416-2403	MACS0416	0.420	7.5+/-0.8	3.14+/-0.51	902_-52^+47	CLASH, a
MACS1206-0848	MACS1206	0.440	10.8+/-0.6	5.43+/-0.46	1074_-31^+30	CLASH, a
MACS0329-0211	MACS0329	0.450	8.0+/-0.5	3.41+/-0.33	916_-30^+28	CLASH, a
RX J1347-1145	RXJ1347	0.451	15.5+/-0.6	9.38+/-0.56	1283_-26^+25	CLASH, a
MACS1311-0310	MACS1311	0.494	5.9+/-0.4	2.09+/-0.22	765_-27^+26	CLASH, a
MACS1149+2223	MACS1149	0.544	8.7+/-0.9	3.67+/-0.58	906_-51^+45	CLASH, a
MACS2129-0741	MACS2129	0.570	9.0+/-1.2	3.81+/-0.78	908_-67^+58	CLASH, a
CL J1226+3332	CL1226	0.890	13.8+/-2.8	6.08+/-1.89	937_-109^+88	CLASH, a
