plateifu,pa_stellar_deg,pa_gas_deg,misalign_deg,grad_stellar,grad_gas,n_spx_stellar,n_spx_gas,ha_channel_label,mangaid,objra,objdec,z,incl_deg,pa_disk_deg,logMstar_nsa,Rd_kpc,dl_TType,dl_P_LTG,SNR_MED_r,t14_grp_sigma_v,xray_name,hi_detected,logMHI_use
10001-1902,183.0981008700204,26.387191210926865,156.71090965909355,6.819883596241345,9.120206231722552,299,292,Ha-6564,1-48201,134.193923352,56.7867469988,0.0253909,38.56302754836173,-53.595001220703125,10.365407750666716,2.800488811948318,0.0215451121330261,0.1440043523907661,18.330622,,,False,
10001-3703,9.635147665583002,11.684785511458896,2.0496378458758944,14.661165887950558,14.834600605633458,116,116,Ha-6564,1-55612,134.591498946,57.6849653262,0.0405528,70.88350995597246,-55.36220169067383,9.802419054400966,1.2944396467828063,2.792056083679199,0.9254826605319976,13.417505,,,False,
10001-9102,238.26939602509708,226.9648169116408,11.30457911345627,15.921804934816281,11.578271736812889,479,475,Ha-6564,1-55552,135.818210094,56.6253848319,0.0804568,55.2131017940977,73.15139770507812,11.053054912352072,7.603482766393977,-0.9309202432632446,0.0299249486997723,6.6164827,,,False,
10213-6102,16.011579239837342,356.90653314586274,19.10504609397458,24.96172654877361,36.261756608277544,223,220,Ha-6564,1-72572,122.675141761,42.2778481495,0.0644828,73.95163904432805,-53.07210159301758,10.930177366028593,3.8185315302404073,0.3344896137714386,0.2586804330348968,14.97268,447.4,J0810.4+4216,False,
10215-1901,44.53972512268117,39.423078485558435,5.116646637122734,4.6482498419848755,7.560662244125229,233,233,Ha-6564,1-122310,122.118199278,38.1518625278,0.0212176,29.7805681963176,-83.54940032958984,9.582747282243565,0.730135455228419,1.1379657983779907,0.1374100111424923,17.292168,,,False,
10215-3702,345.5231026488047,344.9821482693278,0.5409543794768865,10.158840667614747,13.078636921738966,712,712,Ha-6564,1-548639,121.370110164,37.557853221,0.0337287,26.976333431557293,-24.60379981994629,10.873225671465688,3.294518212936457,1.0823113918304443,0.5495867133140564,22.136055,190.5,,False,
10215-9101,276.46825632317194,276.19114600433755,0.27711031883438864,10.609985900105267,11.33341243303978,237,237,Ha-6564,1-121951,121.561209049,37.6405216725,0.0409801,78.84985615310414,46.78730010986328,9.869022067551231,2.360884509243582,4.1238884925842285,0.997740924358368,10.403054,,,False,
10216-12701,144.34488364021473,141.78038188944439,2.564501750770347,7.83532152852614,9.676089341513292,563,563,Ha-6564,1-382678,118.476258864,16.9533603239,0.0461579,71.16095423541122,-34.54209899902344,10.291393318588751,3.749601031445846,4.269219398498535,0.9891310930252076,8.148228,,,False,
10216-3702,5.338573450395452,331.43400043751404,33.90457301288143,6.416292517461842,57.75873214378098,140,137,Ha-6564,1-297905,117.003225435,18.622145951,0.0452326,42.97012072482895,-10.914999961853027,10.374995097872372,1.973115269473499,-1.278398513793945,0.0412464439868927,18.501339,490.1,J0748.1+1832,False,
10216-6102,123.65901227901072,125.42904544657515,1.7700331675644208,10.957166989803452,11.751150590718357,1081,1081,Ha-6564,1-297871,116.730202777,18.482375517,0.0440461,56.57354406378234,10.347800254821776,10.759911320449534,4.570062464872555,2.4160406589508057,0.9606691896915436,8.490245,490.1,J0748.1+1832,False,
