plateifu,mangaid,objra,objdec,z,nsa_z,nsa_zdist,nsa_elpetro_mass,nsa_sersic_mass,nsa_elpetro_th50_r,nsa_sersic_th50,nsa_sersic_n,nsa_sersic_ba,nsa_sersic_phi,nsa_elpetro_ba,nsa_elpetro_phi,nsa_iauname,mngtarg1,mngtarg2,mngtarg3,drp3qual,srvymode,ifudesignsize,bluesn2,redsn2,ebvgal,nsa_nsaid,nsa_absmag_g,nsa_absmag_r,nsa_absmag_i,DAPQUAL,DAPDONE,RCOV90,BIN_RMAX,STELLAR_SIGMA_1RE,STELLAR_VEL_LO,STELLAR_VEL_HI,STELLAR_VEL_LO_CLIP,STELLAR_VEL_HI_CLIP,HA_GSIGMA_1RE,HA_GVEL_LO,HA_GVEL_HI,HA_GVEL_LO_CLIP,HA_GVEL_HI_CLIP,SFR_TOT,SB_1RE,SNR_MED_r,HA_GFLUX_TOT,pym_g_M_S,pym_g_M_SE_DISK,pym_r_FLAG_FIT,pym_r_FLAG_FAILED_S,pym_r_FLAG_FAILED_SE,pym_r_M_S,pym_r_A_HL_S,pym_r_N_S,pym_r_BA_S,pym_r_PA_S,pym_r_M_SE_DISK,pym_r_A_HL_SE_DISK,pym_r_N_SE_DISK,pym_r_BA_SE_DISK,pym_r_PA_SE_DISK,pym_r_M_SE_BULGE,pym_r_A_HL_SE_BULGE,pym_r_BT_SE,pym_r_DUPL_N,pym_r_DUPL_ID,pym_i_M_S,pym_i_M_SE_DISK,dl_TType,dl_P_LTG,dl_P_S0,dl_P_edge,dl_P_bar,dl_VisualClass,dl_VisualFlag,vm_Type,vm_TType,vm_Unsure,vm_Bars,vm_EdgeOn,vm_Tidal,hi_LOGMHI,hi_LOGHILIM200KMS,hi_SNR,hi_FHI,hi_EFHI,hi_WP50,hi_WF50,hi_VHI,hi_SESSION,hi_conflag,hi_conf_prob,gema_grp_MG,gema_grp_GroupSize,gema_grp_nneigh,gema_grp_Q_nn,gema_grp_dnn,gema_grp_Q_group,gema_lss_mh,gema_lss_den1,gema_lss_t1,gema_lss_t2,gema_lss_t3,gema_overdensity,gema_local_density,t14_GroupID,t14_sep_arcsec,t14_Ngal,t14_Rank,t14_grp_RA,t14_grp_DE,t14_grp_Dc_Mpc,t14_grp_Rmax_Mpc,t14_grp_sigma_v,t14_grp_Rvir_Mpc,t14_grp_MNFW_rank_only,t14_grp_Lr_1e10Lsun,t14_grp_zcmb,t14_Rproj_kpc,t14_PA_to_host_deg,t17_GroupID,t17_sep_arcsec,t17_Ngal,t17_Rank,t17_grp_RA,t17_grp_DE,t17_grp_Dc_Mpc,t17_grp_Rmax_Mpc,t17_grp_R200_Mpc,t17_grp_M200_rank_only,t17_Rproj_kpc,t17_PA_to_host_deg,t14_mcxc_name,t14_mcxc_sep_arcmin,t14_mcxc_L500_1e44,t14_mcxc_M500_rank_only,t14_mcxc_R500_rank_only,t17_mcxc_name,t17_mcxc_sep_arcmin,t17_mcxc_L500_1e44,t17_mcxc_M500_rank_only,t17_mcxc_R500_rank_only,xray_name,xray_oname,xray_Rproj_Mpc,xray_dz,xray_L500_1e44,xray_M500_rank_only,xray_R500_rank_only,xray_R_over_R500_rank_only,DL_Mpc,DA_Mpc,kpc_per_arcsec,struct_source,Rhl_disk_arcsec,Rhl_disk_kpc,Rd_kpc,nser_disk,ba_disk,pa_disk_deg,incl_deg,logMstar_nsa_h1_raw,logMstar_nsa,nsa_h_rescale_dex,gi_rest,logMstar_taylor,hi_detected,logMHI_use,logMHI_limit,Mgas_Msun,Mb_Msun,logMb,f_gas,Sigma_b_Msun_pc2,gbar_2p2Rd_ms2,log_gbar_2p2Rd,gbar_1Rd_ms2,log_gbar_1Rd,gbar_4Rd_ms2,log_gbar_4Rd,vamp_stel_kms,vamp_stel_deproj_kms,vamp_ha_kms,vamp_ha_deproj_kms,t14_theta_sky_deg,t14_psi_norm_host_deg,t17_theta_sky_deg,t17_psi_norm_host_deg,Phi_proxy_sigma2,log_Phi_proxy,R_over_Rvir_t14,R_over_R200_t17,gext_proxy_ms2,log_gext_proxy
12510-3701,1-10760,203.911524323,-0.920043478671,0.07180949,0.07180949,0.07131325,35091620000.0,47538418000.0,3.3375127,3.232837,1.531743,0.91526985,38.864197,0.9571251,82.78688,J133538.77-005512.1,0,0,8388608,4096,MaNGA dither,37,22.2323,53.8901,0.0320771,11474,-21.386633,-21.833557,-21.982435,0,True,6.588388,2.3481336,82.430534,-46.959282,60.12076,-46.959282,60.12076,38.621586,-42.481438,61.71032,-42.481438,61.71032,3.513899,0.9146662,26.056976,10616.706,15.541000366210938,17.285598754882812,1.0,0.0,0.0,15.090700149536133,3.2511203289031982,1.316100001335144,0.9581000208854676,-33.99250030517578,15.461799621582031,2.004829168319702,1.0,0.850600004196167,-39.39789962768555,16.314298629760742,4.922280311584473,0.3132039904594421,0.0,0.0,14.707199096679688,15.127498626708984,2.7463998794555664,0.9798255562782288,0.8939402401447296,2.638486876094248e-05,0.077160719782114,3.0,0.0,Sb,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,1.0,-999.0,-999.0,-999.0,-999.0,12.8949,10.0881,1.19406,0.0664058,-0.0227393,,,7876.0,0.0932698440650803,4.0,1.0,203.85695,-0.90481,307.84857142857146,0.474,58.0,0.4332857142857143,1.1,5.34,0.07298,279.0730800988184,285.59760249491364,12540.0,0.0785370020536497,4.0,1.0,203.856952918,-0.904808969,453.1115385714286,0.6976428571428572,0.3438714285714286,1.5986,279.060603101811,285.5994002794427,,,,,,,,,,,,,,,,,,,324.22480408228773,282.23511094897384,1.3683144307753032,pymorph_Sersic,3.2511203289031982,4.448554862225197,2.651105400610964,1.316100001335144,0.9581000208854676,-33.99250030517578,16.998119824817678,10.545203417825569,10.855007337797057,0.3098039199714864,0.595801999999999,10.669839319971484,False,,,,71615551020.40804,10.855007337797057,,1621.71106748544,2.497771271941349e-10,-9.602447333728817,3.9476947960173227e-10,-9.40365643085782,1.0553829960441454e-10,-9.976589907300916,53.540024,183.14279473946385,52.09588,178.20284944937328,40.4098971999106,79.07580820703946,40.40809941538155,79.07621577673467,3364.0,3.5268559871258747,0.6440855788630823,0.8115259946461205,3.9064970099697573e-13,-12.40821250376299
9192-12702,1-109223,45.2148475708,0.807398968541,0.0435162,0.0435162,0.0438274,70137500000.0,113811000000.0,11.6926,21.1851,3.83377,0.900125,4.9798,0.902843,8.16275,J030051.56+004826.5,1040,0,0,2,MaNGA dither,127,8.96116,26.5223,0.0918186,115604,-21.1028,-21.7993,-22.1445,0,True,13.710021,1.1966763,152.15028,-64.3862,84.63554,-44.001034,80.05259,93.41884,-144.48567,186.53423,-144.48567,186.53423,0.116239995,0.13989466,5.22782,995.6946,,15.050899505615234,2.0,1.0,0.0,,,,,,14.220199584960938,8.732037544250488,1.0,0.8726000189781189,-82.48919677734375,16.305099487304688,1.430510401725769,0.1278319954872131,0.0,0.0,,13.773300170898438,1.713989496231079,0.6052280962467194,0.6453360319137573,0.0001003380093607,0.0776516757905483,3.0,0.0,Sab,2.0,0.0,0.0,0.0,0.0,10.31,-999.0,8.0,2.56,0.18,-999.0,308.0,13072.0,ALFALFA,1.0,0.6858667135238647,1.0,4.0,3.0,0.8266801,0.0286191,0.8306766,-99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.55784301734465,176.83279898456678,0.8573096021661044,pymorph_SerExp_disk,8.732037544250488,7.486059633160873,4.461298947056539,1.0,0.8726000189781189,-82.48919677734375,29.901296936149688,10.845950281711511,11.155754201683,0.3098039199714864,1.0417000000000023,11.046793919971488,True,10.31,,27155140000.0,170292895710.04056,11.231196530415426,0.1594613826652952,1361.7394220444403,2.1139902734175368e-10,-9.674897015236166,4.1198414751940915e-10,-9.385119494591375,8.629921929705477e-11,-10.063993133097243,62.02681,124.42506240478568,165.50995,332.0110417017053,,,,,,,,,,
12084-9102,1-117056,345.015282876,13.0742523564,0.06214074,0.06214074,0.062943,30050367000.0,35985834000.0,4.8531117,4.8324428,1.1139562,0.8568678,93.96521,0.8781373,94.62582,J230003.66+130427.3,2048,0,0,4096,MaNGA dither,91,24.823,37.2419,0.11661,123947,-20.683912,-21.24079,-21.478106,0,True,10.82427,2.3218486,80.22593,-74.88586,99.02405,-74.88586,99.02405,45.753395,-96.61588,126.15018,-96.44228,126.154,1.0326434,0.2485219,10.864466,4223.4253,16.274999618530273,16.298799514770508,1.0,0.0,0.0,15.548198699951172,5.033674716949463,1.2100000381469729,0.8761000037193298,9.632699966430664,15.652299880981444,3.14998197555542,1.0,0.8738999962806702,-7.386499881744385,17.78619956970215,6.139781951904297,0.1228839978575706,0.0,0.0,15.114999771118164,15.28730010986328,3.52776312828064,0.9915609359741212,0.9870875477790833,3.476556713621904e-07,0.664192795753479,3.0,0.0,Sb,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.6694002871318,247.0160363098249,1.19756753856453,pymorph_Sersic,5.033674716949463,6.0281654407116765,3.592470465263216,1.2100000381469729,0.8761000037193298,9.632699966430664,29.4768122730527,10.477849780335482,10.787653700306969,0.3098039199714864,0.794194000000001,10.606982119971487,False,,,,61327279591.836624,10.787653700306969,,756.2883652012821,1.164840883050957e-10,-9.933733395095045,1.8410157662812864e-10,-9.734942492224045,4.921800786480874e-11,-10.307875968667142,86.954956,176.71211207839443,111.29814,226.18296349746467,,,,,,,,,,
12087-12701,1-117697,348.146860856,13.2744503009,0.06698224,0.06698224,0.0677848,35155214000.0,49817068000.0,5.5396595,6.381595,1.2817721,0.9835801,66.75702,0.99550545,77.79982,J231235.24+131627.9,2048,0,0,4096,MaNGA dither,127,18.5881,39.6043,0.0786162,124637,-20.830034,-21.40606,-21.650877,0,True,10.928783,1.8803754,67.8677,-48.13586,69.00648,-48.13586,69.00648,24.794004,-76.75889,138.55768,-61.23389,96.84503,1.0280855,0.18376243,8.376999,3594.2727,16.176198959350586,16.281099319458008,2.0,0.0,0.0,15.439599990844728,5.944237232208252,1.2035000324249268,0.982200026512146,-18.67790031433105,15.61520004272461,5.935802459716797,0.5332000255584717,0.966099977493286,-9.644399642944336,18.377099990844727,0.4137408137321472,0.072843849658966,0.0,0.0,14.979499816894531,15.194000244140623,3.7190966606140137,0.9997549057006836,0.9891179800033568,2.2069527538803868e-08,0.0270775533281266,3.0,0.0,Sbc,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.40856609286203,264.753194904018,1.2835597100692742,pymorph_SerExp_disk,5.935802459716797,7.618956884222576,4.540498739107614,0.5332000255584717,0.966099977493286,-9.644399642944336,15.27735713224184,10.54598974595609,10.855793665927576,0.3098039199714864,0.820843,10.694744819971488,False,,,,71745334693.87744,10.855793665927576,,553.8685158196562,8.608227169497959e-11,-10.06508628057666,1.571493948142127e-10,-9.803687287120814,3.557502899404982e-11,-10.448854737288633,58.571167,222.2883495432596,79.03946,299.9692825489034,,,,,,,,,,
12089-12704,1-118325,352.348200554,14.2043024757,0.041508455,0.041508455,0.04231582,39668912000.0,42793034000.0,10.1505995,10.258536,0.6583193,0.89843327,82.54431,0.93818074,77.44427,J232923.56+141215.4,1552,0,0,4098,MaNGA dither,127,13.053,32.3855,0.0419574,125300,-20.98999,-21.538216,-21.778252,0,True,13.723633,1.5022142,50.491554,-47.21808,43.233246,-47.21808,43.233246,26.160114,-42.83885,52.384403,-42.83885,52.384403,0.9389711,0.22380657,7.5911684,8865.865,14.87649917602539,14.944295567501024,2.0,0.0,0.0,14.22249984741211,10.279685020446776,0.6708999872207642,0.903599977493286,-2.4061999320983887,14.326398849487305,10.399078369140623,0.3986000120639801,0.887499988079071,4.005799770355225,17.484800338745117,0.7470539808273315,0.0517106801271438,0.0,0.0,13.81239891052246,13.966699600219728,4.052762031555176,0.9996536076068878,0.992443025112152,2.190714027960894e-07,0.3560569733381271,3.0,0.0,SABbc,4.0,0.0,0.5,0.0,0.0,9.81,-999.0,7.9,0.91,0.07,-999.0,133.0,12447.0,ALFALFA,0.0,0.0,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.40530671345232,169.07768688701395,0.8197117577317876,pymorph_SerExp_disk,10.399078369140623,8.524246808758873,5.080004057663214,0.3986000120639801,0.887499988079071,4.005799770355225,28.05441650506298,10.598450289234522,10.908254209206008,0.3098039199714864,0.7882619999999996,10.722888119971486,True,9.81,,8587209700.0,89544172993.30609,10.952037329780907,0.0958991460967755,552.2418853581158,8.559874442092483e-11,-10.067532605592277,1.5016650228506934e-10,-9.823426934810085,3.5605335852534424e-11,-10.448484913328686,45.225662,96.1614024019484,47.611626,101.23457500228272,,,,,,,,,,
12700-1902,1-120019,2.027154333,13.7580267287,0.03777012,0.03777012,0.03854755,3264815900.0,2285655300.0,3.1051388,3.2830164,2.729268,0.6632259,148.72421,0.7815181,146.00412,J000806.51+134528.9,4160,0,0,4098,MaNGA dither,19,9.74034,27.97,0.106423,127087,-19.859453,-20.123842,-20.191916,0,True,4.645334,2.1574903,74.171455,-66.62604,0.6970962,-48.309795,1.2444453,40.83434,-31.47695,24.439789,-31.47695,24.439789,0.96699995,1.0494703,16.108715,11087.833,15.90410041809082,16.123199462890625,2.0,0.0,0.0,15.50149917602539,3.4244496822357178,2.553100109100342,0.6822999715805054,58.82389831542969,16.10420036315918,2.463674306869507,1.0,0.97979998588562,29.50029945373535,16.581098556518555,1.6135811805725098,0.3919219970703125,0.0,0.0,15.21500015258789,15.81399917602539,2.956207513809204,0.5945411324501038,0.7103087902069092,0.0011623500031419,0.9249918460845948,3.0,0.0,SABcd,6.0,0.0,0.5,0.0,1.0,9.92,-999.0,9.0,1.46,0.1,-999.0,246.0,11254.0,ALFALFA,0.0,0.0,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.43189363299547,154.5376238511765,0.749219542892097,pymorph_SerExp_disk,2.463674306869507,1.845832938027776,1.100019629337173,1.0,0.97979998588562,29.50029945373535,11.77703555459888,9.513858696830592,9.823662616802078,0.3098039199714864,0.3324630000000006,9.769294419971487,True,9.92,,11062460000.0,17725350007.836723,10.248594819593968,0.6241039195902518,2331.3854471658046,3.31851162328654e-10,-9.479056656876732,7.22970668244113e-10,-9.1408793221773,1.3257407129582028e-10,-9.877541406506312,24.77712,121.39476429554084,27.95837,136.98120204163445,,,,,,,,,,
8144-12703,1-120935,114.775045083,29.1600739978,0.0389089,0.0389089,0.0389336,49106300000.0,64658900000.0,8.77348,10.3437,2.29897,0.949561,42.517,0.938304,36.2208,J073906.00+290936.2,1040,0,0,0,MaNGA dither,127,24.4808,47.0803,0.0476033,128063,-21.0666,-21.6491,-21.9409,1,True,13.502434,1.7688996,89.80395,-84.5092,94.97997,-84.5092,94.97997,30.389647,-86.88757,105.209625,-86.88757,105.209625,0.73684657,0.3472356,12.674361,7948.2437,14.49049949645996,15.122400283813477,2.0,0.0,0.0,13.775299072265623,10.38359546661377,2.2679998874664307,0.925599992275238,-1.5045000314712524,14.612600326538086,12.968279838562012,1.0,0.9984999895095824,20.062299728393555,14.753183971679558,5.778861940113743,0.4676745694718841,0.0,0.0,13.318399429321287,13.679932946434665,3.544462919235229,0.9854481816291808,0.781393438577652,4.059719231008785e-05,0.0691484659910202,3.0,0.0,SABb,3.0,0.0,0.25,0.0,1.0,10.06,-999.0,11.2,1.72,0.09,-999.0,211.0,11672.0,ALFALFA,0.0,0.0,1.0,3.0,2.0,-1.870069,0.361946,-1.8509578,13.1687,19.021,0.97021,0.75367,0.703029,0.2708540504484639,0.1040956774427437,1644.0,0.0268747315838857,3.0,1.0,114.68314,29.18864,169.21,0.2418571428571428,94.6,0.1925714285714286,1.53,5.28,0.03983,236.34903151705328,289.6171207010826,18218.0,0.0320989466807691,3.0,1.0,114.68313783,29.188642822,249.28832000000003,0.3563828571428571,0.3891142857142857,2.2424,236.35660758280312,289.6184823142288,,,,,,,,,,,,,,,,,,,171.59295586547307,158.98074286907982,0.770760391758872,pymorph_SerExp_disk,12.968279838562012,9.995436448808736,5.956755928968259,1.0,0.9984999895095824,20.062299728393555,3.2034099886666025,10.69113721268753,11.000941132659015,0.3098039199714864,0.8742999999999981,10.848173919971485,True,10.06,,15270459000.0,115487398167.51,11.062534597172755,0.1322261964015397,518.00639019689,7.615433346828422e-11,-10.118305378633703,1.9080723283286987e-10,-9.719405166739536,2.9367944026179846e-11,-10.53212645624666,89.74458,1605.9966601090966,96.0486,1718.8082468379728,89.55482097268909,86.7966868073104,89.55618258583526,86.79668621610351,8949.159999999998,3.9517822728035856,1.2273317660381104,0.607422076907123,1.2270941919993158e-12,-11.911122099460863
8717-3703,1-121735,118.318165157,35.5725757854,0.0457813,0.0457813,0.0458842,5892900000.0,4632400000.0,2.76035,2.79859,1.75507,0.890316,104.635,0.934056,100.058,J075316.32+353421.3,2336,0,0,0,MaNGA dither,37,21.2574,49.0532,0.0492824,128921,-19.4413,-19.8964,-20.072,0,True,6.5817447,2.6525958,65.50807,-53.24257,59.22752,-53.24257,59.22752,48.279568,-62.0449,92.98309,-37.254627,56.11429,0.47226167,0.59927386,14.174924,3642.9282,16.56869888305664,17.034198760986328,2.0,0.0,0.0,16.060199737548828,2.627539157867432,1.5688999891281128,0.9157000184059144,64.02420043945312,16.364700317382812,3.343437910079956,1.0,0.8801000118255615,-8.350299835205078,17.61148712697129,1.387792375940086,0.2407936797620986,0.0,0.0,15.74169921875,16.018400192260742,2.266939401626587,0.5911807715892792,0.862149566411972,0.0012832620413973,0.5844760835170746,3.0,0.0,SABa,1.0,1.0,0.5,0.0,0.0,9.95035,-999.0,3.0862045,1.0173938,0.14536238,272.43015,300.58957,13647.716,AGBT17A_012_112,0.0,0.0,1.0,1.0,-999.0,-999.0,-999.0,-999.0,0.0,3.17572,0.390931,0.234311,-0.00509027,,,,0.4571981362141317,1.0,1.0,,,,,,,,,,,,0.0,0.471768091960705,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.91420739296325,185.53707789382037,0.8995091371600975,pymorph_SerExp_disk,3.343437910079956,3.007452949644381,1.7922842369751977,1.0,0.8801000118255615,-8.350299835205078,28.984881648392584,9.770329071365524,10.080132991337011,0.3098039199714864,0.6307000000000009,9.930093919971489,False,,,,12026326530.61226,10.080132991337011,,595.8533049645216,8.996598623013227e-11,-10.045921654834688,1.8580484999019219e-10,-9.730942953978076,3.62721017740202e-11,-10.440427278651354,56.235046,116.04932748444534,46.684456,96.34027276545254,,,,,,,,,,
8565-6101,1-134390,240.362810999,47.2780611698,0.0423296,0.0423296,0.0428252,3875570000.0,6516150000.0,3.26315,3.87317,3.10881,0.98874,122.927,0.944225,113.397,J160127.08+471641.0,2080,0,0,0,MaNGA dither,61,24.1024,47.4876,0.0170841,142275,-18.715,-19.2109,-19.5431,0,True,8.202917,2.9103265,52.98317,-14.410161,44.193142,-12.511964,43.324417,20.238775,-46.756775,96.503105,-16.153345,81.776436,0.16623701,0.23541024,9.399478,1507.5164,16.746000289916992,18.13309860229492,2.0,0.0,0.0,16.090299606323242,5.46246337890625,4.29449987411499,0.9408000111579896,12.380399703979492,16.720699310302734,4.09693717956543,0.7470999956130981,0.8974999785423279,-14.223099708557127,18.24659919738769,0.2027520090341568,0.1969597041606903,0.0,0.0,14.972599029541016,16.171098709106445,4.311460018157959,0.998615175485611,0.9654867947101592,2.850308987945027e-06,0.0301524549722671,3.0,0.0,Sb,3.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,2.0,19.0,18.0,1.7454529,0.0124495,1.7457141,13.5121,33.3045,3.75392,2.86585,-0.0140971,,,2442.0,0.0980430333832435,10.0,6.0,240.65695,47.39458,180.75285714285715,0.8924285714285716,127.3,0.4245714285714286,8.85,6.28,0.04258,694.1554831732304,59.5841570205585,14801.0,0.0835081212058614,17.0,8.0,240.458680946,47.176347102,268.54323857142856,1.0612857142857144,1.1289857142857145,54.936,363.0698806635377,147.34252672757674,,,,,,,,,,,,,,,,,,,187.14550140707897,172.25397395935954,0.8351108320098325,pymorph_SerExp_disk,4.09693717956543,3.4213966167189023,2.0389729539445187,0.7470999956130981,0.8974999785423279,-14.223099708557127,26.75064787627071,9.588335585461612,9.8981395054331,0.3098039199714864,0.8280999999999992,9.856713919971485,False,,,,7909326530.612232,9.8981395054331,,302.7866387557912,4.7911358473743256e-11,-10.31956151502609,1.0800171408230178e-10,-9.966569351822514,1.903262362465021e-11,-10.720501340605765,27.91819,62.02546190205718,48.96489,108.784627140604,73.80725672911564,64.38941882433816,18.434373563866128,81.81715771383824,16205.29,4.209656807307311,1.6349557140688469,0.3215894373767557,7.565706745031036e-13,-12.121150496440457
8978-9101,1-135044,247.907995888,41.4936431012,0.0303346,0.0303346,0.0308239,22188700000.0,28064000000.0,7.6628,9.05609,2.17786,0.754061,81.0556,0.827431,83.1164,J163137.91+412937.0,1040,0,0,0,MaNGA dither,91,19.7744,34.9603,0.00957122,142963,-20.1904,-20.7674,-21.0919,1,True,11.57079,1.8893989,80.77722,-94.884186,88.47318,-94.884186,88.47318,78.77379,-101.181854,107.64053,-101.181854,107.64053,0.23358987,0.40829453,10.161937,4198.1206,14.611900329589844,14.891399383544922,2.0,0.0,0.0,13.989500045776367,10.054994583129885,2.4921998977661133,0.7505000233650208,-61.03390121459961,14.40329933166504,9.41586125267213,1.0,0.8985000252723694,-29.726999282836918,15.774700164794922,3.366039752960205,0.220440000295639,0.0,0.0,13.588600158691406,14.119400024414062,3.484656810760498,0.986267477273941,0.7573432624340057,0.0001172012016468,0.8989078104496002,3.0,0.0,SBbc,4.0,0.0,1.0,0.0,0.0,9.830444,-999.0,4.416268,1.7238512,0.16712597,219.87914,238.40385,9098.52,AGBT17A_012_204,0.0,0.0,2.0,311.0,310.0,-3.1362603,0.2904599,-1.8591261,14.8188,370.842,29.6848,27.5229,19.3776,8.969154992775351,0.998658348128357,1833.0,0.0974140508764938,16.0,2.0,247.40535,41.53445,133.55857142857144,1.1245714285714286,329.4,0.5034285714285714,64.2,5.97,0.03139,827.4234730449228,276.3543788892618,431.0,0.0863234025433483,10.0,2.0,247.666974846,41.473549908,191.2753357142857,0.6266642857142858,1.1569,58.412,397.06379602396817,263.7299298782417,,,,,,,,,,,,,,,,,,,132.93702596244148,125.22452416207284,0.6071056252420456,pymorph_SerExp_disk,9.41586125267213,5.716422332995864,3.4066879219284054,1.0,0.8985000252723694,-29.726999282836918,26.617067257375957,10.346131858366972,10.655935778338458,0.3098039199714864,0.9014999999999986,10.527613919971484,False,,,,45283061224.48973,10.655935778338458,,620.9994398543566,9.456017337893001e-11,-10.024291740170058,1.9476052060740518e-10,-9.710499073227494,3.814695550699465e-11,-10.418540117192022,91.67868,204.62830151387192,104.411194,233.0474779765568,53.91862182790132,68.77165360028036,66.5430708389214,65.73230591043755,108504.36,5.035447189667471,1.6435767058213564,0.3432135846001972,4.24980308340037e-12,-11.371631192720017
