plateifu,mangaid,z,incl_deg,STELLAR_SIGMA_1RE,SNR_MED_r,logMstar_nsa,Rd_kpc,dl_TType
12510-3701,1-10760,0.07180949,16.998119824817678,82.430534,26.056976,10.545203417825569,2.651105400610964,2.7463998794555664
9192-12702,1-109223,0.0435162,29.901296936149688,152.15028,5.22782,10.845950281711511,4.461298947056539,1.713989496231079
12084-9102,1-117056,0.06214074,29.4768122730527,80.22593,10.864466,10.477849780335482,3.592470465263216,3.52776312828064
12087-12701,1-117697,0.06698224,15.27735713224184,67.8677,8.376999,10.54598974595609,4.540498739107614,3.7190966606140137
12089-12704,1-118325,0.041508455,28.05441650506298,50.491554,7.5911684,10.598450289234522,5.080004057663214,4.052762031555176
12700-1902,1-120019,0.03777012,11.77703555459888,74.171455,16.108715,9.513858696830592,1.100019629337173,2.956207513809204
8144-12703,1-120935,0.0389089,3.2034099886666025,89.80395,12.674361,10.69113721268753,5.956755928968259,3.544462919235229
8717-3703,1-121735,0.0457813,28.984881648392584,65.50807,14.174924,9.770329071365524,1.7922842369751977,2.266939401626587
8565-6101,1-134390,0.0423296,26.75064787627071,52.98317,9.399478,9.588335585461612,2.0389729539445187,4.311460018157959
8978-9101,1-135044,0.0303346,26.617067257375957,80.77722,10.161937,10.346131858366972,3.4066879219284054,3.484656810760498
11866-9102,1-1360,0.046595063,16.998119824817678,54.179424,8.736594,9.788098199328106,2.359957250818433,6.57408332824707
8249-6102,1-137875,0.0510126,20.9711955232354,66.43834,23.620192,9.831307834221596,2.149068673409301,4.556978225708008
12489-6103,1-139868,0.022551285,28.257937099190304,58.317345,7.330302,9.536344398802978,1.5561869391100196,4.1857991218566895
8452-1902,1-148046,0.058703,27.836698164833567,107.42685,13.367239,10.144483914783333,3.148288137966994,4.496821880340576
8948-12702,1-148954,0.0257135,20.583119222144,123.49166,8.175069,10.470647127279566,4.806119073356927,2.171838998794556
8947-9101,1-149200,0.047134,19.24798467128565,83.88169,6.7375603,10.520098195695237,5.665131071711918,3.8207545280456543
11872-12705,1-150371,0.06646762,24.920551359476494,63.173904,11.095716,10.42203259749184,4.31036655468456,5.69891881942749
10508-12705,1-150899,0.0571786,23.36761264437643,101.490364,7.846003,10.424404630449237,2.7451298485035878,2.781427383422852
11957-9101,1-151386,0.036476616,29.69579677242191,133.56152,13.637781,10.591823846968198,2.6989514664884906,3.7005245685577393
11954-12701,1-152093,0.055935998,18.97388395612977,57.077805,6.465066,10.300161537829265,4.8667257446539605,4.926145076751709
11831-12702,1-152193,0.053932015,9.65712673025886,108.731316,6.233759,10.86138354647883,5.1395824627914735,1.927376627922058
8144-6101,1-152527,0.0222516,25.85738561285265,66.278496,12.877318,9.908624935670767,1.5792119967665896,3.0897369384765625
9484-12703,1-153300,0.031806,28.89802205185824,74.53561,8.499633,10.246769314946471,3.8839472893711857,3.817413806915283
8439-3703,1-156158,0.138619,26.280413548662228,136.85376,7.396463,11.029789470831856,8.66315645553942,3.275010108947754
8149-6101,1-163894,0.0398786,29.21947654547429,51.13473,6.8309927,9.49276457834247,2.254114978745456,5.129824161529541
8454-6104,1-167488,0.0634825,28.560769356926112,80.270424,13.244296,10.565896202048291,4.5193361539839705,4.907250881195068
8947-12703,1-174618,0.0685878,20.22259910687305,118.77397,6.5772123,10.603344686713756,5.075361734548135,3.890181064605713
11838-3701,1-1747,0.055798467,26.117412039468896,122.35339,28.329031,10.338589012888326,1.556616457617337,3.0746328830718994
10508-12703,1-175889,0.0471993,29.48901824826096,76.25987,7.9337134,10.632236545656834,3.42521720925848,4.72027587890625
11833-6101,1-176091,0.06186429,27.14775843054386,57.5491,6.0921965,10.407606825177442,5.209626508991568,4.72011661529541
9883-12704,1-176925,0.0819442,19.96130713358721,88.04424,7.8916,10.6101830287135,7.522920406301917,3.7409682273864746
7960-12701,1-177626,0.0315166,25.10484716361342,64.37025,10.885092,10.513889836317931,4.558463347890804,5.570659160614014
9186-12702,1-178022,0.0448847,15.27735713224184,55.747963,5.295987,10.32989393250681,6.104801011153668,2.952646017074585
7962-9101,1-178482,0.10547,28.397095321316662,176.21233,5.067253,10.854392284728892,12.940640298377334,1.0348889827728271
9191-12701,1-179062,0.0526507,14.863577368477788,142.8158,8.134192,10.98175112551757,4.752029209850486,0.6930066347122192
9191-1902,1-179198,0.0236506,19.82060231733811,58.082283,20.53243,9.509150081131663,0.9175718371165452,3.706181764602661
7964-6101,1-179386,0.0486859,16.35218037678151,89.45239,13.364136,10.54595127505056,3.629679486079368,1.9142593145370483
7968-3701,1-180204,0.0515439,14.462193006160604,65.84531,14.00955,10.69626812273684,5.006240843710659,5.372079372406006
7965-6103,1-191503,0.0600969,20.735793857806023,115.206024,8.786502,10.782455424044226,3.0130123042434898,2.861785411834717
11955-9102,1-195251,0.03288055,14.04964446616524,88.43795,13.816097,10.482789845274494,3.8115887531182873,4.60338306427002
11954-9101,1-195717,0.029950138,29.33000787140101,61.847824,7.349256,9.867254531183232,1.769481922767815,3.686035394668579
11758-6103,1-196017,0.025251439,26.830497825675,53.53668,5.9303174,9.562708862052476,3.160469471432317,7.844533443450928
9870-6102,1-198885,0.0218231,29.949468292552048,54.600544,7.424688,9.151425014709032,1.4472483171563837,7.226628303527832
8937-3703,1-201479,0.102483,25.912327866943727,102.06738,11.892182,11.04965984759149,5.525729896318206,1.4609498977661133
8148-12701,1-201548,0.0818608,16.181431579647455,110.76858,6.2926164,10.71962127234036,3.4396687041740948,3.088340759277344
11943-12701,1-210864,0.030025493,27.422614103861317,60.924435,7.4663606,10.15067948772402,2.223405751439745,2.822526693344116
8604-12701,1-210881,0.0350385,9.937885765259836,119.38308,8.258743,10.832824938532172,6.2920345218176985,3.561529397964477
8312-12703,1-211017,0.0358501,16.750945056629227,57.2135,12.448034,10.441336871663928,3.338168655421597,2.478914380073548
9869-9101,1-211028,0.0295139,29.24406898892505,138.38466,8.422326,10.43190227700779,4.8405868210183245,1.2845646142959597
12673-12702,1-211080,0.028473616,16.521218575503685,73.370056,5.3764796,9.667211081589931,1.534785759515187,2.4276394844055176
8550-3704,1-211311,0.0298414,24.33083112366157,85.06832,11.726748,10.170229435551429,2.94540253287518,1.54217791557312
12667-12705,1-211519,0.032882314,15.48020204422009,82.11673,6.7643566,10.44233732220154,2.5355695680719843,2.7598912715911865
10511-3703,1-214312,0.0774261,23.831529266825942,90.06346,7.1952615,10.58186094816278,3.988713053002616,2.5568127632141118
8942-3703,1-218435,0.019862,3.3085162443310048,52.05386,13.666816,8.79014084448322,0.8926119563112855,4.455784797668457
8454-6101,1-221753,0.0698794,14.462193006160604,79.9392,9.547017,10.500771463910624,4.228779773295639,4.432151794433594
8454-6102,1-221789,0.113595,18.185376649081125,204.54042,5.0596194,10.923556411705894,4.971208560154492,1.4650133848190308
7992-6101,1-22301,0.105153,22.33422675005736,125.433754,8.116064,10.865620318034184,5.774310546083876,2.064528703689575
7992-3702,1-22383,0.0542151,29.4768122730527,80.708015,19.114126,9.95685200212016,7.312039036616248,2.5597803592681885
11983-12702,1-22659,0.05225594,22.941064825913216,56.0332,5.8020034,10.080433319994704,4.533191949926021,2.7039904594421387
