tier,match_cost,cl_plateifu,cl_mangaid,cl_objra,cl_objdec,cl_z,cl_t14_GroupID,cl_t14_grp_sigma_v,cl_t14_Ngal,cl_t14_Rproj_kpc,cl_R_over_Rvir_t14,cl_R_over_R200_t17,cl_t14_psi_norm_host_deg,cl_t14_theta_sky_deg,cl_incl_deg,cl_pa_disk_deg,cl_t14_PA_to_host_deg,cl_gext_over_a0,cl_t14_mcxc_name,cl_t14_mcxc_L500_1e44,cl_t14_grp_MNFW_rank_only,cl_xray_name,cl_xray_oname,cl_xray_L500_1e44,cl_xray_Rproj_Mpc,cl_xray_R_over_R500_rank_only,cl_t17_grp_M200_rank_only,cl_gema_grp_Q_group,cl_gema_lss_t1,cl_logMstar_nsa,cl_logRd,cl_logSigma_b,cl_log_gbar_2p2Rd,cl_f_gas_or_nan,cl_pym_r_BT_SE,cl_hi_detected,cl_logMHI_use,cl_logMHI_limit,cl_dl_TType,cl_dl_P_LTG,cl_struct_source,cl_vamp_ha_deproj_kms,cl_vamp_stel_deproj_kms,cl_STELLAR_SIGMA_1RE,fi_plateifu,fi_mangaid,fi_objra,fi_objdec,fi_z,fi_R_over_Rvir_t14,fi_R_over_R200_t17,fi_incl_deg,fi_pa_disk_deg,fi_gext_over_a0,fi_xray_name,fi_xray_oname,fi_xray_L500_1e44,fi_xray_Rproj_Mpc,fi_xray_R_over_R500_rank_only,fi_logMstar_nsa,fi_logRd,fi_logSigma_b,fi_log_gbar_2p2Rd,fi_f_gas_or_nan,fi_pym_r_BT_SE,fi_hi_detected,fi_logMHI_use,fi_logMHI_limit,fi_dl_TType,fi_dl_P_LTG,fi_struct_source,fi_vamp_ha_deproj_kms,fi_vamp_stel_deproj_kms,fi_STELLAR_SIGMA_1RE,fi_gema_overdensity,fi_gema_local_density,fi_t14_Ngal,d_logMstar_nsa,d_logRd,d_logSigma_b,d_log_gbar_2p2Rd,d_incl_deg,d_pym_r_BT_SE,d_z
B1_primary,1.1485716682281244,12673-3702,1-135060,247.64402746,40.187299772,0.027942264,73.0,604.7,513.0,935.6007757419964,0.7033081432768443,0.4605547943827273,76.63350137121881,14.939362175495935,63.734075333047535,60.69049835205078,255.62986052754675,0.1055498383972525,,,623.0,J1628.6+3932,RXC J1628.6+3932  ,1.900691,1.493088868054708,1.4871403068273985,221.21,-1.637205,29.6848,10.20859164752604,0.22461661867352897,2.961178541820867,-9.851242272501768,,0.4293720126152038,False,,,3.0184576511383057,0.9141407012939452,pymorph_Sersic,178.06598612200264,153.8494353590237,86.0553,10507-3701,1-280132,174.714344313,48.087648304,0.0266396,,,70.19249939903378,-59.125301361083984,,,,,,,10.237538608973296,0.2709447611271428,2.897469218360895,-9.91495159596174,,0.4262599945068359,False,,8.873416,1.7133769989013672,0.818621426820755,pymorph_Sersic,184.24503301316184,150.8987171291902,113.56816,,,1.0,-0.028946961447255504,-0.0463281424536138,0.06370932345997193,0.06370932345997282,-6.458424065986243,0.00311201810836792,0.001302664000000002
B1_primary,1.8462723141216333,8604-12703,1-135502,247.76417484,39.838503868,0.0305383,73.0,604.7,513.0,1296.664144819513,0.9747260538806476,0.1858596532453127,65.8357542568238,35.19202872870227,45.258573019528384,-31.37190055847168,293.43607071282605,0.07615889671851572,,,623.0,J1628.6+3932,RXC J1628.6+3932  ,1.900691,1.2075579691759406,1.2027469812509368,221.21,0.6587463,24.9009,10.872792288239872,0.7498427341640733,2.57492695155361,-10.228034976737398,,0.2677604353872463,False,,9.083827,1.7726305723190308,0.8525870442390442,pymorph_SerExp_disk,249.5658620518317,221.68174122937089,123.05456,8444-12703,1-422040,201.411105292,33.6804328237,0.0389689,,,38.01696041004199,74.89430236816406,,,,,,,10.823532780586314,0.7350060789111507,2.665463895739733,-10.14784392556738,0.2239729519167369,0.12533700466156,True,10.16,,6.209744930267334,0.9999711513519288,pymorph_SerExp_disk,223.2379761238804,212.4829025733997,73.94016,5.392764377342931,0.8056886976286758,1.0,0.04925950765355758,0.01483665525292266,-0.09053694418612279,-0.08019105117001857,7.2416126094863955,0.1424234307256863,-0.0084306
B1_primary,1.2306045602997453,9869-9102,1-135524,247.256607727,40.5348708,0.0278487,73.0,604.7,513.0,982.6719824355788,0.7386924266590474,0.2472976124900918,31.977075754624977,66.40833397289514,67.76244326178899,84.59839630126953,198.1900623283744,0.10049387023241575,,,623.0,J1627.6+4055,RXC J1627.6+4055  ,0.067444,0.9312996127211824,1.828587497979938,147.29,-0.2827551,29.6848,10.702388328905585,0.6621240065461269,2.579960447455214,-10.218189435026494,,0.3126237889764547,False,,,1.342497706413269,0.6391700208187103,pymorph_SerExp_disk,41.95927190220564,21.83153799848796,88.18768,11017-12701,1-319408,199.829107877,51.126738437,0.02944203,,,58.92073011396056,67.69879913330078,,,,,,,10.66329722404455,0.6525661806864326,2.5599849943135697,-10.252435820009064,,0.4087033684315768,False,,,2.709641456604004,0.9334428012371064,pymorph_Sersic,222.12647472798344,161.6196352086247,116.14662,,,1.0,0.03909110486103451,0.009557825859694336,0.019975453141644284,0.03424638498256982,8.841713147828429,-0.09607957945512208,-0.0015933300000000004
B1_primary,1.2981287038505915,8990-3703,1-174392,173.972423651,49.1585759893,0.0351476,594.0,638.5,104.0,461.89235943346415,0.831168770188753,0.1880218759340053,86.0733486196153,5.092510971610167,50.48660127282016,69.10369873046875,254.1962097020789,0.23836870313511516,J1134.8+4903,0.090252,287.0,J1134.8+4903,RXC J1134.8+4903  ,0.090252,0.5009001702212579,0.9289691584222142,425.93,0.3032747,7.10196,9.646293673138386,0.28270700889908684,2.2826997869820973,-10.565434524804504,,0.6235690116882324,False,,9.177714,3.1474335193634038,0.7772194743156433,pymorph_SerExp_disk,252.40928821348476,68.4218035496059,50.631935,11948-9102,1-249736,250.871292087,32.2898275708,0.0401898,,,59.8212383061324,78.72209930419922,,,,,,,9.638186153636443,0.31712645709386417,2.205753371090602,-10.606667443232034,,0.629065990447998,False,,,5.515439033508301,0.9988272190093994,pymorph_Sersic,165.16074375078864,82.60501296917853,52.280224,,,1.0,0.008107519501942662,-0.034419448194777325,0.07694641589149542,0.04123291842753041,-9.33463703331224,-0.005496978759765625,-0.005042199999999997
B1_primary,1.2711655186466548,8990-12705,1-174631,173.537567139,49.2545623779,0.037232,594.0,638.5,104.0,483.7039099998682,0.8704183470434648,0.2493420465498269,83.8857560978197,8.968950679674284,43.09467894959785,-45.47209930419922,143.49685137547507,0.2276199973372209,J1134.8+4903,0.090252,287.0,J1134.8+4903,RXC J1134.8+4903  ,0.090252,0.6037744362757756,1.119759711193946,425.93,-999.0,0.750912,10.039302404802593,0.3428290216743305,2.5554644930958164,-10.245594111644294,,0.2660959959030151,False,,,1.7882397174835205,0.7216725647449493,pymorph_SerExp_disk,214.8534446449479,82.45425235865234,68.37219,8589-12704,1-89622,228.046369673,56.3111003692,0.0457985,,,42.75595634078866,83.035400390625,,,,,,,10.008481980311494,0.33929693210151435,2.53170824775035,-10.292516643799985,,0.155932992696762,False,,,5.3228840827941895,0.9999504089355468,pymorph_SerExp_disk,187.0629540223479,151.37283725377483,64.85662,,,1.0,0.030820424491098564,0.003532089572816144,0.023756245345466276,0.04692253215569053,0.33872260880919214,0.11016300320625308,-0.008566499999999998
B1_primary,0.7518484915377996,11944-12704,1-200510,243.256777222,37.2874747153,0.06949385,3813.0,423.1,11.0,456.5447724988285,0.7542632540693414,,70.71267834782185,40.41589425189015,30.62856185611468,-6.181900024414063,313.4022057236958,0.10589388576308059,,,110.0,,,,,,,-3.0531714,2.3009,11.165354389747034,0.7324202232631807,2.9023340748625572,-9.900520502934205,,0.1452050060033798,False,,,5.52497673034668,0.999939501285553,pymorph_SerExp_disk,192.83968343169263,181.54846761624927,151.83443,11871-12703,1-623440,194.556542486,26.426853598,0.069039315,,,26.06286746306959,-58.764198303222656,,,,,,,11.192284969381534,0.7572000383681581,2.879705024287103,-9.934693640152917,,0.1879709959030151,False,,,3.3940796852111816,0.9914900660514832,pymorph_SerExp_disk,242.2032478059375,197.55091926580167,127.04212,,,1.0,-0.026930579634500518,-0.0247798151049774,0.02262905057545428,0.03417313721871196,4.565694393045089,-0.042765989899635315,0.00045453499999999203
B1_primary,1.532885875475911,8550-3701,1-210989,246.652704394,39.8586585127,0.0313577,73.0,604.7,513.0,848.0014361068571,0.6374581242212198,0.4474254741910952,30.6922430100464,63.96743787846468,73.13986703795783,-60.53219985961914,55.50036226191618,0.11645323519412994,,,623.0,J1628.6+3932,RXC J1628.6+3932  ,1.900691,1.122507856949534,1.1180357140931616,635.84,-0.0689279,24.9009,10.243924471648311,0.3596810214246969,2.7263825604408027,-10.074246365499448,,0.2157795527329989,False,,9.095615,3.0030806064605717,0.6324734091758728,pymorph_SerExp_disk,118.1226873110288,139.4172632666416,104.43858,8461-6103,1-217400,144.639942763,44.6267106962,0.0246759,,,68.99222816146504,85.78410339355469,,,,,,,10.210792273442744,0.36157993044196723,2.8080521533091622,-9.999303885537527,0.2389724291156129,0.084751985913089,True,9.583888,,4.603566646575928,0.9867236018180848,pymorph_SerExp_disk,166.5030386096202,133.06349155682187,76.278206,0.028226401558529,0.0120887509645647,1.0,0.033132198205567676,-0.001898909017270356,-0.08166959286835951,-0.07494247996192094,4.147638876492792,0.1310275668199099,0.006681800000000002
B1_primary,0.9354211735014549,8312-12705,1-211023,247.155376088,39.69890557,0.031211,73.0,604.7,513.0,852.3235399509591,0.6407071283995611,0.2975875563219267,88.77311010656445,1.5803304411660908,50.9311647755914,-12.975000381469728,348.6053300596963,0.11586270477710119,,,623.0,J1628.6+3932,RXC J1628.6+3932  ,1.900691,0.3376544128500634,0.3363091761454815,635.84,0.1993392,24.9009,10.388948973304236,0.5416229618321255,2.5075231812818686,-10.29830022740142,,0.1223490014672279,False,,9.277663,3.141181230545044,0.9902141690254213,pymorph_SerExp_disk,124.90710902210256,52.83622370931726,72.61787,8139-12705,1-604821,116.43123,32.10292,0.027149,,,47.25887588943186,-67.94730377197266,,,,,,,10.350849030495793,0.5724814715974526,2.5184318302101785,-10.292787929435049,0.2250487399906514,0.0366460084915161,True,9.69,,3.8929264545440674,0.9651522040367126,pymorph_SerExp_disk,146.3931976573203,136.45744896480227,56.06468,,,1.0,0.03809994280844364,-0.030858509765327002,-0.010908648928309894,-0.005512297966371094,3.672288886159535,0.0857029929757118,0.004062
B1_primary,1.4322786930008216,8602-6102,1-211027,247.23601071,39.6095520081,0.0351188,73.0,604.7,513.0,1210.63518735744,0.9100565197059792,0.3018653570264394,16.419277166701665,87.85508264238891,73.71760078343443,75.64530181884766,343.5003844612366,0.08157082473331012,,,623.0,J1628.6+3932,RXC J1628.6+3932  ,1.900691,0.214924234852133,0.2140679630001325,635.84,0.9469101,24.9009,9.504329361890552,0.2742759573206678,2.157597578891101,-10.654823235431534,,0.1420110017061233,False,,9.636979,4.543428897857666,0.8278559744358063,pymorph_Sersic,320.5316213321547,77.76945701414162,63.009823,9036-6103,1-247664,237.761272891,44.2742899645,0.0344536,,,69.9677252709793,-49.35559844970703,,,,,,,9.405119755678289,0.19998315702022415,2.2069735732797238,-10.605447241042912,,0.1621530055999755,False,,,5.83625078201294,0.9763533771038057,pymorph_Sersic,155.43632111034316,62.11509548942825,48.38186,0.321149551880931,0.1209519817934963,1.0,0.09920960621226271,0.07429280030044363,-0.049375994388622946,-0.0493759943886225,3.7498755124551337,-0.020142003893852206,0.0006651999999999977
B1_primary,1.3362864406485058,8312-3703,1-211044,247.432124303,40.0165041511,0.0276238,73.0,604.7,513.0,582.9569966369941,0.438219391801864,0.292413744023285,52.84771510582722,39.274606133663895,72.55928646081965,61.56589889526367,280.8405050289276,0.16939930604418962,,,623.0,J1628.6+3932,RXC J1628.6+3932  ,1.900691,1.024383163570132,1.0203019557471436,221.21,-1.3864254,24.9009,9.88048226390412,0.2521323837734491,2.578037627999107,-10.22884044247569,,0.1544229984283447,False,,9.116935,2.7416296005249023,0.7213821113109589,pymorph_SerExp_disk,589.930971141765,83.01563185408004,69.45659,8341-3702,1-259058,189.958285005,45.9335624945,0.024225,,,71.73994297578022,74.73059844970703,,,,,,,9.884177855588446,0.2050037030269214,2.675990581176488,-10.151821002190962,,0.2516709812631856,False,,,2.836618185043335,0.7773563265800476,pymorph_SerExp_disk,108.23241609007376,99.2101846485234,64.098495,-0.2203524044479735,-0.1081016561441359,1.0,-0.0036955916843250947,0.04712868074652771,-0.09795295317738084,-0.07701944028472774,0.8193434850394254,-0.0972479828348409,0.0033988000000000004
