tier,match_cost,cl_CATID,cl_RA_OBJ,cl_DEC_OBJ,cl_z_spec,cl_logMstar,cl_logRd,cl_logSigma_b,cl_log_gbar_2p2Rd,cl_incl_deg,cl_morph_type,cl_Re_kpc,cl_SIGMA_RE_MGE,cl_LAMBDAR_RE,cl_VSIGMA_RE,cl_gas_star_misalign_deg,cl_cluster,cl_R_on_rtwo,cl_R_proj_Mpc_from_cat,cl_v_pec_kms,cl_host_sigma_200,cl_host_e_sigma_200,cl_host_N_mem_R200,cl_gext_over_a0,cl_host_M_200_caustic,cl_host_M_200_virial,cl_host_R_200,fi_CATID,fi_RA_OBJ,fi_DEC_OBJ,fi_z_spec,fi_logMstar,fi_logRd,fi_logSigma_b,fi_log_gbar_2p2Rd,fi_incl_deg,fi_morph_type,fi_Re_kpc,fi_SIGMA_RE_MGE,fi_LAMBDAR_RE,fi_VSIGMA_RE,fi_gas_star_misalign_deg,fi_SurfaceDensity,d_logMstar,d_logRd,d_logSigma_b,d_log_gbar_2p2Rd,d_incl_deg,d_z_spec
S1_latetype,1.567451765089216,9011900208,14.241,-1.15805,0.0480209,9.60291,0.009571392266779158,2.785587347108326,-10.02683346721431,54.045895459437595,2.5,1.7153918752390178,54.8813,0.274117,0.31534,33.0,Abell 119,0.30645,0.625158,1096.53,840.0,36.0,372.0,0.3048154582030921,8.6,9.7,2.04,619989,222.6,0.348246,0.03983,9.7,0.02023724216012597,2.8613456473216323,-9.951075167001003,53.50175704866845,2.5,1.7580418073250121,67.2657,0.311595,0.373389,3.0,2.957,-0.09708999999999968,-0.010665849893346813,-0.0757583002133062,-0.0757583002133071,0.5441384107691434,0.008190900000000001
S1_latetype,1.1084747385093776,9011900225,13.9402,-1.08428,0.0422569,9.82376,0.01416663549994215,2.997246860642001,-9.815173953680635,71.2926783188476,3.0,1.7336386952940734,73.3718,0.557465,0.735604,3.0,Abell 119,0.327718,0.668546,-557.541,840.0,36.0,372.0,0.28503322466865205,8.6,9.7,2.04,218681,139.251,0.844073,0.03801,9.91,0.057200742716137065,2.997418646209611,-9.815002168113026,74.74844435299629,3.0,1.9142237453230009,62.194,0.611866,0.879606,1.5,0.096,-0.0862400000000001,-0.04303410721619491,-0.00017178556760999442,-0.00017178556760910624,-3.455766034148681,0.004246899999999998
S1_latetype,1.3814545872713329,9011900242,13.8457,-1.21122,0.0417739,10.4092,0.25116405307963247,3.10869202548262,-9.703728788840015,55.218394624619684,2.0,2.9919615603770606,109.583,0.461619,0.545149,7.0,Abell 119,0.347375,0.708646,-696.562,840.0,36.0,372.0,0.2689041104011434,8.6,9.7,2.04,592835,214.259,-0.163617,0.05152,10.36,0.23731454038166103,3.0871910508785625,-9.725229763444073,63.15899741307433,3.0,2.898054155953852,91.4712,0.502512,0.634945,8.0,2.082,0.0492000000000008,0.013849512697971439,0.021500974604057532,0.021500974604057532,-7.9406027884546475,-0.0097461
S1_latetype,0.7286061664350115,9011900271,14.0097,-1.49619,0.0411749,9.56272,0.10987863238845537,2.5447828668649746,-10.267637947457661,61.843226615961946,3.0,2.1610787298980423,69.358,,,10.0,Abell 119,0.380899,0.777034,-869.046,840.0,36.0,372.0,0.245237431334187,8.6,9.7,2.04,107395,219.801,0.945334,0.03434,9.58,0.11152409414844326,2.5587719433449987,-10.253648870977637,62.57198051473361,3.0,2.169282189846792,69.7184,0.52462,0.690546,4.5,0.767,-0.017279999999999518,-0.001645461759987893,-0.01398907648002412,-0.013989076480024565,-0.7287538987716644,0.006834899999999998
S1_latetype,1.3482608911237022,9011900288,14.2965,-1.38012,0.0488271,10.0272,0.21717094316968508,2.7946782453025154,-10.01774256902012,73.18456292390955,2.5,2.7667052848567644,71.742,0.526841,0.701821,174.0,Abell 119,0.401568,0.819199,1327.17,840.0,36.0,372.0,0.23261481302995815,8.6,9.7,2.04,319049,213.417,1.783,0.05363,10.04,0.1760004282082873,2.88981927522531,-9.922601539097327,76.24657769042865,2.5,2.516473635179581,68.7206,0.598531,0.845295,2.0,4.945,-0.01279999999999859,0.041170514961397786,-0.09514102992279438,-0.09514102992279305,-3.0620147665190984,-0.004802899999999999
S1_latetype,0.5845493400880091,9011900347,14.0081,-1.54977,0.0426071,10.3975,0.2249207274187074,3.149478676804471,-9.662942137518165,49.843351050884436,2.0,2.8165189910252466,91.3865,0.321787,0.333484,169.5,Abell 119,0.46197,0.942419,-456.77,840.0,36.0,372.0,0.2022007432143544,8.6,9.7,2.04,17314,223.042,0.783986,0.04325,10.41,0.21189840889783218,3.188023313846221,-9.624397500476414,52.84971297612521,2.0,2.733319284036713,110.139,0.414719,0.468389,2.5,0.899,-0.01249999999999929,0.013022318520875209,-0.03854463704174993,-0.03854463704175082,-3.0063619252407747,-0.0006428999999999949
S1_latetype,1.037076001985332,9011900364,13.7867,-1.39678,0.045825,9.75532,0.061006409276308675,2.835127313089267,-9.977293501233369,47.69162615107035,3.0,1.931071551007206,61.0883,0.313437,0.380491,33.0,Abell 119,0.483129,0.985584,467.478,840.0,36.0,372.0,0.19334508496417216,8.6,9.7,2.04,463264,212.335,-1.26706,0.04133,9.81,0.0706759562705514,2.8704682191007826,-9.941952595221853,53.89427042665429,2.0,1.9745489872460376,92.3783,0.410243,0.523196,4.5,0.088,-0.05468000000000117,-0.009669546994242724,-0.03534090601151574,-0.03534090601151618,-6.2026442755839355,0.004494999999999999
S1_latetype,1.168212877989748,9011900367,13.8067,-1.07604,0.0476241,10.776,0.4235882228405123,3.13064368596086,-9.681777128361775,66.77537313301839,2.0,4.450206659893886,124.464,0.649246,0.921919,3.0,Abell 119,0.486385,0.992225,982.973,840.0,36.0,372.0,0.19205101889120782,8.6,9.7,2.04,568549,215.48,-0.556579,0.05277,10.69,0.3964020507289658,3.099016030183953,-9.713404784138683,63.00813749720969,2.0,4.180170607460979,148.943,0.669949,0.980903,2.5,5.221,0.0860000000000003,0.027186172111546503,0.03162765577690729,0.031627655776908625,3.767235635808703,-0.005145899999999995
S1_latetype,0.9242409130999691,9011900441,14.4233,-1.31227,0.0471001,10.4912,0.3620685703841928,2.9688829908734986,-9.843537823449138,63.97307367508009,2.0,3.862429157105963,99.9389,0.655987,0.924514,3.5,Abell 119,0.554821,1.13184,832.909,840.0,36.0,372.0,0.16836109540158387,8.6,9.7,2.04,381215,131.682,1.84332,0.04997,10.49,0.34355133815484856,3.004717455332188,-9.807703358990448,71.40235915865824,3.0,3.7012063163466804,97.9544,0.512663,0.654455,7.0,68.523,0.0011999999999989797,0.01851723222934426,-0.03583446445868921,-0.03583446445868965,-7.429285483578155,-0.0028699000000000016
S1_latetype,0.9455959082119982,9011900450,14.1308,-1.61632,0.0448431,10.3481,0.2907750881170821,2.9683699554077214,-9.844050858914915,63.407119280346514,2.0,3.277683724434148,96.3351,0.67047,1.01746,9.0,Abell 119,0.563895,1.15035,185.749,840.0,36.0,372.0,0.16565203826603092,8.6,9.7,2.04,325536,140.984,1.83442,0.05072,10.34,0.27670065787223164,2.9884188158974214,-9.824001998425214,70.22138152351778,2.5,3.1731647003694157,115.217,0.65037,0.96601,2.5,0.394,0.008100000000000662,0.014074430244850444,-0.020048860489700004,-0.02004886048970178,-6.814262243171264,-0.005876900000000004
S1_latetype,1.0688483576133392,9011900558,14.2982,-1.61961,0.0439337,10.1209,0.10485075595067553,3.1130186197405347,-9.6994021945821,70.07390955946352,2.5,2.136203943456052,88.3374,0.609355,0.858852,0.5,Abell 119,0.663607,1.35376,-75.3983,840.0,36.0,372.0,0.1407618944416504,8.6,9.7,2.04,463641,213.955,-1.31606,0.04982,10.1,0.06928606828799132,3.1632479950659023,-9.649172819256734,75.18618815028462,3.0,1.9682398693541028,92.0479,0.647577,0.907236,1.0,1.886,0.02090000000000103,0.03556468766268421,-0.05022937532536753,-0.05022937532536709,-5.112278590821106,-0.005886300000000004
